timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,104.8400,106.0900,104.0000,105.2500,105.2500,2690762,0.0000,1.0000
2019-03-22,109.7900,109.9900,107.3200,107.4000,107.4000,2300198,0.0000,1.0000
2019-03-21,109.0000,111.1200,108.5000,110.1800,110.1800,3724878,0.0000,1.0000
2019-03-20,109.9700,110.2650,108.1200,108.6100,108.6100,2640754,0.0000,1.0000
2019-03-19,109.9100,110.3778,109.2900,109.9500,109.9500,1944912,0.0000,1.0000
2019-03-18,109.0300,110.3678,108.4300,109.1500,109.1500,2745885,0.0000,1.0000
2019-03-15,108.9800,110.6473,108.3500,109.3900,109.3900,4574397,0.0000,1.0000
2019-03-14,108.3900,108.3900,107.1200,108.2500,108.2500,1961349,0.0000,1.0000
2019-03-13,108.4200,109.0600,107.6900,108.0800,108.0800,1814147,0.0000,1.0000
2019-03-12,107.6700,108.5500,106.6600,107.9100,107.9100,2392048,0.0000,1.0000
2019-03-11,105.4500,107.7400,105.4300,107.6800,107.6800,2884084,0.0000,1.0000
2019-03-08,104.7500,105.6800,104.1200,105.4100,105.4100,4791732,0.0000,1.0000
2019-03-07,106.7600,106.7600,105.2210,105.6800,105.6800,2507023,0.0000,1.0000
2019-03-06,108.3200,108.6575,106.5600,106.7900,106.7900,2027957,0.0000,1.0000
2019-03-05,108.6100,109.0400,107.9600,108.2300,108.2300,2843095,0.0000,1.0000
2019-03-04,109.0000,109.4800,106.7600,108.6600,108.6600,2518086,0.0000,1.0000
2019-03-01,107.8400,108.7900,106.7501,108.4400,108.4400,2821391,0.0000,1.0000
2019-02-28,104.9500,107.2150,104.9500,106.9600,106.9600,3212327,0.5400,1.0000
2019-02-27,106.3300,106.6200,104.9700,105.9300,105.3979,2617056,0.0000,1.0000
2019-02-26,107.3600,107.8599,106.8000,107.1800,106.6416,2083544,0.0000,1.0000
2019-02-25,106.8000,108.2200,106.6100,107.9000,107.3580,3987499,0.0000,1.0000
2019-02-22,106.0800,106.3300,105.1900,105.9100,105.3780,2248044,0.0000,1.0000
2019-02-21,106.3300,106.8000,104.9200,105.2800,104.7512,3518525,0.0000,1.0000
2019-02-20,105.1000,108.2800,104.7100,106.8200,106.2834,4811711,0.0000,1.0000
2019-02-19,105.4400,105.7000,104.1500,104.2200,103.6965,3722183,0.0000,1.0000
2019-02-15,105.3700,105.8300,104.2850,105.7400,105.2088,2289419,0.0000,1.0000
2019-02-14,104.2300,105.0350,103.6100,104.4900,103.9651,2971563,0.0000,1.0000
2019-02-13,104.4300,105.0900,103.4700,104.4200,103.8955,2417148,0.0000,1.0000
2019-02-12,103.1300,104.8800,102.8800,104.0600,103.5373,3693593,0.0000,1.0000
2019-02-11,102.4000,102.6500,101.0200,101.7500,101.2389,2232265,0.0000,1.0000
2019-02-08,99.4500,100.9200,99.0700,100.7300,100.2240,2407748,0.0000,1.0000
2019-02-07,101.3200,102.1000,99.5400,100.6300,100.1245,3472016,0.0000,1.0000
2019-02-06,101.0500,103.4800,101.0000,102.4100,101.8956,3279378,0.0000,1.0000
2019-02-05,99.5400,100.5100,99.0500,100.4000,99.8957,2472731,0.0000,1.0000
2019-02-04,100.4700,100.7900,98.7300,99.7000,99.1992,2541880,0.0000,1.0000
2019-02-01,99.1700,100.6300,98.8400,100.5400,100.0350,3074268,0.0000,1.0000
2019-01-31,98.7400,98.9600,98.0300,98.8600,98.3634,2588241,0.0000,1.0000
2019-01-30,97.5700,99.4400,97.1100,99.0100,98.5126,2653877,0.0000,1.0000
2019-01-29,98.3000,98.3000,96.5732,97.0100,96.5227,2171811,0.0000,1.0000
2019-01-28,94.9500,97.7000,94.8600,97.3400,96.8510,2260147,0.0000,1.0000
2019-01-25,95.8000,98.1450,95.5500,97.6700,97.1794,4300164,0.0000,1.0000
2019-01-24,90.5300,95.5000,90.5300,94.7500,94.2740,6478707,0.0000,1.0000
2019-01-23,89.4000,89.7100,87.7700,88.8600,88.4136,1590502,0.0000,1.0000
2019-01-22,90.5700,90.7500,88.2100,89.1300,88.6823,2749466,0.0000,1.0000
2019-01-18,89.6100,91.5300,88.4300,91.3600,90.9011,3471566,0.0000,1.0000
2019-01-17,86.5100,88.8500,85.4400,88.8100,88.3639,2562998,0.0000,1.0000
2019-01-16,87.6000,88.5200,86.8900,87.0000,86.5630,1667126,0.0000,1.0000
2019-01-15,87.6600,88.5400,87.0067,87.6100,87.1699,1960489,0.0000,1.0000
2019-01-14,88.6800,88.9900,87.3600,87.5000,87.0605,2239285,0.0000,1.0000
2019-01-11,88.0700,91.1100,88.0700,90.0600,89.6076,3029782,0.0000,1.0000
2019-01-10,86.8900,88.6600,86.5700,88.6100,88.1649,2042362,0.0000,1.0000
2019-01-09,85.8200,88.5000,85.8200,87.4000,86.9610,3321565,0.0000,1.0000
2019-01-08,84.2700,85.2800,82.6700,85.2400,84.8118,3993489,0.0000,1.0000
2019-01-07,82.5400,84.1900,82.0800,83.2100,82.7920,2656324,0.0000,1.0000
2019-01-04,81.4600,83.0100,80.4600,82.6900,82.2746,3470021,0.0000,1.0000
2019-01-03,82.9900,84.3500,80.5500,80.7300,80.3245,4376622,0.0000,1.0000
2019-01-02,84.0300,86.4300,83.9600,85.9200,85.4884,2524098,0.0000,1.0000
2018-12-31,86.0900,86.5400,84.9700,85.8300,85.3989,1748374,0.0000,1.0000
2018-12-28,85.4900,86.9000,84.4300,85.4600,85.0307,2070730,0.0000,1.0000
2018-12-27,83.2600,85.4300,81.8573,85.3600,84.9312,2070255,0.0000,1.0000
2018-12-26,81.1900,84.4300,80.0800,84.3400,83.9163,2519007,0.0000,1.0000
2018-12-24,82.1100,82.9100,80.3600,80.4200,80.0160,1353267,0.0000,1.0000
2018-12-21,83.4100,85.1100,81.9400,82.3200,81.9065,5189039,0.0000,1.0000
2018-12-20,83.2400,84.5500,81.5300,82.7400,82.3244,3555429,0.0000,1.0000
2018-12-19,86.7300,87.9200,83.2429,83.6900,83.2696,4216233,0.0000,1.0000
2018-12-18,88.2300,89.3600,87.5000,88.0500,87.6077,2873878,0.0000,1.0000
2018-12-17,87.2500,88.9600,86.7500,87.3100,86.8714,2933798,0.0000,1.0000
2018-12-14,87.4800,88.3900,86.9700,87.2700,86.8316,2947820,0.0000,1.0000
2018-12-13,89.6700,89.9900,88.0800,88.4600,88.0156,1668358,0.0000,1.0000
2018-12-12,90.5200,90.5200,89.0000,89.0800,88.6325,2300987,0.0000,1.0000
2018-12-11,89.9100,91.0400,88.2800,88.6400,88.1947,2094321,0.0000,1.0000
2018-12-10,86.3600,88.6350,86.0000,88.4800,88.0355,2600581,0.0000,1.0000
2018-12-07,89.0700,89.9800,86.1900,86.4200,85.9859,2961144,0.0000,1.0000
2018-12-06,87.3300,89.5500,86.1700,89.5300,89.0803,2957421,0.0000,1.0000
2018-12-04,93.1400,93.3800,90.3400,90.4400,89.9857,3858005,0.0000,1.0000
2018-12-03,93.3400,94.6200,92.8100,93.5100,93.0403,3563789,0.0000,1.0000
2018-11-30,89.7000,91.9700,88.7900,91.9200,91.4583,3335829,0.0000,1.0000
2018-11-29,89.9800,90.5900,89.3500,89.5200,89.0703,2831694,0.0000,1.0000
2018-11-28,89.4300,90.7900,88.0000,90.7200,90.2643,3864592,0.4800,1.0000
2018-11-27,89.4600,90.1400,88.3600,89.5800,88.6609,2614661,0.0000,1.0000
2018-11-26,90.3100,90.6300,89.0200,90.0700,89.1459,2474599,0.0000,1.0000
2018-11-23,88.6500,89.4010,87.8700,88.6400,87.7306,1163007,0.0000,1.0000
2018-11-21,89.5500,90.8300,88.2100,89.6800,88.7599,3561144,0.0000,1.0000
2018-11-20,84.7600,89.8700,83.8400,89.0200,88.1067,6660128,0.0000,1.0000
2018-11-19,89.6200,89.9700,85.4500,85.5200,84.6426,6808356,0.0000,1.0000
2018-11-16,88.1000,89.9600,87.6400,89.4800,88.5619,3167913,0.0000,1.0000
2018-11-15,86.0300,89.8700,86.0300,89.8200,88.8984,4772932,0.0000,1.0000
2018-11-14,86.3200,87.1100,85.4700,86.1300,85.2463,2395787,0.0000,1.0000
2018-11-13,84.8400,86.8100,84.6300,85.3000,84.4248,3042486,0.0000,1.0000
2018-11-12,86.4000,86.6150,84.1000,84.2000,83.3361,3334328,0.0000,1.0000
2018-11-09,89.4600,89.7300,87.0100,87.5900,86.6913,3043165,0.0000,1.0000
2018-11-08,87.5900,90.0800,87.5900,89.9300,89.0073,2551090,0.0000,1.0000
2018-11-07,89.0100,89.0200,87.3900,88.3100,87.4039,2253960,0.0000,1.0000
2018-11-06,86.5600,88.0000,86.3700,87.9600,87.0575,1751269,0.0000,1.0000
2018-11-05,87.0900,87.4200,85.5900,86.3800,85.4937,2143887,0.0000,1.0000
2018-11-02,88.3200,89.0100,86.2500,87.1800,86.2855,3754858,0.0000,1.0000
2018-11-01,84.1600,88.5000,83.7200,88.0000,87.0971,3669670,0.0000,1.0000
2018-10-31,83.9300,84.3000,82.8800,83.7100,82.8511,3499104,0.0000,1.0000
2018-10-30,80.6200,82.8600,80.4150,82.8000,81.9505,4698768,0.0000,1.0000
2018-10-29,81.3200,81.9500,78.9800,80.4100,79.5850,5055470,0.0000,1.0000
2018-10-26,77.5600,80.1000,76.6200,79.0300,78.2192,4536644,0.0000,1.0000
2018-10-25,78.9400,79.9000,78.7600,79.0800,78.2686,4192534,0.0000,1.0000
2018-10-24,80.3200,80.7400,77.7600,77.8200,77.0216,7790890,0.0000,1.0000
2018-10-23,80.7400,83.0100,79.7000,82.6500,81.8020,4656395,0.0000,1.0000
2018-10-22,83.0100,83.3900,82.3600,82.5500,81.7030,2337021,0.0000,1.0000
2018-10-19,82.9300,84.2200,81.8700,82.3350,81.4902,2564385,0.0000,1.0000
2018-10-18,83.0000,84.2900,81.5500,83.1700,82.3167,4923299,0.0000,1.0000
2018-10-17,86.3500,86.4200,84.6000,85.2500,84.3753,3529395,0.0000,1.0000
2018-10-16,84.7900,85.8400,84.1400,85.7600,84.8801,3397746,0.0000,1.0000
2018-10-15,83.7100,84.6700,83.1000,83.9000,83.0392,3153747,0.0000,1.0000
2018-10-12,85.2300,85.7700,83.0700,84.1700,83.3064,3600599,0.0000,1.0000
2018-10-11,85.5600,86.5900,83.2500,83.6700,82.8115,4849880,0.0000,1.0000
2018-10-10,85.4600,86.0400,83.1800,83.9000,83.0392,8524035,0.0000,1.0000
2018-10-09,86.6200,86.9500,85.5900,86.7600,85.8698,3950203,0.0000,1.0000
2018-10-08,86.7900,87.2300,85.5200,86.4800,85.5927,2879353,0.0000,1.0000
2018-10-05,89.0000,89.4800,86.2600,87.1500,86.2558,5816033,0.0000,1.0000
2018-10-04,91.1400,91.6000,89.5700,89.9900,89.0667,4047390,0.0000,1.0000
2018-10-03,91.7100,93.0400,90.8600,91.8300,90.8878,2914954,0.0000,1.0000
2018-10-02,92.2000,93.9200,92.1100,92.2900,91.3431,1737331,0.0000,1.0000
2018-10-01,92.8100,93.3900,92.2500,92.3900,91.4421,1728836,0.0000,1.0000
2018-09-28,91.9600,92.5200,91.6000,92.4600,91.5114,1650247,0.0000,1.0000
2018-09-27,92.3100,92.5400,91.6100,92.1800,91.2342,1963719,0.0000,1.0000
2018-09-26,92.4000,93.7500,92.1900,92.3200,91.3728,3802521,0.0000,1.0000
2018-09-25,92.4000,93.4900,90.5481,92.5600,91.6103,6037188,0.0000,1.0000
2018-09-24,94.1400,95.3700,93.3300,95.0000,94.0253,2558793,0.0000,1.0000
2018-09-21,95.5600,95.7000,94.1900,94.5600,93.5898,4416466,0.0000,1.0000
2018-09-20,93.5500,95.6600,93.4500,95.1000,94.1243,3494871,0.0000,1.0000
2018-09-19,92.0200,92.8050,91.8000,92.5800,91.6301,1843220,0.0000,1.0000
2018-09-18,91.6700,92.4700,91.3500,91.8600,90.9175,2354912,0.0000,1.0000
2018-09-17,92.1100,92.8200,91.1550,91.3100,90.3732,1976252,0.0000,1.0000
2018-09-14,92.5500,93.4300,92.0900,92.5300,91.5806,2843302,0.0000,1.0000
2018-09-13,92.1900,93.0700,90.8800,92.4000,91.4520,3516824,0.0000,1.0000
2018-09-12,92.1000,92.5600,89.3500,91.0200,90.0861,5793632,0.0000,1.0000
2018-09-11,94.1200,94.3900,93.1000,93.2500,92.2933,3229948,0.0000,1.0000
2018-09-10,94.5600,95.1800,93.0500,94.5900,93.6195,3120064,0.0000,1.0000
2018-09-07,94.8600,95.9200,93.5900,93.9600,92.9960,5451386,0.0000,1.0000
2018-09-06,97.4500,98.0900,96.1100,97.0900,96.0939,2809812,0.0000,1.0000
2018-09-05,98.1200,98.8400,97.4900,97.8700,96.8659,2689002,0.0000,1.0000
2018-09-04,97.4900,98.8900,97.1100,98.1100,97.1034,4053178,0.0000,1.0000
2018-08-31,98.2100,99.2400,98.2025,98.8500,97.8358,1710018,0.0000,1.0000
2018-08-30,99.4800,100.1700,98.2800,98.5700,97.5587,1891693,0.4800,1.0000
2018-08-29,100.4200,100.4200,99.7500,100.1700,98.6618,2370112,0.0000,1.0000
2018-08-28,100.6100,100.8700,99.4600,100.4200,98.9080,3673414,0.0000,1.0000
2018-08-27,99.2900,100.7200,99.0000,100.0700,98.5633,2907259,0.0000,1.0000
2018-08-24,98.0600,98.8850,97.4400,98.7800,97.2927,2674789,0.0000,1.0000
2018-08-23,98.2900,98.9800,97.2400,97.3900,95.9237,2666119,0.0000,1.0000
2018-08-22,92.5500,98.1200,92.0500,97.9200,96.4457,7540753,0.0000,1.0000
2018-08-21,94.0600,96.4600,93.4200,95.9200,94.4758,4051255,0.0000,1.0000
2018-08-20,94.7900,94.9100,93.2400,93.7400,92.3286,2161016,0.0000,1.0000
2018-08-17,93.4600,94.8300,92.6681,94.5800,93.1560,2869440,0.0000,1.0000
2018-08-16,94.3900,95.0700,93.9600,94.2600,92.8408,1828687,0.0000,1.0000
2018-08-15,93.9400,94.5200,92.8100,93.7600,92.3483,2022306,0.0000,1.0000
2018-08-14,95.5800,96.2399,94.8150,94.8500,93.4219,1761598,0.0000,1.0000
2018-08-13,95.1900,96.1300,94.8400,95.1300,93.6977,1939325,0.0000,1.0000
2018-08-10,95.3300,96.7100,94.0800,94.9400,93.5106,2817351,0.0000,1.0000
2018-08-09,98.5400,98.6700,97.7400,97.7400,96.2684,1451129,0.0000,1.0000
2018-08-08,98.5000,98.7100,97.9400,98.4900,97.0071,1256580,0.0000,1.0000
2018-08-07,97.7100,98.6900,97.4500,98.5900,97.1056,1128804,0.0000,1.0000
2018-08-06,96.1900,97.4200,96.0600,97.3800,95.9138,1322202,0.0000,1.0000
2018-08-03,96.0800,96.7000,95.8686,96.5600,95.1062,1017822,0.0000,1.0000
2018-08-02,95.0000,96.5500,94.7508,96.1900,94.7417,1711780,0.0000,1.0000
2018-08-01,95.4300,96.7400,95.4300,96.0400,94.5940,1717680,0.0000,1.0000
2018-07-31,95.6800,96.8600,95.5800,96.1400,94.6925,2501285,0.0000,1.0000
2018-07-30,97.5700,97.5700,95.0100,95.3100,93.8750,2545043,0.0000,1.0000
2018-07-27,98.0900,99.0900,96.7100,96.9800,95.5198,2147637,0.0000,1.0000
2018-07-26,97.5700,98.5600,96.7300,97.7000,96.2290,2546220,0.0000,1.0000
2018-07-25,97.4800,98.1500,95.0900,96.5500,95.0963,2613589,0.0000,1.0000
2018-07-24,98.0400,99.1767,97.3050,97.4500,95.9828,2964645,0.0000,1.0000
2018-07-23,97.3900,97.9550,96.3300,97.7900,96.3176,1403708,0.0000,1.0000
2018-07-20,98.0200,98.6925,97.3000,97.8100,96.3373,1393001,0.0000,1.0000
2018-07-19,98.7900,98.9600,97.4000,98.2600,96.7806,1389518,0.0000,1.0000
2018-07-18,98.5300,99.3960,98.4700,99.0900,97.5981,1635235,0.0000,1.0000
2018-07-17,96.9700,98.3400,96.4550,98.2600,96.7806,1928858,0.0000,1.0000
