timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,36.0700,36.5900,34.8148,36.5600,36.5600,225939,0.0000,1.0000
2019-03-22,37.9200,37.9200,36.1100,36.1900,36.1900,146480,0.0000,1.0000
2019-03-21,37.1300,38.2850,37.0200,38.1100,38.1100,248162,0.0000,1.0000
2019-03-20,37.4500,37.9144,36.8201,37.3700,37.3700,134913,0.0000,1.0000
2019-03-19,38.5100,38.8400,37.6300,37.7000,37.7000,236292,0.0000,1.0000
2019-03-18,39.0300,39.4900,38.0100,38.2600,38.2600,161278,0.0000,1.0000
2019-03-15,38.2300,39.5700,38.1000,39.0200,39.0200,472931,0.0000,1.0000
2019-03-14,38.7400,38.7400,38.2400,38.2700,38.2700,118378,0.0000,1.0000
2019-03-13,38.7500,39.2000,38.4300,38.5600,38.5600,256038,0.0000,1.0000
2019-03-12,37.8100,38.6300,37.2000,38.5300,38.5300,242070,0.0000,1.0000
2019-03-11,36.3300,37.9900,36.3300,37.8000,37.8000,266636,0.0000,1.0000
2019-03-08,35.6400,36.2100,35.6300,36.0000,36.0000,176433,0.0000,1.0000
2019-03-07,35.4100,36.2600,35.4100,36.1000,36.1000,219425,0.0000,1.0000
2019-03-06,35.4200,35.7550,35.1750,35.5000,35.5000,189195,0.0000,1.0000
2019-03-05,35.7800,35.9900,35.2600,35.6100,35.6100,390885,0.0000,1.0000
2019-03-04,36.8300,37.1200,35.7300,36.1300,36.1300,419528,0.0000,1.0000
2019-03-01,35.4300,37.4400,35.4300,36.4800,36.4800,358646,0.0000,1.0000
2019-02-28,34.7400,36.1500,34.0500,35.4600,35.4600,549643,0.0000,1.0000
2019-02-27,35.0200,35.2500,34.1450,34.6900,34.6900,97067,0.0000,1.0000
2019-02-26,32.8000,35.2500,32.8000,35.2500,35.2500,752824,0.0000,1.0000
2019-02-25,33.3600,34.0600,32.7600,32.7900,32.7900,430923,0.0000,1.0000
2019-02-22,33.0200,33.9200,32.6700,33.0800,33.0800,442247,0.0000,1.0000
2019-02-21,34.1200,34.1200,33.3200,33.5500,33.5500,102047,0.0000,1.0000
2019-02-20,34.3900,34.7190,34.0300,34.1300,34.1300,144251,0.0000,1.0000
2019-02-19,34.4600,34.5800,34.0600,34.2800,34.2800,181876,0.0000,1.0000
2019-02-15,34.3000,34.9000,33.9550,34.6400,34.6400,122377,0.0000,1.0000
2019-02-14,33.8000,34.5000,33.8000,34.1600,34.1600,149260,0.0000,1.0000
2019-02-13,34.2100,34.4400,33.6600,33.9400,33.9400,166263,0.0000,1.0000
2019-02-12,33.7400,34.2400,33.5500,33.9900,33.9900,188726,0.0000,1.0000
2019-02-11,33.9700,34.0200,33.3800,33.5500,33.5500,146337,0.0000,1.0000
2019-02-08,33.0700,33.7100,33.0700,33.7100,33.7100,45096,0.0000,1.0000
2019-02-07,33.4300,33.6700,33.0900,33.2500,33.2500,94146,0.0000,1.0000
2019-02-06,33.7200,33.9000,33.5000,33.7500,33.7500,156146,0.0000,1.0000
2019-02-05,33.5100,33.9800,33.2450,33.7700,33.7700,137225,0.0000,1.0000
2019-02-04,32.6000,33.6200,32.5600,33.4000,33.4000,242973,0.0000,1.0000
2019-02-01,32.2800,32.9900,32.2350,32.8100,32.8100,201940,0.0000,1.0000
2019-01-31,32.0100,32.7600,32.0100,32.3800,32.3800,253796,0.0000,1.0000
2019-01-30,31.0400,32.5500,30.6100,32.3300,32.3300,225974,0.0000,1.0000
2019-01-29,30.8500,31.2400,30.5005,30.7100,30.7100,248904,0.0000,1.0000
2019-01-28,30.9400,31.1000,30.2800,30.8400,30.8400,139072,0.0000,1.0000
2019-01-25,31.1800,31.5200,30.9500,31.2500,31.2500,158239,0.0000,1.0000
2019-01-24,31.4800,31.7750,30.6950,30.8400,30.8400,207940,0.0000,1.0000
2019-01-23,31.8400,31.9800,30.8400,31.4500,31.4500,149302,0.0000,1.0000
2019-01-22,30.7400,31.5700,30.6400,31.5200,31.5200,258243,0.0000,1.0000
2019-01-18,31.2300,31.5701,30.8900,30.9300,30.9300,235974,0.0000,1.0000
2019-01-17,30.3200,31.2800,30.1900,31.1000,31.1000,194745,0.0000,1.0000
2019-01-16,29.8900,30.3000,29.6900,30.2500,30.2500,202562,0.0000,1.0000
2019-01-15,29.0200,29.7800,28.8200,29.7100,29.7100,154478,0.0000,1.0000
2019-01-14,28.9600,29.1300,28.5100,29.0100,29.0100,150255,0.0000,1.0000
2019-01-11,28.8100,29.2600,28.5000,29.2300,29.2300,109464,0.0000,1.0000
2019-01-10,28.8600,29.2350,28.5800,28.9500,28.9500,129554,0.0000,1.0000
2019-01-09,29.0600,29.2600,28.3700,29.0800,29.0800,118584,0.0000,1.0000
2019-01-08,27.8500,29.0300,27.6500,28.9900,28.9900,232138,0.0000,1.0000
2019-01-07,27.0100,28.0000,26.8700,27.8400,27.8400,176835,0.0000,1.0000
2019-01-04,26.1900,27.1700,25.7400,27.1100,27.1100,358918,0.0000,1.0000
2019-01-03,26.4300,27.1000,25.5400,25.6300,25.6300,185409,0.0000,1.0000
2019-01-02,27.0100,27.5500,26.4900,26.7600,26.7600,232440,0.0000,1.0000
2018-12-31,27.0300,27.8700,26.7500,27.5800,27.5800,145501,0.0000,1.0000
2018-12-28,27.4800,27.5300,26.4300,26.7400,26.7400,168879,0.0000,1.0000
2018-12-27,26.7000,27.3300,26.1900,27.1800,27.1800,201141,0.0000,1.0000
2018-12-26,25.6100,27.0800,25.4300,27.0600,27.0600,138284,0.0000,1.0000
2018-12-24,25.3300,26.2800,25.2800,25.5000,25.5000,115514,0.0000,1.0000
2018-12-21,27.4200,27.4200,25.5900,25.7300,25.7300,754309,0.0000,1.0000
2018-12-20,27.6100,28.3300,26.2300,27.3200,27.3200,207949,0.0000,1.0000
2018-12-19,27.2000,28.9700,27.1700,27.6200,27.6200,365375,0.0000,1.0000
2018-12-18,27.7300,28.1500,27.1300,27.1700,27.1700,224769,0.0000,1.0000
2018-12-17,27.1900,28.0500,26.4416,27.2900,27.2900,236193,0.0000,1.0000
2018-12-14,28.5500,28.8400,27.3500,27.4000,27.4000,298918,0.0000,1.0000
2018-12-13,29.7600,30.0100,29.0200,29.0900,29.0900,110377,0.0000,1.0000
2018-12-12,29.4400,30.3400,28.9600,29.5300,29.5300,320327,0.0000,1.0000
2018-12-11,30.0700,30.3700,28.7600,28.8400,28.8400,184381,0.0000,1.0000
2018-12-10,29.2300,30.0121,29.0900,29.6000,29.6000,209446,0.0000,1.0000
2018-12-07,30.5800,31.0600,29.0300,29.2600,29.2600,219169,0.0000,1.0000
2018-12-06,29.8200,31.0800,29.1000,30.5900,30.5900,317815,0.0000,1.0000
2018-12-04,32.7800,33.1000,30.2800,30.3900,30.3900,582918,0.0000,1.0000
2018-12-03,32.9300,33.9100,32.5850,32.9900,32.9900,439550,0.0000,1.0000
2018-11-30,31.5700,32.4400,31.3000,32.3100,32.3100,370554,0.0000,1.0000
2018-11-29,30.9300,31.7850,30.2400,31.3200,31.3200,206689,0.0000,1.0000
2018-11-28,29.2400,31.0300,29.1775,30.9900,30.9900,210355,0.0000,1.0000
2018-11-27,29.0700,29.8400,28.5900,29.4700,29.4700,158692,0.0000,1.0000
2018-11-26,29.7500,30.1300,28.7400,29.4800,29.4800,265812,0.0000,1.0000
2018-11-23,28.9400,30.0600,28.9400,29.5000,29.5000,67730,0.0000,1.0000
2018-11-21,29.6500,30.2100,29.0984,29.4300,29.4300,181101,0.0000,1.0000
2018-11-20,28.7500,30.3300,28.4824,29.1300,29.1300,268917,0.0000,1.0000
2018-11-19,32.8100,33.0100,29.8400,29.8500,29.8500,269873,0.0000,1.0000
2018-11-16,32.9600,33.5500,32.5000,33.1700,33.1700,239141,0.0000,1.0000
2018-11-15,32.2400,33.5500,32.2100,33.3700,33.3700,288822,0.0000,1.0000
2018-11-14,32.8000,33.5600,31.9100,32.1800,32.1800,153658,0.0000,1.0000
2018-11-13,32.4400,33.5900,32.4400,32.6300,32.6300,261297,0.0000,1.0000
2018-11-12,32.1500,32.9700,31.9200,32.3000,32.3000,224894,0.0000,1.0000
2018-11-09,34.2500,34.8511,31.0200,32.1200,32.1200,533242,0.0000,1.0000
2018-11-08,33.3500,33.6900,32.6300,33.6200,33.6200,573244,0.0000,1.0000
2018-11-07,32.2900,34.5700,32.2900,33.6100,33.6100,238790,0.0000,1.0000
2018-11-06,30.5300,32.4800,30.5000,31.9200,31.9200,664433,0.0000,1.0000
2018-11-05,37.9000,37.9000,30.1600,30.7000,30.7000,2070300,0.0000,1.0000
2018-11-02,37.8900,38.5850,37.3000,37.9000,37.9000,226977,0.0000,1.0000
2018-11-01,38.4000,39.0700,37.6000,37.6800,37.6800,229980,0.0000,1.0000
2018-10-31,37.5800,38.5500,37.3780,38.1400,38.1400,200814,0.0000,1.0000
2018-10-30,36.5100,37.4300,36.1140,36.9700,36.9700,274193,0.0000,1.0000
2018-10-29,37.5300,38.2300,36.2200,36.6500,36.6500,343728,0.0000,1.0000
2018-10-26,36.3100,37.4500,35.3542,36.8300,36.8300,450482,0.0000,1.0000
2018-10-25,35.3200,37.1600,35.3200,37.0600,37.0600,444895,0.0000,1.0000
2018-10-24,36.7300,37.4000,35.2100,35.2600,35.2600,347817,0.0000,1.0000
2018-10-23,36.0600,36.9700,35.4600,36.8000,36.8000,310416,0.0000,1.0000
2018-10-22,35.8500,37.4000,35.7200,36.7900,36.7900,244015,0.0000,1.0000
2018-10-19,36.3300,36.7300,35.4900,35.8600,35.8600,682363,0.0000,1.0000
2018-10-18,35.9800,36.4500,35.3000,36.4300,36.4300,388196,0.0000,1.0000
2018-10-17,35.6000,36.0900,34.7900,36.0000,36.0000,161261,0.0000,1.0000
2018-10-16,34.6700,35.7000,33.9900,35.2300,35.2300,329677,0.0000,1.0000
2018-10-15,34.9000,34.9400,33.9000,34.1200,34.1200,255954,0.0000,1.0000
2018-10-12,34.2900,35.0000,34.2900,34.9400,34.9400,461772,0.0000,1.0000
2018-10-11,35.4900,37.2900,33.8800,33.9300,33.9300,502601,0.0000,1.0000
2018-10-10,39.8900,40.0000,35.6300,35.7000,35.7000,530100,0.0000,1.0000
2018-10-09,40.6800,41.4500,39.6800,39.9100,39.9100,293777,0.0000,1.0000
2018-10-08,41.7000,41.7000,40.2550,40.8800,40.8800,327310,0.0000,1.0000
2018-10-05,41.5200,42.0366,41.0201,41.6900,41.6900,317791,0.0000,1.0000
2018-10-04,41.8100,41.8100,41.0000,41.6100,41.6100,168147,0.0000,1.0000
2018-10-03,42.0200,42.1700,41.4700,42.0400,42.0400,314105,0.0000,1.0000
2018-10-02,42.7500,43.3400,41.6200,41.9600,41.9600,170446,0.0000,1.0000
2018-10-01,43.6000,43.9900,42.6000,42.7500,42.7500,338825,0.0000,1.0000
2018-09-28,42.2100,43.5400,42.0500,43.4500,43.4500,289321,0.0000,1.0000
2018-09-27,42.2800,43.6600,42.1120,42.2100,42.2100,289374,0.0000,1.0000
2018-09-26,42.1500,42.4700,41.8100,41.9700,41.9700,215833,0.0000,1.0000
2018-09-25,41.3600,42.4000,41.3600,41.9500,41.9500,295205,0.0000,1.0000
2018-09-24,40.6100,41.4500,40.4841,41.2800,41.2800,314234,0.0000,1.0000
2018-09-21,39.9200,41.0200,39.8900,40.9000,40.9000,1063590,0.0000,1.0000
2018-09-20,39.8300,40.4200,39.6000,39.9600,39.9600,415562,0.0000,1.0000
2018-09-19,39.8000,39.9100,38.2410,39.5000,39.5000,326320,0.0000,1.0000
2018-09-18,38.8600,40.3900,38.8600,39.8300,39.8300,503803,0.0000,1.0000
2018-09-17,39.6300,40.4700,38.3700,38.6300,38.6300,414988,0.0000,1.0000
2018-09-14,39.9800,40.4900,39.4473,39.9800,39.9800,263459,0.0000,1.0000
2018-09-13,40.6400,41.0800,39.8000,39.9800,39.9800,278229,0.0000,1.0000
2018-09-12,40.9600,41.2100,39.6600,40.4000,40.4000,380758,0.0000,1.0000
2018-09-11,40.9000,41.3800,40.8400,41.0400,41.0400,157634,0.0000,1.0000
2018-09-10,40.7000,41.4950,40.0000,40.9600,40.9600,237060,0.0000,1.0000
2018-09-07,40.5200,41.6100,40.3100,40.4400,40.4400,250818,0.0000,1.0000
2018-09-06,40.8600,41.1000,39.9000,40.8800,40.8800,303515,0.0000,1.0000
2018-09-05,42.3600,42.3950,39.8200,40.9300,40.9300,352738,0.0000,1.0000
2018-09-04,41.9200,43.0600,41.8386,42.3500,42.3500,281935,0.0000,1.0000
2018-08-31,40.8200,41.8607,40.6900,41.7700,41.7700,381006,0.0000,1.0000
2018-08-30,41.1600,41.5000,40.6000,40.8700,40.8700,200420,0.0000,1.0000
2018-08-29,40.7700,41.4090,40.7700,41.3600,41.3600,148672,0.0000,1.0000
2018-08-28,41.1000,41.2800,40.0750,40.6400,40.6400,242916,0.0000,1.0000
2018-08-27,40.7500,41.6900,40.5000,40.9800,40.9800,322236,0.0000,1.0000
2018-08-24,40.2200,40.6900,39.8600,40.5100,40.5100,318857,0.0000,1.0000
2018-08-23,40.0500,40.4400,39.8400,39.9000,39.9000,247269,0.0000,1.0000
2018-08-22,40.1000,40.7500,39.9600,40.0300,40.0300,200608,0.0000,1.0000
2018-08-21,40.2300,40.3700,39.6850,40.1400,40.1400,592213,0.0000,1.0000
2018-08-20,40.2500,40.8300,39.8600,40.2300,40.2300,367203,0.0000,1.0000
2018-08-17,39.7700,40.2500,39.0300,40.2000,40.2000,336354,0.0000,1.0000
2018-08-16,39.3700,40.2500,39.1100,39.8200,39.8200,403464,0.0000,1.0000
2018-08-15,39.6100,39.8000,39.0100,39.2600,39.2600,261795,0.0000,1.0000
2018-08-14,40.2500,40.2500,38.8100,39.6600,39.6600,404813,0.0000,1.0000
2018-08-13,38.6100,41.8100,38.6100,39.4300,39.4300,763990,0.0000,1.0000
2018-08-10,37.5000,39.1965,36.5000,38.0400,38.0400,1038019,0.0000,1.0000
2018-08-09,35.3900,37.1000,34.7300,36.5400,36.5400,720822,0.0000,1.0000
2018-08-08,34.8100,35.6000,34.7316,35.2600,35.2600,182287,0.0000,1.0000
2018-08-07,35.9400,36.4700,34.8350,34.9500,34.9500,384331,0.0000,1.0000
2018-08-06,35.2500,36.2400,35.1000,35.9300,35.9300,311300,0.0000,1.0000
2018-08-03,35.5400,36.3500,34.8800,35.3000,35.3000,177715,0.0000,1.0000
2018-08-02,34.6600,35.7400,34.6600,35.4900,35.4900,202237,0.0000,1.0000
2018-08-01,35.1800,35.9800,34.6900,34.8800,34.8800,282911,0.0000,1.0000
2018-07-31,35.0900,35.5500,34.5600,35.1000,35.1000,124831,0.0000,1.0000
2018-07-30,35.6100,35.6100,34.2232,34.8800,34.8800,352731,0.0000,1.0000
2018-07-27,36.4900,36.4900,35.4300,35.6000,35.6000,132798,0.0000,1.0000
