timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,166.5700,166.9500,165.2200,166.6400,166.6400,795670,0.0000,1.0000
2019-03-22,166.1100,167.6800,165.9100,166.3100,166.3100,822720,0.0000,1.0000
2019-03-21,165.6300,168.5900,165.3300,168.2000,168.2000,784756,0.0000,1.0000
2019-03-20,167.5200,167.9700,165.6700,165.7100,165.7100,716233,0.0000,1.0000
2019-03-19,169.2000,169.4700,167.7400,167.9600,167.9600,702530,0.0000,1.0000
2019-03-18,170.0000,170.7200,168.8100,169.2000,169.2000,825856,0.0000,1.0000
2019-03-15,168.7200,170.2700,167.9500,170.0000,170.0000,1828856,0.0000,1.0000
2019-03-14,167.2600,169.2500,167.0600,168.5800,168.5800,833407,0.0000,1.0000
2019-03-13,166.7500,168.4500,166.6600,167.0900,167.0900,818314,0.0000,1.0000
2019-03-12,164.8700,167.0100,164.4400,166.4800,166.4800,959485,0.0000,1.0000
2019-03-11,162.7900,164.7400,162.6600,164.7100,164.7100,1064273,0.0000,1.0000
2019-03-08,161.5900,162.1700,160.2900,162.0400,162.0400,934736,0.0000,1.0000
2019-03-07,163.4000,163.9900,161.7500,162.5500,162.5500,1644263,0.0000,1.0000
2019-03-06,166.5200,166.5600,163.3100,164.0000,164.0000,2534206,0.0000,1.0000
2019-03-05,171.3200,172.6900,156.0900,157.2500,157.2500,6699627,0.0000,1.0000
2019-03-04,171.9900,172.3500,169.7500,170.6300,170.6300,1663355,0.0000,1.0000
2019-03-01,172.7500,172.9100,170.8800,171.6500,171.6500,899809,0.0000,1.0000
2019-02-28,171.1000,172.3000,170.6600,171.5300,171.5300,1205627,0.0000,1.0000
2019-02-27,170.6800,171.4400,170.1700,171.1900,171.1900,662024,0.0000,1.0000
2019-02-26,170.9500,172.1000,170.6300,171.3500,171.3500,993361,0.0000,1.0000
2019-02-25,172.2800,173.2200,170.9900,171.1700,171.1700,982529,0.0000,1.0000
2019-02-22,172.4600,172.6550,171.3800,172.0600,172.0600,998066,0.0000,1.0000
2019-02-21,172.9300,173.3350,171.9500,172.4000,172.4000,929222,0.0000,1.0000
2019-02-20,172.7400,173.3200,171.6600,172.8000,172.8000,1005034,0.0000,1.0000
2019-02-19,171.3100,173.5300,170.8875,172.6600,172.6600,1080531,0.0000,1.0000
2019-02-15,171.4500,172.1000,170.2900,171.9700,171.9700,1257910,0.0000,1.0000
2019-02-14,171.6000,172.1300,169.5800,169.6200,169.6200,961082,0.0000,1.0000
2019-02-13,171.5800,173.0900,171.2400,172.9600,172.9600,1073093,0.0000,1.0000
2019-02-12,171.6100,172.1800,170.4200,171.2800,171.2800,1101283,0.0000,1.0000
2019-02-11,168.7300,170.8200,168.2600,170.7600,170.7600,1103024,0.0000,1.0000
2019-02-08,166.4800,168.1700,166.3900,168.1700,168.1700,847908,0.0000,1.0000
2019-02-07,167.2700,167.6300,164.6900,166.8800,166.8800,1060447,0.0000,1.0000
2019-02-06,168.2600,168.7500,166.6700,168.3500,168.3500,1175480,0.0000,1.0000
2019-02-05,167.3200,168.9800,166.3700,168.7500,168.7500,1114542,0.0000,1.0000
2019-02-04,168.5000,168.5000,165.1600,166.8000,166.8000,1771274,0.0000,1.0000
2019-02-01,157.8100,168.4900,157.5400,167.4600,167.4600,3265100,0.0000,1.0000
2019-01-31,153.7600,157.8800,153.1700,156.2300,156.2300,1879121,0.4000,1.0000
2019-01-30,152.6600,154.7500,152.4500,154.5000,154.1054,2153738,0.0000,1.0000
2019-01-29,153.2700,153.7050,151.6500,152.4000,152.0108,978504,0.0000,1.0000
2019-01-28,153.4600,153.9399,152.1700,153.6700,153.2776,835976,0.0000,1.0000
2019-01-25,154.6200,155.7300,153.7100,154.3900,153.9957,706337,0.0000,1.0000
2019-01-24,153.8500,154.6000,152.9900,153.9100,153.5169,998339,0.0000,1.0000
2019-01-23,154.0000,154.7500,152.4850,154.0600,153.6666,724162,0.0000,1.0000
2019-01-22,154.0700,155.2600,152.6800,153.7000,153.3075,759143,0.0000,1.0000
2019-01-18,153.0600,154.7000,152.6700,154.4100,154.0157,839795,0.0000,1.0000
2019-01-17,150.3600,152.8900,150.3600,152.5000,152.1105,800068,0.0000,1.0000
2019-01-16,149.8300,151.4800,148.7500,150.9900,150.6044,923034,0.0000,1.0000
2019-01-15,147.6300,149.7100,147.2000,149.6800,149.2977,832709,0.0000,1.0000
2019-01-14,146.3300,147.8900,146.3300,147.6100,147.2330,808728,0.0000,1.0000
2019-01-11,146.5700,147.2900,145.1500,147.2500,146.8740,963246,0.0000,1.0000
2019-01-10,145.0900,147.9200,144.4000,147.6300,147.2530,931996,0.0000,1.0000
2019-01-09,145.5300,147.5400,144.7900,145.1300,144.7594,1428276,0.0000,1.0000
2019-01-08,144.2100,145.0600,141.8800,144.9200,144.5499,1277249,0.0000,1.0000
2019-01-07,143.8900,146.1300,143.4900,144.2300,143.8617,926538,0.0000,1.0000
2019-01-04,143.1400,144.7600,141.8000,144.5500,144.1808,1882846,0.0000,1.0000
2019-01-03,143.3100,144.0700,141.6300,141.8800,141.5177,1027366,0.0000,1.0000
2019-01-02,143.5800,144.5600,142.7500,144.0400,143.6722,961644,0.0000,1.0000
2018-12-31,144.2400,145.6500,143.6800,145.3600,144.9888,741718,0.0000,1.0000
2018-12-28,143.8500,145.1800,142.4800,143.7000,143.3330,841816,0.0000,1.0000
2018-12-27,138.6100,143.1400,138.0300,143.1300,142.7645,1444876,0.0000,1.0000
2018-12-26,138.4100,140.4950,135.3000,140.2900,139.9317,1081742,0.0000,1.0000
2018-12-24,140.8200,140.9850,137.4400,137.4400,137.0890,729528,0.0000,1.0000
2018-12-21,144.4900,146.5600,140.6400,141.2500,140.8893,3070748,0.0000,1.0000
2018-12-20,148.3400,149.0500,144.8600,145.7700,145.3977,1244422,0.0000,1.0000
2018-12-19,150.4700,152.1900,147.8700,148.3100,147.9312,1085960,0.0000,1.0000
2018-12-18,151.1300,152.4350,149.1900,150.3100,149.9261,853964,0.0000,1.0000
2018-12-17,153.6300,154.3600,149.7500,150.3700,149.9860,1155589,0.0000,1.0000
2018-12-14,155.1200,155.4780,153.1000,153.8300,153.4372,962906,0.0000,1.0000
2018-12-13,155.6100,156.2500,154.1300,156.1000,155.7014,984895,0.0000,1.0000
2018-12-12,157.8100,157.9900,155.3500,155.4000,155.0031,1057041,0.0000,1.0000
2018-12-11,159.2000,161.5600,154.9000,155.7500,155.3522,820255,0.0000,1.0000
2018-12-10,158.9100,159.2700,155.6100,157.7300,157.3272,827901,0.0000,1.0000
2018-12-07,160.5800,162.0300,158.2100,158.7300,158.3246,770062,0.0000,1.0000
2018-12-06,159.6500,161.0500,156.2800,160.5600,160.1500,1096839,0.0000,1.0000
2018-12-04,164.7900,166.5500,162.3500,162.7200,162.3044,898795,0.0000,1.0000
2018-12-03,166.2100,166.4800,163.0100,164.9700,164.5487,988236,0.0000,1.0000
2018-11-30,163.7400,165.9000,163.6400,165.1100,164.6883,2568182,0.0000,1.0000
2018-11-29,163.0900,164.9550,163.0700,163.6800,163.2620,758329,0.0000,1.0000
2018-11-28,161.0700,164.3600,161.0700,163.9900,163.5712,1001636,0.0000,1.0000
2018-11-27,161.3600,162.4400,159.8400,161.4800,161.0676,846838,0.0000,1.0000
2018-11-26,162.2800,162.8100,160.8393,162.0100,161.5963,868020,0.0000,1.0000
2018-11-23,160.2400,162.4500,160.0200,161.2500,160.8382,448035,0.0000,1.0000
2018-11-21,161.9900,163.3200,161.0600,161.0700,160.6587,832469,0.0000,1.0000
2018-11-20,164.0000,164.2300,161.0900,161.6700,161.2571,1063380,0.0000,1.0000
2018-11-19,164.1700,166.4100,163.5800,165.5800,165.1571,921093,0.0000,1.0000
2018-11-16,162.2200,164.6400,161.8100,164.0500,163.6311,959091,0.0000,1.0000
2018-11-15,160.5800,163.6600,160.1500,163.0600,162.6436,924800,0.0000,1.0000
2018-11-14,164.5600,164.5600,160.5250,162.0200,161.6062,977924,0.0000,1.0000
2018-11-13,162.7700,164.8100,162.3300,163.3000,162.8830,957221,0.0000,1.0000
2018-11-12,164.7900,164.9000,162.6400,162.8900,162.4740,1151970,0.0000,1.0000
2018-11-09,164.6200,165.4300,163.8900,164.5400,164.1198,911284,0.0000,1.0000
2018-11-08,162.7100,164.8600,162.7100,164.8300,164.4091,1133047,0.0000,1.0000
2018-11-07,160.0000,163.3200,159.8100,163.0500,162.6336,1085237,0.0000,1.0000
2018-11-06,158.1600,159.6600,157.9550,159.5900,159.1824,902011,0.0000,1.0000
2018-11-05,156.4500,158.7200,155.9500,158.1800,157.7760,591575,0.0000,1.0000
2018-11-02,156.9500,157.6100,154.1700,156.1800,155.7811,739644,0.0000,1.0000
2018-11-01,156.0900,156.3200,154.0300,155.7000,155.3024,941147,0.0000,1.0000
2018-10-31,159.6400,159.7200,156.0800,156.1800,155.7811,1551680,0.4000,1.0000
2018-10-30,156.5500,159.1300,154.6000,158.7000,157.8903,2344850,0.0000,1.0000
2018-10-29,155.0000,157.2400,153.7050,155.1900,154.3982,1712792,0.0000,1.0000
2018-10-26,152.0000,153.9700,149.6300,152.3100,151.5329,2578246,0.0000,1.0000
2018-10-25,147.2700,150.8300,146.9600,149.9800,149.2148,1427924,0.0000,1.0000
2018-10-24,149.0500,149.3400,146.0300,146.3000,145.5536,857525,0.0000,1.0000
2018-10-23,149.8400,150.2967,147.8236,149.5100,148.7472,658369,0.0000,1.0000
2018-10-22,151.4800,152.0400,151.0300,151.4400,150.6674,805715,0.0000,1.0000
2018-10-19,149.5400,152.0800,149.4200,151.1000,150.3291,736962,0.0000,1.0000
2018-10-18,150.3300,151.4450,148.6900,149.5100,148.7472,468360,0.0000,1.0000
2018-10-17,149.9700,151.2500,149.2100,150.4600,149.6924,775016,0.0000,1.0000
2018-10-16,147.8300,149.9500,147.5000,149.8500,149.0855,635104,0.0000,1.0000
2018-10-15,147.6800,148.6168,147.0000,147.1800,146.4291,631862,0.0000,1.0000
2018-10-12,149.7300,150.2920,146.2300,147.8400,147.0857,1080624,0.0000,1.0000
2018-10-11,150.7400,152.0300,148.1500,148.2200,147.4638,1367341,0.0000,1.0000
2018-10-10,156.8100,157.0799,151.1100,151.1400,150.3689,1076857,0.0000,1.0000
2018-10-09,156.2600,157.5300,155.0900,157.1200,156.3184,647648,0.0000,1.0000
2018-10-08,155.2200,156.5000,154.9800,156.2100,155.4130,634715,0.0000,1.0000
2018-10-05,157.1700,157.9400,155.3100,155.5200,154.7266,1003506,0.0000,1.0000
2018-10-04,156.9800,157.9800,156.6300,157.4200,156.6169,892796,0.0000,1.0000
2018-10-03,156.5500,158.0000,156.3500,156.8900,156.0896,1441169,0.0000,1.0000
2018-10-02,155.7300,156.5800,154.8500,156.2500,155.4528,662300,0.0000,1.0000
2018-10-01,154.5400,155.2700,153.8608,154.8500,154.0600,475821,0.0000,1.0000
2018-09-28,155.0400,155.6100,153.6300,153.7800,152.9954,960219,0.0000,1.0000
2018-09-27,154.8100,158.7700,154.3400,155.6800,154.8857,849153,0.0000,1.0000
2018-09-26,155.8200,156.0000,154.2600,154.6400,153.8510,854770,0.0000,1.0000
2018-09-25,156.5000,156.8800,155.1400,155.8100,155.0151,1260410,0.0000,1.0000
2018-09-24,156.4500,156.4500,154.6700,155.1600,154.3684,1117491,0.0000,1.0000
2018-09-21,155.8500,156.7100,155.3100,156.4700,155.6717,1483523,0.0000,1.0000
2018-09-20,155.5000,155.5000,154.7600,155.1600,154.3684,904834,0.0000,1.0000
