timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,365.0000,371.2100,362.8900,370.4600,370.4600,7933741,0.0000,1.0000
2019-03-22,368.7900,369.8600,361.5250,362.1700,362.1700,10143922,0.0000,1.0000
2019-03-21,374.0400,377.0000,372.2300,372.7000,372.7000,6950985,0.0000,1.0000
2019-03-20,374.7000,380.8000,373.6800,376.1600,376.1600,8737593,0.0000,1.0000
2019-03-19,371.1400,378.7700,371.0100,373.4300,373.4300,9856108,0.0000,1.0000
2019-03-18,370.0000,373.0700,367.2000,372.2800,372.2800,13119208,0.0000,1.0000
2019-03-15,370.8800,385.7100,366.4500,378.9900,378.9900,26697712,0.0000,1.0000
2019-03-14,374.9900,380.3900,372.1000,373.3000,373.3000,13514057,0.0000,1.0000
2019-03-13,378.4300,381.7700,363.3300,377.1400,377.1400,32662252,0.0000,1.0000
2019-03-12,384.7050,390.0000,368.0000,375.4100,375.4100,36922592,0.0000,1.0000
2019-03-11,371.2700,402.6700,365.5500,400.0100,400.0100,34742186,0.0000,1.0000
2019-03-08,416.7700,423.4262,415.5000,422.5400,422.5400,3794945,0.0000,1.0000
2019-03-07,423.3600,427.7000,416.4400,422.5600,422.5600,4893598,0.0000,1.0000
2019-03-06,429.7000,432.0000,422.0800,424.4600,424.4600,4159385,0.0000,1.0000
2019-03-05,431.0400,433.8500,428.6435,430.1200,430.1200,2844273,0.0000,1.0000
2019-03-04,443.2200,444.5000,426.6300,432.6900,432.6900,5971042,0.0000,1.0000
2019-03-01,446.0100,446.0100,440.1900,440.6200,440.6200,5124178,0.0000,1.0000
2019-02-28,438.7000,441.4200,437.0800,439.9600,439.9600,5063147,0.0000,1.0000
2019-02-27,427.1700,436.3300,427.1500,435.4400,435.4400,4603847,0.0000,1.0000
2019-02-26,426.0000,429.0000,424.2500,426.7700,426.7700,2503684,0.0000,1.0000
2019-02-25,427.4900,429.9200,426.5200,426.8700,426.8700,3276050,0.0000,1.0000
2019-02-22,419.7000,424.4700,419.1400,424.0500,424.0500,3132298,0.0000,1.0000
2019-02-21,421.5800,422.4088,415.6766,417.5800,417.5800,2880474,0.0000,1.0000
2019-02-20,417.1400,421.8400,417.1100,421.5500,421.5500,3990102,0.0000,1.0000
2019-02-19,415.5000,417.9400,414.5400,416.2600,416.2600,3051459,0.0000,1.0000
2019-02-15,412.4800,418.0500,411.4300,417.9700,417.9700,4017338,0.0000,1.0000
2019-02-14,408.9300,412.2200,407.8000,409.8200,409.8200,2724260,0.0000,1.0000
2019-02-13,412.5200,412.7200,407.6700,410.5800,410.5800,3078692,0.0000,1.0000
2019-02-12,407.0000,411.2100,405.3950,410.7200,410.7200,3263321,0.0000,1.0000
2019-02-11,408.1000,409.8300,402.6900,403.9500,403.9500,3046932,0.0000,1.0000
2019-02-08,400.0000,404.9600,397.8000,404.9100,404.9100,4570946,0.0000,1.0000
2019-02-07,407.9300,410.3500,402.2900,405.1700,405.1700,5211412,2.0550,1.0000
2019-02-06,411.5100,413.8800,405.6600,411.1100,409.0354,5356025,0.0000,1.0000
2019-02-05,400.7500,410.7500,399.5500,410.1800,408.1101,7230380,0.0000,1.0000
2019-02-04,388.9700,397.0700,388.1200,397.0000,394.9966,4256562,0.0000,1.0000
2019-02-01,386.1100,392.8000,384.7263,387.4300,385.4749,5625749,0.0000,1.0000
2019-01-31,387.1600,388.9850,382.0800,385.6200,383.6740,6878455,0.0000,1.0000
2019-01-30,387.4000,391.9690,380.5000,387.7200,385.7634,12705305,0.0000,1.0000
2019-01-29,363.0700,367.7800,362.4100,364.9100,363.0685,3202652,0.0000,1.0000
2019-01-28,360.6500,363.1650,357.5000,362.9700,361.1383,3128884,0.0000,1.0000
2019-01-25,362.4900,366.9400,360.3300,364.2000,362.3621,3190425,0.0000,1.0000
2019-01-24,358.9100,363.1800,356.9000,358.2700,356.4620,2801392,0.0000,1.0000
2019-01-23,361.9100,362.1995,353.6700,358.6100,356.8003,2924874,0.0000,1.0000
2019-01-22,362.8600,364.1950,354.2300,357.9000,356.0939,4336541,0.0000,1.0000
2019-01-18,363.8800,367.3156,361.3200,364.7300,362.8894,4256505,0.0000,1.0000
2019-01-17,350.7500,363.8300,350.7300,359.0900,357.2779,4270365,0.0000,1.0000
2019-01-16,352.5000,355.0000,351.5600,352.0600,350.2834,2731082,0.0000,1.0000
2019-01-15,352.0000,353.3150,347.9800,352.2400,350.4625,2940908,0.0000,1.0000
2019-01-14,348.2000,352.8100,347.0100,350.3600,348.5920,2476367,0.0000,1.0000
2019-01-11,348.5600,354.3600,348.0900,352.9000,351.1191,3158852,0.0000,1.0000
2019-01-10,346.5100,353.4662,343.0000,352.6100,350.8306,5358117,0.0000,1.0000
2019-01-09,342.9600,347.2000,340.8669,343.8300,342.0949,4213870,0.0000,1.0000
2019-01-08,334.1100,341.2500,332.6500,340.5300,338.8116,4736472,0.0000,1.0000
2019-01-07,330.5200,330.6900,323.3500,328.1100,326.4542,4030280,0.0000,1.0000
2019-01-04,316.6900,328.4400,316.0800,327.0800,325.4294,4448759,0.0000,1.0000
2019-01-03,319.4900,319.7400,309.4000,310.9000,309.3311,5705567,0.0000,1.0000
2019-01-02,316.1900,323.9500,313.7100,323.8100,322.1759,3292204,0.0000,1.0000
2018-12-31,320.5000,323.6400,318.7500,322.5000,320.8726,3557691,0.0000,1.0000
2018-12-28,319.7400,321.5300,315.1500,316.3800,314.7834,3725171,0.0000,1.0000
2018-12-27,309.0400,317.1400,302.2400,317.1400,315.5396,4341113,0.0000,1.0000
2018-12-26,298.6100,314.0899,292.4704,313.9300,312.3458,4843401,0.0000,1.0000
2018-12-24,300.6500,303.0000,294.1600,294.1600,292.6756,3435304,0.0000,1.0000
2018-12-21,309.0900,314.9700,304.0100,304.5500,303.0131,7641721,0.0000,1.0000
2018-12-20,317.0000,321.8210,308.0000,313.0500,311.4702,5368592,0.0000,1.0000
2018-12-19,329.3300,333.4800,316.1000,319.5500,317.9374,4871468,0.0000,1.0000
2018-12-18,325.4600,332.0899,323.2000,328.0600,326.4045,5881140,0.0000,1.0000
2018-12-17,316.9100,327.2162,314.4400,316.1300,314.5347,4968366,0.0000,1.0000
2018-12-14,322.4500,323.9100,315.5600,318.7500,317.1415,3298436,0.0000,1.0000
2018-12-13,328.4000,328.7400,324.1730,325.4700,323.8276,2247706,0.0000,1.0000
2018-12-12,327.3800,331.9000,324.6600,326.6900,325.0414,3424818,0.0000,1.0000
2018-12-11,333.2500,334.4900,318.7518,322.0300,320.4049,3566436,0.0000,1.0000
2018-12-10,321.2700,327.2000,315.5100,326.3500,324.7031,4400518,0.0000,1.0000
2018-12-07,332.3500,337.6100,321.3900,323.2200,321.5889,4526264,0.0000,1.0000
2018-12-06,329.9900,333.6300,317.3000,331.9000,330.2251,9297449,0.0000,1.0000
2018-12-04,357.0000,358.3200,341.7400,342.5000,340.7716,5199096,0.0000,1.0000
2018-12-03,364.3100,369.0000,356.3700,359.9600,358.1435,6569067,0.0000,1.0000
2018-11-30,341.9400,347.5800,337.5000,346.7600,345.0101,5373981,0.0000,1.0000
2018-11-29,335.9700,343.2300,334.0600,342.5600,340.8313,5331919,0.0000,1.0000
2018-11-28,325.7200,334.0100,321.7300,333.5000,331.8170,6117572,0.0000,1.0000
2018-11-27,315.2800,318.5600,310.9600,318.0300,316.4251,2946391,0.0000,1.0000
2018-11-26,315.5600,318.5900,310.6600,316.3600,314.7635,3362345,0.0000,1.0000
2018-11-23,315.0000,317.0000,311.8710,312.3200,310.7439,1599381,0.0000,1.0000
2018-11-21,325.0700,326.8890,315.5650,317.3200,315.7187,4401044,0.0000,1.0000
2018-11-20,302.1000,322.1800,296.6100,317.7000,316.0968,6875884,0.0000,1.0000
2018-11-19,335.5500,336.0400,317.2000,320.9400,319.3204,6782767,0.0000,1.0000
2018-11-16,339.0000,340.1904,331.1600,335.9500,334.2547,4425161,0.0000,1.0000
2018-11-15,341.1200,347.9800,336.5100,341.5700,339.8463,4863046,0.0000,1.0000
2018-11-14,352.0900,355.8500,343.8900,344.7200,342.9804,3445838,0.0000,1.0000
2018-11-13,349.5500,355.3800,342.0400,349.5100,347.7463,4959999,0.0000,1.0000
2018-11-12,370.2100,370.4800,355.9900,357.0300,355.2283,3088654,0.0000,1.0000
2018-11-09,367.8300,371.0000,366.1200,369.3400,367.4762,2590303,0.0000,1.0000
2018-11-08,369.3300,373.7000,365.5500,370.7700,368.8990,2752001,1.7100,1.0000
2018-11-07,367.6400,372.8500,359.5000,372.0200,368.4434,4015255,0.0000,1.0000
2018-11-06,362.4100,368.4400,362.1100,366.4700,362.9467,2471898,0.0000,1.0000
2018-11-05,359.7600,363.2900,356.4800,361.9800,358.4999,2253943,0.0000,1.0000
2018-11-02,366.9700,371.5400,356.7600,357.7500,354.3106,4029826,0.0000,1.0000
2018-11-01,357.4700,364.5700,353.2000,363.0700,359.5794,3760650,0.0000,1.0000
2018-10-31,352.5100,363.4050,352.5100,354.8600,351.4484,4175570,0.0000,1.0000
