timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-12-29,331.2400,331.2400,331.2400,331.2400,331.2400,0,0.0000,1.0000
2017-12-28,333.4900,334.0300,331.2400,331.2400,331.2400,4655665,0.0000,1.0000
2017-12-27,333.2000,333.2900,332.5600,333.1900,333.1900,423705,0.0000,1.0000
2017-12-26,332.6000,333.4100,331.5750,333.4100,333.4100,608796,0.0000,1.0000
2017-12-22,331.5500,333.6700,330.6850,332.2800,332.2800,1423530,0.0000,1.0000
2017-12-21,333.0700,333.3900,331.4000,331.4000,331.4000,380905,0.0000,1.0000
2017-12-20,333.5000,334.3800,332.5000,332.5600,332.5600,440953,0.0000,1.0000
2017-12-19,334.1950,334.7100,333.0200,333.8300,333.8300,674388,0.0000,1.0000
2017-12-18,334.3900,335.0100,333.3600,333.8100,333.8100,665853,0.0000,1.0000
2017-12-15,332.9400,335.3400,332.3050,334.5000,334.5000,917796,0.0000,1.0000
2017-12-14,332.9600,333.2100,331.8500,332.1000,332.1000,577052,0.0000,1.0000
2017-12-13,332.0900,333.3800,331.9600,332.0000,332.0000,751406,0.0000,1.0000
2017-12-12,332.0000,333.3600,331.7900,332.0900,332.0900,500421,0.0000,1.0000
2017-12-11,332.0000,333.0000,331.6800,332.0600,332.0600,420800,0.0000,1.0000
2017-12-08,331.8800,333.1600,331.5200,332.8000,332.8000,900399,0.0000,1.0000
2017-12-07,331.5000,332.3400,331.2200,332.0700,332.0700,556545,0.2600,1.0000
2017-12-06,332.1000,333.4800,331.7800,332.1400,331.8801,811561,0.0000,1.0000
2017-12-05,332.5000,333.5100,332.0000,332.4900,332.2299,710068,0.0000,1.0000
2017-12-04,337.2500,337.2500,332.5100,332.5500,332.2898,343555,0.0000,1.0000
2017-12-01,336.3300,337.7300,334.8500,336.0600,335.7971,516992,0.0000,1.0000
2017-11-30,336.4700,337.5400,335.2600,335.9400,335.6772,1720636,0.0000,1.0000
2017-11-29,336.1600,337.0700,335.5800,336.8100,336.5465,773109,0.0000,1.0000
2017-11-28,336.5800,336.8400,335.5250,336.4300,336.1668,450017,0.0000,1.0000
2017-11-27,336.5000,337.1900,335.3300,335.9300,335.6672,534021,0.0000,1.0000
2017-11-24,335.0400,336.4400,334.9900,336.1100,335.8470,173948,0.0000,1.0000
2017-11-22,335.9500,336.1250,334.4500,335.1800,334.9178,551885,0.0000,1.0000
2017-11-21,334.1000,336.9800,334.1000,336.6600,336.3966,400862,0.0000,1.0000
2017-11-20,333.7200,334.3100,333.2900,333.2900,333.0292,589881,0.0000,1.0000
2017-11-17,332.7500,333.8450,332.7500,333.5600,333.2990,297237,0.0000,1.0000
2017-11-16,332.8500,334.2500,332.8500,334.2500,333.9885,295602,0.0000,1.0000
2017-11-15,332.6000,333.3100,332.1050,332.2600,332.0001,484350,0.0000,1.0000
