timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,32.0500,32.3300,31.6433,31.9200,31.9200,1789840,0.0000,1.0000
2019-03-22,32.7900,32.9500,31.7250,32.1000,32.1000,2817442,0.0000,1.0000
2019-03-21,32.8800,33.3700,32.5700,33.1800,33.1800,2606745,0.0000,1.0000
2019-03-20,33.5000,33.6000,32.9450,33.0000,33.0000,2888758,0.0000,1.0000
2019-03-19,33.8500,34.1500,33.4400,33.5900,33.5900,2123414,0.0000,1.0000
2019-03-18,33.5500,33.8950,33.4761,33.7000,33.7000,3078938,0.0000,1.0000
2019-03-15,32.4300,33.3500,32.4300,33.3200,33.3200,7741956,0.0000,1.0000
2019-03-14,32.6700,32.9000,32.4400,32.5000,32.5000,4463729,0.0000,1.0000
2019-03-13,32.6000,32.8400,32.3700,32.7700,32.7700,3126755,0.0000,1.0000
2019-03-12,32.3000,32.7000,32.2608,32.4600,32.4600,2324127,0.0000,1.0000
2019-03-11,31.5600,32.1500,31.5400,32.1400,32.1400,2042303,0.0000,1.0000
2019-03-08,31.0700,31.3600,30.8800,31.3300,31.3300,2709989,0.0000,1.0000
2019-03-07,31.8100,31.8250,31.1000,31.2400,31.2400,1972682,0.0000,1.0000
2019-03-06,32.1700,32.3000,31.7900,31.8700,31.8700,2393694,0.0000,1.0000
2019-03-05,32.4200,32.4500,32.0700,32.2200,32.2200,2342629,0.0000,1.0000
2019-03-04,32.7400,33.0000,32.1100,32.4500,32.4500,3306678,0.0000,1.0000
2019-03-01,32.8700,33.2299,32.6400,32.6700,32.6700,4118592,0.0000,1.0000
2019-02-28,32.8100,32.8273,32.5350,32.6100,32.6100,2711739,0.0000,1.0000
2019-02-27,32.7000,33.0500,32.4650,32.7700,32.7700,2366458,0.0000,1.0000
2019-02-26,32.4900,33.0700,32.2100,32.7500,32.7500,2183354,0.0000,1.0000
2019-02-25,32.9800,32.9900,32.4200,32.4800,32.4800,2253693,0.0000,1.0000
2019-02-22,32.3900,32.7400,32.3000,32.7300,32.7300,2124053,0.0000,1.0000
2019-02-21,32.5900,32.6600,32.1400,32.2400,32.2400,1999774,0.0000,1.0000
2019-02-20,32.2300,32.6450,32.1500,32.6200,32.6200,1666545,0.0000,1.0000
2019-02-19,32.2500,32.4100,32.1150,32.3300,32.3300,2063200,0.0000,1.0000
2019-02-15,31.9500,32.4850,31.8400,32.4500,32.4500,2665859,0.0000,1.0000
2019-02-14,31.3800,31.8000,31.0350,31.6700,31.6700,2567960,0.0000,1.0000
2019-02-13,31.3100,31.8300,31.2100,31.6200,31.6200,2975059,0.0000,1.0000
2019-02-12,30.8600,31.4000,30.7800,31.1500,31.1500,3071977,0.0000,1.0000
2019-02-11,30.1400,30.5800,30.0750,30.5500,30.5500,2450585,0.0000,1.0000
2019-02-08,30.2200,30.3200,29.4900,30.0200,30.0200,1906208,0.0000,1.0000
2019-02-07,30.2500,30.6500,29.9800,30.3500,30.3500,2564702,0.0000,1.0000
2019-02-06,30.3700,30.6200,30.2300,30.3300,30.3300,2138619,0.0000,1.0000
2019-02-05,30.1100,30.5100,30.0000,30.5100,30.5100,2618926,0.0000,1.0000
2019-02-04,29.6500,30.1150,29.6050,30.1000,30.1000,2468391,0.0000,1.0000
2019-02-01,29.6300,30.0500,29.5000,29.6300,29.6300,3007201,0.0000,1.0000
2019-01-31,28.7900,29.9000,28.5900,29.6100,29.6100,7725018,0.0000,1.0000
2019-01-30,30.5600,30.5600,28.7700,29.0900,29.0900,7381212,0.0000,1.0000
2019-01-29,31.8000,31.9300,31.1900,31.1900,31.1900,3287735,0.0000,1.0000
2019-01-28,31.3800,31.9300,31.3000,31.8300,31.8300,3017503,0.0000,1.0000
2019-01-25,31.5700,31.9100,31.5300,31.5900,31.5900,2488828,0.0000,1.0000
2019-01-24,30.9700,31.3750,30.9700,31.3300,31.3300,1821906,0.0000,1.0000
2019-01-23,31.4300,31.4500,30.7700,31.0600,31.0600,2425221,0.0000,1.0000
2019-01-22,31.2200,31.6450,31.1200,31.3400,31.3400,3715237,0.0000,1.0000
2019-01-18,31.3000,31.8750,31.1000,31.5400,31.5400,3536106,0.0000,1.0000
2019-01-17,30.6800,31.3600,30.5800,31.0700,31.0700,2609984,0.0000,1.0000
2019-01-16,30.8200,31.2350,30.7100,30.9900,30.9900,2310160,0.0000,1.0000
2019-01-15,30.2400,30.6700,30.0700,30.6600,30.6600,2530788,0.0000,1.0000
2019-01-14,29.9900,30.6850,29.9000,30.3400,30.3400,2766678,0.0000,1.0000
2019-01-11,29.8500,30.3400,29.6050,30.3300,30.3300,3490972,0.0000,1.0000
2019-01-10,30.1300,30.6200,30.0500,30.4700,30.4700,3605532,0.0000,1.0000
2019-01-09,30.6000,30.8500,30.1500,30.3200,30.3200,3435866,0.0000,1.0000
2019-01-08,30.4000,30.8200,30.0450,30.5900,30.5900,2885779,0.0000,1.0000
2019-01-07,30.1900,30.8700,30.0700,30.4100,30.4100,3055033,0.0000,1.0000
2019-01-04,29.7500,30.3200,29.5600,30.2600,30.2600,2964033,0.0000,1.0000
2019-01-03,29.6400,29.7450,29.1600,29.3000,29.3000,3306550,0.0000,1.0000
2019-01-02,29.3600,30.0600,29.2100,29.8500,29.8500,2670320,0.0000,1.0000
2018-12-31,29.2900,29.6700,29.1900,29.6600,29.6600,3174977,0.0000,1.0000
2018-12-28,29.1400,29.6050,28.9100,29.1700,29.1700,2918717,0.2600,1.0000
2018-12-27,28.4000,29.2400,28.3900,29.2300,28.9718,4215023,0.0000,1.0000
2018-12-26,27.8700,28.9400,27.3400,28.9400,28.6843,3077305,0.0000,1.0000
2018-12-24,28.1900,28.4750,27.7400,27.7600,27.5148,2198346,0.0000,1.0000
2018-12-21,28.6000,29.4500,28.3100,28.4000,28.1491,8636549,0.0000,1.0000
2018-12-20,28.9300,29.4600,28.5400,28.6100,28.3572,6417858,0.0000,1.0000
2018-12-19,29.9100,30.2200,28.9000,29.0900,28.8330,6902411,0.0000,1.0000
2018-12-18,31.2100,31.2100,29.8500,29.9600,29.6953,5540210,0.0000,1.0000
2018-12-17,31.3900,31.8100,29.8400,30.4900,30.2206,7091568,0.0000,1.0000
2018-12-14,31.5600,32.0900,31.2400,31.3700,31.0929,4235348,0.0000,1.0000
2018-12-13,32.0100,32.1100,31.3500,31.9100,31.6281,4722411,0.0000,1.0000
2018-12-12,32.0200,32.2950,31.3950,31.9800,31.6975,4364896,0.0000,1.0000
2018-12-11,32.5100,32.6400,31.3200,31.5400,31.2614,5998778,0.0000,1.0000
2018-12-10,32.0700,32.4300,31.1300,32.0500,31.7669,4829968,0.0000,1.0000
2018-12-07,32.4800,33.2000,32.0950,32.2400,31.9552,4374989,0.0000,1.0000
2018-12-06,32.6100,32.6700,31.1400,32.5300,32.2426,7148484,0.0000,1.0000
2018-12-04,34.1500,34.1600,33.1900,33.2700,32.9761,5349003,0.0000,1.0000
2018-12-03,34.3500,34.6450,33.9700,34.2700,33.9672,5017006,0.0000,1.0000
2018-11-30,33.4600,33.9100,33.3000,33.8900,33.5906,5921666,0.0000,1.0000
2018-11-29,33.2700,33.6550,33.2300,33.5000,33.2040,3298746,0.0000,1.0000
2018-11-28,33.3300,33.5500,32.6600,33.5400,33.2437,4245807,0.0000,1.0000
2018-11-27,33.2500,33.4400,33.0000,33.3900,33.0950,2966402,0.0000,1.0000
2018-11-26,32.9600,33.6600,32.8300,33.3400,33.0455,4653910,0.0000,1.0000
2018-11-23,32.0200,32.8800,31.9600,32.5800,32.2922,1730725,0.0000,1.0000
2018-11-21,31.9400,32.5600,31.8000,32.2700,31.9849,2845808,0.0000,1.0000
2018-11-20,31.9600,32.0800,31.5400,31.8800,31.5984,4583861,0.0000,1.0000
2018-11-19,31.9800,32.4400,31.8100,32.2200,31.9354,3638166,0.0000,1.0000
2018-11-16,31.3300,31.9950,31.2300,31.9300,31.6479,3329327,0.0000,1.0000
2018-11-15,30.4200,31.6650,30.3500,31.5800,31.3010,3914293,0.0000,1.0000
2018-11-14,31.2100,31.2700,30.3300,30.8100,30.5378,2897656,0.0000,1.0000
2018-11-13,31.0600,31.7200,30.8800,31.0900,30.8153,3235418,0.0000,1.0000
2018-11-12,30.7900,31.3200,30.7900,30.9600,30.6865,2910705,0.0000,1.0000
2018-11-09,31.2700,31.4000,30.4100,30.8700,30.5973,4202458,0.0000,1.0000
2018-11-08,31.3000,31.8400,31.3000,31.6400,31.3605,2280243,0.0000,1.0000
2018-11-07,31.4200,31.5400,30.6600,31.5200,31.2415,2201933,0.0000,1.0000
2018-11-06,30.8300,31.2400,30.7700,31.2300,30.9541,1650571,0.0000,1.0000
2018-11-05,30.6900,31.0700,30.5600,30.8200,30.5477,2267997,0.0000,1.0000
2018-11-02,31.2600,31.4000,30.4500,30.7000,30.4288,2290717,0.0000,1.0000
2018-11-01,30.7500,31.0600,30.6300,31.0000,30.7261,2911420,0.0000,1.0000
2018-10-31,31.1900,31.2700,30.4800,30.5000,30.2305,6249854,0.0000,1.0000
2018-10-30,29.7700,31.0100,29.7700,30.9800,30.7063,6576776,0.0000,1.0000
2018-10-29,29.7100,30.9100,29.2750,29.6300,29.3682,4649582,0.0000,1.0000
2018-10-26,29.0000,29.5400,28.6850,29.3100,29.0511,5585957,0.0000,1.0000
2018-10-25,28.6600,30.1100,28.2200,29.3400,29.0808,7980042,0.0000,1.0000
2018-10-24,28.8400,29.1800,28.2500,28.3300,28.0797,5721135,0.0000,1.0000
2018-10-23,28.5500,29.1400,28.2200,28.8400,28.5852,5466633,0.0000,1.0000
2018-10-22,29.3300,30.0000,29.0400,29.0400,28.7834,4026015,0.0000,1.0000
2018-10-19,29.1600,29.9100,29.0000,29.7600,29.4971,3249437,0.0000,1.0000
2018-10-18,29.8100,30.0700,29.0400,29.1600,28.9024,4308058,0.0000,1.0000
2018-10-17,29.4900,30.1200,29.4100,29.8900,29.6259,3503296,0.0000,1.0000
2018-10-16,29.2200,29.6400,28.7400,29.6000,29.3385,4208556,0.0000,1.0000
2018-10-15,28.5400,29.2600,28.3900,28.9500,28.6942,3438403,0.0000,1.0000
2018-10-12,29.0900,29.1900,28.1200,28.5400,28.2879,3700958,0.0000,1.0000
2018-10-11,29.4800,29.6900,28.5200,28.5400,28.2879,5700864,0.0000,1.0000
2018-10-10,30.5500,30.8300,29.5700,29.5900,29.3286,4568634,0.0000,1.0000
2018-10-09,30.8000,30.8800,30.3000,30.5600,30.2900,2846596,0.0000,1.0000
2018-10-08,30.3300,31.0100,30.3300,30.9400,30.6667,3071111,0.0000,1.0000
2018-10-05,30.6400,30.9800,30.3500,30.5300,30.2603,2096742,0.0000,1.0000
2018-10-04,30.3000,30.6500,30.2100,30.6200,30.3495,2542632,0.0000,1.0000
2018-10-03,30.6600,30.9100,30.2900,30.3200,30.0521,5276292,0.0000,1.0000
2018-10-02,30.5500,30.9100,30.2400,30.4900,30.2206,3969071,0.0000,1.0000
