timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,476.5100,482.9000,476.4100,482.5000,482.5000,375580,0.0000,1.0000
2019-05-02,479.5100,480.1700,471.4700,476.4100,476.4100,436131,0.0000,1.0000
2019-05-01,486.8400,487.4500,478.7050,479.1300,479.1300,488613,0.0000,1.0000
2019-04-30,479.7400,485.8500,477.5700,485.2400,485.2400,567635,0.0000,1.0000
2019-04-29,480.0000,481.5800,478.6100,479.8400,479.8400,366911,0.0000,1.0000
2019-04-26,475.1100,479.4600,471.8520,478.9800,478.9800,469042,0.0000,1.0000
2019-04-25,477.8900,480.4800,472.6100,474.4500,474.4500,598714,0.0000,1.0000
2019-04-24,474.0300,482.3700,472.6100,480.1700,480.1700,1008544,0.0000,1.0000
2019-04-23,464.0000,474.0300,463.9000,474.0300,474.0300,687385,0.0000,1.0000
2019-04-22,463.7500,465.6576,462.1500,464.0200,464.0200,432873,0.0000,1.0000
2019-04-18,468.7800,469.3700,465.6900,465.6900,465.6900,530369,0.0000,1.0000
2019-04-17,466.9800,468.7800,462.4200,467.4900,467.4900,628250,0.0000,1.0000
2019-04-16,453.1000,466.8900,453.0000,466.5400,466.5400,1030704,0.0000,1.0000
2019-04-15,456.3600,457.1000,449.7700,451.8600,451.8600,591033,0.0000,1.0000
2019-04-12,448.6900,457.3300,448.6900,454.3500,454.3500,628678,0.0000,1.0000
2019-04-11,445.0000,448.7500,442.8700,446.1100,446.1100,412742,0.0000,1.0000
2019-04-10,441.6000,442.9400,439.1700,442.7600,442.7600,402895,0.0000,1.0000
2019-04-09,445.4100,445.9400,438.5200,439.8100,439.8100,460873,0.0000,1.0000
2019-04-08,444.5400,447.6800,443.1000,446.1400,446.1400,398399,0.0000,1.0000
2019-04-05,443.1700,446.8300,440.6100,445.1000,445.1000,458386,0.0000,1.0000
2019-04-04,439.1700,442.7000,438.9169,441.8400,441.8400,375170,0.0000,1.0000
2019-04-03,439.2200,442.8000,437.3100,439.0700,439.0700,337841,0.0000,1.0000
2019-04-02,438.3900,440.1000,435.4700,436.4500,436.4500,423113,0.0000,1.0000
2019-04-01,431.5900,439.6400,429.4000,438.3900,438.3900,498932,0.0000,1.0000
2019-03-29,429.7100,432.0000,426.1900,427.3700,427.3700,455908,0.0000,1.0000
2019-03-28,421.4000,425.6400,420.2300,424.9700,424.9700,342714,0.0000,1.0000
2019-03-27,423.6000,425.5300,417.7100,419.6400,419.6400,425001,0.0000,1.0000
2019-03-26,420.5700,423.3100,418.9400,422.6700,422.6700,494947,0.0000,1.0000
2019-03-25,418.0000,419.5000,413.2950,415.4100,415.4100,411020,0.0000,1.0000
2019-03-22,426.5100,428.4300,415.1300,417.3600,417.3600,585339,0.0000,1.0000
2019-03-21,428.5900,433.7000,424.2000,430.3600,430.3600,472425,0.0000,1.0000
2019-03-20,434.2000,434.7000,427.5600,429.9200,429.9200,881646,0.0000,1.0000
2019-03-19,442.5500,443.3600,433.6500,434.5700,434.5700,948487,0.0000,1.0000
2019-03-18,436.0000,440.7500,435.9400,440.4800,440.4800,550707,0.0000,1.0000
2019-03-15,433.8300,438.8200,432.9330,433.5500,433.5500,1756866,0.0000,1.0000
2019-03-14,435.4600,435.4600,431.1100,433.6300,433.6300,501687,0.0000,1.0000
2019-03-13,430.3300,433.4000,426.5000,431.8400,431.8400,606702,0.0000,1.0000
2019-03-12,429.6300,431.0200,426.8800,427.8400,427.8400,504680,0.0000,1.0000
2019-03-11,424.0100,429.3900,422.9232,428.1000,428.1000,593087,0.0000,1.0000
2019-03-08,420.5700,421.8900,417.2100,421.3100,421.3100,587066,0.0000,1.0000
2019-03-07,434.4400,434.9800,420.5400,423.1900,423.1900,467435,0.0000,1.0000
2019-03-06,432.5200,434.0000,429.3850,429.8600,429.8600,272773,0.0000,1.0000
2019-03-05,434.2500,435.7100,431.1500,432.5200,432.5200,433502,3.3000,1.0000
2019-03-04,445.8900,447.0000,434.0550,437.3300,434.0186,686154,0.0000,1.0000
2019-03-01,447.5600,451.9180,442.1000,443.7700,440.4098,657238,0.0000,1.0000
2019-02-28,442.0100,444.7200,440.3900,443.2200,439.8640,512124,0.0000,1.0000
2019-02-27,440.1700,444.7000,438.8800,442.0100,438.6631,461092,0.0000,1.0000
2019-02-26,437.6700,443.0050,435.6900,440.5300,437.1943,472041,0.0000,1.0000
2019-02-25,439.2800,444.8000,438.0400,438.9300,435.6065,516304,0.0000,1.0000
2019-02-22,435.5200,436.9500,433.4500,436.7200,433.4132,400264,0.0000,1.0000
2019-02-21,436.6000,437.5900,432.8500,435.0200,431.7261,451887,0.0000,1.0000
2019-02-20,431.7800,437.4900,429.7700,437.2200,433.9094,563283,0.0000,1.0000
2019-02-19,428.4300,433.0000,428.1700,431.0700,427.8060,438014,0.0000,1.0000
2019-02-15,425.1900,432.6300,425.1900,431.9500,428.6793,600252,0.0000,1.0000
2019-02-14,424.4100,425.2700,417.9500,423.3800,420.1742,542539,0.0000,1.0000
2019-02-13,426.7000,433.7500,426.1000,427.4500,424.2134,803494,0.0000,1.0000
2019-02-12,416.1900,425.7500,415.4250,425.5100,422.2881,617426,0.0000,1.0000
2019-02-11,413.7500,414.8700,411.0000,412.7000,409.5751,595642,0.0000,1.0000
2019-02-08,412.1500,414.0450,406.1300,411.7600,408.6422,567035,0.0000,1.0000
2019-02-07,414.3500,417.8800,410.0100,415.0100,411.8676,469360,0.0000,1.0000
2019-02-06,418.4400,420.7800,415.0700,416.3900,413.2371,424661,0.0000,1.0000
2019-02-05,418.1200,419.1400,414.0500,417.5600,414.3983,523368,0.0000,1.0000
2019-02-04,416.5000,418.7400,413.1716,417.9800,414.8151,534750,0.0000,1.0000
2019-02-01,417.4400,417.5800,412.1200,416.8100,413.6539,585852,0.0000,1.0000
2019-01-31,406.2200,415.9600,406.2200,415.0800,411.9370,750070,0.0000,1.0000
2019-01-30,409.2000,410.9400,401.8207,408.3300,405.2382,869856,0.0000,1.0000
2019-01-29,411.5000,412.0000,406.2900,407.6200,404.5335,602780,0.0000,1.0000
2019-01-28,405.8500,407.8800,402.4000,405.3600,402.2906,640436,0.0000,1.0000
2019-01-25,411.2200,414.0700,409.1500,409.9500,406.8459,572987,0.0000,1.0000
2019-01-24,407.9100,411.3300,401.8017,406.5600,403.4816,838386,0.0000,1.0000
2019-01-23,413.0300,414.5691,403.7600,408.4800,405.3870,660154,0.0000,1.0000
2019-01-22,416.4100,419.2000,411.0900,413.6000,410.4682,905609,0.0000,1.0000
2019-01-18,417.0800,420.5600,413.5900,419.4500,416.2740,1031832,0.0000,1.0000
2019-01-17,411.0000,416.9400,403.6900,412.5200,409.3964,917150,0.0000,1.0000
2019-01-16,402.0900,421.8300,401.4250,413.0400,409.9125,1331488,0.0000,1.0000
2019-01-15,396.5500,401.1200,393.4000,400.7100,397.6759,846997,0.0000,1.0000
