timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,132.0000,132.0000,130.5500,131.1100,131.1100,828710,0.0000,1.0000
2019-03-22,132.9000,133.8600,131.4700,131.5100,131.5100,1092481,0.0000,1.0000
2019-03-21,131.4400,133.3800,131.4400,132.9100,132.9100,759838,0.0000,1.0000
2019-03-20,131.9900,132.9000,130.6500,131.8900,131.8900,859970,0.0000,1.0000
2019-03-19,132.9400,133.6300,131.7900,132.2400,132.2400,490760,0.0000,1.0000
2019-03-18,133.0600,133.8100,132.2600,132.8900,132.8900,714604,0.0000,1.0000
2019-03-15,134.9900,135.2600,132.4400,132.7400,132.7400,1458475,0.0000,1.0000
2019-03-14,134.8600,135.4900,134.4400,135.2700,135.2700,442444,0.0000,1.0000
2019-03-13,134.1200,135.4900,134.1200,135.0400,135.0400,590184,0.0000,1.0000
2019-03-12,133.5800,135.3599,133.4200,135.0000,135.0000,586008,0.0000,1.0000
2019-03-11,132.8600,133.4600,132.2000,133.2000,133.2000,720354,0.0000,1.0000
2019-03-08,132.1300,133.5400,131.6000,132.4300,132.4300,725274,0.0000,1.0000
2019-03-07,132.3600,133.7000,131.9400,132.4600,132.4600,1242475,0.0000,1.0000
2019-03-06,133.8600,134.0676,132.4900,132.5000,132.5000,519680,0.0000,1.0000
2019-03-05,132.0800,133.7800,132.0800,133.2900,133.2900,888787,0.0000,1.0000
2019-03-04,132.2100,132.8900,131.3500,132.3000,132.3000,877838,0.0000,1.0000
2019-03-01,132.8900,133.2600,131.2300,131.8300,131.8300,995702,0.0000,1.0000
2019-02-28,132.5000,134.8650,132.0600,132.6900,132.6900,883332,0.0000,1.0000
2019-02-27,133.2400,133.5400,131.3100,132.4000,132.4000,700984,0.0000,1.0000
2019-02-26,135.2300,135.2300,133.8900,134.0100,134.0100,475370,0.0000,1.0000
2019-02-25,136.1000,136.2200,134.5500,134.7300,134.7300,457891,0.0000,1.0000
2019-02-22,135.0000,135.9900,134.2300,135.6700,135.6700,453195,0.0000,1.0000
2019-02-21,133.3300,134.7300,132.0700,134.5600,134.5600,401160,0.0000,1.0000
2019-02-20,134.3500,134.3500,132.8100,133.8700,133.8700,425169,0.0000,1.0000
2019-02-19,133.5400,134.9200,133.2400,134.6100,134.6100,408212,0.0000,1.0000
2019-02-15,134.1300,134.2400,133.1300,133.6200,133.6200,661597,0.0000,1.0000
