timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,165.3800,165.3800,162.4507,163.7700,163.7700,1654394,0.0000,1.0000
2019-03-22,168.2600,168.6300,165.2300,166.0900,166.0900,1595621,0.0000,1.0000
2019-03-21,167.0000,169.7100,167.0000,168.8700,168.8700,1625007,0.0000,1.0000
2019-03-20,172.2000,173.4200,167.6700,167.8700,167.8700,2314709,0.0000,1.0000
2019-03-19,167.8800,173.4100,167.4600,172.7800,172.7800,3452239,0.0000,1.0000
2019-03-18,166.5500,167.9700,166.4500,167.1100,167.1100,1696426,0.0000,1.0000
2019-03-15,169.5000,170.6000,166.2300,166.4500,166.4500,3753316,0.0000,1.0000
2019-03-14,168.8400,171.0829,168.3100,169.5600,169.5600,3755179,0.0000,1.0000
2019-03-13,165.4800,169.6000,164.9500,168.0000,168.0000,2659948,0.0000,1.0000
2019-03-12,164.4700,166.8500,164.0500,164.3000,164.3000,1997757,0.0000,1.0000
2019-03-11,163.3100,164.9650,162.4400,163.6300,163.6300,2090911,0.0000,1.0000
2019-03-08,162.9500,165.7600,162.5500,163.1400,163.1400,2012146,0.0400,1.0000
2019-03-07,165.1100,165.9700,162.4200,163.8100,163.7698,3355850,0.0000,1.0000
2019-03-06,169.8200,169.9050,164.5300,164.9100,164.8696,2440623,0.0000,1.0000
2019-03-05,171.9100,172.6400,168.2300,170.1100,170.0683,3938129,0.0000,1.0000
2019-03-04,178.9800,179.9900,170.9300,171.6800,171.6379,3045931,0.0000,1.0000
2019-03-01,176.0000,180.3400,175.3650,178.2500,178.2063,3150371,0.0000,1.0000
2019-02-28,180.0800,180.9650,173.2400,174.4400,174.3972,5918875,0.0000,1.0000
2019-02-27,186.9500,187.3800,179.5009,180.7200,180.6757,4645659,0.0000,1.0000
2019-02-26,191.6200,191.6200,188.0500,188.1500,188.1039,1948169,0.0000,1.0000
2019-02-25,194.5600,195.5400,191.1700,191.6200,191.5730,1886364,0.0000,1.0000
2019-02-22,192.0200,194.3800,190.1400,193.7700,193.7225,1734085,0.0000,1.0000
2019-02-21,194.0000,194.9850,190.6300,191.8700,191.8230,1601112,0.0000,1.0000
2019-02-20,197.7400,197.9000,193.6700,194.1200,194.0724,3195834,0.0000,1.0000
2019-02-19,197.7400,199.1300,196.0400,198.2800,198.2314,3208170,0.0000,1.0000
2019-02-15,193.8500,198.1300,193.0101,197.8700,197.8215,2842723,0.0000,1.0000
2019-02-14,188.4500,192.3200,187.2900,192.2200,192.1729,2363103,0.0000,1.0000
2019-02-13,185.4800,189.3500,185.2501,188.8000,188.7537,2392093,0.0000,1.0000
2019-02-12,183.5600,186.3200,182.2200,185.1200,185.0746,2836892,0.0000,1.0000
2019-02-11,181.6100,183.0300,180.8800,182.8900,182.8452,3930338,0.0000,1.0000
2019-02-08,185.3300,185.6000,180.5000,181.3700,181.3255,3036072,0.0000,1.0000
2019-02-07,185.8800,186.8100,183.6000,185.9600,185.9144,2349247,0.0000,1.0000
2019-02-06,185.9000,188.0000,185.2200,187.4800,187.4340,2268229,0.0000,1.0000
2019-02-05,192.7300,193.2900,186.0100,186.4500,186.4043,4061139,0.0000,1.0000
2019-02-04,192.3300,193.3800,189.5300,192.0700,192.0229,3346330,0.0000,1.0000
2019-02-01,195.0000,199.3800,188.6100,194.0600,194.0124,5566739,0.0000,1.0000
2019-01-31,199.4800,202.0500,198.8600,199.8100,199.7610,2894902,0.0000,1.0000
2019-01-30,199.2500,200.2800,195.2650,199.8000,199.7510,2719613,0.0000,1.0000
2019-01-29,194.5100,198.4800,194.2900,198.3900,198.3414,1575310,0.0000,1.0000
2019-01-28,195.5600,195.8400,193.1100,195.0800,195.0322,1510140,0.0000,1.0000
2019-01-25,194.9400,196.8700,194.5300,196.2800,196.2319,1988819,0.0000,1.0000
2019-01-24,196.3900,197.4300,193.0400,193.0700,193.0227,1923347,0.0000,1.0000
2019-01-23,194.5000,197.7100,193.9500,196.9200,196.8717,2241646,0.0000,1.0000
2019-01-22,193.6400,195.4300,192.5000,193.0800,193.0327,3700984,0.0000,1.0000
2019-01-18,196.4500,197.9800,194.6200,194.8300,194.7822,2521372,0.0000,1.0000
2019-01-17,195.4100,196.7200,193.0900,194.5000,194.4523,2536671,0.0000,1.0000
2019-01-16,196.3900,198.3850,195.8300,196.7300,196.6818,2911006,0.0000,1.0000
2019-01-15,192.3400,197.3300,191.8500,196.5500,196.5018,2945972,0.0000,1.0000
2019-01-14,193.6800,194.5900,191.6800,192.0500,192.0029,2489914,0.0000,1.0000
2019-01-11,189.8600,194.8300,189.5500,194.6600,194.6123,3923729,0.0000,1.0000
2019-01-10,190.1300,191.9500,188.2100,191.7800,191.7330,2646272,0.0000,1.0000
2019-01-09,191.0700,191.0700,187.0900,190.3500,190.3033,4118497,0.0000,1.0000
2019-01-08,187.5200,190.2700,185.0100,189.9300,189.8834,3097278,0.0000,1.0000
2019-01-07,188.6000,189.6893,186.2800,186.5000,186.4543,2340749,0.0000,1.0000
2019-01-04,186.8900,191.1300,185.3000,188.6900,188.6437,2936176,0.0000,1.0000
2019-01-03,186.0000,188.7500,184.5100,185.5700,185.5245,3614663,0.0000,1.0000
2019-01-02,187.6900,188.9500,184.3000,187.1700,187.1241,3478175,0.0000,1.0000
2018-12-31,191.0700,191.9300,188.0100,189.9200,189.8734,2870998,0.0000,1.0000
2018-12-28,192.9400,194.2100,188.7364,190.6500,190.6033,2820263,0.0000,1.0000
2018-12-27,185.7500,192.7900,183.3850,192.7900,192.7427,4623604,0.0000,1.0000
2018-12-26,179.7400,187.9000,177.1900,187.6300,187.5840,5037146,0.0000,1.0000
2018-12-24,180.5000,181.4300,176.5200,178.0100,177.9664,2588964,0.0000,1.0000
2018-12-21,178.5400,187.2600,177.1100,181.3000,181.2556,7237877,0.0000,1.0000
2018-12-20,194.8100,194.8100,178.3000,179.8000,179.7559,8709006,0.0000,1.0000
2018-12-19,192.0400,201.1300,190.7000,193.3000,193.2526,4751839,0.0000,1.0000
2018-12-18,201.5200,202.3900,190.3200,192.0600,192.0129,3720127,0.0000,1.0000
2018-12-17,201.0000,202.8700,197.5450,198.6600,198.6113,3935149,0.0000,1.0000
2018-12-14,210.8400,211.5756,202.6590,205.3700,205.3197,3632223,0.0000,1.0000
2018-12-13,210.0200,213.7100,207.3500,211.9500,211.8980,3082332,0.0000,1.0000
2018-12-12,208.5300,211.1955,207.4141,207.6900,207.6391,2026635,0.0000,1.0000
2018-12-11,207.7300,210.1200,204.0600,205.9400,205.8895,1332285,0.0000,1.0000
2018-12-10,206.6300,207.4700,199.5250,206.0800,206.0295,2017949,0.0000,1.0000
