timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,84.7400,85.4500,84.2300,84.6600,84.6600,406324,0.0000,1.0000
2019-03-22,84.4900,85.4300,84.4900,84.6400,84.6400,543996,0.0000,1.0000
2019-03-21,83.7000,85.1200,83.5800,84.9100,84.9100,384246,0.0000,1.0000
2019-03-20,84.6600,85.3200,83.8800,84.0300,84.0300,562565,0.0000,1.0000
2019-03-19,85.7900,85.7900,84.1800,84.5800,84.5800,647391,0.5600,1.0000
2019-03-18,85.7400,86.2300,85.5100,85.9200,85.3549,524800,0.0000,1.0000
2019-03-15,85.3300,86.3800,85.1250,85.6200,85.0568,2022363,0.0000,1.0000
2019-03-14,85.1000,85.5200,84.6400,85.3200,84.7588,508384,0.0000,1.0000
2019-03-13,85.7500,86.0200,85.0000,85.0400,84.4807,619767,0.0000,1.0000
2019-03-12,85.6000,85.8499,85.4200,85.6900,85.1264,577211,0.0000,1.0000
2019-03-11,84.7200,85.6200,84.7200,85.4500,84.8880,577733,0.0000,1.0000
2019-03-08,84.1100,84.5700,83.0000,84.4900,83.9343,416294,0.0000,1.0000
2019-03-07,84.7700,84.8400,84.0700,84.5900,84.0336,571105,0.0000,1.0000
2019-03-06,85.5100,85.8300,84.6500,84.7600,84.2025,461135,0.0000,1.0000
2019-03-05,85.9800,86.4600,85.3400,85.5600,84.9972,421882,0.0000,1.0000
2019-03-04,87.1700,87.2800,85.2500,85.8000,85.2357,864371,0.0000,1.0000
2019-03-01,87.3500,87.4600,86.7400,86.9900,86.4178,572197,0.0000,1.0000
2019-02-28,86.2900,87.1600,85.8350,86.8200,86.2489,1059285,0.0000,1.0000
2019-02-27,85.6200,86.4800,85.4200,85.9900,85.4244,719192,0.0000,1.0000
2019-02-26,85.7400,86.1500,85.4900,85.6100,85.0469,599224,0.0000,1.0000
2019-02-25,86.3500,86.8600,85.6800,85.8600,85.2953,571616,0.0000,1.0000
2019-02-22,85.8400,86.2100,85.4000,86.1200,85.5536,573889,0.0000,1.0000
2019-02-21,86.0700,86.1500,85.1900,85.5400,84.9774,672572,0.0000,1.0000
2019-02-20,85.7700,85.9900,85.5100,85.9500,85.3847,530046,0.0000,1.0000
2019-02-19,85.3900,85.7800,84.9700,85.6100,85.0469,632727,0.0000,1.0000
2019-02-15,84.5000,85.5200,84.2500,85.4800,84.9178,665609,0.0000,1.0000
2019-02-14,84.1200,84.5500,83.5800,83.9900,83.4376,524098,0.0000,1.0000
2019-02-13,85.0300,85.5400,84.0400,84.5000,83.9442,582689,0.0000,1.0000
2019-02-12,84.5900,85.1200,84.4200,84.7200,84.1628,605076,0.0000,1.0000
2019-02-11,84.3000,84.4500,83.2200,84.0600,83.5071,957370,0.0000,1.0000
2019-02-08,83.8200,84.0500,83.1000,84.0200,83.4674,895616,0.0000,1.0000
2019-02-07,80.5300,85.9100,78.7500,84.3000,83.7455,1461361,0.0000,1.0000
2019-02-06,82.5200,82.5600,81.2500,81.8500,81.3116,936603,0.0000,1.0000
2019-02-05,82.5400,82.6200,81.6800,82.5800,82.0368,761629,0.0000,1.0000
2019-02-04,81.5200,82.4800,80.9600,82.4700,81.9276,766627,0.0000,1.0000
2019-02-01,81.1700,81.6200,80.3100,81.5600,81.0235,751469,0.0000,1.0000
2019-01-31,79.8800,81.4250,79.6900,81.1200,80.5864,3190486,0.0000,1.0000
2019-01-30,79.6900,80.5700,78.9000,80.1900,79.6626,718792,0.0000,1.0000
2019-01-29,79.1500,79.4800,78.5700,79.3900,78.8678,628060,0.0000,1.0000
2019-01-28,79.0500,79.3527,78.1400,78.9900,78.4705,457674,0.0000,1.0000
2019-01-25,79.7200,80.1300,79.1100,79.3500,78.8281,642867,0.0000,1.0000
2019-01-24,79.3300,79.6000,78.4700,79.1200,78.5996,431794,0.0000,1.0000
2019-01-23,79.3600,79.9000,78.6150,79.6600,79.1360,324184,0.0000,1.0000
2019-01-22,80.0500,81.1100,79.0800,79.5000,78.9771,842644,0.0000,1.0000
2019-01-18,78.6300,80.4100,78.1600,80.3500,79.8215,1396449,0.0000,1.0000
2019-01-17,77.5600,78.2100,77.5500,78.1800,77.6658,557973,0.0000,1.0000
2019-01-16,78.1200,78.2200,77.0800,77.9400,77.4274,738580,0.0000,1.0000
2019-01-15,77.8000,78.1400,77.1950,77.6400,77.1293,519940,0.0000,1.0000
2019-01-14,76.5600,77.7100,76.5100,77.6000,77.0896,553518,0.0000,1.0000
2019-01-11,76.9800,77.5300,76.6715,77.0500,76.5432,421094,0.0000,1.0000
2019-01-10,76.1100,77.3600,74.8100,77.3000,76.7916,479407,0.0000,1.0000
2019-01-09,75.9100,76.2900,75.3500,76.2400,75.7385,672474,0.0000,1.0000
2019-01-08,76.0400,76.0500,74.2600,75.4800,74.9835,653663,0.0000,1.0000
2019-01-07,75.6800,76.5200,75.3550,75.5500,75.0531,469952,0.0000,1.0000
2019-01-04,75.3900,76.2200,75.2600,75.8900,75.3908,483632,0.0000,1.0000
2019-01-03,75.4200,76.0000,74.2600,74.4000,73.9106,525744,0.0000,1.0000
2019-01-02,76.6000,76.6500,75.1900,75.6200,75.1226,671025,0.0000,1.0000
2018-12-31,77.0400,77.4500,76.5000,77.4200,76.9108,582285,0.0000,1.0000
2018-12-28,77.0500,77.5000,76.1803,76.6100,76.1061,575661,0.0000,1.0000
2018-12-27,74.4700,76.6000,73.8000,76.5400,76.0366,627237,0.0000,1.0000
2018-12-26,72.4900,75.4300,71.2100,75.3900,74.8941,837747,0.0000,1.0000
