timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,163.0800,164.8000,162.9200,164.1700,164.1700,1532478,0.0000,1.0000
2019-03-22,162.1500,164.4400,161.4000,163.3200,163.3200,2894911,0.0000,1.0000
2019-03-21,164.4500,165.5400,163.0200,164.3300,164.3300,1839746,0.0000,1.0000
2019-03-20,168.3900,168.6000,164.5800,164.7900,164.7900,2300404,0.0000,1.0000
2019-03-19,169.9400,170.8300,168.0000,168.7300,168.7300,1816432,0.0000,1.0000
2019-03-18,170.5800,171.3714,169.5100,169.8900,169.8900,1834028,0.0000,1.0000
2019-03-15,167.9500,170.9000,167.4300,170.1400,170.1400,2965793,0.0000,1.0000
2019-03-14,169.5000,169.6900,166.8800,168.4300,168.4300,2421810,0.0000,1.0000
2019-03-13,170.8900,171.8100,168.1100,169.6900,169.6900,2159181,0.0000,1.0000
2019-03-12,171.2700,171.5200,170.1100,170.3700,170.3700,2022831,0.0000,1.0000
2019-03-11,171.5200,172.7400,170.6000,170.8200,170.8200,1727532,0.0000,1.0000
2019-03-08,171.3700,171.9800,170.4500,171.5400,171.5400,1832963,0.0000,1.0000
2019-03-07,173.1900,173.7800,171.3900,172.5000,172.5000,2612358,0.7500,1.0000
2019-03-06,176.1700,176.6200,173.9600,174.2500,173.4957,1840072,0.0000,1.0000
2019-03-05,181.0100,181.8000,175.3200,175.9900,175.2281,2014072,0.0000,1.0000
2019-03-04,183.4100,183.6600,179.0700,180.3000,179.5195,2357414,0.0000,1.0000
2019-03-01,182.4500,183.9700,182.0100,182.5900,181.7996,1896617,0.0000,1.0000
2019-02-28,180.4500,183.1208,180.4300,181.9100,181.1225,2130899,0.0000,1.0000
2019-02-27,177.8500,180.2500,177.3200,179.8600,179.0814,1762270,0.0000,1.0000
2019-02-26,177.6000,179.4850,177.1200,178.1100,177.3390,1742524,0.0000,1.0000
2019-02-25,178.8300,180.4200,177.3500,177.4900,176.7216,1935860,0.0000,1.0000
2019-02-22,176.5100,178.1600,176.0800,178.0600,177.2892,1350094,0.0000,1.0000
2019-02-21,175.4100,176.5700,175.0400,176.4900,175.7260,1955127,0.0000,1.0000
2019-02-20,174.3000,175.7600,172.7600,175.5900,174.8299,2197669,0.0000,1.0000
2019-02-19,175.2600,176.5000,174.0800,174.3000,173.5455,1611083,0.0000,1.0000
2019-02-15,176.6000,177.8000,173.9000,175.4000,174.6407,3069592,0.0000,1.0000
2019-02-14,181.0000,181.0400,176.6225,177.4000,176.6320,2898320,0.0000,1.0000
2019-02-13,179.1700,181.4100,179.0083,180.4000,179.6190,2249507,0.0000,1.0000
2019-02-12,178.0300,180.6600,177.5500,178.9300,178.1554,1414765,0.0000,1.0000
2019-02-11,178.5500,179.1500,177.2000,177.3200,176.5524,1085983,0.0000,1.0000
2019-02-08,176.9500,179.1200,176.5100,178.2000,177.4286,1359989,0.0000,1.0000
2019-02-07,176.3600,177.2400,173.6950,177.2300,176.4628,1732208,0.0000,1.0000
2019-02-06,178.1400,178.6000,176.8100,177.7600,176.9905,1643281,0.0000,1.0000
2019-02-05,179.5800,180.1300,176.4800,178.7800,178.0061,2605305,0.0000,1.0000
2019-02-04,183.1400,183.7700,175.5818,181.5400,180.7541,2399203,0.0000,1.0000
2019-02-01,182.9800,185.2200,182.3000,183.4400,182.6459,1495930,0.0000,1.0000
2019-01-31,179.7300,182.5400,179.0300,182.2800,181.4909,1824157,0.0000,1.0000
2019-01-30,181.2600,182.8400,179.8100,180.3700,179.5892,1547310,0.0000,1.0000
2019-01-29,184.8100,185.0900,180.2400,181.1900,180.4056,1345421,0.0000,1.0000
2019-01-28,185.5200,186.4800,184.6000,184.9600,184.1593,1100724,0.0000,1.0000
2019-01-25,187.1500,188.0800,185.5200,185.9400,185.1351,1508530,0.0000,1.0000
2019-01-24,187.5700,187.5900,185.6500,186.3200,185.5134,1467062,0.0000,1.0000
2019-01-23,186.5400,188.0400,185.6050,187.8200,187.0069,1317440,0.0000,1.0000
2019-01-22,183.1700,186.9400,182.9352,186.3300,185.5234,1677539,0.0000,1.0000
2019-01-18,182.2600,184.0000,180.8100,183.4300,182.6359,1528308,0.0000,1.0000
2019-01-17,182.0300,182.9300,180.8400,181.2600,180.4753,1543410,0.0000,1.0000
