timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,155.5000,156.7400,155.3900,156.4500,156.4500,898297,0.0000,1.0000
2019-03-22,157.6400,157.8050,154.9400,155.6300,155.6300,1348382,0.0000,1.0000
2019-03-21,157.0900,159.2000,157.0900,158.6200,158.6200,711934,0.0000,1.0000
2019-03-20,159.4800,159.7739,156.3700,157.7600,157.7600,1462028,0.0000,1.0000
2019-03-19,161.2200,162.3400,159.5600,160.1100,160.1100,1498737,0.0000,1.0000
2019-03-18,157.7000,160.6100,157.5918,160.5500,160.5500,1340124,0.0000,1.0000
2019-03-15,157.1100,158.0900,156.5500,157.4100,157.4100,3532801,0.0000,1.0000
2019-03-14,156.7300,157.8300,156.3000,157.1100,157.1100,1707505,0.0000,1.0000
2019-03-13,159.0000,159.0000,156.6500,156.9600,156.9600,1798192,0.0000,1.0000
2019-03-12,158.4500,158.8897,157.2500,158.4200,158.4200,1924782,0.0000,1.0000
2019-03-11,154.5900,158.2400,154.1100,158.0400,158.0400,1606161,0.0000,1.0000
2019-03-08,152.7600,155.2000,152.7400,154.5700,154.5700,1402528,0.0000,1.0000
2019-03-07,153.9000,155.0800,151.8800,154.2900,154.2900,1333713,0.0000,1.0000
2019-03-06,154.4500,155.4200,153.8300,154.5200,154.5200,1070815,0.0000,1.0000
2019-03-05,154.4500,156.1800,154.4500,154.4900,154.4900,1032584,0.0000,1.0000
2019-03-04,155.5100,156.1300,153.3200,155.0400,155.0400,1142642,0.0000,1.0000
2019-03-01,155.2200,155.9050,153.7580,154.4100,154.4100,1496053,0.0000,1.0000
2019-02-28,154.9800,154.9800,153.7100,154.0900,154.0900,1002326,0.0000,1.0000
2019-02-27,155.7200,156.1800,154.0000,155.3600,155.3600,1132422,0.0000,1.0000
2019-02-26,154.8300,157.0400,154.0300,155.3100,155.3100,1664322,0.0000,1.0000
2019-02-25,156.9000,157.1700,155.2100,156.0800,156.0800,978808,0.0000,1.0000
2019-02-22,154.5600,156.2300,154.1200,155.4400,155.4400,1384318,0.0000,1.0000
2019-02-21,153.4900,155.3400,152.9700,154.0700,154.0700,1163924,1.1400,1.0000
2019-02-20,154.1100,155.8700,152.7900,155.3900,154.2487,1497882,0.0000,1.0000
2019-02-19,155.0800,155.3100,153.4600,153.6600,152.5314,1820195,0.0000,1.0000
2019-02-15,152.3200,155.5000,151.7400,155.4700,154.3281,1350223,0.0000,1.0000
2019-02-14,151.5800,152.4300,151.0000,151.3900,150.2781,810561,0.0000,1.0000
2019-02-13,152.4400,153.4700,151.4200,152.7100,151.5884,1137725,0.0000,1.0000
2019-02-12,149.1100,152.1600,148.9800,151.7900,150.6751,1129094,0.0000,1.0000
2019-02-11,148.1600,149.1100,147.4400,148.1800,147.0916,1272192,0.0000,1.0000
2019-02-08,148.4100,149.2600,146.5250,148.2800,147.1909,891161,0.0000,1.0000
2019-02-07,149.4100,150.7400,148.4000,149.6200,148.5211,1141638,0.0000,1.0000
2019-02-06,147.4700,150.9700,146.2400,149.3500,148.2530,2116542,0.0000,1.0000
2019-02-05,148.4800,149.9200,147.3250,149.8200,148.7196,1674774,0.0000,1.0000
2019-02-04,146.8800,148.8200,145.9100,148.7500,147.6574,1345743,0.0000,1.0000
