timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-11-26,141.7000,142.9800,141.0400,141.0400,141.0400,15441162,0.0000,1.0000
2018-11-23,139.9700,142.1300,139.9300,141.6300,141.6300,10534529,0.0000,1.0000
2018-11-21,130.5100,131.9900,129.5700,129.6800,129.6800,1205097,0.0000,1.0000
2018-11-20,129.4700,130.0700,128.7200,129.8500,129.8500,1221454,0.0000,1.0000
2018-11-19,132.4700,133.5200,130.2800,130.4000,130.4000,2707758,0.0000,1.0000
2018-11-16,133.2500,133.5000,131.1050,132.5000,132.5000,1729490,0.0000,1.0000
2018-11-15,131.0200,134.2200,130.8900,133.2800,133.2800,2360332,0.3300,1.0000
2018-11-14,131.7400,132.4000,131.0700,132.1000,131.7737,1706249,0.0000,1.0000
2018-11-13,130.2200,132.1900,130.1400,131.4800,131.1553,1196658,0.0000,1.0000
2018-11-12,133.4200,133.4200,130.1400,130.2500,129.9283,983037,0.0000,1.0000
2018-11-09,132.0300,133.3200,131.9800,133.2200,132.8910,1073604,0.0000,1.0000
2018-11-08,132.9000,133.2100,132.1700,132.5700,132.2426,1032847,0.0000,1.0000
2018-11-07,131.7400,133.2500,131.0600,132.9200,132.5917,2489972,0.0000,1.0000
2018-11-06,131.2000,131.6600,130.2300,131.2600,130.9358,1397433,0.0000,1.0000
2018-11-05,131.4900,131.7500,129.9800,131.2500,130.9258,1204134,0.0000,1.0000
2018-11-02,131.4800,132.4600,130.3700,131.5800,131.2550,1732267,0.0000,1.0000
2018-11-01,128.3000,130.9700,127.8700,130.3500,130.0281,2258617,0.0000,1.0000
2018-10-31,128.8900,129.2100,127.6000,128.0200,127.7038,1262118,0.0000,1.0000
2018-10-30,126.6700,128.3200,126.0650,128.2000,127.8834,1525499,0.0000,1.0000
2018-10-29,128.8900,129.8500,125.0400,126.4100,126.0978,2191875,0.0000,1.0000
2018-10-26,129.1400,129.3750,127.7400,128.2700,127.9532,1203525,0.0000,1.0000
2018-10-25,128.2900,130.1800,128.0100,129.2800,128.9607,1266543,0.0000,1.0000
