timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,290.8100,294.5800,290.5400,293.9100,293.9100,241126,0.0000,1.0000
2019-05-02,287.9100,291.0000,284.4800,290.8100,290.8100,277455,0.0000,1.0000
2019-05-01,289.7600,290.9200,286.4500,287.4000,287.4000,206443,0.0000,1.0000
2019-04-30,286.9400,290.7100,285.1200,289.9200,289.9200,312878,0.0000,1.0000
2019-04-29,288.1500,289.9900,285.3300,285.8900,285.8900,272320,0.0000,1.0000
2019-04-26,283.4500,288.4000,280.4300,288.3000,288.3000,352348,0.0000,1.0000
2019-04-25,281.0400,282.6550,279.4200,281.5000,281.5000,547865,0.0000,1.0000
2019-04-24,287.8300,288.3700,281.7500,282.4600,282.4600,363839,0.0000,1.0000
2019-04-23,285.5600,288.5900,284.0400,286.7400,286.7400,304042,0.0000,1.0000
2019-04-22,279.9500,286.8400,279.9500,284.3100,284.3100,318339,0.0000,1.0000
2019-04-18,280.4400,284.6300,278.7600,281.2200,281.2200,495475,0.0000,1.0000
2019-04-17,290.2700,290.2700,278.5000,279.2900,279.2900,417382,0.0000,1.0000
2019-04-16,296.6100,297.4450,287.2500,288.9800,288.9800,280548,0.0000,1.0000
2019-04-15,294.3800,295.9400,292.8706,295.6200,295.6200,222476,0.0000,1.0000
2019-04-12,292.0000,297.2200,291.5850,292.9400,292.9400,281001,0.0000,1.0000
2019-04-11,293.1100,293.1100,289.0700,291.8800,291.8800,299942,0.0000,1.0000
2019-04-10,290.1000,293.1800,288.3250,291.6800,291.6800,196259,0.0000,1.0000
2019-04-09,288.9500,292.7450,288.4100,289.4600,289.4600,398478,0.0000,1.0000
2019-04-08,289.1300,290.0400,284.5800,290.0300,290.0300,295846,0.0000,1.0000
2019-04-05,289.5900,291.5150,288.2350,289.4400,289.4400,721075,0.0000,1.0000
2019-04-04,297.0800,297.0800,289.4650,290.7300,290.7300,421465,0.0000,1.0000
2019-04-03,298.3700,299.3900,295.5500,297.0700,297.0700,365843,0.0000,1.0000
2019-04-02,296.4500,298.5000,292.1800,297.5900,297.5900,288119,0.0000,1.0000
2019-04-01,298.0000,302.3600,294.4700,295.8200,295.8200,366242,0.0000,1.0000
2019-03-29,295.3200,297.9400,292.8700,296.1700,296.1700,356492,0.0000,1.0000
2019-03-28,294.2200,295.6900,291.5050,294.9700,294.9700,256040,0.0000,1.0000
2019-03-27,294.1100,294.8100,290.9400,292.8500,292.8500,237114,0.0000,1.0000
2019-03-26,294.3100,297.0900,293.7900,294.1100,294.1100,364591,0.0000,1.0000
2019-03-25,292.4000,293.8400,289.9700,292.3100,292.3100,240150,0.0000,1.0000
2019-03-22,296.6300,297.6200,291.6000,291.7600,291.7600,271611,0.0000,1.0000
2019-03-21,290.7400,297.8800,290.7400,297.2500,297.2500,243791,0.0000,1.0000
2019-03-20,294.5000,294.5000,290.7600,291.2100,291.2100,318258,0.0000,1.0000
2019-03-19,292.7800,294.9350,289.8100,294.5800,294.5800,375327,0.0000,1.0000
2019-03-18,294.7500,296.3200,289.2300,293.1800,293.1800,381577,0.0000,1.0000
2019-03-15,294.7200,296.7600,293.7700,295.2300,295.2300,440235,0.0000,1.0000
2019-03-14,291.4700,295.3600,289.9600,294.8100,294.8100,429213,0.0000,1.0000
2019-03-13,293.6700,294.3900,290.2650,292.1100,292.1100,236175,0.0000,1.0000
2019-03-12,289.9100,293.6900,288.0100,292.9900,292.9900,331342,0.0000,1.0000
2019-03-11,288.4300,290.5150,287.6800,288.8100,288.8100,374907,0.0000,1.0000
2019-03-08,286.4900,290.9000,282.9300,288.1000,288.1000,392546,0.0000,1.0000
2019-03-07,283.9900,292.4600,283.0900,288.3900,288.3900,490325,0.0000,1.0000
2019-03-06,299.0000,299.0000,278.8500,282.7600,282.7600,1026966,0.0000,1.0000
2019-03-05,289.0200,291.1400,285.3700,290.2200,290.2200,514588,0.0000,1.0000
2019-03-04,291.3500,291.6700,283.9050,287.8500,287.8500,474300,0.0000,1.0000
2019-03-01,287.1800,292.1950,285.5400,290.6700,290.6700,884157,0.0000,1.0000
2019-02-28,287.2700,288.4500,285.6300,285.9900,285.9900,813484,0.0000,1.0000
2019-02-27,287.7400,289.1800,286.3350,287.0200,287.0200,588287,0.0000,1.0000
2019-02-26,294.4000,295.3550,288.2800,288.7500,288.7500,324596,0.0000,1.0000
2019-02-25,293.4300,295.0990,292.5500,294.6000,294.6000,265515,0.0000,1.0000
2019-02-22,286.6700,293.0000,284.6900,292.5900,292.5900,339300,0.0000,1.0000
2019-02-21,284.1200,287.9800,283.5400,286.3300,286.3300,289704,0.0000,1.0000
2019-02-20,282.8000,285.0900,282.4500,284.6200,284.6200,236730,0.0000,1.0000
2019-02-19,279.1300,283.6700,278.8800,283.4200,283.4200,308807,0.0000,1.0000
2019-02-15,278.3500,280.1900,274.7700,279.0700,279.0700,724599,0.0000,1.0000
2019-02-14,277.5800,277.9700,275.5200,276.0100,276.0100,267305,0.0000,1.0000
2019-02-13,279.0100,279.3875,274.6700,278.0000,278.0000,252330,0.0000,1.0000
2019-02-12,276.9800,278.6700,274.5000,278.0900,278.0900,225583,0.0000,1.0000
2019-02-11,277.5000,279.4900,274.6800,275.2300,275.2300,222346,0.0000,1.0000
2019-02-08,271.7700,276.1600,271.2350,276.0700,276.0700,214521,0.0000,1.0000
2019-02-07,274.4400,275.8800,270.5400,272.8200,272.8200,310580,0.0000,1.0000
2019-02-06,277.6700,278.6500,275.7100,276.4600,276.4600,244836,0.0000,1.0000
2019-02-05,278.2200,281.3000,276.7300,277.8500,277.8500,225291,0.0000,1.0000
2019-02-04,277.7400,278.7000,273.6000,277.2400,277.2400,336220,0.0000,1.0000
2019-02-01,281.9200,288.5100,277.0100,277.7200,277.7200,373358,0.0000,1.0000
2019-01-31,275.6400,279.7800,273.8350,278.7600,278.7600,474074,0.0000,1.0000
2019-01-30,273.8000,279.1500,272.5550,276.7500,276.7500,296632,0.0000,1.0000
2019-01-29,273.6700,275.5550,271.0800,273.7600,273.7600,202618,0.0000,1.0000
2019-01-28,274.0700,275.2500,271.9400,273.6400,273.6400,184163,0.0000,1.0000
2019-01-25,272.9400,275.8100,272.0800,275.6100,275.6100,268826,0.0000,1.0000
