timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,194.1200,197.3800,191.9100,197.0200,197.0200,1171606,0.0000,1.0000
2019-03-22,202.9100,204.0130,193.7548,194.5500,194.5500,1549630,0.0000,1.0000
2019-03-21,204.0000,208.4500,204.0000,208.1200,208.1200,838326,0.0000,1.0000
2019-03-20,207.2100,207.8900,204.6250,205.1900,205.1900,466769,0.0000,1.0000
2019-03-19,207.8800,208.3200,206.0000,206.5200,206.5200,420679,0.0000,1.0000
2019-03-18,205.9900,207.8900,205.6400,207.5400,207.5400,459917,0.0000,1.0000
2019-03-15,204.9100,207.1950,204.5400,205.5500,205.5500,1121815,0.0000,1.0000
2019-03-14,205.1100,205.5300,203.7300,204.8900,204.8900,683801,0.0000,1.0000
2019-03-13,204.7000,206.1400,204.1000,205.5200,205.5200,542974,0.0000,1.0000
2019-03-12,204.5100,204.9100,202.4700,204.0900,204.0900,486031,0.0000,1.0000
2019-03-11,201.7600,204.6400,199.9700,204.3200,204.3200,736242,0.0000,1.0000
2019-03-08,201.1000,201.7000,199.7025,201.3200,201.3200,473946,0.0000,1.0000
2019-03-07,203.1700,203.5000,200.1800,202.5300,202.5300,574751,0.0000,1.0000
2019-03-06,205.2000,205.8300,203.1600,203.2200,203.2200,436074,0.0000,1.0000
2019-03-05,206.9200,207.0700,205.3000,205.3700,205.3700,541079,0.0000,1.0000
2019-03-04,209.1200,209.6400,205.4850,206.5900,206.5900,382881,0.0000,1.0000
2019-03-01,208.0400,209.4500,206.5200,208.3500,208.3500,392220,0.0000,1.0000
2019-02-28,205.1200,207.3300,204.3450,206.6000,206.6000,441084,0.0000,1.0000
2019-02-27,202.8200,205.4000,201.1964,204.9800,204.9800,327922,0.0000,1.0000
2019-02-26,203.6900,205.0000,203.1000,203.2000,203.2000,302277,0.0000,1.0000
2019-02-25,205.3200,205.9300,204.3900,204.4600,204.4600,321435,0.0000,1.0000
2019-02-22,203.5000,205.0000,202.9900,204.4000,204.4000,292632,0.0000,1.0000
2019-02-21,203.2800,203.5600,201.0201,202.9800,202.9800,297816,0.0000,1.0000
2019-02-20,202.7800,203.6200,201.0300,203.0600,203.0600,263869,0.0000,1.0000
2019-02-19,202.9500,203.8600,202.8300,203.4900,203.4900,362216,0.0000,1.0000
2019-02-15,203.3600,203.8900,201.2700,203.7900,203.7900,523745,0.0000,1.0000
2019-02-14,200.0100,202.3500,200.0100,201.4100,201.4100,452319,0.0000,1.0000
2019-02-13,200.6800,202.8795,200.5900,201.7600,201.7600,542028,0.0000,1.0000
2019-02-12,199.1300,200.9100,198.0200,200.5900,200.5900,614988,0.0000,1.0000
2019-02-11,195.4200,197.7700,194.7800,197.6100,197.6100,670911,0.0000,1.0000
2019-02-08,190.8300,194.2500,190.6300,194.2300,194.2300,333977,0.0000,1.0000
2019-02-07,190.5100,192.0900,189.9100,191.7500,191.7500,408855,0.0000,1.0000
2019-02-06,191.5000,191.8772,190.7100,191.5500,191.5500,394671,0.0000,1.0000
