timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-15,144.9500,144.9500,144.9500,144.9500,144.9500,0,0.0000,1.0000
2019-02-14,144.9500,144.9500,144.9500,144.9500,144.9500,0,0.0000,1.0000
2019-02-13,144.9500,144.9500,144.9500,144.9500,144.9500,0,0.0000,1.0000
2019-02-12,144.9500,144.9500,144.9500,144.9500,144.9500,0,0.0000,1.0000
2019-02-11,144.9500,144.9500,144.9500,144.9500,144.9500,0,0.0000,1.0000
2019-02-08,144.9500,144.9500,144.9500,144.9500,144.9500,0,0.0000,1.0000
2019-02-07,144.9500,144.9900,144.9500,144.9500,144.9500,3146817,0.0000,1.0000
2019-02-06,144.9500,144.9900,144.9000,144.9700,144.9700,1193611,0.0000,1.0000
2019-02-05,144.9400,144.9500,144.9000,144.9500,144.9500,826663,0.0000,1.0000
2019-02-04,144.9000,144.9500,144.8500,144.9500,144.9500,761477,0.0000,1.0000
2019-02-01,144.7800,144.8500,144.6700,144.8500,144.8500,1078988,0.0000,1.0000
2019-01-31,144.6000,144.7800,144.5600,144.7400,144.7400,630055,0.0000,1.0000
2019-01-30,144.6400,144.7400,144.5600,144.6100,144.6100,750140,0.0000,1.0000
2019-01-29,144.6500,144.6600,144.5500,144.6200,144.6200,862093,0.0000,1.0000
2019-01-28,144.6500,144.7000,144.5300,144.5300,144.5300,1374929,0.0000,1.0000
2019-01-25,144.7000,144.7400,144.6200,144.6900,144.6900,819414,0.0000,1.0000
2019-01-24,144.6600,144.7100,144.5500,144.6500,144.6500,396870,0.0000,1.0000
2019-01-23,144.6000,144.7900,144.4800,144.7500,144.7500,838565,0.0000,1.0000
2019-01-22,144.4600,144.6200,144.3350,144.6200,144.6200,643294,0.0000,1.0000
2019-01-18,144.5100,144.5700,144.4000,144.4600,144.4600,526060,0.0000,1.0000
2019-01-17,144.4000,144.6000,144.3500,144.4600,144.4600,1650127,0.0000,1.0000
2019-01-16,144.0000,144.1800,143.8500,143.9100,143.9100,361664,0.0000,1.0000
2019-01-15,143.7600,144.0000,143.6700,144.0000,144.0000,200313,0.0000,1.0000
2019-01-14,143.3800,143.9500,143.3800,143.7600,143.7600,929298,0.0000,1.0000
2019-01-11,143.5500,143.7500,143.4900,143.5500,143.5500,389282,0.0000,1.0000
2019-01-10,143.3500,143.7700,143.0950,143.7700,143.7700,745049,0.0000,1.0000
2019-01-09,143.6200,143.7300,143.0000,143.4000,143.4000,581347,0.0000,1.0000
2019-01-08,143.5600,143.8800,143.3500,143.5000,143.5000,899290,0.0000,1.0000
2019-01-07,143.7500,143.7800,143.2700,143.3100,143.3100,495940,0.0000,1.0000
2019-01-04,143.5100,143.8500,143.2500,143.7800,143.7800,540447,0.0000,1.0000
2019-01-03,143.4400,143.7100,142.8200,143.3300,143.3300,574479,0.0000,1.0000
2019-01-02,142.2600,143.4594,142.1200,143.3400,143.3400,663324,0.0000,1.0000
2018-12-31,142.3000,142.7500,142.1500,142.7400,142.7400,181123,0.0000,1.0000
2018-12-28,142.4900,143.1600,142.0200,142.3000,142.3000,254487,0.0000,1.0000
2018-12-27,141.6500,142.6900,140.9950,142.5000,142.5000,390884,0.0000,1.0000
2018-12-26,140.7600,142.1000,140.7600,141.5000,141.5000,467114,0.0000,1.0000
2018-12-24,142.0000,142.2300,140.1100,140.4500,140.4500,250028,0.0000,1.0000
2018-12-21,142.4700,142.6900,141.8800,141.9900,141.9900,1070698,0.0000,1.0000
2018-12-20,142.6200,142.6700,141.9990,142.4700,142.4700,406649,0.0000,1.0000
2018-12-19,141.7000,142.9300,141.6000,142.4600,142.4600,1133591,0.0000,1.0000
2018-12-18,143.3400,143.6700,141.6250,142.0300,142.0300,1056747,0.0000,1.0000
2018-12-17,143.7200,143.9500,143.2500,143.2600,143.2600,476706,0.0000,1.0000
2018-12-14,143.9500,144.0000,143.5700,143.8000,143.8000,635125,0.0000,1.0000
2018-12-13,143.8500,144.0900,143.7300,144.0900,144.0900,734876,0.0000,1.0000
2018-12-12,143.9000,143.9400,143.6000,143.7400,143.7400,422556,0.0000,1.0000
2018-12-11,143.7800,143.8600,143.2900,143.7900,143.7900,359528,0.0000,1.0000
2018-12-10,143.5700,143.7400,143.3800,143.7000,143.7000,377709,0.0000,1.0000
2018-12-07,143.7000,143.7400,143.3800,143.5700,143.5700,221516,0.0000,1.0000
2018-12-06,143.7500,143.8300,142.8200,143.7400,143.7400,888813,0.0000,1.0000
2018-12-04,143.7900,144.0200,143.5100,143.6200,143.6200,703491,0.0000,1.0000
2018-12-03,143.5000,143.8500,143.4000,143.7900,143.7900,228090,0.0000,1.0000
2018-11-30,143.4600,143.6450,143.3500,143.5400,143.5400,623009,0.0000,1.0000
2018-11-29,143.5000,143.7500,143.4000,143.4400,143.4400,284913,0.0000,1.0000
2018-11-28,143.4700,143.6600,143.3000,143.5000,143.5000,330939,0.0000,1.0000
2018-11-27,143.3700,143.6000,143.3000,143.3600,143.3600,195800,0.0000,1.0000
2018-11-26,143.2000,143.5800,143.2000,143.3700,143.3700,390542,0.0000,1.0000
2018-11-23,142.5500,143.3300,142.4900,143.0000,143.0000,286273,0.0000,1.0000
2018-11-21,142.6200,142.9100,142.3000,142.5000,142.5000,660385,0.0000,1.0000
2018-11-20,142.4500,142.8200,142.2700,142.6000,142.6000,278255,0.0000,1.0000
2018-11-19,142.3500,142.8300,142.2600,142.8200,142.8200,394917,0.0000,1.0000
2018-11-16,142.1000,142.3550,141.8500,142.2900,142.2900,416506,0.0000,1.0000
2018-11-15,141.9000,142.2700,141.6900,142.2500,142.2500,280729,0.0000,1.0000
2018-11-14,141.8500,142.2100,141.7300,141.7700,141.7700,434709,0.0000,1.0000
2018-11-13,142.2300,142.3800,141.6600,141.7500,141.7500,424100,0.0000,1.0000
2018-11-12,142.3000,142.5900,142.1200,142.1600,142.1600,434618,0.0000,1.0000
2018-11-09,142.3400,142.5200,142.0900,142.4000,142.4000,268790,0.0000,1.0000
2018-11-08,142.1100,142.5200,142.0500,142.4300,142.4300,299246,0.0000,1.0000
2018-11-07,142.5000,142.5900,142.0200,142.1700,142.1700,578764,0.0000,1.0000
2018-11-06,141.7500,142.1600,141.7500,142.0900,142.0900,460977,0.0000,1.0000
2018-11-05,141.7400,142.2200,141.6900,141.9000,141.9000,441156,0.0000,1.0000
2018-11-02,142.5000,142.5500,141.4600,141.7500,141.7500,634728,0.0000,1.0000
2018-11-01,142.4200,142.7900,142.3000,142.6100,142.6100,240869,0.0000,1.0000
2018-10-31,142.3700,142.7200,142.2000,142.2800,142.2800,360897,0.0000,1.0000
2018-10-30,142.0000,142.3000,141.7900,142.2900,142.2900,567405,0.0000,1.0000
2018-10-29,142.0500,142.1900,141.6200,142.0100,142.0100,547439,0.0000,1.0000
2018-10-26,141.8700,142.0900,141.5600,141.8500,141.8500,588328,0.0000,1.0000
2018-10-25,141.8900,142.2000,141.6900,142.0000,142.0000,329481,0.0000,1.0000
2018-10-24,142.1700,142.2400,141.5100,141.5200,141.5200,630776,0.0000,1.0000
2018-10-23,141.7600,142.4800,141.7600,142.0700,142.0700,333807,0.0000,1.0000
2018-10-22,142.5000,142.5000,142.1300,142.2500,142.2500,340629,0.0000,1.0000
2018-10-19,142.4200,142.6000,142.3000,142.3600,142.3600,287776,0.0000,1.0000
2018-10-18,142.2900,142.7000,142.1900,142.4600,142.4600,331172,0.0000,1.0000
2018-10-17,142.2500,142.5200,142.0200,142.3800,142.3800,319984,0.0000,1.0000
2018-10-16,142.0000,142.2500,141.8500,142.2200,142.2200,326555,0.0000,1.0000
2018-10-15,142.1500,142.3000,141.0500,141.8000,141.8000,880619,0.0000,1.0000
2018-10-12,142.5700,142.5700,141.8900,142.2100,142.2100,993607,0.0000,1.0000
2018-10-11,142.5400,142.6000,141.9500,141.9700,141.9700,883886,0.0000,1.0000
2018-10-10,142.8400,142.9000,142.2000,142.3100,142.3100,796871,0.0000,1.0000
2018-10-09,142.8400,142.9800,142.8200,142.8300,142.8300,513525,0.0000,1.0000
2018-10-08,142.8300,143.0300,142.8000,142.8300,142.8300,601988,0.0000,1.0000
2018-10-05,143.0000,143.0000,142.7900,142.8600,142.8600,313727,0.0000,1.0000
2018-10-04,142.8000,143.0200,142.8000,142.8200,142.8200,408934,0.0000,1.0000
2018-10-03,142.9200,143.2500,142.7300,142.8400,142.8400,396361,0.0000,1.0000
2018-10-02,142.7600,142.9800,142.5000,142.7300,142.7300,291582,0.0000,1.0000
2018-10-01,142.7500,143.0900,142.3000,142.6500,142.6500,220323,0.0000,1.0000
2018-09-28,142.4000,142.6500,142.1600,142.5100,142.5100,622839,0.0000,1.0000
2018-09-27,142.6400,142.7250,142.1800,142.5000,142.5000,233434,0.0000,1.0000
2018-09-26,142.5000,142.8700,142.2550,142.5000,142.5000,434750,0.0000,1.0000
2018-09-25,143.6000,143.6000,142.2500,142.5000,142.5000,416675,0.0000,1.0000
2018-09-24,142.9300,142.9300,141.8500,142.1400,142.1400,1504037,0.0000,1.0000
2018-09-21,143.2500,143.4700,143.0000,143.1000,143.1000,369924,0.0000,1.0000
2018-09-20,144.0700,144.2000,142.2000,143.2100,143.2100,522419,0.0000,1.0000
2018-09-19,144.2000,144.4800,143.7800,143.8700,143.8700,398249,0.0000,1.0000
2018-09-18,144.8000,144.8000,143.9900,144.1000,144.1000,337084,0.0000,1.0000
2018-09-17,144.4500,144.7900,144.0500,144.7900,144.7900,250166,0.0000,1.0000
2018-09-14,144.1000,145.0000,144.1000,144.5400,144.5400,264734,0.0000,1.0000
2018-09-13,144.1500,144.4400,143.9900,144.0400,144.0400,644891,0.0000,1.0000
2018-09-12,142.2700,144.3400,142.2700,144.1500,144.1500,1993700,0.0000,1.0000
2018-09-11,142.4600,142.6000,142.0000,142.0900,142.0900,714346,0.0000,1.0000
2018-09-10,142.9000,142.9600,142.2400,142.4900,142.4900,768082,0.0000,1.0000
2018-09-07,143.0200,143.2000,142.6200,142.7000,142.7000,819793,0.0000,1.0000
2018-09-06,142.7000,143.3000,142.5800,143.2800,143.2800,897529,0.0000,1.0000
2018-09-05,142.8300,143.1500,142.5100,142.7000,142.7000,649344,0.0000,1.0000
2018-09-04,142.7500,142.9900,142.5850,142.9300,142.9300,737553,0.0000,1.0000
2018-08-31,142.7500,142.9800,142.5800,142.9200,142.9200,509049,0.0000,1.0000
2018-08-30,142.9000,142.9500,142.5700,142.6000,142.6000,530759,0.0000,1.0000
2018-08-29,142.9000,143.0600,142.6000,142.9800,142.9800,500844,0.0000,1.0000
2018-08-28,142.6600,142.7850,142.4500,142.7200,142.7200,482157,0.0000,1.0000
2018-08-27,142.7600,143.1000,142.3000,142.5600,142.5600,386567,0.0000,1.0000
2018-08-24,142.7500,143.0000,142.4700,142.6700,142.6700,515918,0.0000,1.0000
2018-08-23,142.6000,143.1000,142.5200,142.7000,142.7000,575382,0.0000,1.0000
2018-08-22,142.3100,143.2300,142.2300,142.5600,142.5600,899563,0.0000,1.0000
2018-08-21,141.9500,142.5300,141.9400,142.4600,142.4600,1152584,0.5225,1.0000
2018-08-20,142.0500,142.2500,141.9100,142.1300,141.6106,926778,0.0000,1.0000
2018-08-17,141.8800,142.1000,141.7600,141.9700,141.4512,1068547,0.0000,1.0000
2018-08-16,141.8000,141.9700,141.7810,141.9100,141.3914,1378380,0.0000,1.0000
2018-08-15,142.0000,142.0000,141.6400,141.7700,141.2519,1856642,0.0000,1.0000
2018-08-14,142.0000,142.2000,141.8200,142.1100,141.5907,939726,0.0000,1.0000
2018-08-13,142.0000,142.2600,141.6100,142.0100,141.4911,1028097,0.0000,1.0000
2018-08-10,142.0700,142.2700,141.0800,141.9400,141.4213,2372760,0.0000,1.0000
2018-08-09,143.9500,144.0000,141.2200,142.2100,141.6903,6080994,0.0000,1.0000
2018-08-08,125.8800,127.2600,122.7300,122.8000,122.3513,411874,0.0000,1.0000
2018-08-07,125.9800,126.8300,125.3250,125.8200,125.3602,301940,0.0000,1.0000
2018-08-06,124.3700,126.2800,124.3700,125.7100,125.2506,171445,0.0000,1.0000
2018-08-03,125.3800,125.3800,123.0200,124.3200,123.8657,180472,0.0000,1.0000
2018-08-02,124.2500,125.3600,124.0450,124.9000,124.4436,280191,0.0000,1.0000
2018-08-01,125.6700,126.7900,123.5275,124.8300,124.3738,349555,0.0000,1.0000
2018-07-31,125.3500,126.2900,124.3600,125.8900,125.4300,231395,0.0000,1.0000
2018-07-30,125.8500,126.3250,124.5100,124.8800,124.4237,182000,0.0000,1.0000
2018-07-27,128.9500,128.9500,125.2400,125.9700,125.5097,147814,0.0000,1.0000
2018-07-26,129.4500,129.8900,127.8200,128.5800,128.1101,248614,0.0000,1.0000
2018-07-25,127.6800,129.4700,127.6800,129.4300,128.9570,230462,0.0000,1.0000
2018-07-24,129.4000,129.8800,127.5900,128.0300,127.5621,127110,0.0000,1.0000
2018-07-23,128.1400,129.1250,127.0400,129.0300,128.5585,267450,0.0000,1.0000
2018-07-20,128.3500,128.7100,127.6800,128.0400,127.5721,170736,0.0000,1.0000
2018-07-19,129.3200,129.6500,128.3500,128.6400,128.1699,272705,0.0000,1.0000
2018-07-18,129.3900,129.7900,127.8800,129.3000,128.8275,208369,0.0000,1.0000
2018-07-17,126.4200,129.1300,126.4100,128.9300,128.4589,223882,0.0000,1.0000
2018-07-16,128.1400,128.1500,126.6900,126.9800,126.5160,216331,0.0000,1.0000
2018-07-13,127.7400,128.3400,126.9950,127.4500,126.9843,115822,0.0000,1.0000
2018-07-12,128.3000,128.9000,127.0700,127.8100,127.3429,269635,0.0000,1.0000
2018-07-11,127.5800,128.7400,127.5800,128.0300,127.5621,168574,0.0000,1.0000
2018-07-10,128.2500,128.4300,127.7000,128.3800,127.9109,214249,0.0000,1.0000
2018-07-09,127.1000,128.3700,127.1000,128.2300,127.7614,229391,0.0000,1.0000
2018-07-06,126.4000,127.5700,126.2400,126.8400,126.3765,159285,0.0000,1.0000
2018-07-05,125.5800,126.2400,123.9000,126.0700,125.6093,205654,0.0000,1.0000
2018-07-03,124.5400,125.2399,124.1800,124.5800,124.1247,241790,0.0000,1.0000
2018-07-02,122.0900,124.0600,121.6700,123.9600,123.5070,217599,0.0000,1.0000
2018-06-29,125.0600,125.2900,122.4801,122.6500,122.2018,289276,0.0000,1.0000
2018-06-28,122.9100,124.6500,122.6200,124.5200,124.0650,216828,0.0000,1.0000
2018-06-27,126.5100,126.9400,122.6700,122.7900,122.3413,242006,0.0000,1.0000
2018-06-26,124.6500,127.1100,124.4600,126.7000,126.2370,292186,0.0000,1.0000
2018-06-25,128.3800,128.6700,124.0500,124.5400,124.0849,492069,0.0000,1.0000
