timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,125.1300,125.4200,124.3600,125.1100,125.1100,525381,0.0000,1.0000
2019-03-22,123.7400,125.7000,123.5000,124.8900,124.8900,1860526,0.0000,1.0000
2019-03-21,122.5000,123.4350,122.1500,123.2400,123.2400,1887660,0.0000,1.0000
2019-03-20,122.4200,123.4400,122.1100,122.4000,122.4000,1043482,0.0000,1.0000
2019-03-19,123.2100,123.2100,121.7100,122.1400,122.1400,1148911,0.0000,1.0000
2019-03-18,124.0000,124.2300,122.9000,123.3400,123.3400,1519237,0.0000,1.0000
2019-03-15,123.6300,124.4700,123.0100,123.9800,123.9800,2607976,0.9450,1.0000
2019-03-14,124.3600,124.8200,123.5000,124.3800,123.4391,1199282,0.0000,1.0000
2019-03-13,124.1700,124.4500,123.7600,124.1600,123.2208,1204789,0.0000,1.0000
2019-03-12,123.9100,124.0800,123.3100,124.0600,123.1215,1578387,0.0000,1.0000
2019-03-11,123.2100,123.8700,122.8300,123.6900,122.7543,1228925,0.0000,1.0000
2019-03-08,122.6300,123.2100,122.0200,123.2000,122.2680,1071904,0.0000,1.0000
2019-03-07,122.7500,123.5150,122.2000,122.5000,121.5733,1381092,0.0000,1.0000
2019-03-06,122.9500,123.1850,122.1200,122.3800,121.4543,1117838,0.0000,1.0000
2019-03-05,122.9900,123.2600,122.4700,122.7600,121.8314,706635,0.0000,1.0000
2019-03-04,123.1300,123.3600,122.1000,123.1100,122.1787,812887,0.0000,1.0000
2019-03-01,123.6300,123.7300,122.2600,122.9000,121.9703,1004950,0.0000,1.0000
2019-02-28,122.4400,123.6400,121.9500,123.5600,122.6253,1098162,0.0000,1.0000
2019-02-27,121.9400,122.5300,121.5100,122.3600,121.4344,738315,0.0000,1.0000
2019-02-26,123.1700,123.1700,121.7500,122.3000,121.3749,1003227,0.0000,1.0000
2019-02-25,123.7600,123.8400,122.2000,122.8200,121.8909,1482107,0.0000,1.0000
2019-02-22,123.0000,123.8000,121.9900,123.7200,122.7841,861296,0.0000,1.0000
2019-02-21,121.2400,122.9900,120.8300,122.7400,121.8115,1542211,0.0000,1.0000
2019-02-20,120.2800,121.8400,119.7800,121.7700,120.8489,1728390,0.0000,1.0000
2019-02-19,119.7900,120.5700,119.1900,120.5100,119.5984,998122,0.0000,1.0000
2019-02-15,119.7000,120.0600,119.1500,119.8100,118.9037,893262,0.0000,1.0000
2019-02-14,119.3500,119.9400,118.8000,119.2100,118.3082,830387,0.0000,1.0000
2019-02-13,119.5000,119.5900,118.7800,119.3500,118.4472,1099558,0.0000,1.0000
2019-02-12,119.1200,119.8400,118.1700,119.4900,118.5861,1208732,0.0000,1.0000
2019-02-11,118.5600,119.4500,118.4800,119.0400,118.1395,832902,0.0000,1.0000
2019-02-08,118.1100,118.8500,117.5800,118.5600,117.6631,1183197,0.0000,1.0000
2019-02-07,112.8600,118.3800,112.8600,118.3000,117.4051,1305075,0.0000,1.0000
2019-02-06,117.2900,117.3400,116.3200,117.0800,116.1943,1076281,0.0000,1.0000
2019-02-05,117.3000,117.4700,116.3400,117.3000,116.4127,922684,0.0000,1.0000
2019-02-04,116.3600,117.4200,114.9300,117.3900,116.5020,1311530,0.0000,1.0000
2019-02-01,117.7500,118.0600,116.3450,117.3600,116.4722,766769,0.0000,1.0000
2019-01-31,115.2400,118.3200,114.6600,117.7500,116.8593,1762576,0.0000,1.0000
2019-01-30,114.4200,115.8500,114.2300,115.2900,114.4179,702607,0.0000,1.0000
2019-01-29,114.0300,115.1500,114.0300,114.9300,114.0606,966133,0.0000,1.0000
2019-01-28,114.2200,114.6900,113.3050,114.1000,113.2369,838368,0.0000,1.0000
2019-01-25,115.2900,115.8300,113.8300,114.1300,113.2667,1002045,0.0000,1.0000
2019-01-24,114.2400,115.5900,113.2200,115.5000,114.6263,1060011,0.0000,1.0000
2019-01-23,113.1100,114.3400,112.9500,114.2700,113.4056,836774,0.0000,1.0000
2019-01-22,113.1200,114.0300,111.9100,113.0400,112.1849,655338,0.0000,1.0000
2019-01-18,113.1800,114.0600,112.4500,112.9800,112.1254,912462,0.0000,1.0000
2019-01-17,111.6200,113.3500,111.4700,113.1900,112.3338,938910,0.0000,1.0000
2019-01-16,110.8000,111.8700,110.3900,111.7300,110.8848,878205,0.0000,1.0000
2019-01-15,109.4400,111.9100,109.4400,111.2500,110.4084,1474067,0.0000,1.0000
2019-01-14,111.1800,111.1800,108.5200,109.9500,109.1183,1146755,0.0000,1.0000
2019-01-11,111.7900,112.2000,110.6276,111.8600,111.0138,797367,0.0000,1.0000
2019-01-10,109.4600,111.8100,109.4400,111.7000,110.8550,1011633,0.0000,1.0000
2019-01-09,110.2100,111.1500,109.3500,110.0700,109.2374,784119,0.0000,1.0000
2019-01-08,109.5300,110.7200,109.2200,110.5900,109.7534,727527,0.0000,1.0000
2019-01-07,109.3900,110.4000,108.9800,109.6200,108.7908,923300,0.0000,1.0000
2019-01-04,107.8300,109.9900,107.8300,109.9900,109.1580,1214123,0.0000,1.0000
2019-01-03,108.0000,109.2100,107.5400,108.3400,107.5205,1215708,0.0000,1.0000
2019-01-02,110.1800,110.4200,107.3300,107.8900,107.0739,1165494,0.0000,1.0000
2018-12-31,110.3800,110.5850,109.2800,110.3000,109.4656,715718,0.0000,1.0000
2018-12-28,110.5300,111.4200,109.5801,110.1100,109.2771,817417,0.0000,1.0000
2018-12-27,109.1800,110.2000,107.8200,110.1600,109.3267,1381259,0.0000,1.0000
2018-12-26,108.9600,110.1244,107.2200,109.6500,108.8205,1436007,0.0000,1.0000
2018-12-24,114.2500,114.7400,108.7200,108.9500,108.1258,652538,0.0000,1.0000
2018-12-21,114.6000,117.3000,113.7600,114.0500,113.1873,1924822,0.0000,1.0000
2018-12-20,114.1300,115.7600,112.6900,114.5400,113.6736,1510408,0.0000,1.0000
2018-12-19,114.1000,115.2300,112.8900,113.8100,112.9491,1583751,0.0000,1.0000
2018-12-18,114.4900,115.7100,113.3700,113.6300,112.7704,1318914,0.0000,1.0000
2018-12-17,118.5500,118.7700,113.8700,114.1400,113.2766,1604261,0.0000,1.0000
2018-12-14,119.0800,119.6700,117.3900,118.2200,117.3257,1740887,0.9450,1.0000
2018-12-13,118.9600,120.2700,118.7700,119.8200,117.9706,1609889,0.0000,1.0000
2018-12-12,120.1400,120.6400,118.7200,118.7400,116.9073,1446273,0.0000,1.0000
2018-12-11,119.4800,120.2300,119.1600,119.8700,118.0198,2151728,0.0000,1.0000
