timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,102.4000,103.5428,100.8700,101.7300,101.7300,3812422,0.0000,1.0000
2019-03-22,104.4300,104.4800,101.1550,102.3400,102.3400,7159188,0.0000,1.0000
2019-03-21,96.4900,105.0000,96.4900,104.8800,104.8800,9533430,0.0000,1.0000
2019-03-20,97.4400,98.3900,96.3500,97.0300,97.0300,4824238,0.0000,1.0000
2019-03-19,100.3300,100.5450,97.0000,97.5100,97.5100,6156778,0.0000,1.0000
2019-03-18,99.1600,99.8900,96.7300,99.6600,99.6600,5112965,0.0000,1.0000
2019-03-15,99.6600,100.1450,98.2400,98.9800,98.9800,5140900,0.0000,1.0000
2019-03-14,100.2200,100.3400,97.5400,98.8300,98.8300,5908938,0.0000,1.0000
2019-03-13,98.6900,101.0800,97.7700,100.1300,100.1300,6979996,0.0000,1.0000
2019-03-12,99.4000,99.5000,98.1500,98.5900,98.5900,3737617,0.0000,1.0000
2019-03-11,98.6000,99.9600,97.9400,99.0400,99.0400,4623846,0.0000,1.0000
2019-03-08,97.9600,99.7500,97.4750,98.3600,98.3600,7357914,0.0000,1.0000
2019-03-07,95.0000,99.5600,94.4700,99.3600,99.3600,8866789,0.0000,1.0000
2019-03-06,95.3200,96.3800,94.1300,94.7700,94.7700,3987900,0.0000,1.0000
2019-03-05,96.2600,97.0600,95.1479,95.7200,95.7200,6041906,0.0000,1.0000
2019-03-04,98.3100,99.4300,95.5700,97.2900,97.2900,7187191,0.0000,1.0000
2019-03-01,96.8300,97.9400,95.3100,97.4100,97.4100,4443555,0.0000,1.0000
2019-02-28,97.9600,98.6400,95.6650,95.7800,95.7800,5695040,0.0000,1.0000
2019-02-27,98.8200,100.8100,97.4000,97.8400,97.8400,5207571,0.0000,1.0000
2019-02-26,95.6500,99.6100,94.8200,98.5000,98.5000,8701117,0.0000,1.0000
2019-02-25,96.3200,96.6300,93.6400,95.8600,95.8600,7046593,0.0000,1.0000
2019-02-22,97.0600,97.3100,92.8500,95.9200,95.9200,11616973,0.0000,1.0000
2019-02-21,98.7700,98.9900,96.0000,96.8600,96.8600,8104311,0.0000,1.0000
2019-02-20,102.4300,102.9100,97.5500,98.6300,98.6300,10649055,0.0000,1.0000
2019-02-19,105.7500,105.7500,101.2900,102.9600,102.9600,10882724,0.0000,1.0000
2019-02-15,107.4000,108.8000,104.7300,106.8400,106.8400,11254941,0.0000,1.0000
2019-02-14,101.4100,105.8700,101.0000,105.2500,105.2500,10547006,0.0000,1.0000
2019-02-13,104.5600,105.2400,100.6800,102.2500,102.2500,15890024,0.0000,1.0000
2019-02-12,106.3100,106.7000,99.0200,102.3300,102.3300,31161274,0.0000,1.0000
2019-02-11,102.1600,106.9500,96.7300,97.2400,97.2400,38704497,0.0000,1.0000
2019-02-08,86.5050,97.6500,85.0000,97.6000,97.6000,26898538,0.0000,1.0000
2019-02-07,79.9000,85.5900,79.9000,84.1000,84.1000,11391297,0.0000,1.0000
2019-02-06,79.1400,81.5900,78.0000,80.2100,80.2100,30198566,0.0000,1.0000
2019-02-05,89.0600,92.8500,88.8900,92.5200,92.5200,11931365,0.0000,1.0000
2019-02-04,91.0600,91.0700,88.1900,88.4300,88.4300,5982459,0.0000,1.0000
2019-02-01,92.2000,92.8000,90.8300,91.2200,91.2200,2890254,0.0000,1.0000
2019-01-31,89.9800,92.8000,89.5500,92.2400,92.2400,4148221,0.0000,1.0000
2019-01-30,87.6200,89.2700,86.8500,89.2300,89.2300,3797870,0.0000,1.0000
2019-01-29,89.8900,89.8900,86.8200,87.2400,87.2400,3961361,0.0000,1.0000
2019-01-28,89.4500,90.6500,88.6500,90.4700,90.4700,4339507,0.0000,1.0000
2019-01-25,92.4500,92.9800,90.8700,91.7400,91.7400,4168627,0.0000,1.0000
2019-01-24,89.3600,91.5500,88.5300,91.4800,91.4800,3167912,0.0000,1.0000
2019-01-23,91.9300,92.0000,88.4400,89.1300,89.1300,4085955,0.0000,1.0000
2019-01-22,91.6800,91.9900,90.0100,91.3100,91.3100,4474677,0.0000,1.0000
2019-01-18,90.3100,93.1600,90.2300,92.5200,92.5200,5403618,0.0000,1.0000
2019-01-17,87.9500,89.8500,87.6500,89.3100,89.3100,4283301,0.0000,1.0000
2019-01-16,88.0000,90.0900,85.9600,89.9200,89.9200,6613145,0.0000,1.0000
2019-01-15,88.9600,89.5800,88.3700,89.4900,89.4900,2794651,0.0000,1.0000
2019-01-14,89.6200,89.9800,88.4200,88.5800,88.5800,3351586,0.0000,1.0000
2019-01-11,90.6700,91.5900,89.9100,90.7000,90.7000,3757614,0.0000,1.0000
2019-01-10,88.7900,91.4400,88.5200,91.0100,91.0100,4745577,0.0000,1.0000
2019-01-09,89.8100,90.9900,87.8900,88.9100,88.9100,4178767,0.0000,1.0000
2019-01-08,88.4600,89.7400,87.6900,89.0200,89.0200,6468299,0.0000,1.0000
2019-01-07,84.8900,88.1000,83.4400,87.5900,87.5900,6611453,0.0000,1.0000
2019-01-04,80.8200,85.2500,80.0400,84.4200,84.4200,7254381,0.0000,1.0000
2019-01-03,79.4500,80.3500,77.6200,78.7100,78.7100,3747137,0.0000,1.0000
2019-01-02,77.2200,80.6400,77.2000,80.3700,80.3700,3176781,0.0000,1.0000
2018-12-31,80.0000,80.3800,78.3000,78.9100,78.9100,2942411,0.0000,1.0000
2018-12-28,79.9600,80.2900,78.3000,79.3000,79.3000,2733635,0.0000,1.0000
2018-12-27,77.1100,79.4600,76.7600,79.4300,79.4300,4260992,0.0000,1.0000
2018-12-26,75.2000,77.9500,73.9100,77.8900,77.8900,3257300,0.0000,1.0000
2018-12-24,75.7600,77.4000,74.3800,74.7200,74.7200,2556888,0.0000,1.0000
2018-12-21,78.3000,79.4600,75.6300,76.5700,76.5700,7829935,0.0000,1.0000
2018-12-20,77.6800,79.3900,76.4600,77.4400,77.4400,5567654,0.0000,1.0000
2018-12-19,80.0300,81.2200,77.3410,78.3600,78.3600,6417012,0.0000,1.0000
2018-12-18,79.6800,81.7950,79.3800,80.0000,80.0000,6191119,0.0000,1.0000
2018-12-17,80.1400,82.0200,78.4800,79.2300,79.2300,4083459,0.0000,1.0000
2018-12-14,79.8200,81.9500,79.1401,80.1600,80.1600,5227573,0.0000,1.0000
2018-12-13,83.9100,83.9350,80.7800,80.8600,80.8600,5011120,0.0000,1.0000
2018-12-12,84.3200,85.3700,82.9100,82.9900,82.9900,3400512,0.0000,1.0000
2018-12-11,85.1200,85.3163,82.7300,83.4400,83.4400,3877038,0.0000,1.0000
2018-12-10,82.3400,84.6000,82.2989,83.7300,83.7300,3888391,0.0000,1.0000
2018-12-07,83.7800,85.1400,82.2200,82.5200,82.5200,4589061,0.0000,1.0000
2018-12-06,79.9400,83.8800,79.5000,83.8800,83.8800,5747509,0.0000,1.0000
2018-12-04,83.4400,84.8900,81.0000,81.1800,81.1800,5129536,0.0000,1.0000
2018-12-03,85.8100,86.6400,83.3400,84.0000,84.0000,5052203,0.0000,1.0000
2018-11-30,86.3100,86.8300,83.7300,84.0700,84.0700,5395519,0.0000,1.0000
2018-11-29,85.0900,87.2400,84.6300,86.3900,86.3900,3527304,0.0000,1.0000
2018-11-28,85.5100,86.3200,83.9200,85.9000,85.9000,4197156,0.0000,1.0000
2018-11-27,84.6800,85.6700,83.2400,85.0400,85.0400,3372165,0.0000,1.0000
2018-11-26,83.5200,85.0100,82.4900,84.9300,84.9300,5383834,0.0000,1.0000
2018-11-23,83.8200,84.2500,82.4200,82.6700,82.6700,1906821,0.0000,1.0000
2018-11-21,83.9400,85.4750,83.4300,84.0200,84.0200,3272888,0.0000,1.0000
2018-11-20,80.8200,83.4300,80.4200,83.0200,83.0200,5388835,0.0000,1.0000
2018-11-19,86.1000,86.2050,82.7200,83.0400,83.0400,4461773,0.0000,1.0000
2018-11-16,87.4500,87.8800,84.9800,85.9700,85.9700,4585277,0.0000,1.0000
2018-11-15,86.0200,88.2800,84.8600,88.2500,88.2500,3827363,0.0000,1.0000
2018-11-14,88.2400,88.3600,84.9800,85.7600,85.7600,3591337,0.0000,1.0000
2018-11-13,88.3300,89.3500,86.9900,87.3900,87.3900,3732374,0.0000,1.0000
2018-11-12,88.6000,88.8800,86.0100,87.6600,87.6600,5123595,0.0000,1.0000
2018-11-09,92.8600,92.8600,88.2200,88.8900,88.8900,7236662,0.0000,1.0000
2018-11-08,94.0100,94.2400,92.3300,93.8700,93.8700,5045772,0.0000,1.0000
2018-11-07,93.0000,94.6300,92.2600,93.8000,93.8000,7249240,0.0000,1.0000
2018-11-06,92.6900,93.5000,91.5700,92.2300,92.2300,4121678,0.0000,1.0000
2018-11-05,92.5700,93.0600,91.1600,92.6900,92.6900,4163800,0.0000,1.0000
2018-11-02,95.2900,95.8000,91.8400,92.4600,92.4600,5325388,0.0000,1.0000
2018-11-01,91.0000,95.0500,91.0000,94.2000,94.2000,5444203,0.0000,1.0000
2018-10-31,92.0000,95.3700,89.9400,90.9800,90.9800,17510774,0.0000,1.0000
2018-10-30,91.6700,94.8300,91.0000,94.8300,94.8300,6678692,0.0000,1.0000
2018-10-29,95.7800,97.3000,89.1200,91.1900,91.1900,9957031,0.0000,1.0000
2018-10-26,95.9300,98.7600,95.5900,96.2200,96.2200,4263600,0.0000,1.0000
2018-10-25,97.8600,99.4800,97.6200,98.6400,98.6400,5610929,0.0000,1.0000
2018-10-24,98.8100,100.2000,96.1000,96.2500,96.2500,4851752,0.0000,1.0000
2018-10-23,99.4100,100.0600,97.8000,99.0900,99.0900,6842910,0.0000,1.0000
2018-10-22,102.8100,104.2400,101.2400,101.3600,101.3600,4983068,0.0000,1.0000
2018-10-19,106.3000,107.4900,101.9800,102.1100,102.1100,5432282,0.0000,1.0000
2018-10-18,107.3400,107.8524,104.7700,105.8000,105.8000,4731813,0.0000,1.0000
2018-10-17,107.7600,109.3600,106.9400,108.7900,108.7900,3196247,0.0000,1.0000
2018-10-16,106.7600,108.5100,106.5300,107.4200,107.4200,5441912,0.0000,1.0000
2018-10-15,105.4500,107.0300,104.0200,105.8800,105.8800,2602018,0.0000,1.0000
2018-10-12,106.9600,108.1300,104.4100,106.1000,106.1000,5384503,0.0000,1.0000
2018-10-11,104.4500,105.3900,102.3000,103.6000,103.6000,6251674,0.0000,1.0000
2018-10-10,108.6700,109.1200,104.9700,105.1500,105.1500,7443778,0.0000,1.0000
2018-10-09,110.8000,112.2100,109.2900,109.4900,109.4900,5238597,0.0000,1.0000
2018-10-08,112.8200,113.2900,109.7950,110.6200,110.6200,4784446,0.0000,1.0000
2018-10-05,114.4000,115.7500,111.9900,113.7300,113.7300,3571443,0.0000,1.0000
2018-10-04,116.3900,116.3900,112.7600,114.0100,114.0100,5235515,0.0000,1.0000
2018-10-03,117.4900,118.1700,116.2100,116.3900,116.3900,3632557,0.0000,1.0000
2018-10-02,117.5000,118.2400,116.1800,117.0500,117.0500,4160109,0.0000,1.0000
2018-10-01,121.1500,121.3000,116.2900,117.5500,117.5500,5742623,0.0000,1.0000
