timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,159.0300,160.2800,158.5800,159.9800,159.9800,1150349,0.0000,1.0000
2019-03-22,161.3900,162.5300,159.4600,159.5000,159.5000,1033849,0.0000,1.0000
2019-03-21,159.3100,162.0100,158.5600,161.7900,161.7900,975183,0.0000,1.0000
2019-03-20,160.8300,161.0400,158.2900,159.6900,159.6900,1715833,0.0000,1.0000
2019-03-19,163.4800,163.7935,160.4800,160.7000,160.7000,1406300,0.0000,1.0000
2019-03-18,162.4500,163.3700,161.5200,163.1000,163.1000,1055338,0.0000,1.0000
2019-03-15,160.6000,163.3750,160.2700,162.7400,162.7400,2133531,0.0000,1.0000
2019-03-14,159.0300,160.0800,158.0200,159.9900,159.9900,1108124,0.0000,1.0000
2019-03-13,160.0000,160.8300,158.9700,159.4400,159.4400,1172762,0.0000,1.0000
2019-03-12,158.2000,160.0000,157.8200,159.2200,159.2200,2007193,0.0000,1.0000
2019-03-11,156.0000,158.0200,155.5100,157.5100,157.5100,1852460,0.0000,1.0000
2019-03-08,155.2200,156.7400,154.2900,156.0400,156.0400,1852461,0.0000,1.0000
2019-03-07,157.5700,157.7500,154.1600,155.4000,155.4000,2405180,0.0000,1.0000
2019-03-06,155.6700,155.9900,152.9900,153.8800,153.8800,1971194,0.0000,1.0000
2019-03-05,156.8600,158.5000,155.9700,155.9800,155.9800,1480676,0.0000,1.0000
2019-03-04,157.8300,158.5600,154.3800,156.2900,156.2900,2099970,0.0000,1.0000
2019-03-01,158.2200,159.2050,156.0900,156.9200,156.9200,1158295,0.0000,1.0000
2019-02-28,157.0900,158.7600,156.0900,156.9400,156.9400,1270419,0.0000,1.0000
2019-02-27,155.4900,157.4450,154.3700,157.0500,157.0500,1319410,0.4300,1.0000
2019-02-26,156.8600,158.2000,155.8400,156.4400,156.0128,1966619,0.0000,1.0000
2019-02-25,159.3700,159.3700,157.0500,157.2600,156.8306,1647114,0.0000,1.0000
2019-02-22,156.5300,159.0700,155.4800,158.9800,158.5459,1336534,0.0000,1.0000
2019-02-21,156.1400,157.0000,155.6200,156.5300,156.1026,1405641,0.0000,1.0000
2019-02-20,156.0000,157.3500,155.5500,156.6700,156.2422,1740908,0.0000,1.0000
2019-02-19,154.3200,155.8500,152.3700,155.4000,154.9757,1514507,0.0000,1.0000
2019-02-15,154.5200,155.2800,153.6900,155.0100,154.5867,1509051,0.0000,1.0000
2019-02-14,154.1000,154.7600,153.1100,153.3800,152.9612,1538562,0.0000,1.0000
2019-02-13,153.0000,155.2400,151.6600,155.1900,154.7663,1595059,0.0000,1.0000
2019-02-12,154.8200,154.9500,152.8800,152.9200,152.5025,1752608,0.0000,1.0000
2019-02-11,154.3800,154.3800,152.7500,153.6900,153.2703,1757938,0.0000,1.0000
2019-02-08,152.3100,154.7100,151.5100,154.7100,154.2876,2478158,0.0000,1.0000
2019-02-07,149.0000,152.9300,147.6226,152.3100,151.8941,2775670,0.0000,1.0000
2019-02-06,149.8100,152.1900,147.0000,150.2500,149.8397,3704969,0.0000,1.0000
2019-02-05,149.0000,157.0100,148.4200,152.0200,151.6049,10521345,0.0000,1.0000
2019-02-04,136.8800,137.1800,135.3900,136.1700,135.7982,2653449,0.0000,1.0000
2019-02-01,137.2700,137.7000,135.8500,136.7200,136.3467,2684334,0.0000,1.0000
2019-01-31,134.5700,136.9900,133.8800,136.4200,136.0475,3369694,0.0000,1.0000
2019-01-30,131.7000,134.4800,130.6300,134.3800,134.0131,3366128,0.0000,1.0000
2019-01-29,132.6700,132.6900,130.2900,130.4000,130.0439,2939194,0.0000,1.0000
2019-01-28,127.5200,132.1400,126.7500,131.9800,131.6196,3275293,0.0000,1.0000
2019-01-25,125.6700,128.5200,125.6700,128.0700,127.7203,2393940,0.0000,1.0000
2019-01-24,126.5800,127.0700,124.5400,125.2300,124.8881,2103951,0.0000,1.0000
2019-01-23,127.2100,129.6600,125.8400,126.8900,126.5435,2411601,0.0000,1.0000
2019-01-22,127.6100,128.0200,124.6900,125.7600,125.4166,2207318,0.0000,1.0000
2019-01-18,126.2600,129.1300,126.1000,127.5400,127.1918,2060642,0.0000,1.0000
2019-01-17,125.0200,126.6700,124.8400,125.4300,125.0875,1477703,0.0000,1.0000
2019-01-16,125.3400,126.4200,124.3800,125.1700,124.8282,1921122,0.0000,1.0000
2019-01-15,125.0100,126.0200,124.5800,125.0800,124.7385,1579309,0.0000,1.0000
2019-01-14,125.2800,126.1500,124.9100,124.9100,124.5689,2412921,0.0000,1.0000
2019-01-11,125.2800,126.6200,124.1100,125.9400,125.5961,2895578,0.0000,1.0000
2019-01-10,122.5500,125.9400,121.4700,125.3000,124.9579,4445643,0.0000,1.0000
2019-01-09,130.8100,131.4100,127.2749,127.8300,127.4810,2728093,0.0000,1.0000
2019-01-08,133.0600,133.8100,130.6700,132.7300,132.3676,1989274,0.0000,1.0000
2019-01-07,129.4200,132.3900,128.5100,131.5000,131.1409,2312545,0.0000,1.0000
2019-01-04,127.4800,130.7900,127.0300,129.9200,129.5653,2091384,0.0000,1.0000
2019-01-03,129.8000,130.8800,125.2000,125.6800,125.3368,3864106,0.0000,1.0000
2019-01-02,129.9000,132.4600,129.4700,131.9400,131.5797,1640132,0.0000,1.0000
2018-12-31,129.7300,130.9500,129.0900,130.1000,129.7448,1233438,0.0000,1.0000
2018-12-28,128.7700,130.3400,127.2700,128.5600,128.2090,1372086,0.0000,1.0000
2018-12-27,125.5400,128.4600,123.6800,128.3900,128.0394,1277665,0.0000,1.0000
2018-12-26,123.0800,126.9200,121.6390,126.9000,126.5535,1257386,0.0000,1.0000
2018-12-24,125.3400,125.3600,122.0400,122.4600,122.1256,858817,0.0000,1.0000
2018-12-21,124.1800,129.0100,124.1800,125.8200,125.4764,3562329,0.0000,1.0000
2018-12-20,127.9900,128.5300,123.4901,124.9100,124.5689,2280429,0.0000,1.0000
2018-12-19,130.9000,133.1400,127.6700,128.5400,128.1890,1795546,0.0000,1.0000
2018-12-18,130.6000,131.3900,129.7400,130.9000,130.5426,1587032,0.0000,1.0000
2018-12-17,134.7000,134.7700,129.6700,130.3000,129.9442,2769640,0.0000,1.0000
2018-12-14,139.2400,139.8350,134.9400,135.1800,134.8109,2376283,0.0000,1.0000
2018-12-13,139.1000,141.1400,138.9700,140.1300,139.7474,1581866,0.0000,1.0000
2018-12-12,140.6400,141.6600,138.5900,138.7300,138.3512,1487448,0.0000,1.0000
2018-12-11,139.0800,140.1950,137.7700,139.1100,138.7302,1521881,0.0000,1.0000
2018-12-10,136.4800,138.5300,135.3700,137.9800,137.6032,1750032,0.0000,1.0000
2018-12-07,141.0500,142.0200,135.8100,137.1200,136.7456,2599844,0.0000,1.0000
2018-12-06,142.5300,142.9300,138.6800,141.3900,141.0039,3345655,0.0000,1.0000
2018-12-04,152.0000,152.0000,144.0600,144.0900,143.6966,3101826,0.0000,1.0000
2018-12-03,144.2200,152.9200,144.2200,152.6500,152.2332,5296613,0.0000,1.0000
2018-11-30,141.5200,142.8600,140.8700,142.6600,142.2705,4825197,0.0000,1.0000
2018-11-29,139.6400,142.4085,139.2750,141.5000,141.1136,2139862,0.4300,1.0000
2018-11-28,139.9300,141.3200,139.1300,140.2000,139.3936,2767568,0.0000,1.0000
2018-11-27,140.5800,140.7600,138.3100,139.9900,139.1848,2628150,0.0000,1.0000
2018-11-26,141.4300,142.3100,140.1000,140.9300,140.1194,2162648,0.0000,1.0000
2018-11-23,139.7100,140.8600,138.8100,140.1100,139.3041,971520,0.0000,1.0000
2018-11-21,142.3300,142.8700,140.5200,140.6700,139.8609,1581411,0.0000,1.0000
2018-11-20,141.8900,144.7200,141.5800,142.0200,141.2031,1666587,0.0000,1.0000
2018-11-19,143.9000,144.9100,141.9100,142.8700,142.0482,1673085,0.0000,1.0000
2018-11-16,144.1500,145.9900,142.5500,144.0200,143.1916,2373669,0.0000,1.0000
2018-11-15,144.4700,144.8500,142.6700,144.8500,144.0168,1690542,0.0000,1.0000
2018-11-14,143.8600,146.1600,143.4700,144.8400,144.0069,2040413,0.0000,1.0000
2018-11-13,142.2900,143.9768,141.3900,143.3900,142.5652,2160773,0.0000,1.0000
2018-11-12,140.0800,142.1900,138.3200,141.1000,140.2884,2849326,0.0000,1.0000
2018-11-09,138.8600,140.9900,138.3900,140.2300,139.4234,1962765,0.0000,1.0000
2018-11-08,141.9200,142.0000,140.1100,141.6900,140.8750,1581988,0.0000,1.0000
2018-11-07,141.6400,142.8200,140.5200,142.3400,141.5213,1234396,0.0000,1.0000
2018-11-06,142.4500,143.4000,141.5100,142.4000,141.5809,1427710,0.0000,1.0000
2018-11-05,142.0700,142.2750,138.8700,141.8100,140.9943,2896655,0.0000,1.0000
2018-11-02,142.3600,145.6450,142.3600,143.1100,142.2868,2951690,0.0000,1.0000
2018-11-01,137.1300,142.1900,136.8300,141.9400,141.1236,2738266,0.0000,1.0000
2018-10-31,143.3600,146.3300,135.2700,137.4400,136.6495,5467100,0.0000,1.0000
2018-10-30,126.6500,131.6900,126.3000,131.2200,130.4652,3522142,0.0000,1.0000
2018-10-29,126.2500,128.7600,125.0950,126.4600,125.7326,2715729,0.0000,1.0000
2018-10-26,124.9300,126.4400,122.9400,125.6200,124.8974,1621164,0.0000,1.0000
2018-10-25,124.8800,127.4800,124.1600,126.4100,125.6829,1582508,0.0000,1.0000
2018-10-24,125.6800,127.8800,124.1100,124.2700,123.5552,1905697,0.0000,1.0000
2018-10-23,124.4600,126.2900,121.9300,125.3000,124.5793,2667253,0.0000,1.0000
2018-10-22,125.9000,127.0800,125.3000,126.1900,125.4642,1819278,0.0000,1.0000
2018-10-19,128.2000,129.8600,125.4500,125.4500,124.7284,1935503,0.0000,1.0000
2018-10-18,128.8300,128.9700,125.6600,126.7700,126.0408,2347710,0.0000,1.0000
2018-10-17,128.5800,129.4600,127.6600,128.8200,128.0790,1947930,0.0000,1.0000
2018-10-16,127.3400,129.0800,127.1601,128.4800,127.7410,2275565,0.0000,1.0000
2018-10-15,126.7600,127.2300,125.3900,125.8600,125.1361,2069982,0.0000,1.0000
2018-10-12,129.2800,130.2500,124.6800,126.3200,125.5934,3715528,0.0000,1.0000
2018-10-11,129.6200,130.5299,127.6500,128.0800,127.3433,3584721,0.0000,1.0000
2018-10-10,136.2600,136.7700,129.8900,129.9000,129.1528,5086200,0.0000,1.0000
2018-10-09,139.6200,141.0900,139.4400,140.3300,139.5228,1253062,0.0000,1.0000
2018-10-08,137.9100,140.2900,137.3300,139.9800,139.1748,1583748,0.0000,1.0000
2018-10-05,136.5000,139.2100,136.5000,138.3100,137.5145,2395155,0.0000,1.0000
2018-10-04,140.8200,141.9300,135.9500,137.1400,136.3512,3668927,0.0000,1.0000
2018-10-03,145.0100,146.0000,143.2100,143.2900,142.4658,1252506,0.0000,1.0000
2018-10-02,145.4000,146.2300,144.1100,144.3100,143.4799,1670447,0.0000,1.0000
2018-10-01,145.7800,147.2299,145.2500,145.7800,144.9415,1772744,0.0000,1.0000
2018-09-28,143.7300,145.6600,143.7300,145.3200,144.4841,1631700,0.0000,1.0000
2018-09-27,142.1000,144.3700,142.0400,144.1200,143.2910,1281838,0.0000,1.0000
2018-09-26,142.2700,142.9700,140.5300,141.7300,140.9148,1200789,0.0000,1.0000
2018-09-25,144.5100,144.9900,141.9700,142.0800,141.2628,1647311,0.0000,1.0000
2018-09-24,142.8200,144.4600,142.4600,143.6000,142.7740,1378908,0.0000,1.0000
2018-09-21,143.8700,145.5500,143.0000,143.5400,142.7144,2544620,0.0000,1.0000
2018-09-20,141.4300,142.8300,140.3700,142.5900,141.7698,1646964,0.0000,1.0000
2018-09-19,140.0000,140.6900,138.8300,139.6600,138.8567,1201442,0.0000,1.0000
2018-09-18,140.4000,141.4000,139.3500,140.3000,139.4930,1506642,0.0000,1.0000
2018-09-17,140.9100,140.9100,139.0200,139.8900,139.0854,1877634,0.0000,1.0000
2018-09-14,140.5900,141.8000,139.9350,140.9300,140.1194,1526477,0.0000,1.0000
2018-09-13,139.8900,140.6556,139.0800,140.1300,139.3240,1110820,0.0000,1.0000
2018-09-12,138.7100,140.2700,138.0400,139.7300,138.9263,1719548,0.0000,1.0000
2018-09-11,137.8500,138.3750,136.4750,138.1700,137.3753,2047143,0.0000,1.0000
2018-09-10,139.4400,140.3900,138.5000,138.5500,137.7531,1433973,0.0000,1.0000
2018-09-07,137.9200,139.1900,136.5310,138.7700,137.9718,1687489,0.0000,1.0000
2018-09-06,137.2100,139.6600,137.0300,138.6800,137.8823,1670305,0.0000,1.0000
2018-09-05,137.3800,138.5900,136.1800,137.7500,136.9577,2126637,0.0000,1.0000
2018-09-04,138.8800,139.9500,137.9000,138.1500,137.3554,2389214,0.0000,1.0000
2018-08-31,139.3400,140.6100,138.8000,140.1200,139.3140,2844275,0.0000,1.0000
2018-08-30,139.8500,140.5300,139.1600,139.5000,138.6976,1808795,0.3800,1.0000
2018-08-29,140.5100,142.1200,140.1170,140.3700,139.1835,2532252,0.0000,1.0000
2018-08-28,142.9200,146.0000,139.5400,140.0900,138.9058,3226625,0.0000,1.0000
2018-08-27,136.2200,139.3000,136.0000,138.2500,137.0814,1887484,0.0000,1.0000
2018-08-24,133.3700,136.2400,133.2900,135.5900,134.4439,1984141,0.0000,1.0000
2018-08-23,134.2200,134.3700,132.1000,133.1300,132.0047,3085994,0.0000,1.0000
2018-08-22,136.5100,136.6000,133.7735,135.0700,133.9283,2844662,0.0000,1.0000
2018-08-21,141.4700,142.3900,134.8900,136.6300,135.4751,5281043,0.0000,1.0000
