timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,74.5700,74.8500,74.1500,74.4700,74.4700,803860,0.0000,1.0000
2019-03-22,74.5100,75.7100,74.4000,74.4000,74.4000,1484849,0.5675,1.0000
2019-03-21,73.3700,74.9200,73.3200,74.7900,74.2238,1159460,0.0000,1.0000
2019-03-20,73.4600,74.1400,72.7800,73.6200,73.0627,1208546,0.0000,1.0000
2019-03-19,73.9100,74.1500,73.2500,73.5000,72.9436,1441873,0.0000,1.0000
2019-03-18,74.8500,75.1300,73.5400,73.9800,73.4200,1361716,0.0000,1.0000
2019-03-15,75.0600,75.2500,74.4500,74.7600,74.1941,2415971,0.0000,1.0000
2019-03-14,74.8400,75.0600,74.5400,75.0600,74.4918,1321362,0.0000,1.0000
2019-03-13,75.1300,75.6500,74.8800,74.9100,74.3429,1201538,0.0000,1.0000
2019-03-12,74.5000,75.1700,74.3600,75.0500,74.4819,1622324,0.0000,1.0000
2019-03-11,73.8900,74.5400,73.4600,74.4400,73.8765,1271003,0.0000,1.0000
2019-03-08,73.4500,73.9800,73.1200,73.6400,73.0825,957098,0.0000,1.0000
2019-03-07,73.6600,74.2000,73.1700,73.4300,72.8741,1421953,0.0000,1.0000
2019-03-06,74.0100,74.1800,73.5300,73.5500,72.9932,1065023,0.0000,1.0000
2019-03-05,73.9200,74.4600,73.8300,73.9300,73.3704,1278559,0.0000,1.0000
2019-03-04,73.7200,74.1200,73.2100,73.9800,73.4200,1805204,0.0000,1.0000
2019-03-01,73.6500,73.6800,72.6400,73.5000,72.9436,1374652,0.0000,1.0000
2019-02-28,73.2400,74.6800,73.0600,73.6900,73.1322,2830696,0.0000,1.0000
2019-02-27,73.2700,73.6400,72.8700,73.3300,72.7749,1123125,0.0000,1.0000
2019-02-26,73.7300,73.9000,73.2300,73.7200,73.1619,1004827,0.0000,1.0000
2019-02-25,74.3700,74.4600,73.4000,73.5000,72.9436,1292012,0.0000,1.0000
2019-02-22,74.0000,74.4300,73.5600,74.2300,73.6681,1395351,0.0000,1.0000
2019-02-21,72.2800,73.9000,72.0600,73.8600,73.3009,1487618,0.0000,1.0000
2019-02-20,73.4200,73.4500,71.8700,72.6800,72.1298,1888888,0.0000,1.0000
2019-02-19,73.0700,73.5800,73.0400,73.5300,72.9734,1393540,0.0000,1.0000
2019-02-15,73.7200,73.7400,72.9700,73.2100,72.6558,1968860,0.0000,1.0000
2019-02-14,73.3600,73.4700,72.8300,73.1200,72.5665,1037057,0.0000,1.0000
2019-02-13,72.2800,73.3700,72.1300,73.2900,72.7352,1246825,0.0000,1.0000
2019-02-12,73.4000,73.4000,72.3600,72.5400,71.9909,2018342,0.0000,1.0000
2019-02-11,73.4800,73.8500,73.1900,73.4600,72.9039,1587563,0.0000,1.0000
2019-02-08,73.2900,73.8400,73.1600,73.4400,72.8841,1695284,0.0000,1.0000
2019-02-07,72.8600,73.6250,72.4600,73.5400,72.9833,1470026,0.0000,1.0000
2019-02-06,72.8200,73.0100,72.4400,73.0000,72.4474,1192303,0.0000,1.0000
2019-02-05,72.3300,73.0000,71.8300,72.9500,72.3978,1334134,0.0000,1.0000
2019-02-04,71.6200,72.8100,71.4100,72.7900,72.2390,1518836,0.0000,1.0000
2019-02-01,72.7900,72.9400,70.7800,72.0200,71.4748,1528380,0.0000,1.0000
2019-01-31,71.4000,72.6700,71.0000,72.5600,72.0107,2403912,0.0000,1.0000
2019-01-30,72.0900,72.6800,71.6100,72.0000,71.4550,2494633,0.0000,1.0000
2019-01-29,71.4300,72.3800,71.4300,72.3700,71.8222,1966760,0.0000,1.0000
2019-01-28,70.3800,71.7300,70.3800,71.7200,71.1771,1647151,0.0000,1.0000
2019-01-25,70.4700,70.8800,70.2900,70.6700,70.1350,2190664,0.0000,1.0000
2019-01-24,70.3200,70.5800,69.6100,70.3500,69.8175,919947,0.0000,1.0000
2019-01-23,70.1400,70.6000,69.9500,70.3400,69.8075,2299079,0.0000,1.0000
