timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,45.0500,45.6400,44.7100,45.0900,45.0900,2407070,0.0000,1.0000
2019-03-22,46.1100,46.2900,44.4500,45.0200,45.0200,4064044,0.0000,1.0000
2019-03-21,47.2300,47.5093,46.3300,46.6000,46.6000,2921128,0.0000,1.0000
2019-03-20,49.0600,49.2700,47.3900,47.4600,47.4600,2636807,0.0000,1.0000
2019-03-19,49.9600,49.9900,49.0400,49.1800,49.1800,2019133,0.0000,1.0000
2019-03-18,49.3100,49.8500,49.2400,49.5900,49.5900,1223207,0.0000,1.0000
2019-03-15,48.8800,49.4400,48.7800,49.0200,49.0200,3351262,0.0000,1.0000
2019-03-14,48.5100,48.9300,48.2293,48.9000,48.9000,2097554,0.0000,1.0000
2019-03-13,48.2400,48.6800,48.0700,48.3800,48.3800,2232290,0.0000,1.0000
2019-03-12,47.5200,48.4700,47.3900,48.0500,48.0500,2264250,0.0000,1.0000
2019-03-11,47.0400,48.0989,46.8200,47.3600,47.3600,1571312,0.0000,1.0000
2019-03-08,46.6200,46.9300,46.4100,46.8600,46.8600,2717618,0.0000,1.0000
2019-03-07,48.2100,48.3300,46.7700,47.2300,47.2300,3293436,0.0000,1.0000
2019-03-06,49.2500,49.4400,48.3600,48.4400,48.4400,1874962,0.0000,1.0000
2019-03-05,49.1600,49.2300,48.4000,49.1000,49.1000,2497537,0.0000,1.0000
2019-03-04,50.7500,51.2500,48.7400,49.0700,49.0700,3644319,0.0000,1.0000
2019-03-01,49.3800,50.5900,49.2300,50.5200,50.5200,3945761,0.0000,1.0000
2019-02-28,49.3600,49.3950,48.9300,48.9900,48.9900,2340643,0.0000,1.0000
2019-02-27,48.9500,49.2900,48.6800,49.2800,49.2800,1717273,0.0000,1.0000
2019-02-26,48.5100,49.4950,48.4400,49.1400,49.1400,2408517,0.0000,1.0000
2019-02-25,49.0900,49.9650,48.6900,48.7500,48.7500,2439298,0.0000,1.0000
2019-02-22,48.3400,48.9000,48.3000,48.8900,48.8900,2830310,0.0000,1.0000
2019-02-21,48.4500,48.6300,47.9200,48.2300,48.2300,2895575,0.0000,1.0000
2019-02-20,47.8000,48.5000,47.6300,48.4400,48.4400,3896187,0.0000,1.0000
2019-02-19,47.1500,48.7400,47.1200,48.6500,48.6500,3484660,0.0000,1.0000
2019-02-15,46.9800,47.4800,46.6200,47.4600,47.4600,2632812,0.0000,1.0000
2019-02-14,46.8800,46.9000,46.1100,46.5600,46.5600,2434281,0.0000,1.0000
2019-02-13,47.7200,48.0600,47.0400,47.2800,47.2800,1993038,0.0000,1.0000
2019-02-12,46.8300,47.9100,46.6700,47.4700,47.4700,3012148,0.0000,1.0000
2019-02-11,45.9500,46.4950,45.7600,46.3800,46.3800,3179161,0.0000,1.0000
2019-02-08,46.3400,46.5800,45.5350,45.9300,45.9300,3569353,0.0000,1.0000
2019-02-07,46.6300,46.8000,45.9350,46.6400,46.6400,2106662,0.0000,1.0000
2019-02-06,46.9500,47.3450,46.6200,46.9400,46.9400,2250346,0.0000,1.0000
2019-02-05,47.5700,47.7700,46.6200,47.1600,47.1600,3961966,0.0000,1.0000
2019-02-04,47.4600,47.7300,47.0300,47.5700,47.5700,2993914,0.0000,1.0000
2019-02-01,46.7600,47.9400,46.6600,47.3000,47.3000,3255020,0.0000,1.0000
2019-01-31,46.1100,46.7100,45.6500,46.6600,46.6600,5114216,0.1400,1.0000
2019-01-30,47.5300,47.5300,45.8700,46.4400,46.3011,4198971,0.0000,1.0000
2019-01-29,47.5300,47.7850,47.2200,47.5000,47.3579,2525380,0.0000,1.0000
2019-01-28,47.3900,47.7500,47.2000,47.5100,47.3679,4186120,0.0000,1.0000
2019-01-25,47.9500,48.5000,47.2700,47.7700,47.6271,8102101,0.0000,1.0000
2019-01-24,49.2600,49.8200,48.9050,49.4800,49.3320,3569992,0.0000,1.0000
2019-01-23,50.3900,50.5700,48.8100,49.3000,49.1525,2802427,0.0000,1.0000
2019-01-22,50.2500,50.4600,49.5800,50.0800,49.9302,2612893,0.0000,1.0000
2019-01-18,50.1500,50.7500,49.3900,50.6600,50.5085,2711488,0.0000,1.0000
2019-01-17,49.1200,50.0300,48.4815,49.7200,49.5713,1870029,0.0000,1.0000
2019-01-16,48.2700,49.5850,48.2100,49.3400,49.1924,2133611,0.0000,1.0000
2019-01-15,47.4200,47.8800,46.9900,47.8000,47.6570,1639455,0.0000,1.0000
2019-01-14,47.4300,48.2500,47.3000,47.6000,47.4576,2129615,0.0000,1.0000
2019-01-11,47.3600,47.9000,46.8550,47.8800,47.7368,1360831,0.0000,1.0000
2019-01-10,47.2100,47.7700,46.8350,47.6600,47.5174,1865955,0.0000,1.0000
2019-01-09,46.5000,47.5850,46.4800,47.4700,47.3280,2755282,0.0000,1.0000
2019-01-08,46.2300,46.5000,45.4200,46.3500,46.2113,2657683,0.0000,1.0000
2019-01-07,45.3200,46.2100,44.8500,45.5700,45.4337,2200712,0.0000,1.0000
2019-01-04,44.2500,45.3800,44.0200,45.2800,45.1445,2081512,0.0000,1.0000
2019-01-03,44.1300,44.4200,43.3300,43.4000,43.2702,2943775,0.0000,1.0000
2019-01-02,43.0200,44.7500,43.0200,44.4700,44.3370,2599307,0.0000,1.0000
2018-12-31,43.9800,44.3000,43.2500,43.8800,43.7487,1776673,0.0000,1.0000
2018-12-28,43.8300,44.1700,43.0700,43.5300,43.3998,2652580,0.0000,1.0000
2018-12-27,42.3400,43.4900,41.9800,43.4800,43.3499,2994097,0.0000,1.0000
2018-12-26,41.4100,43.2400,40.4100,43.2200,43.0907,2960126,0.0000,1.0000
2018-12-24,41.2500,42.1100,41.0100,41.2700,41.1465,1610796,0.0000,1.0000
2018-12-21,42.3900,43.1200,41.7000,41.7400,41.6151,5065427,0.0000,1.0000
2018-12-20,42.6800,43.2100,42.1200,42.4500,42.3230,3601451,0.0000,1.0000
2018-12-19,43.5300,44.7300,42.8100,43.1000,42.9711,4473291,0.0000,1.0000
2018-12-18,43.5500,44.3500,43.2700,43.5100,43.3798,3293318,0.0000,1.0000
2018-12-17,43.3300,44.4000,43.0800,43.2300,43.1007,2840124,0.0000,1.0000
2018-12-14,43.7700,45.2300,43.4800,43.5500,43.4197,4405586,0.0000,1.0000
2018-12-13,45.6100,45.6600,44.0200,44.2600,44.1276,3455312,0.0000,1.0000
2018-12-12,45.7300,46.6650,45.3305,45.6200,45.4835,3897888,0.0000,1.0000
2018-12-11,45.9300,46.1300,44.8500,44.9000,44.7657,3745326,0.0000,1.0000
