timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,96.2300,96.3500,95.6200,95.8200,95.8200,1219872,0.0000,1.0000
2019-03-22,95.0000,96.7700,94.8800,96.1200,96.1200,1778670,0.0000,1.0000
2019-03-21,93.5700,95.0600,93.4100,94.9500,94.9500,1464613,0.0000,1.0000
2019-03-20,93.4600,94.3400,93.1400,93.5700,93.5700,1400620,0.0000,1.0000
2019-03-19,94.2800,94.4000,92.8200,93.1800,93.1800,1228325,0.0000,1.0000
2019-03-18,94.6500,94.9900,94.1400,94.4900,94.4900,1236079,0.0000,1.0000
2019-03-15,94.6100,95.2900,94.2450,94.6600,94.6600,4557426,0.0000,1.0000
2019-03-14,95.0000,95.6300,94.5700,94.9400,94.9400,2462801,0.0000,1.0000
2019-03-13,94.9900,95.5700,94.6500,95.0100,95.0100,1749239,0.0000,1.0000
2019-03-12,94.2000,94.9750,93.9600,94.8900,94.8900,1986417,0.0000,1.0000
2019-03-11,93.0100,93.9600,92.4500,93.9600,93.9600,2516449,0.0000,1.0000
2019-03-08,92.3800,92.5400,91.6000,92.4900,92.4900,1599985,0.0000,1.0000
2019-03-07,92.4000,93.0400,92.0200,92.1300,92.1300,2142614,0.0000,1.0000
2019-03-06,92.4300,92.6300,91.9000,92.0900,92.0900,1054535,0.0000,1.0000
2019-03-05,92.5300,92.6400,91.8900,92.1700,92.1700,1558158,0.0000,1.0000
2019-03-04,93.5700,93.8500,92.0000,92.6400,92.6400,1318624,0.0000,1.0000
2019-03-01,93.3300,93.5100,92.7400,93.2500,93.2500,1522059,0.0000,1.0000
2019-02-28,92.5400,93.6100,91.9500,93.3300,93.3300,1690867,0.0000,1.0000
2019-02-27,92.3800,93.1000,92.2050,92.4600,92.4600,1569087,0.0000,1.0000
2019-02-26,92.8400,93.1500,92.1400,92.7000,92.7000,1720536,0.0000,1.0000
2019-02-25,92.6700,92.6900,91.8200,92.4500,92.4500,1647157,0.0000,1.0000
2019-02-22,91.2600,92.8200,91.0600,92.7700,92.7700,1862382,0.0000,1.0000
2019-02-21,90.4600,91.4900,89.9800,91.1900,91.1900,3077032,0.0000,1.0000
