timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,50.3100,50.4900,50.0550,50.3800,50.3800,5553968,0.0000,1.0000
2019-03-22,49.7200,50.4700,49.6300,50.2800,50.2800,7286639,0.0000,1.0000
2019-03-21,49.1000,49.7450,48.9800,49.6600,49.6600,8557501,0.0000,1.0000
2019-03-20,49.2300,49.5800,48.9000,49.1000,49.1000,4776360,0.0000,1.0000
2019-03-19,49.6300,49.6600,48.8400,49.0800,49.0800,6530675,0.0000,1.0000
2019-03-18,50.0100,50.0850,49.4700,49.6700,49.6700,5582946,0.0000,1.0000
2019-03-15,49.5500,50.1950,49.4300,50.0000,50.0000,12012711,0.0000,1.0000
2019-03-14,49.6300,49.9900,49.4200,49.6200,49.6200,4097887,0.0000,1.0000
2019-03-13,49.4300,49.7000,49.3500,49.6300,49.6300,4653921,0.0000,1.0000
2019-03-12,49.1800,49.5600,49.1400,49.4600,49.4600,4840533,0.0000,1.0000
2019-03-11,48.7900,49.1400,48.6900,49.0800,49.0800,4504171,0.0000,1.0000
2019-03-08,48.6000,48.8200,48.3100,48.7800,48.7800,3405442,0.0000,1.0000
2019-03-07,48.6100,48.9500,48.4800,48.5500,48.5500,4137417,0.0000,1.0000
2019-03-06,48.4500,48.6000,48.1600,48.4300,48.4300,3542884,0.0000,1.0000
2019-03-05,48.3600,48.5600,48.2600,48.4200,48.4200,4382403,0.0000,1.0000
2019-03-04,48.6600,48.8100,48.0950,48.4500,48.4500,3729621,0.0000,1.0000
2019-03-01,48.7000,48.8250,48.3300,48.5400,48.5400,4724237,0.0000,1.0000
2019-02-28,48.2200,48.7900,48.0900,48.5900,48.5900,6281219,0.0000,1.0000
2019-02-27,48.3500,48.7900,48.2400,48.3000,48.3000,4955875,0.0000,1.0000
2019-02-26,48.6400,48.7500,48.2800,48.5600,48.5600,5395778,0.0000,1.0000
2019-02-25,48.9600,48.9700,48.1900,48.4200,48.4200,4001898,0.0000,1.0000
2019-02-22,48.6000,48.9100,48.4500,48.7400,48.7400,4250747,0.0000,1.0000
2019-02-21,47.8600,48.6200,47.8250,48.4900,48.4900,9513628,0.0000,1.0000
2019-02-20,48.0100,48.3400,47.8000,48.1300,48.1300,5817574,0.0000,1.0000
2019-02-19,48.0400,48.2050,47.7100,48.1500,48.1500,4836813,0.3625,1.0000
2019-02-15,48.1800,48.2600,47.9250,48.2600,47.8994,6128349,0.0000,1.0000
2019-02-14,47.8500,48.0800,47.5300,47.8600,47.5024,3876249,0.0000,1.0000
2019-02-13,47.8000,48.0200,47.7650,47.9000,47.5421,4375564,0.0000,1.0000
2019-02-12,47.9100,48.1050,47.4900,47.9200,47.5619,4609960,0.0000,1.0000
2019-02-11,47.6600,48.0700,47.5900,47.8000,47.4428,5659851,0.0000,1.0000
2019-02-08,46.1639,47.8100,46.0300,47.7200,47.3634,8799595,0.0000,1.0000
2019-02-07,47.3600,48.1650,47.1700,48.1300,47.7704,7132555,0.0000,1.0000
2019-02-06,47.1200,47.5400,46.9900,47.3200,46.9664,5118159,0.0000,1.0000
2019-02-05,47.2600,47.5000,47.0300,47.2900,46.9366,5072282,0.0000,1.0000
2019-02-04,47.2100,47.3400,46.8000,47.3400,46.9863,6413632,0.0000,1.0000
2019-02-01,47.6700,47.7700,47.1200,47.4600,47.1054,4859810,0.0000,1.0000
2019-01-31,46.6000,47.9300,46.4600,47.7600,47.4031,8023339,0.0000,1.0000
2019-01-30,46.1200,46.9000,46.1100,46.6500,46.3014,3786511,0.0000,1.0000
2019-01-29,46.3000,46.5100,46.0400,46.2000,45.8548,5140137,0.0000,1.0000
2019-01-28,46.4700,46.5700,45.8050,46.1500,45.8052,3555606,0.0000,1.0000
