timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,55.9300,56.0000,55.0100,55.2700,55.2700,2330357,0.0000,1.0000
2019-05-02,56.4300,56.9200,55.2800,55.8200,55.8200,2486232,0.0000,1.0000
2019-05-01,57.2300,57.3600,56.0350,56.0900,56.0900,3226566,0.0000,1.0000
2019-04-30,58.6500,59.0000,56.9900,57.2100,57.2100,3575881,0.0000,1.0000
2019-04-29,59.2000,59.4000,58.5600,58.7900,58.7900,1736014,0.0000,1.0000
2019-04-26,60.2200,60.2300,59.1900,59.3400,59.3400,1891059,0.0000,1.0000
2019-04-25,61.8100,61.9800,60.3100,60.4100,60.4100,1532502,0.0000,1.0000
2019-04-24,60.6000,62.0000,60.3000,61.8000,61.8000,1409997,0.0000,1.0000
2019-04-23,59.9400,60.5600,59.1300,60.2400,60.2400,1920055,0.0000,1.0000
2019-04-22,61.6100,61.8000,59.4500,59.6700,59.6700,1933015,0.0000,1.0000
2019-04-18,62.7600,62.8300,61.7400,61.8200,61.8200,1472214,0.0000,1.0000
2019-04-17,63.1500,63.4150,62.4500,62.7600,62.7600,1520134,0.3800,1.0000
2019-04-16,63.3700,63.5800,62.8900,63.5700,63.1874,2562666,0.0000,1.0000
2019-04-15,61.8100,63.0850,61.5300,63.0200,62.6407,2267074,0.0000,1.0000
2019-04-12,61.1500,61.9600,60.9500,61.9000,61.5275,1893806,0.0000,1.0000
2019-04-11,61.3200,61.9600,60.5300,60.7200,60.3546,2970965,0.0000,1.0000
2019-04-10,60.2200,61.2400,60.0800,61.2400,60.8714,3165945,0.0000,1.0000
2019-04-09,63.0100,63.0600,60.9100,61.1100,60.7422,3362207,0.0000,1.0000
2019-04-08,63.7500,64.4000,63.0900,63.3300,62.9489,2525183,0.0000,1.0000
2019-04-05,64.7100,65.0400,63.6700,63.7000,63.3166,2978918,0.0000,1.0000
2019-04-04,61.8900,64.4700,61.8100,64.4500,64.0621,3126383,0.0000,1.0000
2019-04-03,61.2100,62.3100,60.8200,61.8000,61.4281,2897738,0.0000,1.0000
2019-04-02,61.2200,61.5100,60.5200,60.6500,60.2850,3672166,0.0000,1.0000
2019-04-01,61.0600,61.2800,59.8900,61.2000,60.8317,2889276,0.0000,1.0000
2019-03-29,60.6100,60.7500,59.3300,60.6000,60.2353,2688005,0.0000,1.0000
2019-03-28,59.8500,60.9600,58.7700,60.3800,60.0166,3349704,0.0000,1.0000
2019-03-27,58.0500,59.0138,57.7300,58.9400,58.5853,2815912,0.0000,1.0000
2019-03-26,58.7400,58.9570,57.9350,58.2300,57.8796,1641490,0.0000,1.0000
2019-03-25,56.7100,58.7200,56.3500,58.2700,57.9193,3417821,0.0000,1.0000
2019-03-22,59.1700,59.7100,56.3101,56.9100,56.5675,3025629,0.0000,1.0000
2019-03-21,59.4900,60.1000,59.4500,59.8200,59.4600,2205545,0.0000,1.0000
2019-03-20,60.4800,60.7700,59.1000,59.4900,59.1320,1598390,0.0000,1.0000
2019-03-19,59.9800,61.0500,59.5100,60.5500,60.1856,2057183,0.0000,1.0000
2019-03-18,58.8600,60.1100,58.8600,59.8500,59.4898,2817898,0.0000,1.0000
2019-03-15,59.3100,59.5600,58.3800,58.9800,58.6250,3472416,0.0000,1.0000
2019-03-14,59.6800,59.8000,59.0050,59.3500,58.9928,2303620,0.0000,1.0000
2019-03-13,60.4000,60.5400,59.6600,59.7000,59.3407,2755449,0.0000,1.0000
2019-03-12,59.6700,60.1825,58.9200,60.1000,59.7383,3395272,0.0000,1.0000
2019-03-11,60.2500,60.7000,59.6900,59.8500,59.4898,3265401,0.0000,1.0000
2019-03-08,61.6500,61.7300,59.2200,60.0800,59.7184,3311659,0.0000,1.0000
2019-03-07,62.7900,62.8700,61.8100,62.1200,61.7461,2834102,0.0000,1.0000
2019-03-06,63.0500,63.8300,62.6900,63.1500,62.7699,2421563,0.0000,1.0000
2019-03-05,63.7000,63.8720,62.7200,62.7800,62.4022,3143684,0.0000,1.0000
2019-03-04,64.0000,64.3300,62.8900,63.3500,62.9687,5137485,0.0000,1.0000
2019-03-01,67.8500,68.0000,62.0300,63.0700,62.6904,12638306,0.0000,1.0000
2019-02-28,59.1200,59.9000,58.4097,59.5200,59.1618,3293278,0.0000,1.0000
2019-02-27,58.8800,59.6200,58.5300,59.3700,59.0127,3991372,0.0000,1.0000
2019-02-26,58.7200,59.7500,58.6100,58.8900,58.5356,2303904,0.0000,1.0000
2019-02-25,60.3300,60.6100,59.3000,59.8000,59.4401,2936390,0.0000,1.0000
2019-02-22,60.1500,60.2700,58.7100,59.6400,59.2811,2434436,0.0000,1.0000
2019-02-21,61.1000,61.3600,59.6400,60.0100,59.6488,2473811,0.0000,1.0000
2019-02-20,59.8700,60.3200,59.4700,60.0500,59.6886,1913405,0.0000,1.0000
2019-02-19,59.2700,60.0250,58.7400,59.8300,59.4699,1482753,0.0000,1.0000
2019-02-15,59.2800,59.8700,58.8600,59.2900,58.9332,1675776,0.0000,1.0000
