timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,74.4200,75.0700,73.9600,74.4700,74.4700,684083,0.0000,1.0000
2019-03-22,76.8300,77.0500,74.9600,74.9800,74.9800,1049290,0.0000,1.0000
2019-03-21,75.6200,78.1100,75.6200,77.6100,77.6100,744612,0.0000,1.0000
2019-03-20,76.0300,76.0500,74.9200,75.6800,75.6800,1059814,0.0000,1.0000
2019-03-19,77.4500,77.8200,75.9100,76.2700,76.2700,1126221,0.0000,1.0000
2019-03-18,77.5200,77.5600,76.4500,76.9200,76.9200,1099346,0.0000,1.0000
2019-03-15,77.2900,78.0800,76.8600,77.2400,77.2400,1660653,0.0000,1.0000
2019-03-14,78.3500,78.6500,77.0500,77.1600,77.1600,914638,0.0000,1.0000
2019-03-13,78.8200,79.1800,78.3700,78.4800,78.4800,1347604,0.0000,1.0000
2019-03-12,78.7400,78.9800,78.3300,78.4700,78.4700,645492,0.0000,1.0000
2019-03-11,77.9200,78.4400,77.8400,78.4400,78.4400,927887,0.0000,1.0000
2019-03-08,76.8800,77.5700,76.3200,77.5300,77.5300,1255047,0.0000,1.0000
2019-03-07,78.1000,78.3100,76.2000,77.8200,77.8200,1035222,0.0000,1.0000
2019-03-06,79.2800,79.6600,78.3900,78.4600,78.4600,934386,0.0000,1.0000
2019-03-05,78.8300,79.9500,78.6900,79.0900,79.0900,1156684,0.0000,1.0000
2019-03-04,78.7800,79.1600,77.2000,78.9600,78.9600,1843475,0.0000,1.1530
2019-03-01,89.5000,90.7400,88.9700,90.4400,78.4389,1146637,0.0000,1.0000
2019-02-28,89.1700,89.8300,89.1700,89.5000,77.6236,842636,0.0000,1.0000
2019-02-27,88.4100,89.8400,88.4100,89.6200,77.7277,555154,0.0000,1.0000
2019-02-26,89.2700,89.8700,88.5600,88.5800,76.8257,741605,0.0000,1.0000
2019-02-25,88.9500,89.9600,88.7200,89.3600,77.5022,604263,0.0000,1.0000
2019-02-22,88.6500,88.9600,88.2500,88.5100,76.7650,832486,12.4589,1.0000
2019-02-21,87.6200,88.3000,87.3500,88.2000,67.0570,988697,0.0000,1.0000
2019-02-20,86.4100,88.2200,86.3200,87.4500,66.4867,1227618,0.0000,1.0000
2019-02-19,84.6800,86.6000,83.9600,86.4900,65.7569,862808,0.0000,1.0000
2019-02-15,85.0100,85.4900,84.1700,85.3500,64.8901,1082766,0.0000,1.0000
2019-02-14,83.5600,84.6200,83.1900,83.9700,63.8410,1091673,0.0000,1.0000
2019-02-13,83.2700,84.5700,82.8800,84.2900,64.0842,1252120,0.0000,1.0000
2019-02-12,80.6200,83.7400,80.6000,82.2600,62.5409,2692872,0.0000,1.0000
2019-02-11,84.5300,84.9500,83.5300,84.7600,64.4416,1062012,0.0000,1.0000
2019-02-08,83.5000,84.5500,82.8300,84.5500,64.2819,629992,0.0000,1.0000
2019-02-07,84.6300,85.0100,83.2500,84.2300,64.0386,630293,0.0000,1.0000
2019-02-06,84.4400,86.3300,84.2000,85.4100,64.9358,833444,0.0000,1.0000
2019-02-05,85.0600,85.6400,84.6300,84.9900,64.6164,1143630,0.0000,1.0000
2019-02-04,85.4800,86.2900,84.6400,85.2000,64.7761,1290045,0.0000,1.0000
2019-02-01,85.2900,86.2300,82.8000,85.8300,65.2551,2575333,0.0000,1.0000
2019-01-31,79.4900,80.5100,77.6500,79.8000,60.6706,1296706,0.0000,1.0000
2019-01-30,80.4900,81.3300,79.4100,80.6000,61.2788,799317,0.0000,1.0000
2019-01-29,79.2500,80.3000,79.2400,80.1000,60.8987,752226,0.0000,1.0000
2019-01-28,78.3900,79.1800,78.1800,79.1200,60.1536,608754,0.0000,1.0000
2019-01-25,78.8500,79.7700,78.8500,79.3700,60.3437,772773,0.0000,1.0000
2019-01-24,77.8800,78.6500,77.5300,77.8000,59.1500,556265,0.0000,1.0000
2019-01-23,79.6000,79.8400,77.6300,78.0900,59.3705,816555,0.0000,1.0000
2019-01-22,80.0100,80.2400,79.0000,79.5600,60.4881,1324567,0.0000,1.0000
2019-01-18,80.0300,81.2100,79.8400,80.6500,61.3168,1147375,0.0000,1.0000
2019-01-17,78.4300,79.8100,78.4300,79.4200,60.3817,1039601,0.0000,1.0000
2019-01-16,79.0100,79.7950,78.7100,79.1700,60.1916,733607,0.0000,1.0000
2019-01-15,79.6700,80.1900,78.9750,79.2300,60.2372,665794,0.0000,1.0000
2019-01-14,79.3400,80.5500,79.0900,79.8900,60.7390,550526,0.0000,1.0000
2019-01-11,79.8600,80.7000,79.1010,80.3300,61.0735,573363,0.0000,1.0000
2019-01-10,78.9400,80.7100,78.3100,80.6700,61.3320,600134,0.0000,1.0000
2019-01-09,79.7700,80.3600,78.7800,79.4300,60.3893,722221,0.0000,1.0000
2019-01-08,78.2100,79.1000,78.2100,79.1000,60.1384,905237,0.0000,1.0000
2019-01-07,76.8800,78.9400,76.2500,77.7600,59.1196,1039133,0.0000,1.0000
2019-01-04,74.7500,77.1500,74.5000,76.8600,58.4353,1054905,0.0000,1.0000
2019-01-03,74.9600,75.1800,72.7900,73.0000,55.5007,1006736,0.0000,1.0000
2019-01-02,72.7400,75.4000,72.4200,75.0700,57.0744,892041,0.0000,1.0000
2018-12-31,73.4400,74.5050,73.0400,73.9600,56.2305,615291,0.0000,1.0000
2018-12-28,74.2100,74.5900,72.7800,73.2300,55.6755,794530,0.0000,1.0000
