timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,2.2100,2.2900,2.1200,2.2000,2.2000,2186165,0.0000,1.0000
2019-03-22,2.4400,2.4500,2.2000,2.2000,2.2000,4555126,0.0000,1.0000
2019-03-21,2.4000,2.5200,2.3800,2.4100,2.4100,3306019,0.0000,1.0000
2019-03-20,2.4400,2.5200,2.3900,2.4000,2.4000,3517509,0.0000,1.0000
2019-03-19,2.5500,2.5600,2.4000,2.4200,2.4200,3675071,0.0000,1.0000
2019-03-18,2.4400,2.5700,2.4400,2.5300,2.5300,2866684,0.0000,1.0000
2019-03-15,2.6000,2.6100,2.4100,2.4500,2.4500,5641824,0.0000,1.0000
2019-03-14,2.7300,2.7400,2.5900,2.5900,2.5900,2772800,0.0000,1.0000
2019-03-13,2.6900,2.7700,2.6500,2.6900,2.6900,2987962,0.0000,1.0000
2019-03-12,2.6400,2.7200,2.6100,2.6400,2.6400,3509882,0.0000,1.0000
2019-03-11,2.7100,2.7200,2.5700,2.6000,2.6000,3342174,0.0000,1.0000
2019-03-08,2.7200,2.7300,2.6200,2.6900,2.6900,1776110,0.0000,1.0000
2019-03-07,2.7600,2.8000,2.7000,2.7400,2.7400,2968844,0.0000,1.0000
2019-03-06,2.9600,2.9600,2.7400,2.7600,2.7600,4301386,0.0000,1.0000
2019-03-05,3.0700,3.0800,2.8700,2.9700,2.9700,4651901,0.0000,1.0000
2019-03-04,3.1600,3.1900,2.9200,3.0700,3.0700,5924641,0.0000,1.0000
2019-03-01,3.1100,3.1800,3.0099,3.1200,3.1200,4623447,0.0000,1.0000
2019-02-28,3.0500,3.1400,2.8600,3.0500,3.0500,13072337,0.0000,1.0000
2019-02-27,2.8200,3.5000,2.8200,2.9600,2.9600,30081384,0.0000,1.0000
2019-02-26,2.4200,2.5450,2.3800,2.5100,2.5100,6051993,0.0000,1.0000
2019-02-25,2.5600,2.5700,2.3900,2.4300,2.4300,6502989,0.0000,1.0000
2019-02-22,2.5800,2.6000,2.4500,2.5500,2.5500,3466676,0.0000,1.0000
2019-02-21,2.6600,2.6900,2.4600,2.5800,2.5800,5110627,0.0000,1.0000
2019-02-20,2.8100,2.8600,2.5700,2.6900,2.6900,5762767,0.0000,1.0000
2019-02-19,2.6100,2.8150,2.5100,2.7500,2.7500,5931033,0.0000,1.0000
2019-02-15,2.4000,2.6900,2.3800,2.6500,2.6500,6832217,0.0000,1.0000
2019-02-14,2.3100,2.3800,2.2300,2.3700,2.3700,2548359,0.0000,1.0000
2019-02-13,2.2900,2.4300,2.2700,2.3300,2.3300,4658328,0.0000,1.0000
2019-02-12,2.1000,2.2600,2.1000,2.2500,2.2500,4367177,0.0000,1.0000
2019-02-11,1.9800,2.1000,1.9500,2.0900,2.0900,3570877,0.0000,1.0000
2019-02-08,1.9300,1.9900,1.9000,1.9600,1.9600,4473909,0.0000,1.0000
2019-02-07,2.0200,2.0300,1.9000,1.9200,1.9200,5404679,0.0000,1.0000
2019-02-06,2.0800,2.2300,1.9700,1.9900,1.9900,10522394,0.0000,1.0000
2019-02-05,2.1700,2.2000,1.9500,2.1000,2.1000,6815360,0.0000,1.0000
2019-02-04,2.0500,2.1600,2.0500,2.1300,2.1300,2072934,0.0000,1.0000
2019-02-01,1.9900,2.0750,1.9900,2.0500,2.0500,2319465,0.0000,1.0000
2019-01-31,1.9900,2.0500,1.9350,2.0000,2.0000,2684335,0.0000,1.0000
2019-01-30,1.8500,1.9700,1.8100,1.9500,1.9500,3355808,0.0000,1.0000
2019-01-29,1.9300,1.9900,1.8400,1.8500,1.8500,4131229,0.0000,1.0000
