timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,166.2800,167.2100,165.4300,166.6200,166.6200,853973,0.0000,1.0000
2019-03-22,169.4000,169.5400,165.7100,165.8500,165.8500,816523,0.0000,1.0000
2019-03-21,168.3500,170.3620,168.1800,169.8300,169.8300,702536,0.0000,1.0000
2019-03-20,170.6900,170.9700,168.3600,168.4900,168.4900,871287,0.0000,1.0000
2019-03-19,172.5000,173.4809,170.3634,170.7200,170.7200,1314776,0.0000,1.0000
2019-03-18,169.7700,171.9900,169.6700,171.6700,171.6700,1718762,0.0000,1.0000
2019-03-15,169.6400,170.9600,168.6570,169.7900,169.7900,3972139,0.0000,1.0000
2019-03-14,171.3700,171.7100,169.5300,169.5900,169.5900,1261396,0.0000,1.0000
2019-03-13,169.4300,173.1000,169.0300,171.7200,171.7200,1244743,0.0000,1.0000
2019-03-12,169.5600,170.5300,168.5000,168.7700,168.7700,1452510,0.0000,1.0000
2019-03-11,165.1200,169.8600,164.6800,169.5100,169.5100,1443774,0.0000,1.0000
2019-03-08,165.1800,166.3200,164.1200,166.1400,166.1400,1324098,0.0000,1.0000
2019-03-07,166.1800,166.5350,163.9317,166.3400,166.3400,1218271,0.0000,1.0000
2019-03-06,167.8800,168.8316,166.3900,166.4700,166.4700,1080739,0.0000,1.0000
2019-03-05,166.7500,168.3800,166.7500,168.0300,168.0300,1837263,0.0000,1.0000
2019-03-04,170.4000,170.4000,166.4600,166.7500,166.7500,1706529,0.0000,1.0000
2019-03-01,171.0000,171.0300,168.5700,169.2800,169.2800,1109092,0.0000,1.0000
2019-02-28,169.2000,170.9800,168.8900,170.2200,170.2200,1739728,0.0000,1.0000
2019-02-27,169.4000,169.9900,168.2271,169.3400,169.3400,1514879,0.0000,1.0000
2019-02-26,172.8100,173.0400,169.9000,170.0000,170.0000,1424101,0.0000,1.0000
2019-02-25,174.0400,174.3600,172.9800,173.1400,173.1400,951883,0.0000,1.0000
2019-02-22,172.1700,172.7200,171.6300,172.5400,172.5400,1388412,0.0000,1.0000
2019-02-21,174.1800,174.3130,170.8900,171.6300,171.6300,979825,0.0000,1.0000
2019-02-20,174.8800,175.3088,173.4500,174.4500,174.4500,1038486,0.0000,1.0000
2019-02-19,175.0000,175.4700,173.7200,174.7800,174.7800,902428,0.0000,1.0000
2019-02-15,172.5400,175.4000,171.6900,175.2400,175.2400,1222893,0.0000,1.0000
2019-02-14,173.0200,173.0800,171.4900,172.1000,172.1000,843005,0.0000,1.0000
2019-02-13,173.4400,174.3800,173.0100,173.4800,173.4800,1053570,0.0000,1.0000
2019-02-12,171.6300,173.1900,171.3800,172.7600,172.7600,1303432,0.0000,1.0000
2019-02-11,172.4700,172.9000,170.6800,170.9300,170.9300,1159739,0.0000,1.0000
2019-02-08,172.8600,173.2650,171.3000,172.1200,172.1200,2255589,0.0000,1.0000
2019-02-07,172.1200,173.6400,170.4500,173.5900,173.5900,1538450,0.0000,1.0000
2019-02-06,171.9800,174.5299,171.9800,172.7600,172.7600,1180302,0.0000,1.0000
2019-02-05,174.6100,174.9500,171.9900,172.2200,172.2200,1583308,0.0000,1.0000
2019-02-04,169.3800,174.6100,169.2200,174.6100,174.6100,1664657,0.0000,1.0000
2019-02-01,171.3800,172.0000,168.2500,169.0300,169.0300,1716653,0.0000,1.0000
2019-01-31,169.1800,173.3000,169.0800,171.1700,171.1700,2162600,0.0000,1.0000
2019-01-30,169.8400,171.3500,165.0200,170.9100,170.9100,4073435,0.0000,1.0000
2019-01-29,172.7300,176.1600,172.7300,176.0000,176.0000,1573800,0.0000,1.0000
2019-01-28,169.6800,172.2600,169.2200,172.1900,172.1900,1285015,0.0000,1.0000
2019-01-25,172.6500,172.9000,170.8000,171.2200,171.2200,1192090,0.0000,1.0000
2019-01-24,169.1900,172.5000,169.1900,170.8200,170.8200,1329668,0.0000,1.0000
2019-01-23,168.4800,169.9100,166.1400,168.8100,168.8100,1199772,0.0000,1.0000
2019-01-22,167.6500,168.7900,165.5648,167.2200,167.2200,1298110,0.0000,1.0000
2019-01-18,167.0000,170.1300,166.2400,168.5800,168.5800,1665849,0.0000,1.0000
2019-01-17,162.0000,166.8300,161.7500,165.7200,165.7200,976433,0.9300,1.0000
2019-01-16,162.7900,164.6800,162.6900,163.6000,162.6870,1090766,0.0000,1.0000
2019-01-15,164.8500,165.3900,162.3900,163.1400,162.2296,1906833,0.0000,1.0000
2019-01-14,162.3000,164.9400,162.2400,164.5300,163.6118,1367952,0.0000,1.0000
2019-01-11,161.2800,163.8500,160.9000,163.8100,162.8958,1239323,0.0000,1.0000
2019-01-10,160.2700,162.5500,159.3700,162.4300,161.5235,1131560,0.0000,1.0000
2019-01-09,159.2600,161.5100,159.1600,160.9000,160.0021,1483825,0.0000,1.0000
2019-01-08,159.2900,159.9200,156.7500,158.6600,157.7746,1350339,0.0000,1.0000
2019-01-07,157.6300,159.6700,155.9300,158.6500,157.7646,1047431,0.0000,1.0000
2019-01-04,155.3500,157.8300,154.1200,157.7700,156.8896,1839965,0.0000,1.0000
2019-01-03,156.0000,156.7300,152.4400,153.3700,152.5141,1436004,0.0000,1.0000
2019-01-02,155.3200,157.4643,153.8200,157.2600,156.3824,1276344,0.0000,1.0000
2018-12-31,156.4100,157.2100,155.3895,157.2100,156.3327,1223431,0.0000,1.0000
2018-12-28,155.9900,157.3600,154.2700,155.3200,154.4532,1455825,0.0000,1.0000
2018-12-27,150.3500,155.1700,148.6300,155.1200,154.2543,1720279,0.0000,1.0000
2018-12-26,147.9500,152.2600,143.8700,152.1700,151.3208,2180697,0.0000,1.0000
2018-12-24,148.7600,149.6800,145.3400,148.2100,147.3829,1572169,0.0000,1.0000
2018-12-21,151.6500,154.9900,149.7700,150.4900,149.6502,4348257,0.0000,1.0000
2018-12-20,158.0200,159.1200,153.0100,154.6100,153.7472,2494783,0.0000,1.0000
2018-12-19,161.8000,163.7800,157.1648,158.9900,158.1027,2088729,0.0000,1.0000
2018-12-18,164.7100,166.5000,161.8249,162.8100,161.9014,1688897,0.0000,1.0000
2018-12-17,168.5900,168.8350,162.4700,163.4500,162.5379,2420585,0.0000,1.0000
2018-12-14,169.2900,171.4100,168.5400,168.9700,168.0271,1898214,0.0000,1.0000
2018-12-13,172.1600,173.1850,170.5000,171.0100,170.0557,2760726,0.0000,1.0000
2018-12-12,174.5400,175.3600,171.0000,171.2200,170.2645,3235232,0.0000,1.0000
2018-12-11,174.5600,177.6800,170.8800,172.2700,171.3086,2391689,0.0000,1.0000
2018-12-10,169.1900,173.6000,168.5450,172.2000,171.2390,2253745,0.0000,1.0000
2018-12-07,170.5400,173.5300,166.7100,167.3800,166.4459,1779150,0.0000,1.0000
2018-12-06,170.8900,171.9200,165.3000,171.0200,170.0656,2481726,0.0000,1.0000
2018-12-04,180.4100,180.8519,172.9700,173.1800,172.2136,1760593,0.0000,1.0000
2018-12-03,187.0600,187.4700,180.7900,181.5700,180.5567,1399249,0.0000,1.0000
2018-11-30,182.3500,185.0400,182.3500,184.8900,183.8582,1647051,0.0000,1.0000
2018-11-29,181.6600,183.2400,180.8400,182.1700,181.1534,1823219,0.0000,1.0000
2018-11-28,179.3400,183.7052,179.0400,182.0300,181.0142,1589828,0.0000,1.0000
2018-11-27,178.5500,179.4700,176.5000,178.6400,177.6431,1524829,0.0000,1.0000
2018-11-26,179.5200,180.5900,177.4500,179.6900,178.6872,1370127,0.0000,1.0000
2018-11-23,175.9800,179.4600,175.2900,178.2600,177.2652,447167,0.0000,1.0000
2018-11-21,177.0000,178.6300,176.2600,176.7500,175.7636,1112983,0.0000,1.0000
2018-11-20,176.5400,177.4900,175.1600,175.9200,174.9383,1546815,0.0000,1.0000
2018-11-19,183.1600,183.1600,178.4900,179.3800,178.3790,986715,0.0000,1.0000
2018-11-16,181.3400,184.9050,180.8800,183.0600,182.0384,1584879,0.0000,1.0000
2018-11-15,178.0000,182.5399,177.5000,182.3400,181.3224,1206658,0.0000,1.0000
2018-11-14,181.4400,182.4700,178.9400,179.8400,178.8364,1790392,0.0000,1.0000
2018-11-13,181.7600,183.9300,179.4500,180.0800,179.0751,1298412,0.0000,1.0000
2018-11-12,184.9600,185.5200,180.5900,181.0100,179.9999,1146992,0.0000,1.0000
2018-11-09,183.3600,185.1500,183.0000,184.5000,183.4704,1245220,0.0000,1.0000
2018-11-08,185.0200,185.8100,184.0300,184.5600,183.5301,1316992,0.0000,1.0000
2018-11-07,184.8200,185.3300,182.1400,185.0300,183.9974,1879173,0.0000,1.0000
2018-11-06,177.6800,182.8400,177.6800,182.2000,181.1832,1637152,0.0000,1.0000
2018-11-05,177.5400,179.8900,176.8800,177.9700,176.9768,2455793,0.0000,1.0000
2018-11-02,178.9700,181.8200,176.4400,176.9800,175.9924,3515873,0.0000,1.0000
2018-11-01,173.2700,179.3300,173.1900,178.4000,177.4044,1848498,0.0000,1.0000
2018-10-31,173.5100,175.6200,172.2400,172.5800,171.6169,2215340,0.0000,1.0000
2018-10-30,167.3800,172.6200,166.4400,171.8900,170.9308,2405798,0.0000,1.0000
2018-10-29,170.7200,172.5200,164.7600,167.0400,166.1078,2586698,0.0000,1.0000
2018-10-26,168.7100,171.8800,167.2700,169.8600,168.9121,2877247,0.0000,1.0000
2018-10-25,172.9800,173.7700,169.3200,170.6000,169.6480,3254619,0.0000,1.0000
2018-10-24,184.8400,186.0000,172.8600,173.2400,172.2732,4887617,0.0000,1.0000
2018-10-23,187.6200,190.0800,186.7500,187.7500,186.7023,1914380,0.0000,1.0000
2018-10-22,190.9100,191.7600,189.0000,190.1400,189.0789,1138173,0.0000,1.0000
2018-10-19,191.4400,192.3300,190.2300,190.2600,189.1982,942810,0.0000,1.0000
2018-10-18,192.2900,193.6750,190.0000,191.2200,190.1529,1072906,0.0000,1.0000
2018-10-17,195.4300,196.0400,193.4100,193.8400,192.7583,1014936,0.0000,1.0000
2018-10-16,193.2900,195.1900,191.7700,194.7100,193.6234,1081877,0.0000,1.0000
2018-10-15,192.0600,194.4000,191.9200,192.6300,191.5550,1044509,0.0000,1.0000
2018-10-12,195.6400,195.6454,189.4200,191.8500,190.7794,1310429,0.0000,1.0000
2018-10-11,197.7700,198.1600,192.6600,192.9400,191.8633,2066005,0.0000,1.0000
2018-10-10,204.1600,204.1600,197.7200,197.8200,196.7161,1648190,0.0000,1.0000
2018-10-09,206.5400,207.0000,204.0100,204.1600,203.0207,931893,0.0000,1.0000
2018-10-08,206.0300,207.4700,205.3300,207.1600,206.0039,1528948,0.0000,1.0000
2018-10-05,206.0900,207.7200,205.5112,206.3200,205.1686,1923303,0.0000,1.0000
2018-10-04,204.3000,206.1800,203.8100,205.9100,204.7609,970363,0.9300,1.0000
2018-10-03,205.7100,206.6335,204.6700,205.7200,203.6522,1095981,0.0000,1.0000
2018-10-02,205.7700,205.9400,204.0600,204.9800,202.9196,797917,0.0000,1.0000
2018-10-01,206.0000,206.1900,204.5600,205.5000,203.4344,830613,0.0000,1.0000
2018-09-28,201.9800,204.9900,201.1100,204.7200,202.6622,1569650,0.0000,1.0000
2018-09-27,202.2700,202.5300,201.0900,202.0800,200.0488,947299,0.0000,1.0000
2018-09-26,203.5000,203.9700,201.4900,201.8600,199.8310,1223308,0.0000,1.0000
2018-09-25,202.6800,203.8650,201.7300,203.4800,201.4347,877343,0.0000,1.0000
2018-09-24,204.3000,204.6100,202.2800,202.8300,200.7912,1133634,0.0000,1.0000
2018-09-21,204.0900,206.1500,203.7600,204.6600,202.6028,2464232,0.0000,1.0000
2018-09-20,204.5000,205.1700,200.4500,202.8600,200.8209,1347655,0.0000,1.0000
2018-09-19,204.7900,206.3800,203.4300,204.0100,201.9594,1363927,0.0000,1.0000
2018-09-18,202.8000,204.9500,202.4300,204.6100,202.5533,1050935,0.0000,1.0000
2018-09-17,200.6300,202.8800,200.3382,202.4300,200.3952,1072419,0.0000,1.0000
2018-09-14,198.6300,200.6300,198.3400,200.5100,198.4945,998183,0.0000,1.0000
2018-09-13,197.1300,198.8100,196.9200,198.5700,196.5740,949259,0.0000,1.0000
2018-09-12,195.5700,197.0100,195.5035,196.2000,194.2279,886573,0.0000,1.0000
2018-09-11,194.7300,196.6000,194.7000,196.0600,194.0893,960738,0.0000,1.0000
2018-09-10,195.1900,196.9000,195.0400,195.6900,193.7230,1083615,0.0000,1.0000
2018-09-07,194.7700,195.4200,193.7458,194.7100,192.7528,998094,0.0000,1.0000
2018-09-06,194.4000,195.9400,194.1982,195.2400,193.2775,741405,0.0000,1.0000
2018-09-05,191.8500,194.3500,191.6400,193.9800,192.0302,1162590,0.0000,1.0000
2018-09-04,192.4800,193.3800,191.3970,192.6100,190.6739,741076,0.0000,1.0000
2018-08-31,191.5900,193.6000,191.3500,193.4000,191.4560,1032452,0.0000,1.0000
2018-08-30,194.4100,196.1495,192.0500,192.5100,190.5749,1016179,0.0000,1.0000
2018-08-29,195.4300,195.9500,193.7100,194.7100,192.7528,976789,0.0000,1.0000
2018-08-28,196.2000,196.4000,194.9300,195.6200,193.6537,1015079,0.0000,1.0000
2018-08-27,193.0000,195.7700,193.0000,195.2900,193.3270,885311,0.0000,1.0000
2018-08-24,192.0000,192.6510,191.3700,192.5900,190.6541,619099,0.0000,1.0000
2018-08-23,192.3800,192.9900,191.4000,191.5900,189.6642,855541,0.0000,1.0000
2018-08-22,194.3900,194.9100,192.2700,192.4800,190.5452,806725,0.0000,1.0000
2018-08-21,194.6500,195.6185,193.8300,194.9600,193.0003,1013396,0.0000,1.0000
2018-08-20,194.2500,195.5700,193.8600,194.9200,192.9607,936044,0.0000,1.0000
2018-08-17,192.8000,194.0300,192.2250,193.6800,191.7332,808145,0.0000,1.0000
2018-08-16,192.6300,194.0600,191.9800,192.4400,190.5057,999914,0.0000,1.0000
2018-08-15,192.8300,193.4700,190.7700,192.3100,190.3770,1121022,0.0000,1.0000
2018-08-14,192.0000,194.1700,191.7500,193.6300,191.6837,779140,0.0000,1.0000
2018-08-13,191.9300,192.7800,190.4800,191.8400,189.9117,813145,0.0000,1.0000
2018-08-10,192.3800,192.7700,190.6600,191.8100,189.8820,954278,0.0000,1.0000
2018-08-09,194.9800,195.2999,192.4000,192.5700,190.6343,861599,0.0000,1.0000
2018-08-08,196.2700,196.4400,194.0200,195.1300,193.1686,1051217,0.0000,1.0000
2018-08-07,194.9700,196.4100,194.2200,196.2800,194.3071,1208447,0.0000,1.0000
2018-08-06,193.6800,193.7700,192.1200,193.5200,191.5748,2042784,0.0000,1.0000
2018-08-03,194.0400,194.5400,191.8500,194.0900,192.1391,2613355,0.0000,1.0000
2018-08-02,194.1800,196.8250,193.2700,194.9400,192.9805,2201000,0.0000,1.0000
2018-08-01,199.3900,199.8900,195.5600,196.0100,194.0398,1465087,0.0000,1.0000
2018-07-31,198.5500,200.3500,197.6000,199.7600,197.7521,2239269,0.0000,1.0000
2018-07-30,198.6500,200.2100,195.9800,196.2600,194.2873,1064430,0.0000,1.0000
2018-07-27,201.3500,202.0500,197.9800,198.6500,196.6532,1203424,0.0000,1.0000
2018-07-26,202.0200,203.6750,199.3400,200.4800,198.4648,2346798,0.0000,1.0000
2018-07-25,198.8000,204.0600,195.4100,203.4500,201.4050,2556116,0.0000,1.0000
2018-07-24,195.0000,198.8000,193.6900,196.7500,194.7723,2108540,0.0000,1.0000
2018-07-23,195.2800,195.5700,192.7800,193.2300,191.2877,1213507,0.0000,1.0000
2018-07-20,193.8900,196.1300,193.6900,195.2800,193.3171,965008,0.0000,1.0000
2018-07-19,194.9400,195.7184,193.4400,194.3500,192.3965,1086911,0.0000,1.0000
2018-07-18,192.2500,195.9200,191.2200,195.4300,193.4656,1522669,0.0000,1.0000
2018-07-17,191.5300,192.5500,190.4600,192.3200,190.3869,1210836,0.0000,1.0000
2018-07-16,193.1400,193.7500,190.7000,191.5000,189.5751,1163866,0.0000,1.0000
2018-07-13,193.2400,195.0650,192.4700,192.7400,190.8026,1838778,0.0000,1.0000
2018-07-12,193.0100,194.0600,191.9200,193.6400,191.6936,1333701,0.0000,1.0000
2018-07-11,192.0400,192.0800,190.8300,191.5100,189.5850,1005204,0.0000,1.0000
2018-07-10,192.2300,194.3100,191.7700,192.8000,190.8620,1353727,0.0000,1.0000
2018-07-09,189.2100,192.3000,188.7000,191.5400,189.6147,1249607,0.0000,1.0000
2018-07-06,188.5700,190.1800,187.3050,188.8400,186.9418,1484484,0.0000,1.0000
2018-07-05,189.4100,189.8600,187.6600,188.7000,186.8032,1498677,0.9300,1.0000
2018-07-03,188.4500,193.3500,188.0000,189.6900,186.8624,1765392,0.0000,1.0000
2018-07-02,185.1900,187.5400,184.6480,187.3700,184.5769,1036925,0.0000,1.0000
2018-06-29,188.0100,188.6300,186.2800,186.4100,183.6312,1580993,0.0000,1.0000
2018-06-28,186.1200,188.2500,184.2050,187.4400,184.6459,1070562,0.0000,1.0000
2018-06-27,189.1600,190.7200,185.8500,185.8900,183.1190,1762216,0.0000,1.0000
2018-06-26,189.2700,189.9600,187.8550,188.8000,185.9856,1435070,0.0000,1.0000
2018-06-25,188.2600,190.1200,187.0483,189.1000,186.2811,1288909,0.0000,1.0000
2018-06-22,190.1000,190.1400,187.4600,189.3800,186.5570,1703453,0.0000,1.0000
2018-06-21,190.4400,191.6600,187.3100,188.4300,185.6211,2401607,0.0000,1.0000
2018-06-20,191.0800,191.9500,190.1800,191.4000,188.5469,1049610,0.0000,1.0000
