timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,9.9600,10.1300,9.8100,9.8800,9.8800,48230572,0.0000,1.0000
2019-03-22,10.2200,10.2400,9.9200,9.9800,9.9800,81563530,0.0000,1.0000
2019-03-21,10.2000,10.3300,10.1300,10.2700,10.2700,50518944,0.0000,1.0000
2019-03-20,10.1300,10.3300,10.1200,10.2200,10.2200,48370030,0.0000,1.0000
2019-03-19,10.2200,10.3400,10.1400,10.1900,10.1900,54680925,0.0000,1.0000
2019-03-18,9.9900,10.3100,9.9700,10.2000,10.2000,91647450,0.0000,1.0000
2019-03-15,10.2900,10.4450,9.9000,9.9600,9.9600,189194132,0.0000,1.0000
2019-03-14,10.3000,10.5000,10.1950,10.3000,10.3000,133870752,0.0000,1.0000
2019-03-13,9.7300,10.0500,9.7000,10.0200,10.0200,74164484,0.0000,1.0000
2019-03-12,9.9300,10.1400,9.6600,9.7600,9.7600,99369549,0.0000,1.0000
2019-03-11,9.4500,10.0200,9.3300,9.9000,9.9000,106050446,0.0000,1.0000
2019-03-08,9.3300,9.6800,9.2800,9.5800,9.5800,87518653,0.0100,1.0000
2019-03-07,9.0800,9.4500,9.0700,9.4500,9.4401,127481095,0.0000,1.0000
2019-03-06,9.2600,9.6400,9.0500,9.1100,9.1005,205777726,0.0000,1.0000
2019-03-05,10.3800,10.5700,9.5800,9.8900,9.8797,178783618,0.0000,1.0000
2019-03-04,10.3200,10.5150,10.2150,10.3800,10.3692,69762946,0.0000,1.0000
2019-03-01,10.4500,10.5200,10.0500,10.2700,10.2593,89000221,0.0000,1.0000
2019-02-28,10.8200,10.8500,10.3300,10.3900,10.3792,90862093,0.0000,1.0000
2019-02-27,10.8300,10.9300,10.6400,10.8800,10.8687,108833393,0.0000,1.0000
2019-02-26,10.7850,10.8950,10.5300,10.6600,10.6489,103990626,0.4203,1.0000
2019-02-25,11.5700,11.7500,10.7800,10.8200,10.3987,290232426,0.0000,1.0000
2019-02-22,10.0500,10.1800,9.9900,10.1700,9.7740,50741310,0.0000,1.0000
2019-02-21,10.0300,10.1950,10.0000,10.0300,9.6395,49533182,0.0000,1.0000
2019-02-20,10.0900,10.1300,10.0100,10.1000,9.7068,48648592,0.0000,1.0000
2019-02-19,10.0300,10.1500,9.9500,10.1300,9.7356,63568393,0.0000,1.0000
2019-02-15,10.1200,10.2800,10.0600,10.0900,9.6972,78344511,0.0000,1.0000
2019-02-14,10.2900,10.3000,9.9500,10.0400,9.6491,93387111,0.0000,1.0000
2019-02-13,9.9800,10.4200,9.9500,10.3700,9.9663,98937023,0.0000,1.0000
2019-02-12,10.0700,10.1550,9.9100,9.9800,9.5914,67122315,0.0000,1.0000
2019-02-11,9.8700,10.1500,9.8300,10.0300,9.6395,70687506,0.0000,1.0000
2019-02-08,10.0100,10.1000,9.5400,9.8100,9.4281,118549512,0.0000,1.0000
2019-02-07,10.4200,10.4400,9.9700,10.0600,9.6683,108704197,0.0000,1.0000
2019-02-06,10.6701,10.9100,10.4300,10.4700,10.0624,120486531,0.0000,1.0000
2019-02-05,10.2500,10.6500,10.1700,10.6300,10.2161,102823122,0.0000,1.0000
2019-02-04,10.2700,10.3400,10.1000,10.2100,9.8125,103243874,0.0000,1.0000
2019-02-01,10.2000,10.4300,9.9600,10.1900,9.7933,158161788,0.0000,1.0000
2019-01-31,9.9400,10.7700,9.7600,10.1600,9.7644,348639470,0.0000,1.0000
2019-01-30,8.9800,9.2800,8.8800,9.1000,8.7457,86434567,0.0000,1.0000
