timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,145.3200,146.4800,144.3800,145.9000,145.9000,807717,0.0000,1.0000
2019-05-02,144.0400,146.3500,142.0600,144.3300,144.3300,1814663,0.0000,1.0000
2019-05-01,146.9100,147.4200,144.0600,144.0800,144.0800,1739594,0.0000,1.0000
2019-04-30,146.0500,147.5000,144.6700,146.0700,146.0700,1147484,0.0000,1.0000
2019-04-29,145.3200,145.9000,144.2900,145.3800,145.3800,875033,0.0000,1.0000
2019-04-26,144.0000,144.9000,143.0400,144.8900,144.8900,569868,0.0000,1.0000
2019-04-25,142.6600,143.8400,142.4200,143.4300,143.4300,780113,0.0000,1.0000
2019-04-24,142.8000,143.4400,142.3700,142.8900,142.8900,807160,0.0000,1.0000
2019-04-23,140.9800,144.1300,140.7000,143.7100,143.7100,973110,0.0000,1.0000
2019-04-22,139.3600,140.7100,138.9800,140.5800,140.5800,663947,0.0000,1.0000
2019-04-18,138.5300,139.8200,138.2400,139.6700,139.6700,796481,0.0000,1.0000
2019-04-17,139.4000,139.4700,138.3400,138.6400,138.6400,735295,0.0000,1.0000
2019-04-16,139.1900,139.8200,138.3200,138.8200,138.8200,724053,0.0000,1.0000
2019-04-15,138.9600,139.3100,138.0800,138.3100,138.3100,781842,0.0000,1.0000
2019-04-12,137.8700,139.1800,137.7000,139.1400,139.1400,746291,0.0000,1.0000
2019-04-11,137.4600,137.5900,136.3500,137.0700,137.0700,707571,0.0000,1.0000
2019-04-10,136.6000,137.4300,136.5500,137.0500,137.0500,857656,0.0000,1.0000
2019-04-09,135.9400,137.0600,135.9200,136.6800,136.6800,520838,0.0000,1.0000
2019-04-08,136.7100,136.7100,134.9800,136.6300,136.6300,875606,0.0000,1.0000
2019-04-05,135.9400,136.9300,135.7000,136.9000,136.9000,802072,0.0000,1.0000
2019-04-04,137.8300,138.5000,135.1000,135.6900,135.6900,1684295,0.0000,1.0000
2019-04-03,139.0500,139.4000,137.5750,137.8000,137.8000,1066894,0.0000,1.0000
2019-04-02,138.7300,139.1500,138.2600,138.8000,138.8000,788899,0.0000,1.0000
2019-04-01,137.8800,138.8850,137.6100,138.6600,138.6600,872091,0.0000,1.0000
2019-03-29,135.9500,136.7800,135.3500,136.5200,136.5200,862778,0.0000,1.0000
2019-03-28,134.5400,135.3500,133.9500,135.1500,135.1500,1141926,0.0000,1.0000
2019-03-27,134.8800,136.0400,132.8400,133.9900,133.9900,685774,0.0000,1.0000
2019-03-26,133.9500,134.8000,133.3800,134.6900,134.6900,791519,0.0000,1.0000
2019-03-25,133.6300,133.7900,132.2340,132.9000,132.9000,795464,0.0000,1.0000
2019-03-22,135.5800,136.3700,133.9300,134.0000,134.0000,699450,0.0000,1.0000
2019-03-21,132.3500,136.6700,132.3500,136.1500,136.1500,665638,0.0000,1.0000
2019-03-20,134.3700,134.8100,132.4400,133.3600,133.3600,1224309,0.0000,1.0000
2019-03-19,134.3200,135.6600,134.0500,134.3500,134.3500,1025939,0.0000,1.0000
2019-03-18,135.0000,137.1300,133.3100,134.0400,134.0400,1134445,0.0000,1.0000
2019-03-15,132.1700,134.5100,132.1700,134.1200,134.1200,1232087,0.0000,1.0000
2019-03-14,132.7800,133.5700,131.9700,132.3500,132.3500,1005157,0.0100,1.0000
2019-03-13,132.4300,134.4900,132.0100,133.0000,132.9900,1198734,0.0000,1.0000
2019-03-12,132.2900,132.5000,131.1300,131.8900,131.8800,973915,0.0000,1.0000
2019-03-11,130.5000,131.9900,130.4800,131.8900,131.8800,843422,0.0000,1.0000
2019-03-08,128.3200,130.3900,128.1200,130.3200,130.3102,1078518,0.0000,1.0000
2019-03-07,129.5100,130.1100,128.6400,129.8700,129.8602,1732188,0.0000,1.0000
2019-03-06,130.0700,130.9300,129.3600,129.5500,129.5402,959211,0.0000,1.0000
2019-03-05,130.6900,130.8199,129.6500,129.9400,129.9302,1043555,0.0000,1.0000
2019-03-04,131.8300,132.1625,129.3800,130.5400,130.5301,1265088,0.0000,1.0000
2019-03-01,131.5000,132.1600,130.5400,131.4900,131.4801,782307,0.0000,1.0000
2019-02-28,129.6000,130.9700,128.8500,130.3800,130.3701,1352565,0.0000,1.0000
2019-02-27,127.8900,129.4650,127.6300,129.2800,129.2702,855579,0.0000,1.0000
2019-02-26,128.1500,128.9300,127.4800,128.4000,128.3903,1054780,0.0000,1.0000
2019-02-25,128.8500,129.0900,128.0500,128.2200,128.2103,1056599,0.0000,1.0000
2019-02-22,127.3500,127.9100,126.4700,127.7300,127.7203,710066,0.0000,1.0000
2019-02-21,125.9400,126.7700,125.4200,126.6200,126.6104,1403057,0.0000,1.0000
2019-02-20,124.9400,125.9400,124.6000,125.9400,125.9305,1741452,0.0000,1.0000
2019-02-19,122.4100,124.6500,122.4100,124.3700,124.3606,1102330,0.0000,1.0000
2019-02-15,122.3800,123.5800,121.9800,123.3000,123.2907,1510225,0.0000,1.0000
2019-02-14,122.9100,123.2300,120.2000,121.5500,121.5408,1507136,0.0000,1.0000
2019-02-13,121.0500,123.1950,120.1100,122.7500,122.7407,2699444,0.0000,1.0000
2019-02-12,116.7300,117.8700,115.9400,117.4200,117.4111,1685740,0.0000,1.0000
2019-02-11,115.6000,116.9300,115.3050,116.0200,116.0112,1631657,0.0000,1.0000
2019-02-08,112.1400,114.9200,112.1400,114.9000,114.8913,1181104,0.0000,1.0000
2019-02-07,113.3300,114.4200,112.8100,113.0000,112.9915,1925920,0.0000,1.0000
2019-02-06,115.0500,115.4175,114.2800,114.3200,114.3114,1541264,0.0000,1.0000
2019-02-05,115.3000,115.7300,114.8500,115.3000,115.2913,1565498,0.0000,1.0000
2019-02-04,113.8600,115.5000,113.8500,115.1200,115.1113,1079088,0.0000,1.0000
2019-02-01,112.0900,114.0000,112.0900,113.7600,113.7514,1623660,0.0000,1.0000
2019-01-31,113.2400,114.0000,111.6500,112.2800,112.2715,1719613,0.0000,1.0000
2019-01-30,111.6000,114.1200,111.3100,113.6800,113.6714,1358416,0.0000,1.0000
2019-01-29,111.6500,112.2200,110.6900,110.7000,110.6916,923113,0.0000,1.0000
2019-01-28,111.9200,111.9400,110.8000,111.6500,111.6416,1101658,0.0000,1.0000
2019-01-25,112.9500,113.7900,112.3650,113.2300,113.2214,1837474,0.0000,1.0000
2019-01-24,111.5300,112.6400,111.2600,112.2300,112.2215,1305751,0.0000,1.0000
2019-01-23,110.4000,111.8050,109.9500,111.2800,111.2716,2972762,0.0000,1.0000
2019-01-22,114.1900,114.2400,112.0700,112.6900,112.6815,1662991,0.0000,1.0000
2019-01-18,113.8500,114.6700,112.8200,114.5900,114.5813,1521194,0.0000,1.0000
2019-01-17,112.5000,114.0600,112.3800,113.4300,113.4214,864650,0.0000,1.0000
2019-01-16,113.1100,114.1500,112.0400,112.9100,112.9015,1623058,0.0000,1.0000
2019-01-15,110.4300,112.2000,109.5200,112.0100,112.0015,1423973,0.0000,1.0000
2019-01-14,109.8000,111.5700,109.7900,110.0400,110.0317,1677989,0.0000,1.0000
2019-01-11,109.4600,110.9100,108.8000,110.7900,110.7816,1334461,0.0000,1.0000
2019-01-10,108.1400,110.2900,107.9900,110.2500,110.2417,1291162,0.0000,1.0000
2019-01-09,107.9700,109.6800,107.3000,109.2500,109.2417,1010568,0.0000,1.0000
2019-01-08,108.6200,108.6200,105.4000,107.6700,107.6619,1670235,0.0000,1.0000
2019-01-07,102.9900,105.2900,102.9650,104.9000,104.8921,1728252,0.0000,1.0000
2019-01-04,100.4300,103.2700,99.9209,102.7500,102.7422,1629939,0.0000,1.0000
2019-01-03,100.7300,101.3400,98.5600,98.7200,98.7125,1086248,0.0000,1.0000
2019-01-02,101.5500,103.4650,101.3900,102.0300,102.0223,1569940,0.0000,1.0000
2018-12-31,103.1000,103.7571,101.7600,103.1300,103.1222,870284,0.0000,1.0000
2018-12-28,103.4000,103.9300,101.4900,102.5400,102.5323,1476405,0.0000,1.0000
2018-12-27,99.6300,102.7400,98.3700,102.7300,102.7222,1192560,0.0000,1.0000
2018-12-26,95.7700,101.4800,95.7700,101.4400,101.4323,1419544,0.0000,1.0000
2018-12-24,95.4800,97.4700,94.8100,95.3700,95.3628,619773,0.0000,1.0000
2018-12-21,99.0100,99.2700,95.8200,96.2700,96.2627,2318182,0.0000,1.0000
2018-12-20,100.3700,101.5900,97.2700,98.8600,98.8525,1781265,0.0000,1.0000
2018-12-19,101.1600,104.3400,100.2500,101.3400,101.3323,2519350,0.0000,1.0000
2018-12-18,100.2500,101.6400,99.6800,101.1400,101.1324,1589020,0.0000,1.0000
2018-12-17,101.1500,102.8900,98.9200,99.6300,99.6225,1637983,0.0000,1.0000
2018-12-14,102.5300,103.3000,101.1200,101.6000,101.5923,828196,0.0000,1.0000
2018-12-13,104.6600,105.7600,103.4300,103.7700,103.7622,887397,0.0100,1.0000
2018-12-12,104.6000,106.5400,104.2900,104.3600,104.3421,995265,0.0000,1.0000
2018-12-11,105.3700,105.4850,102.4900,103.0000,102.9823,712432,0.0000,1.0000
2018-12-10,103.2700,104.6700,102.1500,103.7900,103.7722,1085100,0.0000,1.0000
2018-12-07,105.8000,107.2000,102.9400,103.8400,103.8221,1143965,0.0000,1.0000
2018-12-06,104.9400,106.3400,103.4900,106.3200,106.3017,2120130,0.0000,1.0000
2018-12-04,112.2800,112.5100,106.7200,106.9900,106.9716,1382773,0.0000,1.0000
