timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,83.4800,84.3000,83.2200,84.1400,84.1400,879062,0.0000,1.0000
2019-03-22,84.2200,84.5700,83.3300,83.5800,83.5800,976119,0.0000,1.0000
2019-03-21,83.7200,84.7300,83.6300,84.5900,84.5900,672998,0.0000,1.0000
2019-03-20,83.8500,84.9600,83.5900,84.2200,84.2200,835024,0.0000,1.0000
2019-03-19,84.2400,84.4900,83.4650,83.6800,83.6800,1252553,0.0000,1.0000
2019-03-18,83.3100,84.0900,83.0600,83.9500,83.9500,1505093,0.0000,1.0000
2019-03-15,83.1000,83.8700,82.7900,83.2500,83.2500,2808564,0.0000,1.0000
2019-03-14,83.5600,84.1730,82.4600,83.0400,83.0400,1313188,0.5300,1.0000
2019-03-13,84.7100,84.8600,83.6800,83.9400,83.4077,1452751,0.0000,1.0000
2019-03-12,83.7900,84.5500,83.3600,84.5300,83.9939,1314078,0.0000,1.0000
2019-03-11,82.7600,83.8799,82.6000,83.8600,83.3282,1162132,0.0000,1.0000
2019-03-08,82.5100,83.4500,82.2900,82.6800,82.1556,1106979,0.0000,1.0000
2019-03-07,83.5300,83.6600,82.5100,83.0100,82.4836,1579611,0.0000,1.0000
2019-03-06,84.0900,84.2900,83.3300,83.4900,82.9605,904300,0.0000,1.0000
2019-03-05,84.4200,84.8300,83.8500,83.9700,83.4375,1141974,0.0000,1.0000
2019-03-04,84.8800,84.9000,83.9100,84.7400,84.2026,1174108,0.0000,1.0000
2019-03-01,84.0400,85.5000,84.0300,84.6900,84.1529,1031064,0.0000,1.0000
2019-02-28,84.0800,84.8100,83.8000,83.9700,83.4375,1424721,0.0000,1.0000
2019-02-27,83.3000,84.3800,83.2750,84.1700,83.6362,1049224,0.0000,1.0000
2019-02-26,82.9300,84.2000,82.8800,83.6500,83.1195,1058370,0.0000,1.0000
2019-02-25,83.0000,84.8300,82.9000,83.5500,83.0201,1751357,0.0000,1.0000
2019-02-22,82.5800,83.6913,81.9400,83.0700,82.5432,1304310,0.0000,1.0000
2019-02-21,82.2900,83.2500,81.1100,82.4200,81.8973,3144160,0.0000,1.0000
2019-02-20,75.8400,83.3000,75.5000,83.0600,82.5332,8418735,0.0000,1.0000
2019-02-19,71.8300,71.8300,70.8600,70.9700,70.5199,1293983,0.0000,1.0000
2019-02-15,71.5200,71.8900,71.0700,71.6200,71.1658,1447095,0.0000,1.0000
2019-02-14,71.2400,71.6800,71.0877,71.3900,70.9372,443921,0.0000,1.0000
2019-02-13,71.7600,71.8000,71.0223,71.4000,70.9472,629934,0.0000,1.0000
2019-02-12,70.6700,71.7600,70.5700,71.5500,71.0962,893928,0.0000,1.0000
2019-02-11,70.1100,70.7700,70.0600,70.5500,70.1026,710684,0.0000,1.0000
2019-02-08,69.4400,70.4600,69.4400,70.2600,69.8144,867264,0.0000,1.0000
2019-02-07,69.0500,69.5900,69.0400,69.5800,69.1387,794306,0.0000,1.0000
2019-02-06,69.6000,70.1600,69.2900,69.7700,69.3275,756825,0.0000,1.0000
2019-02-05,69.7000,70.0000,69.4450,69.6400,69.1983,828247,0.0000,1.0000
2019-02-04,69.2300,69.5700,68.9100,69.5700,69.1288,676693,0.0000,1.0000
2019-02-01,69.5400,69.5800,68.8700,69.3400,68.9002,825650,0.0000,1.0000
2019-01-31,69.1400,69.5500,68.0100,69.1800,68.7413,2594302,0.0000,1.0000
2019-01-30,68.8500,69.3500,68.2200,69.1000,68.6618,785550,0.0000,1.0000
2019-01-29,67.7900,68.8700,67.5100,68.6800,68.2444,944845,0.0000,1.0000
2019-01-28,68.0600,68.0900,67.0500,67.6300,67.2011,1215505,0.0000,1.0000
2019-01-25,68.4000,68.8100,68.1600,68.5800,68.1451,759885,0.0000,1.0000
2019-01-24,67.6300,68.1600,67.3200,68.0200,67.5886,649352,0.0000,1.0000
