timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,17.4400,17.5200,17.3000,17.4500,17.4500,2459777,0.0000,1.0000
2019-03-22,18.0800,18.1600,17.4000,17.4000,17.4000,3734624,0.0000,1.0000
2019-03-21,17.7600,18.3500,17.7500,18.2300,18.2300,3218008,0.0000,1.0000
2019-03-20,17.9500,18.0500,17.6100,17.8000,17.8000,3804964,0.0000,1.0000
2019-03-19,17.9200,18.3800,17.8500,17.9200,17.9200,3195479,0.0000,1.0000
2019-03-18,17.9200,18.1500,17.6700,17.7900,17.7900,2927904,0.0000,1.0000
2019-03-15,17.7000,17.9000,17.6905,17.9000,17.9000,4565656,0.0000,1.0000
2019-03-14,17.8300,17.8500,17.5300,17.6700,17.6700,2972055,0.0000,1.0000
2019-03-13,17.9000,17.9500,17.7000,17.7800,17.7800,2666439,0.0000,1.0000
2019-03-12,17.7700,17.9900,17.7400,17.8400,17.8400,2897455,0.0000,1.0000
2019-03-11,17.6800,17.9500,17.6100,17.7400,17.7400,2710341,0.0000,1.0000
2019-03-08,17.7600,17.7800,17.5500,17.6300,17.6300,3340424,0.0000,1.0000
2019-03-07,18.1400,18.2250,17.8500,17.9100,17.9100,4092450,0.0000,1.0000
2019-03-06,19.1200,19.1200,18.1500,18.2000,18.2000,5976769,0.0000,1.0000
2019-03-05,19.7000,19.7010,19.1700,19.2300,19.2300,3287006,0.0000,1.0000
2019-03-04,19.8400,19.9000,19.6300,19.7100,19.7100,3176091,0.0000,1.0000
2019-03-01,19.8500,20.0900,19.6900,19.7500,19.7500,2694140,0.0000,1.0000
2019-02-28,19.7800,19.9100,19.5900,19.7800,19.7800,3501605,0.0000,1.0000
2019-02-27,19.8300,20.1700,19.5900,19.7900,19.7900,4879014,0.0000,1.0000
2019-02-26,20.0400,20.3400,19.6900,19.7900,19.7900,61148746,0.0000,1.0000
2019-02-25,19.4700,20.3000,19.4400,20.0800,20.0800,5931854,0.0000,1.0000
2019-02-22,19.2900,19.4050,19.1500,19.3500,19.3500,3525938,0.0000,1.0000
2019-02-21,19.2800,19.4200,19.0600,19.1700,19.1700,2991794,0.0000,1.0000
2019-02-20,19.0300,19.5050,19.0000,19.3800,19.3800,3074963,0.0000,1.0000
2019-02-19,18.8400,19.1900,18.7400,19.0000,19.0000,4549680,0.0000,1.0000
2019-02-15,18.6700,18.9800,18.4800,18.7900,18.7900,4950568,0.0000,1.0000
