timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,291.8700,293.2400,288.1400,289.6000,289.6000,287714,0.0000,1.0000
2019-03-22,303.9100,303.9100,292.3500,292.5100,292.5100,446335,0.0000,1.0000
2019-03-21,297.9900,305.6100,297.7600,304.9800,304.9800,310194,0.0000,1.0000
2019-03-20,299.5200,304.0200,295.5625,298.0200,298.0200,235341,0.0000,1.0000
2019-03-19,304.1300,304.1600,298.9300,299.5400,299.5400,347895,0.0000,1.0000
2019-03-18,297.4400,302.3400,297.4400,302.0600,302.0600,247836,0.0000,1.0000
2019-03-15,297.4000,299.9900,296.2700,297.1800,297.1800,444181,0.0000,1.0000
2019-03-14,299.6700,299.6700,295.4600,297.5300,297.5300,383854,0.0000,1.0000
2019-03-13,296.8400,300.6500,296.3100,299.4900,299.4900,400973,0.0000,1.0000
2019-03-12,295.7100,296.1500,293.1000,295.3700,295.3700,308923,0.0000,1.0000
2019-03-11,291.5800,295.6200,290.3500,294.9900,294.9900,218500,0.0000,1.0000
2019-03-08,295.5700,296.3100,291.1900,293.4000,293.4000,356998,0.0000,1.0000
2019-03-07,300.7300,301.8400,295.8200,297.7000,297.7000,329004,0.0000,1.0000
2019-03-06,301.9800,305.3300,300.0000,302.4500,302.4500,312806,0.0000,1.0000
2019-03-05,303.6500,303.7600,300.6900,301.3000,301.3000,425880,0.0000,1.0000
2019-03-04,303.4200,307.0000,300.7000,302.6200,302.6200,404818,0.0000,1.0000
2019-03-01,308.7400,310.0450,299.4700,302.5300,302.5300,631782,0.0000,1.0000
2019-02-28,310.6500,311.7700,304.5100,304.7700,304.7700,337901,0.0000,1.0000
2019-02-27,307.0900,311.2200,307.0900,311.1200,311.1200,350586,0.0000,1.0000
2019-02-26,312.0900,312.5000,308.4600,308.5500,308.5500,262599,0.0000,1.0000
2019-02-25,313.8000,315.0300,311.0500,311.3800,311.3800,356054,0.0000,1.0000
2019-02-22,310.0700,312.5800,309.4800,312.3700,312.3700,232181,0.0000,1.0000
