timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,155.9300,157.2300,155.6100,155.9300,155.9300,2030733,0.0000,1.0000
2019-03-22,157.6000,157.8300,155.6200,155.8300,155.8300,2430974,0.0000,1.0000
2019-03-21,156.3700,158.9100,156.1000,158.4500,158.4500,1951860,0.0000,1.0000
2019-03-20,157.1900,157.6800,155.6500,156.2900,156.2900,2373746,0.0000,1.0000
2019-03-19,157.6200,158.1600,156.6600,157.2400,157.2400,2694586,0.0000,1.0000
2019-03-18,155.5500,157.0900,154.9000,156.9300,156.9300,2395883,0.0000,1.0000
2019-03-15,155.1500,156.0100,155.0300,155.3500,155.3500,5287296,0.0000,1.0000
2019-03-14,155.3500,155.6300,154.3700,155.2500,155.2500,2657991,0.0000,1.0000
2019-03-13,154.3000,155.4400,153.8500,155.0400,155.0400,2533938,0.0000,1.0000
2019-03-12,153.5700,154.3652,152.8000,153.5000,153.5000,1822035,0.0000,1.0000
2019-03-11,151.0000,153.2300,150.5500,153.1900,153.1900,2792821,0.0000,1.0000
2019-03-08,151.2700,151.8100,150.3800,151.5900,151.5900,2920740,0.0000,1.0000
2019-03-07,153.5700,153.8350,151.6400,152.4800,152.4800,3579552,0.0000,1.0000
2019-03-06,154.1000,155.0200,153.7300,153.7400,153.7400,3929374,0.0000,1.0000
2019-03-05,154.5100,155.1900,153.6100,154.1500,154.1500,3381931,0.0000,1.0000
2019-03-04,156.7900,156.9800,153.9800,154.5000,154.5000,4068387,0.0000,1.0000
2019-03-01,154.9900,155.8550,154.6400,155.7200,155.7200,3385361,0.0000,1.0000
2019-02-28,154.0900,154.5700,153.4100,154.0700,154.0700,2843883,0.0000,1.0000
2019-02-27,153.8600,154.7400,153.1100,154.6000,154.6000,1751422,0.0000,1.0000
2019-02-26,153.8900,154.8100,153.6200,153.9200,153.9200,1986327,0.0000,1.0000
2019-02-25,154.2000,154.6800,153.7300,154.0600,154.0600,2312501,0.0000,1.0000
2019-02-22,153.2500,153.6000,152.3800,153.2000,153.2000,2868464,0.0000,1.0000
2019-02-21,153.5400,153.7500,152.0800,152.6100,152.6100,2706429,0.8200,1.0000
2019-02-20,153.3300,154.8350,153.0100,154.5800,153.7539,2622435,0.0000,1.0000
2019-02-19,152.6100,153.7500,152.3900,153.2800,152.4608,2479800,0.0000,1.0000
2019-02-15,152.0000,153.3200,151.5900,153.3200,152.5006,3039428,0.0000,1.0000
2019-02-14,150.9300,151.6400,149.9602,150.5200,149.7156,2110746,0.0000,1.0000
2019-02-13,150.9900,152.6800,150.6800,151.4800,150.6704,2760130,0.0000,1.0000
2019-02-12,149.2000,150.5100,148.9600,150.3600,149.5564,2655170,0.0000,1.0000
2019-02-11,148.9900,149.3200,148.0500,148.4800,147.6865,2977816,0.0000,1.0000
2019-02-08,147.9800,148.6400,147.1900,148.6100,147.8158,3952141,0.0000,1.0000
2019-02-07,147.6700,148.9000,147.2500,148.1500,147.3582,2962010,0.0000,1.0000
2019-02-06,148.9900,149.4900,148.2886,148.9000,148.1042,3147242,0.0000,1.0000
2019-02-05,148.4000,148.6900,147.4100,148.6900,147.8953,2962876,0.0000,1.0000
2019-02-04,144.4800,148.0100,144.4400,147.9300,147.1394,4692787,0.0000,1.0000
2019-02-01,148.7000,149.0000,144.3400,144.7100,143.9366,5536461,0.0000,1.0000
2019-01-31,142.8000,144.0600,142.2500,143.6300,142.8624,3473563,0.0000,1.0000
2019-01-30,142.4600,143.7500,140.9400,143.2800,142.5142,3112772,0.0000,1.0000
2019-01-29,140.8500,142.2050,140.5000,141.7400,140.9825,2424691,0.0000,1.0000
2019-01-28,140.3300,140.7900,138.8700,140.4800,139.7292,3478329,0.0000,1.0000
2019-01-25,142.5000,142.7000,141.4200,141.7100,140.9526,3207326,0.0000,1.0000
2019-01-24,140.8900,142.0000,140.4600,141.1800,140.4255,2707213,0.0000,1.0000
2019-01-23,140.8200,141.2950,139.2300,140.7400,139.9878,2966263,0.0000,1.0000
2019-01-22,140.9600,141.1500,138.7000,139.8200,139.0727,3196454,0.0000,1.0000
2019-01-18,141.7800,142.5150,140.3600,141.8500,141.0919,5421632,0.0000,1.0000
2019-01-17,137.3100,140.6300,137.1900,139.8800,139.1324,2577361,0.0000,1.0000
2019-01-16,137.5200,138.7000,137.2500,138.0200,137.2824,2247292,0.0000,1.0000
2019-01-15,137.4300,138.1500,136.5400,137.7700,137.0337,1841881,0.0000,1.0000
2019-01-14,136.3400,138.0397,135.9800,137.6100,136.8745,3100638,0.0000,1.0000
2019-01-11,136.7500,137.7500,136.4100,137.3600,136.6259,1890355,0.0000,1.0000
2019-01-10,135.2200,137.9400,134.6700,137.7500,137.0138,2149743,0.0000,1.0000
2019-01-09,136.2000,136.7400,135.0664,135.7200,134.9947,1993192,0.0000,1.0000
2019-01-08,136.0600,136.8800,134.3200,135.0900,134.3680,2636179,0.0000,1.0000
2019-01-07,134.3400,136.0000,133.1500,135.3700,134.6465,2944574,0.0000,1.0000
2019-01-04,132.6200,135.0400,132.0475,134.6200,133.9005,3583572,0.0000,1.0000
2019-01-03,132.1000,132.9800,129.0700,130.0700,129.3748,3183974,0.0000,1.0000
2019-01-02,130.1900,132.0900,129.5000,131.8300,131.1254,2756347,0.0000,1.0000
