timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,54.1000,55.1600,53.7200,54.9800,54.9800,703233,0.0000,1.0000
2019-03-22,55.8800,55.8800,54.2300,54.4800,54.4800,705469,0.0000,1.0000
2019-03-21,56.3300,56.7700,55.8821,56.5100,56.5100,605671,0.0000,1.0000
2019-03-20,55.5600,57.0000,55.2163,56.3700,56.3700,1185054,0.0000,1.0000
2019-03-19,56.5600,57.1000,55.3100,55.6000,55.6000,1123227,0.0000,1.0000
2019-03-18,54.7600,56.4200,54.5000,56.2700,56.2700,1006372,0.0000,1.0000
2019-03-15,53.8100,54.8994,53.7400,54.5500,54.5500,2909465,0.0000,1.0000
2019-03-14,55.2300,55.6847,54.9100,55.2700,55.2700,907203,0.0000,1.0000
2019-03-13,55.8200,56.3600,54.6500,55.1800,55.1800,1178063,0.0000,1.0000
2019-03-12,54.6600,55.6250,54.2200,55.1900,55.1900,1132528,0.0000,1.0000
2019-03-11,53.2100,54.5165,53.0400,54.2700,54.2700,1045315,0.0000,1.0000
2019-03-08,53.2200,53.8500,52.4100,52.8100,52.8100,1382375,0.0000,1.0000
2019-03-07,54.3800,54.6600,53.5550,54.5600,54.5600,1754733,0.0000,1.0000
2019-03-06,53.8100,54.3400,53.2900,54.1700,54.1700,1811030,0.0000,1.0000
2019-03-05,54.3500,54.4200,53.5600,54.0400,54.0400,787674,0.0000,1.0000
2019-03-04,54.9500,55.2200,53.4300,54.3000,54.3000,1531339,0.0000,1.0000
2019-03-01,54.4500,54.9600,54.0700,54.9500,54.9500,1203567,0.0000,1.0000
2019-02-28,54.2000,54.2800,51.9900,54.2000,54.2000,1883210,0.0000,1.0000
2019-02-27,54.1000,55.0500,53.8000,54.1500,54.1500,755456,0.0000,1.0000
2019-02-26,54.9100,55.3700,53.8100,53.8600,53.8600,1072017,0.0000,1.0000
2019-02-25,54.5000,55.2700,54.4300,54.8600,54.8600,1820352,0.0000,1.0000
2019-02-22,56.1800,56.2400,54.6900,55.0200,55.0200,1551890,0.0000,1.0000
2019-02-21,56.9500,56.9500,55.2000,55.5600,55.5600,1388427,0.0000,1.0000
2019-02-20,58.1100,58.4900,56.9400,57.0700,57.0700,1400666,0.0000,1.0000
2019-02-19,56.9100,58.4350,56.9100,58.0500,58.0500,1237774,0.0000,1.0000
2019-02-15,57.7600,58.1000,56.6900,57.4000,57.4000,1364488,0.0000,1.0000
2019-02-14,56.3300,57.3300,56.0000,56.9800,56.9800,666517,0.0000,1.0000
2019-02-13,56.4400,57.4900,56.3450,56.5000,56.5000,898500,0.0000,1.0000
2019-02-12,56.7000,57.3050,55.9100,56.0500,56.0500,1074006,0.0000,1.0000
2019-02-11,54.9000,55.8116,54.6200,55.6800,55.6800,1737577,0.0000,1.0000
2019-02-08,55.4900,55.8300,54.5100,55.4400,55.4400,885180,0.0000,1.0000
2019-02-07,56.3000,56.4700,54.7300,55.7500,55.7500,1130568,0.7100,1.0000
2019-02-06,56.1500,57.2100,56.0500,57.1300,56.4116,1284140,0.0000,1.0000
2019-02-05,57.1000,57.4850,56.2800,56.4700,55.7599,1055474,0.0000,1.0000
2019-02-04,56.0000,57.3100,55.8000,57.1000,56.3820,1164620,0.0000,1.0000
2019-02-01,56.2800,56.9700,55.5200,56.5500,55.8389,1501413,0.0000,1.0000
2019-01-31,58.0000,58.2800,55.2601,55.9900,55.2859,2209753,0.0000,1.0000
2019-01-30,54.6700,57.5200,52.9100,56.8300,56.1153,2836864,0.0000,1.0000
2019-01-29,53.4400,54.8300,53.3200,53.8600,53.1827,2623823,0.0000,1.0000
2019-01-28,52.4100,52.7500,51.5900,52.4100,51.7509,1091191,0.0000,1.0000
