timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,159.5400,160.3900,158.9400,159.7400,159.7400,415519,0.0000,1.0000
2019-03-22,161.1700,161.5700,158.7300,159.2800,159.2800,649302,0.0000,1.0000
2019-03-21,160.6700,162.5700,160.5000,162.1700,162.1700,680119,0.0000,1.0000
2019-03-20,162.8700,163.1396,160.8500,160.9900,160.9900,683681,0.0000,1.0000
2019-03-19,164.0000,165.3700,162.2400,162.9600,162.9600,838059,0.0000,1.0000
2019-03-18,160.0200,163.7100,160.0200,163.3000,163.3000,680233,0.0000,1.0000
2019-03-15,160.2600,161.5350,159.3700,160.6800,160.6800,1379549,0.0000,1.0000
2019-03-14,161.4200,162.8800,160.1400,160.4400,160.4400,957959,0.0000,1.0000
2019-03-13,161.7900,162.9500,160.7000,161.7700,161.7700,829145,0.0000,1.0000
2019-03-12,163.8200,163.8200,161.0300,161.3400,161.3400,987629,0.0000,1.0000
2019-03-11,160.7400,164.0300,160.6100,163.2300,163.2300,1158668,0.0000,1.0000
2019-03-08,160.3300,161.9100,159.7700,161.7800,161.7800,902268,0.0000,1.0000
2019-03-07,160.1100,161.3400,156.9000,161.2300,161.2300,850066,0.6850,1.0000
2019-03-06,162.7400,163.4100,160.5300,160.6200,159.9405,636615,0.0000,1.0000
2019-03-05,163.6200,164.7700,162.3300,162.4200,161.7329,757015,0.0000,1.0000
2019-03-04,165.0500,166.6200,162.5700,163.3300,162.6390,774290,0.0000,1.0000
2019-03-01,165.4700,165.5500,163.6300,164.7900,164.0928,915249,0.0000,1.0000
2019-02-28,162.2000,165.0500,161.7000,164.9300,164.2322,1001336,0.0000,1.0000
2019-02-27,161.9000,162.4091,161.0200,162.0500,161.3644,713735,0.0000,1.0000
2019-02-26,163.8400,164.7400,162.2900,162.3400,161.6532,716426,0.0000,1.0000
2019-02-25,166.9700,167.0900,163.6200,163.8800,163.1867,1024251,0.0000,1.0000
2019-02-22,165.3900,166.0700,163.9800,165.8800,165.1782,471198,0.0000,1.0000
2019-02-21,165.1600,165.2200,163.4300,164.5700,163.8738,546124,0.0000,1.0000
2019-02-20,164.5900,165.5000,163.4500,165.2000,164.5011,594873,0.0000,1.0000
2019-02-19,164.5000,165.1300,162.2600,164.5900,163.8937,1066516,0.0000,1.0000
2019-02-15,163.6600,165.0300,163.3700,164.8000,164.1028,938243,0.0000,1.0000
2019-02-14,160.8800,162.6500,160.5100,162.2400,161.5536,714234,0.0000,1.0000
2019-02-13,162.3700,164.5300,161.3600,161.9600,161.2748,1055681,0.0000,1.0000
2019-02-12,162.0000,162.6900,160.2300,162.0800,161.3943,725483,0.0000,1.0000
2019-02-11,160.1900,161.5800,159.5600,160.6600,159.9803,1152376,0.0000,1.0000
2019-02-08,157.0200,160.1600,156.9100,160.1600,159.4824,1489544,0.0000,1.0000
2019-02-07,156.0800,158.1300,155.9200,157.4300,156.7640,727125,0.0000,1.0000
2019-02-06,157.6800,158.4500,156.9200,157.6400,156.9731,875558,0.0000,1.0000
2019-02-05,157.4000,157.8800,154.9900,157.8000,157.1324,1059347,0.0000,1.0000
2019-02-04,153.8100,157.3300,153.1900,157.2300,156.5648,867835,0.0000,1.0000
2019-02-01,153.3500,154.7300,152.6000,153.7700,153.1195,901615,0.0000,1.0000
2019-01-31,153.8900,154.9800,151.7700,153.1800,152.5320,1462490,0.0000,1.0000
2019-01-30,155.8200,156.2700,148.3000,154.9000,154.2447,2464887,0.0000,1.0000
2019-01-29,151.1900,156.0800,148.6300,155.2200,154.5633,4115009,0.0000,1.0000
2019-01-28,141.5400,143.4600,140.8800,142.6900,142.0863,1072274,0.0000,1.0000
2019-01-25,143.5400,144.4300,143.0200,143.4800,142.8730,946432,0.0000,1.0000
