timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,139.0600,139.9100,138.3500,139.1800,139.1800,2771583,0.0000,1.0000
2019-03-22,140.9700,141.4400,138.9000,139.4500,139.4500,3877616,0.0000,1.0000
2019-03-21,139.1000,142.1200,138.8800,141.4400,141.4400,3605420,0.0000,1.0000
2019-03-20,140.5300,140.7000,138.9800,139.6000,139.6000,3649455,0.0000,1.0000
2019-03-19,140.9600,141.7024,140.0020,140.4900,140.4900,3482336,0.0000,1.0000
2019-03-18,139.8300,140.3650,138.7200,140.2100,140.2100,3268510,0.0000,1.0000
2019-03-15,139.3700,140.3300,139.2300,139.4300,139.4300,7153687,0.0000,1.0000
2019-03-14,138.5100,138.9400,138.0600,138.7900,138.7900,2738790,0.0000,1.0000
2019-03-13,138.0500,139.3250,137.8500,138.5600,138.5600,3173179,0.0000,1.0000
2019-03-12,138.5200,139.6950,137.8600,138.2800,138.2800,3954653,0.0000,1.0000
2019-03-11,136.0300,137.7300,135.8400,137.7100,137.7100,3939517,0.0000,1.0000
2019-03-08,134.2100,135.2400,133.5800,135.0900,135.0900,3773722,0.0000,1.0000
2019-03-07,136.6100,136.8900,134.6343,135.3600,135.3600,4358802,0.0000,1.0000
2019-03-06,138.1200,138.3892,136.7200,136.9800,136.9800,2768256,0.0000,1.0000
2019-03-05,138.3700,138.7400,137.5550,137.8800,137.8800,4250650,0.0000,1.0000
2019-03-04,139.9900,140.0800,137.1700,138.4300,138.4300,3407217,0.0000,1.0000
2019-03-01,139.3100,140.0400,138.6400,139.2000,139.2000,3030044,0.0000,1.0000
2019-02-28,138.7700,139.0550,137.7200,138.1300,138.1300,3457788,0.0000,1.0000
2019-02-27,139.2500,139.5700,138.4007,139.1700,139.1700,2530968,0.0000,1.0000
2019-02-26,139.6700,140.4900,139.4700,139.7200,139.7200,3060381,0.0000,1.0000
2019-02-25,140.0000,140.4700,139.3200,139.4600,139.4600,3194161,0.0000,1.0000
2019-02-22,138.7300,139.3800,138.4300,139.2500,139.2500,3113698,0.0000,1.0000
2019-02-21,137.8200,138.3500,137.3500,137.8400,137.8400,2937467,0.0000,1.0000
2019-02-20,138.7600,139.2400,137.2203,138.0000,138.0000,3801979,0.0000,1.0000
2019-02-19,137.8100,138.7000,137.3600,138.7000,138.7000,3385675,0.0000,1.0000
2019-02-15,137.5800,138.1850,137.3850,138.0300,138.0300,3844062,0.0000,1.0000
2019-02-14,137.1700,137.6019,136.2100,136.4800,136.4800,2789839,0.0000,1.0000
2019-02-13,136.9200,137.9200,136.4100,137.5200,137.5200,4253042,0.0000,1.0000
2019-02-12,135.1500,136.2000,134.8600,136.0500,136.0500,3317161,0.0000,1.0000
2019-02-11,134.2900,135.1500,133.9100,133.9900,133.9900,3095069,0.0000,1.0000
2019-02-08,132.3400,133.7100,132.1900,133.7100,133.7100,3250074,0.0000,1.0000
2019-02-07,133.5500,134.4700,132.1200,133.1900,133.1900,4379439,1.5700,1.0000
2019-02-06,135.2200,136.6500,135.1700,136.3200,134.7318,4879670,0.0000,1.0000
2019-02-05,135.2800,135.8200,134.9200,135.5500,133.9708,5398907,0.0000,1.0000
2019-02-04,134.0200,135.2000,132.9900,135.1900,133.6150,3966597,0.0000,1.0000
2019-02-01,134.9700,135.2000,133.3500,134.1000,132.5377,3806047,0.0000,1.0000
2019-01-31,134.4500,134.7160,133.7400,134.4200,132.8540,4884031,0.0000,1.0000
2019-01-30,134.0000,135.0300,133.2500,134.3800,132.8144,4500919,0.0000,1.0000
2019-01-29,134.2900,135.4149,133.6000,134.3300,132.7650,5037129,0.0000,1.0000
2019-01-28,133.1000,134.8050,132.5800,134.2700,132.7057,5357736,0.0000,1.0000
2019-01-25,132.8700,134.4400,132.4300,133.9700,132.4092,5708500,0.0000,1.0000
2019-01-24,132.6300,133.2054,131.4300,132.5300,130.9860,6322928,0.0000,1.0000
2019-01-23,131.3700,135.0000,130.3100,132.8900,131.3418,22063666,0.0000,1.0000
2019-01-22,123.3000,123.8000,121.5400,122.5200,121.0926,10052384,0.0000,1.0000
2019-01-18,123.2700,124.7175,122.7100,123.8200,122.3775,6008509,0.0000,1.0000
2019-01-17,120.5600,122.4085,120.5500,122.1900,120.7664,5029871,0.0000,1.0000
