timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,52.9700,53.5450,52.3750,52.7800,52.7800,16620766,0.0000,1.0000
2019-03-22,54.4000,54.6150,53.2100,53.2600,53.2600,21438435,0.0000,1.0000
2019-03-21,53.9200,54.9900,53.8400,54.6400,54.6400,19127216,0.0000,1.0000
2019-03-20,54.0600,54.4000,53.6100,53.8200,53.8200,24325283,0.0000,1.0000
2019-03-19,54.4700,54.6450,54.0000,54.1700,54.1700,18274766,0.0000,1.0000
2019-03-18,54.4200,54.5050,53.8700,54.1000,54.1000,16273986,0.0000,1.0000
2019-03-15,53.6800,54.6900,53.6800,54.3300,54.3300,46485239,0.0000,1.0000
2019-03-14,54.3000,54.4500,53.3300,53.4400,53.4400,26647060,0.0000,1.0000
2019-03-13,54.0000,54.5700,53.6500,54.3700,54.3700,25522312,0.0000,1.0000
2019-03-12,53.3400,53.9600,53.1750,53.5700,53.5700,20782077,0.0000,1.0000
2019-03-11,52.8800,53.6500,52.5700,53.3500,53.3500,18962954,0.0000,1.0000
2019-03-08,51.9700,52.5600,51.7000,52.4800,52.4800,16793891,0.0000,1.0000
2019-03-07,52.7700,52.9850,52.3600,52.6000,52.6000,17803407,0.0000,1.0000
2019-03-06,53.6300,53.6500,52.9400,52.9500,52.9500,14740525,0.0000,1.0000
2019-03-05,53.8500,53.9900,53.1100,53.6800,53.6800,21057745,0.0000,1.0000
2019-03-04,53.7500,54.1000,53.2050,53.9400,53.9400,21706135,0.0000,1.0000
2019-03-01,53.4400,53.6800,52.8900,53.3000,53.3000,18359325,0.0000,1.0000
2019-02-28,52.9200,53.1800,52.8100,52.9600,52.9600,18388820,0.0000,1.0000
2019-02-27,52.7600,53.3800,52.5100,53.2400,53.2400,17590309,0.0000,1.0000
2019-02-26,53.0100,53.3700,52.9100,53.2300,53.2300,16082213,0.0000,1.0000
2019-02-25,53.0600,53.6100,52.8600,53.1000,53.1000,20711750,0.0000,1.0000
2019-02-22,52.7000,52.9750,52.0550,52.4900,52.4900,31934146,0.0000,1.0000
2019-02-21,51.3200,51.8400,51.2100,51.4100,51.4100,16162142,0.0000,1.0000
2019-02-20,51.6300,51.7300,51.0600,51.3900,51.3900,21607726,0.0000,1.0000
