timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,252.3600,254.1100,250.7200,253.8300,253.8300,1495496,0.0000,1.0000
2019-03-22,258.3600,259.6400,252.4700,252.6800,252.6800,1544864,0.0000,1.0000
2019-03-21,254.6300,260.7100,254.6300,260.6200,260.6200,1176951,0.0000,1.0000
2019-03-20,256.1800,257.6700,253.9300,255.9900,255.9900,1129009,0.0000,1.0000
2019-03-19,258.6200,259.2450,254.5800,256.0600,256.0600,1477244,0.0000,1.0000
2019-03-18,258.2500,259.7500,256.4200,257.7200,257.7200,1427043,0.0000,1.0000
2019-03-15,256.5000,259.8600,256.2600,258.1300,258.1300,3495265,0.0000,1.0000
2019-03-14,252.9600,256.9100,252.8900,256.7700,256.7700,1497486,0.0000,1.0000
2019-03-13,251.0900,255.7600,251.0900,253.6500,253.6500,1374063,0.0000,1.0000
2019-03-12,249.7550,251.8800,248.4000,250.3000,250.3000,1326197,0.0000,1.0000
2019-03-11,247.4600,250.7400,246.5300,250.5400,250.5400,1467724,0.0000,1.0000
2019-03-08,242.8200,246.0750,240.0102,245.8800,245.8800,1080590,0.0000,1.0000
2019-03-07,246.1700,247.4700,244.2600,245.4300,245.4300,960653,0.0000,1.0000
2019-03-06,247.3400,249.0400,244.7199,246.9100,246.9100,800417,0.0000,1.0000
2019-03-05,248.1900,248.8400,245.8900,247.0900,247.0900,1357493,0.0000,1.0000
2019-03-04,250.6800,252.2000,245.0300,249.0000,249.0000,1447404,0.0000,1.0000
2019-03-01,250.0000,252.0200,248.6300,250.4100,250.4100,1943127,0.0000,1.0000
2019-02-28,249.3500,250.4100,246.8800,247.1300,247.1300,1677818,0.0000,1.0000
2019-02-27,247.5500,249.8700,246.4800,249.8500,249.8500,1524777,0.0000,1.0000
2019-02-26,246.3000,249.3150,245.4100,248.9100,248.9100,1306854,0.0000,1.0000
2019-02-25,247.1000,249.6600,245.1185,247.7200,247.7200,2876918,0.0000,1.0000
2019-02-22,236.7200,251.5700,236.7200,250.9400,250.9400,3334050,0.0000,1.0000
2019-02-21,235.0300,236.7600,232.9650,235.0300,235.0300,2289152,0.0000,1.0000
2019-02-20,235.7400,236.4650,233.7200,235.9700,235.9700,1904415,0.0000,1.0000
2019-02-19,233.3600,234.7700,232.6100,234.6300,234.6300,1398782,0.0000,1.0000
2019-02-15,233.3400,233.7289,231.3100,233.3200,233.3200,1142467,0.0000,1.0000
2019-02-14,227.6500,231.4000,226.5100,230.7800,230.7800,1356398,0.0000,1.0000
2019-02-13,230.0000,230.5000,228.1400,228.5900,228.5900,1133054,0.0000,1.0000
2019-02-12,227.5800,229.2600,225.8100,228.9600,228.9600,1394948,0.0000,1.0000
2019-02-11,226.8300,227.3200,224.6600,225.4700,225.4700,1472858,0.0000,1.0000
2019-02-08,219.3100,224.9100,218.8338,224.8300,224.8300,1400610,0.0000,1.0000
2019-02-07,222.1600,223.4400,220.5000,220.9700,220.9700,1166408,0.0000,1.0000
2019-02-06,224.1500,224.8525,221.0800,224.5800,224.5800,915885,0.0000,1.0000
2019-02-05,221.4300,225.4700,221.1900,224.4900,224.4900,1818218,0.0000,1.0000
2019-02-04,216.8800,222.3600,215.5600,220.9100,220.9100,2256024,0.0000,1.0000
2019-02-01,215.7400,216.8600,212.6700,214.4500,214.4500,1934978,0.0000,1.0000
2019-01-31,213.6000,217.4000,213.3000,215.8200,215.8200,2792264,0.0000,1.0000
2019-01-30,209.7200,214.6500,209.6000,214.1000,214.1000,1251485,0.0000,1.0000
2019-01-29,211.2100,211.8650,207.6900,208.3300,208.3300,995655,0.0000,1.0000
2019-01-28,212.8300,212.9000,209.7500,211.0500,211.0500,972488,0.0000,1.0000
2019-01-25,214.6000,215.5100,212.7600,214.3000,214.3000,1127456,0.0000,1.0000
2019-01-24,212.3400,213.5700,210.2650,212.1600,212.1600,966155,0.0000,1.0000
2019-01-23,213.0000,216.4900,209.8950,212.2400,212.2400,1454721,0.0000,1.0000
2019-01-22,212.8400,215.8200,210.8700,212.3400,212.3400,1656479,0.0000,1.0000
2019-01-18,214.1800,215.3200,210.8900,213.8700,213.8700,1622569,0.0000,1.0000
2019-01-17,208.5100,212.1100,208.5100,211.7300,211.7300,1106376,0.0000,1.0000
2019-01-16,210.9900,214.3800,209.2500,209.9900,209.9900,1340700,0.0000,1.0000
2019-01-15,205.3800,210.2500,205.3800,209.8100,209.8100,1559923,0.0000,1.0000
2019-01-14,203.7500,206.3350,202.9100,205.1500,205.1500,1058036,0.0000,1.0000
2019-01-11,205.4400,207.0000,204.0600,206.1500,206.1500,1479582,0.0000,1.0000
2019-01-10,201.7500,207.2900,201.1050,206.0600,206.0600,1507701,0.0000,1.0000
2019-01-09,204.0600,205.0000,200.3400,202.6600,202.6600,1643215,0.4700,1.0000
2019-01-08,200.8300,203.8600,198.0800,203.7600,203.2885,1654048,0.0000,1.0000
2019-01-07,195.3300,200.4100,195.3300,198.9900,198.5296,1175424,0.0000,1.0000
2019-01-04,191.8100,198.2800,189.7600,196.0000,195.5465,1736376,0.0000,1.0000
2019-01-03,191.2500,193.2400,188.2100,188.5200,188.0838,2016129,0.0000,1.0000
2019-01-02,191.5000,195.8100,191.1100,194.4700,194.0200,1485776,0.0000,1.0000
2018-12-31,197.3700,198.7600,195.4300,196.8500,196.3945,1074167,0.0000,1.0000
2018-12-28,197.7400,199.4900,194.4500,195.8500,195.3968,1339742,0.0000,1.0000
2018-12-27,189.5600,197.3900,187.8400,197.2400,196.7836,2730917,0.0000,1.0000
2018-12-26,184.1300,192.8600,183.0700,192.8000,192.3539,1987798,0.0000,1.0000
2018-12-24,185.0000,188.3800,182.6100,182.7500,182.3272,1007920,0.0000,1.0000
2018-12-21,192.7800,194.9900,184.9900,185.8100,185.3801,3323077,0.0000,1.0000
2018-12-20,194.4900,196.2100,188.0700,192.0600,191.6156,2181200,0.0000,1.0000
2018-12-19,198.5700,202.8800,193.3200,195.5700,195.1175,1889386,0.0000,1.0000
2018-12-18,199.0300,200.7500,196.0000,198.1300,197.6716,1984533,0.0000,1.0000
2018-12-17,200.2900,201.5200,195.7900,197.4900,197.0330,2636334,0.0000,1.0000
2018-12-14,205.4800,206.5820,200.3500,200.9300,200.4651,2277822,0.0000,1.0000
2018-12-13,206.8600,211.1700,204.7100,208.4400,207.9577,2405903,0.0000,1.0000
2018-12-12,210.1100,212.9550,208.6700,209.1800,208.6960,1480089,0.0000,1.0000
2018-12-11,210.0000,210.4258,204.0600,206.1100,205.6331,1594645,0.0000,1.0000
2018-12-10,202.9600,207.0100,201.2800,206.7900,206.3115,1584415,0.0000,1.0000
2018-12-07,210.2100,212.2525,202.2000,202.4600,201.9916,1767584,0.0000,1.0000
2018-12-06,203.2000,211.5700,199.4033,211.5500,211.0605,2659583,0.0000,1.0000
2018-12-04,212.6600,214.1100,205.4010,207.6500,207.1695,1725997,0.0000,1.0000
2018-12-03,217.7200,219.8500,211.5100,213.5200,213.0260,2120049,0.0000,1.0000
2018-11-30,210.4100,214.8800,209.0100,214.5300,214.0336,2692644,0.0000,1.0000
2018-11-29,206.9600,209.9500,205.1400,209.1900,208.7060,1899514,0.0000,1.0000
2018-11-28,199.3200,209.0150,199.3200,208.9200,208.4366,2284568,0.0000,1.0000
2018-11-27,199.7000,199.7100,195.5300,198.7500,198.2901,1781413,0.0000,1.0000
2018-11-26,202.0700,202.0800,199.6129,201.4200,200.9540,2151404,0.0000,1.0000
2018-11-23,195.6200,197.9299,195.0000,197.0500,196.5941,1622731,0.0000,1.0000
2018-11-21,198.3500,200.5685,194.3300,198.4000,197.9409,2578601,0.0000,1.0000
2018-11-20,197.6100,198.9800,190.7100,195.1800,194.7284,4439910,0.0000,1.0000
2018-11-19,210.0500,211.1500,196.2700,199.2400,198.7790,3277575,0.0000,1.0000
2018-11-16,213.0100,214.3500,210.4300,211.4400,210.9508,1606200,0.0000,1.0000
2018-11-15,208.7900,215.1900,207.6700,214.5400,214.0436,1342822,0.0000,1.0000
2018-11-14,214.8700,216.3100,208.1700,209.3800,208.8955,1189374,0.0000,1.0000
2018-11-13,213.9300,216.3800,212.0500,212.8400,212.3475,1569803,0.0000,1.0000
2018-11-12,221.4800,221.4800,212.6200,212.8700,212.3775,1651836,0.0000,1.0000
2018-11-09,222.8900,223.4099,219.0500,222.1700,221.6559,1588064,0.0000,1.0000
