timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,104.4100,105.5900,103.9900,104.7000,104.7000,900535,0.0000,1.0000
2019-03-22,105.6400,106.0000,103.9700,104.2300,104.2300,1004190,0.0000,1.0000
2019-03-21,104.7700,106.7200,104.7200,106.3300,106.3300,649062,0.0000,1.0000
2019-03-20,106.4500,106.4500,104.2600,104.9100,104.9100,1393010,0.0000,1.0000
2019-03-19,107.5600,107.7500,105.9700,106.5300,106.5300,1161724,0.0000,1.0000
2019-03-18,105.6000,107.0600,105.6000,107.0500,107.0500,1398839,0.0000,1.0000
2019-03-15,106.2800,106.6900,105.8200,106.1000,106.1000,1743148,0.0000,1.0000
2019-03-14,106.4000,106.9400,105.7000,105.9500,105.9500,968549,0.0000,1.0000
2019-03-13,106.3700,107.0900,105.8200,106.4100,106.4100,1292729,0.0000,1.0000
2019-03-12,105.7300,106.0700,105.3800,105.9800,105.9800,1195297,0.0000,1.0000
2019-03-11,104.1700,105.6200,103.8200,105.3700,105.3700,1323756,0.0000,1.0000
2019-03-08,103.2400,104.4000,102.6900,104.3000,104.3000,1686192,0.0000,1.0000
2019-03-07,105.3800,105.3800,103.3000,104.3700,104.3700,1422372,0.5300,1.0000
2019-03-06,106.7500,107.3500,106.1600,106.3700,105.8326,1341977,0.0000,1.0000
2019-03-05,107.0100,107.0100,105.9700,106.0000,105.4644,1533063,0.0000,1.0000
2019-03-04,106.7100,106.9600,104.7800,105.5000,104.9670,1461439,0.0000,1.0000
2019-03-01,106.4700,106.9000,105.5600,106.0500,105.5142,1289585,0.0000,1.0000
2019-02-28,106.7000,106.7900,105.3400,105.5600,105.0267,2412104,0.0000,1.0000
2019-02-27,105.9600,106.9800,105.7400,106.9600,106.4196,1245825,0.0000,1.0000
2019-02-26,106.8300,107.6300,106.3000,106.3500,105.8127,1595112,0.0000,1.0000
2019-02-25,106.9000,107.6400,106.6400,106.9300,106.3897,1250494,0.0000,1.0000
2019-02-22,105.7700,106.6200,105.3300,106.3300,105.7928,886035,0.0000,1.0000
2019-02-21,105.1600,105.6000,104.7100,105.5500,105.0167,1111127,0.0000,1.0000
2019-02-20,105.2400,105.9600,105.0400,105.5700,105.0366,1035338,0.0000,1.0000
2019-02-19,104.2800,105.9050,104.1700,105.0000,104.4695,1263851,0.0000,1.0000
2019-02-15,104.4100,104.9100,104.2400,104.7300,104.2009,1300719,0.0000,1.0000
2019-02-14,104.3900,104.4700,103.4300,103.5000,102.9771,1133399,0.0000,1.0000
2019-02-13,103.8700,105.0600,103.8700,104.5900,104.0616,1094288,0.0000,1.0000
2019-02-12,102.7900,104.3800,102.7900,103.7500,103.2258,1562806,0.0000,1.0000
2019-02-11,101.9300,102.6200,101.1800,102.5100,101.9921,1527796,0.0000,1.0000
2019-02-08,100.9600,101.9400,100.2200,101.9200,101.4051,1363489,0.0000,1.0000
2019-02-07,100.2000,101.4800,99.8000,101.2200,100.7086,1344636,0.0000,1.0000
2019-02-06,101.1000,101.5500,100.7000,100.8500,100.3405,1498803,0.0000,1.0000
2019-02-05,100.4300,101.4000,100.4300,101.2900,100.7782,1498195,0.0000,1.0000
2019-02-04,101.2300,101.2300,100.0300,100.6800,100.1713,1532351,0.0000,1.0000
2019-02-01,100.0800,101.2200,99.7300,101.0800,100.5693,2408770,0.0000,1.0000
2019-01-31,100.3600,100.3600,98.6600,100.0400,99.5346,2360019,0.0000,1.0000
2019-01-30,97.6100,101.4400,95.6700,100.5500,100.0420,4149322,0.0000,1.0000
2019-01-29,94.9900,97.0800,94.6300,96.7500,96.2612,2102494,0.0000,1.0000
2019-01-28,93.1900,94.4700,93.0500,94.4400,93.9628,1505394,0.0000,1.0000
2019-01-25,94.9800,95.6650,94.2700,94.4700,93.9927,1100739,0.0000,1.0000
2019-01-24,93.6800,94.4500,93.5600,93.9000,93.4256,1509177,0.0000,1.0000
2019-01-23,93.7000,94.5000,92.2400,93.4600,92.9878,1570575,0.0000,1.0000
2019-01-22,95.0000,95.3000,92.5600,93.0000,92.5301,1641473,0.0000,1.0000
2019-01-18,94.4400,96.6500,94.3200,96.1100,95.6244,2288915,0.0000,1.0000
2019-01-17,93.1000,94.1600,92.8100,93.6700,93.1967,2578574,0.0000,1.0000
2019-01-16,94.1300,94.6355,93.6500,93.7800,93.3062,1672732,0.0000,1.0000
2019-01-15,95.3300,95.4000,93.4600,94.2400,93.7639,1310479,0.0000,1.0000
2019-01-14,94.4000,95.3000,93.9100,95.0600,94.5797,803474,0.0000,1.0000
2019-01-11,94.5700,95.0300,94.0500,94.9600,94.4802,848211,0.0000,1.0000
2019-01-10,94.0000,95.3500,93.4700,95.2700,94.7887,1054112,0.0000,1.0000
2019-01-09,93.0100,95.0300,93.0000,94.4000,93.9231,1801952,0.0000,1.0000
2019-01-08,93.1800,93.7000,91.7400,92.5500,92.0824,1568599,0.0000,1.0000
2019-01-07,93.1500,93.4600,91.9600,92.1300,91.6645,1569786,0.0000,1.0000
2019-01-04,91.3500,93.1800,90.7600,93.1000,92.6296,1912145,0.0000,1.0000
2019-01-03,90.9600,91.4500,89.5100,90.0300,89.5751,2387090,0.0000,1.0000
2019-01-02,89.8600,91.6100,89.0900,91.5000,91.0377,1987962,0.0000,1.0000
2018-12-31,91.3300,91.7200,90.1700,91.2300,90.7691,1172738,0.0000,1.0000
2018-12-28,91.4700,92.4400,90.5500,91.0600,90.5999,1219256,0.0000,1.0000
2018-12-27,88.4600,91.2300,87.1800,91.2300,90.7691,1494794,0.0000,1.0000
2018-12-26,86.6200,89.6400,85.1500,89.6100,89.1573,1157374,0.0000,1.0000
2018-12-24,88.6400,88.9000,86.2500,86.3100,85.8739,719708,0.0000,1.0000
2018-12-21,90.5000,92.9500,88.7100,88.9600,88.5105,3060098,0.0000,1.0000
2018-12-20,91.7900,92.9700,90.1400,91.0500,90.5900,1850061,0.0000,1.0000
2018-12-19,94.7200,95.9700,91.8700,92.5900,92.1222,2026715,0.0000,1.0000
2018-12-18,94.8100,95.8600,93.8300,94.5800,94.1021,1721239,0.0000,1.0000
2018-12-17,95.9400,95.9400,92.9000,93.7000,93.2266,1996090,0.0000,1.0000
2018-12-14,96.6200,97.9000,95.5500,95.9700,95.4851,1694443,0.0000,1.0000
2018-12-13,98.5200,98.8500,96.7100,97.2800,96.7885,1359197,0.0000,1.0000
2018-12-12,98.4700,99.8200,98.0700,98.0900,97.5944,1441921,0.0000,1.0000
2018-12-11,99.7300,100.1350,96.8900,97.2100,96.7189,1409454,0.0000,1.0000
2018-12-10,98.2400,98.5400,95.8900,97.7300,97.2362,1300653,0.0000,1.0000
2018-12-07,101.4400,102.0500,97.6600,97.9800,97.4850,1247520,0.0000,1.0000
2018-12-06,100.5300,101.4200,97.8900,101.2100,100.6986,2223329,0.5300,1.0000
2018-12-04,105.7000,106.7600,102.2200,102.4400,101.3915,2114181,0.0000,1.0000
2018-12-03,105.6300,107.0800,104.6100,105.6300,104.5488,1780514,0.0000,1.0000
2018-11-30,103.4500,104.0650,102.7800,103.5200,102.4604,2953583,0.0000,1.0000
2018-11-29,102.6200,103.9200,101.6900,103.3700,102.3120,1334184,0.0000,1.0000
2018-11-28,100.6600,103.7900,100.5500,102.9400,101.8864,1866987,0.0000,1.0000
2018-11-27,100.4900,101.3800,99.6400,100.5000,99.4713,1831769,0.0000,1.0000
2018-11-26,102.5600,102.8300,100.5500,100.9900,99.9563,1697199,0.0000,1.0000
2018-11-23,100.7000,102.6450,100.5100,101.9300,100.8867,426241,0.0000,1.0000
2018-11-21,100.5100,102.7800,100.4550,101.7800,100.7382,1044007,0.0000,1.0000
2018-11-20,102.7900,102.8000,99.9400,100.1800,99.1546,2129036,0.0000,1.0000
2018-11-19,103.9800,104.9000,102.8000,103.2600,102.2031,1113134,0.0000,1.0000
2018-11-16,103.6500,105.1800,103.5300,104.3500,103.2819,1521657,0.0000,1.0000
2018-11-15,100.4200,104.3650,100.1500,103.7200,102.6584,1481407,0.0000,1.0000
2018-11-14,102.9500,103.4400,100.9400,101.6300,100.5898,1654971,0.0000,1.0000
2018-11-13,101.6600,104.2900,101.3600,102.4700,101.4212,1527858,0.0000,1.0000
2018-11-12,102.9100,102.9100,101.0100,101.1500,100.1147,1096841,0.0000,1.0000
2018-11-09,102.7800,103.5200,101.5500,102.8600,101.8072,1401429,0.0000,1.0000
2018-11-08,102.8800,104.1500,102.7900,103.5500,102.4901,1404553,0.0000,1.0000
2018-11-07,102.0600,103.0300,101.3500,102.7900,101.7379,1294990,0.0000,1.0000
2018-11-06,99.1700,101.1900,98.9400,101.0900,100.0553,1280113,0.0000,1.0000
2018-11-05,98.9900,99.7900,98.5000,99.1400,98.1253,1308993,0.0000,1.0000
2018-11-02,99.0000,99.6050,97.5300,98.1800,97.1751,1495743,0.0000,1.0000
