timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,136.9100,137.0100,135.7400,136.6100,136.6100,4500330,0.0000,1.0000
2019-03-22,137.7500,138.3900,136.8600,136.9100,136.9100,6528782,0.0000,1.0000
2019-03-21,137.0000,138.7800,136.9500,138.1000,138.1000,5765119,0.0000,1.0000
2019-03-20,138.3300,138.5100,136.6500,137.2900,137.2900,5475863,0.0000,1.0000
2019-03-19,137.6100,138.8200,137.4700,138.4400,138.4400,5882503,0.0000,1.0000
2019-03-18,137.6500,137.7800,136.7200,137.1700,137.1700,7369629,0.0000,1.0000
2019-03-15,138.0000,138.2600,136.8300,137.6000,137.6000,11922855,0.0000,1.0000
2019-03-14,138.3400,138.8000,137.9400,138.0200,138.0200,8493603,0.0000,1.0000
2019-03-13,139.5900,139.8400,139.0200,139.4100,139.4100,6446942,0.0000,1.0000
2019-03-12,138.6500,140.0000,138.5000,139.1800,139.1800,5553235,0.0000,1.0000
2019-03-11,138.1100,139.0300,137.5200,138.5600,138.5600,6150442,0.0000,1.0000
2019-03-08,138.0900,139.3000,136.4200,138.0600,138.0600,7046830,0.0000,1.0000
2019-03-07,138.5300,139.1200,137.7000,138.2400,138.2400,6100380,0.0000,1.0000
2019-03-06,139.4700,139.6500,138.6000,139.0900,139.0900,6236946,0.0000,1.0000
2019-03-05,138.8100,139.1400,138.3600,138.7700,138.7700,6568870,0.0000,1.0000
2019-03-04,138.8500,139.4100,137.5100,138.4800,138.4800,8378067,0.0000,1.0000
2019-03-01,137.2200,138.6100,137.0100,138.3500,138.3500,5641586,0.0000,1.0000
2019-02-28,135.9500,137.9549,135.6900,136.6400,136.6400,10133160,0.0000,1.0000
2019-02-27,135.5200,136.2500,135.3900,135.8700,135.8700,4378066,0.0000,1.0000
2019-02-26,136.4400,136.9600,136.0500,136.1100,136.1100,5106878,0.0000,1.0000
2019-02-25,136.3500,137.4900,135.8600,136.2000,136.2000,6846581,0.9000,1.0000
2019-02-22,135.2900,136.6400,134.8200,136.6000,135.7033,5223858,0.0000,1.0000
2019-02-21,134.9800,135.7875,134.2688,135.4200,134.5310,6665481,0.0000,1.0000
2019-02-20,135.9700,136.7300,135.7251,136.3500,135.4549,6089752,0.0000,1.0000
2019-02-19,136.1400,136.3800,135.6300,135.6900,134.7993,5935948,0.0000,1.0000
2019-02-15,135.1900,136.4100,135.0100,136.3800,135.4847,6665038,0.0000,1.0000
2019-02-14,134.3000,134.8200,133.3500,134.3100,133.4283,3910454,0.0000,1.0000
2019-02-13,134.0700,134.9800,133.2100,134.4500,133.5674,7902181,0.0000,1.0000
2019-02-12,132.0800,134.3000,132.0800,134.1600,133.2793,6262320,0.0000,1.0000
2019-02-11,132.3100,132.6700,131.2600,132.0000,131.1335,4962617,0.0000,1.0000
2019-02-08,131.9500,132.4600,131.5400,132.4000,131.5309,4436768,0.0000,1.0000
2019-02-07,132.4500,132.6400,131.5300,132.0500,131.1832,6085346,0.0000,1.0000
2019-02-06,133.0800,133.5650,132.3000,133.0000,132.1269,5066324,0.0000,1.0000
2019-02-05,133.5200,133.8800,132.7500,132.8800,132.0077,6449787,0.0000,1.0000
2019-02-04,133.9600,134.1500,132.2100,132.8800,132.0077,7759043,0.0000,1.0000
2019-02-01,134.0200,134.6900,133.4700,134.2000,133.3190,9575150,0.0000,1.0000
2019-01-31,131.6300,135.1900,130.8700,133.0800,132.2064,17298062,0.0000,1.0000
2019-01-30,130.3700,132.1900,130.3000,131.6400,130.7758,7299455,0.0000,1.0000
2019-01-29,128.9500,130.4700,128.5000,130.3300,129.4744,6669289,0.0000,1.0000
2019-01-28,127.8100,129.1500,127.2900,128.9900,128.1432,6927661,0.0000,1.0000
2019-01-25,128.1300,128.4500,127.1800,128.2300,127.3882,7585947,0.0000,1.0000
2019-01-24,128.4900,128.7000,125.0000,127.0300,126.1961,9917100,0.0000,1.0000
2019-01-23,128.5000,129.3000,127.9300,128.8000,127.9545,9267966,0.0000,1.0000
2019-01-22,128.2000,129.5009,127.0100,128.8000,127.9545,10568128,0.0000,1.0000
2019-01-18,129.9000,131.1800,129.4500,130.6900,129.8321,10592972,0.0000,1.0000
2019-01-17,127.7100,129.5200,127.4628,129.0900,128.2426,7631960,0.0000,1.0000
2019-01-16,129.4100,129.4100,127.9000,128.0400,127.1995,6264150,0.0000,1.0000
2019-01-15,128.5200,129.4900,127.6500,129.3600,128.5108,5194405,0.0000,1.0000
2019-01-14,128.7400,128.9600,127.5898,128.2800,127.4379,7374457,0.0000,1.0000
2019-01-11,129.0000,129.8400,128.3100,129.7500,128.8982,5300666,0.0000,1.0000
2019-01-10,127.6900,129.8900,127.6900,129.7100,128.8585,6224419,0.0000,1.0000
2019-01-09,129.8300,130.2400,128.3300,128.9300,128.0836,7403525,0.0000,1.0000
2019-01-08,128.1800,130.5000,127.7300,129.9600,129.1069,9351570,0.0000,1.0000
2019-01-07,127.6300,128.3491,126.7970,127.0100,126.1762,8404653,0.0000,1.0000
2019-01-04,127.1200,128.6500,126.7300,127.8300,126.9909,8831997,0.0000,1.0000
2019-01-03,128.1350,128.2700,125.3600,125.7200,124.8947,8654685,0.0000,1.0000
2019-01-02,128.1300,128.3800,126.2800,127.7500,126.9114,7631672,0.0000,1.0000
2018-12-31,128.1800,129.5500,127.4200,129.0500,128.2028,7409858,0.0000,1.0000
2018-12-28,127.9100,128.7500,126.7500,127.2700,126.4345,6537240,0.0000,1.0000
2018-12-27,125.8700,127.4100,123.0700,127.4100,126.5736,9918687,0.0000,1.0000
2018-12-26,123.4200,126.7600,122.0071,126.7100,125.8782,9253404,0.0000,1.0000
