timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,154.1000,154.1000,152.0900,152.9200,152.9200,552798,0.0000,1.0000
2019-03-22,155.9800,158.0700,153.3300,154.3200,154.3200,584537,0.0000,1.0000
2019-03-21,153.4200,156.9400,153.0694,156.3000,156.3000,410828,0.0000,1.0000
2019-03-20,155.5800,156.0900,153.3400,154.1100,154.1100,541942,0.0000,1.0000
2019-03-19,155.1100,157.0500,155.1100,155.9600,155.9600,572450,0.0000,1.0000
2019-03-18,154.9200,155.4400,154.0500,154.8900,154.8900,846426,0.0000,1.0000
2019-03-15,152.8500,155.0800,152.7600,154.3600,154.3600,979089,0.0000,1.0000
2019-03-14,154.7600,154.7600,152.6700,152.8200,152.8200,957925,0.0000,1.0000
2019-03-13,152.4500,155.3800,151.6900,154.9300,154.9300,1010881,0.0000,1.0000
2019-03-12,149.8300,151.7100,149.4950,151.4100,151.4100,808433,0.0000,1.0000
2019-03-11,146.9500,149.1000,146.2200,149.0100,149.0100,503126,0.0000,1.0000
2019-03-08,144.9300,146.7000,144.9300,146.5100,146.5100,746089,0.0000,1.0000
2019-03-07,145.2300,146.4200,144.8350,145.8100,145.8100,606503,0.0000,1.0000
2019-03-06,147.2900,147.5000,144.0800,145.2100,145.2100,735866,0.0000,1.0000
2019-03-05,147.2500,148.2200,145.7900,147.3700,147.3700,570002,0.0000,1.0000
2019-03-04,149.3300,149.9300,145.4000,147.0200,147.0200,557491,0.0000,1.0000
2019-03-01,149.1600,150.1200,148.0000,148.7300,148.7300,660380,0.0000,1.0000
2019-02-28,147.1300,148.4800,146.8200,148.2400,148.2400,534729,0.0000,1.0000
2019-02-27,146.6300,147.7300,145.8400,147.1200,147.1200,521905,0.0000,1.0000
2019-02-26,147.0900,148.2800,146.3800,146.9200,146.9200,414381,0.0000,1.0000
2019-02-25,149.5700,149.8900,147.0200,147.0900,147.0900,492681,0.0000,1.0000
2019-02-22,148.3100,148.8500,147.4600,148.7600,148.7600,534084,0.0000,1.0000
2019-02-21,149.9600,149.9600,147.6600,148.3200,148.3200,481558,0.0000,1.0000
2019-02-20,149.7400,150.3400,148.8100,149.7500,149.7500,625678,0.0000,1.0000
2019-02-19,150.0700,150.9900,149.4800,149.7900,149.7900,1065042,0.0000,1.0000
2019-02-15,147.7900,150.6500,147.3700,150.1700,150.1700,1663437,0.0000,1.0000
2019-02-14,145.2500,147.0900,144.2800,146.7600,146.7600,795973,0.0000,1.0000
2019-02-13,147.0000,148.5800,146.5600,147.1900,147.1900,693903,0.0000,1.0000
2019-02-12,144.8700,147.3500,144.0900,146.5900,146.5900,573638,0.0000,1.0000
2019-02-11,144.7000,145.3900,143.9300,144.2900,144.2900,743897,0.0000,1.0000
2019-02-08,146.4900,147.0000,142.5750,144.8300,144.8300,1094776,0.0000,1.0000
