timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,205.6700,206.7400,204.9900,206.0600,206.0600,218478,0.0000,1.0000
2019-03-22,208.2200,208.2200,204.6600,205.3000,205.3000,380132,0.0000,1.0000
2019-03-21,206.5400,209.3800,206.5400,208.7300,208.7300,265944,0.0000,1.0000
2019-03-20,209.5000,209.9000,207.0600,207.2800,207.2800,441194,0.0000,1.0000
2019-03-19,210.8800,212.9267,208.6800,209.7400,209.7400,350900,0.0000,1.0000
2019-03-18,207.2100,210.7100,207.2100,210.3500,210.3500,445098,0.0000,1.0000
2019-03-15,205.7700,207.9300,205.2200,207.0700,207.0700,1139563,0.0000,1.0000
2019-03-14,207.6800,209.5200,205.9000,206.0700,206.0700,620103,0.0000,1.0000
2019-03-13,208.1800,209.7400,206.5600,207.8800,207.8800,702105,0.0000,1.0000
2019-03-12,210.6400,210.7450,207.2700,207.5300,207.5300,565574,0.0000,1.0000
2019-03-11,206.2500,210.8500,206.2500,210.3200,210.3200,500905,0.0000,1.0000
2019-03-08,206.3000,208.5000,205.6300,208.2600,208.2600,337553,0.0000,1.0000
2019-03-07,205.7800,207.7100,202.2100,207.4800,207.4800,398649,0.0000,1.0000
2019-03-06,208.8600,209.7500,205.8300,205.9000,205.9000,461274,0.0000,1.0000
2019-03-05,210.2000,211.7600,208.2100,208.2900,208.2900,599084,0.0000,1.0000
2019-03-04,212.3700,214.2400,208.7800,209.6100,209.6100,346885,0.0000,1.0000
2019-03-01,212.3300,212.6100,210.5700,211.7900,211.7900,542229,0.0000,1.0000
2019-02-28,208.3100,212.2100,207.4200,211.7500,211.7500,882500,0.8500,1.0000
2019-02-27,208.9000,209.0700,207.4200,208.8400,208.0050,628211,0.0000,1.0000
2019-02-26,211.4300,212.2400,208.9600,209.0000,208.1644,823741,0.0000,1.0000
2019-02-25,214.7400,215.3600,210.7000,211.2500,210.4054,420307,0.0000,1.0000
2019-02-22,213.0400,214.0500,211.6400,213.8500,212.9950,322141,0.0000,1.0000
2019-02-21,212.9600,212.9700,210.7100,211.9700,211.1225,352677,0.0000,1.0000
2019-02-20,212.3000,213.3600,210.5200,212.9600,212.1086,456182,0.0000,1.0000
2019-02-19,208.9000,212.5500,208.7400,211.8700,211.0229,384793,0.0000,1.0000
2019-02-15,211.0400,212.5100,210.5000,212.2400,211.3914,359719,0.0000,1.0000
2019-02-14,207.6700,209.5400,206.7600,209.0400,208.2042,306808,0.0000,1.0000
2019-02-13,209.1600,211.6100,207.8301,208.8400,208.0050,513755,0.0000,1.0000
2019-02-12,207.8300,209.1400,206.1200,208.6500,207.8158,526680,0.0000,1.0000
2019-02-11,205.8700,207.9700,205.2700,206.5900,205.7640,579425,0.0000,1.0000
2019-02-08,201.8500,206.0700,201.8500,205.8500,205.0270,370029,0.0000,1.0000
2019-02-07,201.2400,203.2500,200.5400,202.6000,201.7900,433820,0.0000,1.0000
2019-02-06,202.2800,203.8500,201.8400,202.7300,201.9195,358421,0.0000,1.0000
2019-02-05,202.3400,203.0800,199.4100,203.0000,202.1884,471133,0.0000,1.0000
2019-02-04,197.6500,202.2300,197.2100,202.1400,201.3318,428346,0.0000,1.0000
2019-02-01,197.7500,199.1200,196.3600,198.2500,197.4574,619271,0.0000,1.0000
2019-01-31,197.8300,199.1400,195.1000,196.8800,196.0929,665373,0.0000,1.0000
2019-01-30,200.3800,200.6300,190.6500,198.9500,198.1546,1236646,0.0000,1.0000
2019-01-29,193.7600,200.5400,190.7700,199.5900,198.7920,2543020,0.0000,1.0000
2019-01-28,183.0100,184.9400,181.2800,184.0600,183.3241,581382,0.0000,1.0000
2019-01-25,184.2800,185.7200,183.8300,184.4900,183.7524,518484,0.0000,1.0000
2019-01-24,182.0000,182.7100,179.2200,182.4800,181.7504,674909,0.0000,1.0000
2019-01-23,180.1600,183.0300,179.4500,182.4900,181.7604,929537,0.0000,1.0000
2019-01-22,182.3200,182.3200,177.2900,178.6500,177.9357,864037,0.0000,1.0000
2019-01-18,179.1200,184.0000,178.6000,183.2900,182.5572,1077073,0.0000,1.0000
2019-01-17,174.5300,178.8100,174.5300,178.0000,177.2883,433674,0.0000,1.0000
2019-01-16,178.1300,178.1300,174.3500,175.2500,174.5493,532294,0.0000,1.0000
2019-01-15,176.4300,178.5700,176.0100,178.1600,177.4477,530240,0.0000,1.0000
2019-01-14,174.5600,178.9800,174.0800,177.0700,176.3621,475602,0.0000,1.0000
2019-01-11,172.9500,175.9200,171.2000,175.5800,174.8780,634767,0.0000,1.0000
2019-01-10,170.4000,173.3100,170.0000,173.2000,172.5075,627089,0.0000,1.0000
2019-01-09,170.8000,172.4475,170.0800,170.9300,170.2466,429081,0.0000,1.0000
2019-01-08,172.2200,173.7400,169.5100,170.8200,170.1370,899538,0.0000,1.0000
2019-01-07,170.3600,171.2800,168.1200,170.6800,169.9976,1117738,0.0000,1.0000
2019-01-04,170.0000,171.6600,167.8200,171.0000,170.3163,610346,0.0000,1.0000
2019-01-03,170.9600,171.3900,167.2700,167.9900,167.3184,609493,0.0000,1.0000
2019-01-02,171.4900,173.8900,167.8100,171.8500,171.1629,597510,0.0000,1.0000
2018-12-31,169.4800,173.7000,169.2700,173.6600,172.9657,384566,0.0000,1.0000
2018-12-28,170.8300,171.6000,168.1300,169.2500,168.5733,522929,0.0000,1.0000
2018-12-27,162.8100,169.4100,161.6900,169.3700,168.6928,589533,0.0000,1.0000
2018-12-26,164.1600,165.5300,158.7600,164.9000,164.2407,844046,0.0000,1.0000
2018-12-24,165.0800,166.6500,162.5700,164.0600,163.4041,857317,0.0000,1.0000
2018-12-21,171.9900,171.9900,164.9900,166.2400,165.5754,1488914,0.0000,1.0000
2018-12-20,176.2100,177.8600,169.7100,172.6300,171.9398,963962,0.0000,1.0000
2018-12-19,183.5800,185.5900,175.4100,177.8600,177.1489,628221,0.0000,1.0000
2018-12-18,189.2600,189.3500,181.8950,183.8900,183.1548,860381,0.0000,1.0000
2018-12-17,190.5500,191.1400,187.6400,188.1900,187.4376,1448789,0.0000,1.0000
2018-12-14,189.6300,191.5900,189.6300,191.2900,190.5252,521696,0.0000,1.0000
2018-12-13,189.6500,192.5300,189.2400,191.9000,191.1328,843910,0.0000,1.0000
2018-12-12,188.3200,191.4500,188.3200,189.6300,188.8718,604082,0.0000,1.0000
2018-12-11,186.1400,188.6200,183.9500,187.0700,186.3221,1128859,0.0000,1.0000
2018-12-10,180.8800,184.9900,179.3800,183.6500,182.9157,1104026,0.0000,1.0000
2018-12-07,178.8100,180.4000,178.4300,178.8200,178.1051,622873,0.0000,1.0000
2018-12-06,175.5300,179.5700,172.5400,179.4800,178.7624,1017302,0.0000,1.0000
2018-12-04,181.7800,183.6500,177.2700,178.2700,177.5573,841544,0.0000,1.0000
2018-12-03,186.0000,187.2200,181.5300,182.8400,182.1090,812837,0.0000,1.0000
2018-11-30,183.2800,183.6900,180.4600,183.2900,182.5572,726476,0.0000,1.0000
2018-11-29,183.5500,185.1500,181.8200,182.9400,182.2086,1164822,0.0000,1.0000
2018-11-28,180.2300,183.3550,179.5000,183.2700,182.5373,497916,0.0000,1.0000
2018-11-27,185.4500,186.3600,178.3000,180.1400,179.4198,656708,0.0000,1.0000
2018-11-26,186.2700,188.1200,184.8600,186.1900,185.4456,1045884,0.0000,1.0000
2018-11-23,183.1800,186.9900,182.9200,184.8100,184.0711,280742,0.0000,1.0000
2018-11-21,186.4600,187.5000,183.9100,184.3300,183.5930,643987,0.0000,1.0000
2018-11-20,185.3500,186.0800,182.6400,185.5300,184.7882,759789,0.0000,1.0000
2018-11-19,191.3600,191.6900,186.7600,187.5000,186.7504,1320327,0.0000,1.0000
2018-11-16,190.6400,193.6600,190.2200,191.4300,190.6646,855208,0.0000,1.0000
2018-11-15,187.8300,193.0400,187.3700,191.7200,190.9535,770470,0.8000,1.0000
2018-11-14,193.1300,193.8700,189.2300,190.5000,188.9499,772606,0.0000,1.0000
2018-11-13,189.5000,193.3200,189.5000,191.6700,190.1104,620746,0.0000,1.0000
2018-11-12,195.4100,195.4100,189.1100,189.4700,187.9283,541145,0.0000,1.0000
2018-11-09,191.3600,196.1900,191.3600,195.3800,193.7902,664614,0.0000,1.0000
2018-11-08,194.4200,194.9000,190.8500,192.8600,191.2907,482704,0.0000,1.0000
2018-11-07,192.1400,194.6350,188.7900,194.4900,192.9075,693532,0.0000,1.0000
2018-11-06,190.3200,195.3300,190.3200,191.3200,189.7632,852841,0.0000,1.0000
2018-11-05,186.7000,191.5800,184.9100,190.9700,189.4161,1447701,0.0000,1.0000
2018-11-02,190.7700,192.2700,185.4800,185.9000,184.3873,1565832,0.0000,1.0000
2018-11-01,190.9200,192.9300,189.7400,190.6400,189.0888,938867,0.0000,1.0000
2018-10-31,193.2100,196.9300,189.2100,189.4700,187.9283,1188127,0.0000,1.0000
2018-10-30,185.0800,192.3600,181.5600,191.8000,190.2393,1088298,0.0000,1.0000
2018-10-29,206.3500,207.6300,184.3000,186.2200,184.7047,1394571,0.0000,1.0000
2018-10-26,202.1500,205.7400,198.0000,204.2500,202.5880,1092806,0.0000,1.0000
2018-10-25,206.3500,209.1400,202.2600,204.3800,202.7170,1119262,0.0000,1.0000
2018-10-24,215.5600,216.1200,203.0100,205.9900,204.3139,971047,0.0000,1.0000
2018-10-23,216.6700,220.0350,213.6500,215.1900,213.4390,1001721,0.0000,1.0000
2018-10-22,215.5800,219.4900,213.7900,219.2300,217.4461,931505,0.0000,1.0000
2018-10-19,218.0700,218.6400,214.9050,215.2300,213.4787,1129025,0.0000,1.0000
2018-10-18,220.1900,221.5800,217.2500,218.2300,216.4543,923952,0.0000,1.0000
2018-10-17,219.1000,221.3800,215.8000,220.1600,218.3686,1066025,0.0000,1.0000
2018-10-16,221.5600,223.7250,217.7600,220.8000,219.0034,1584123,0.0000,1.0000
2018-10-15,209.4500,222.6400,208.4800,220.9100,219.1125,3989048,0.0000,1.0000
2018-10-12,198.3800,198.3800,193.4100,195.7800,194.1870,850274,0.0000,1.0000
2018-10-11,201.0200,201.1400,193.5300,195.1800,193.5918,935230,0.0000,1.0000
2018-10-10,208.5900,208.8850,201.3800,201.6300,199.9894,702514,0.0000,1.0000
2018-10-09,212.1100,212.1100,208.8800,209.1600,207.4581,450541,0.0000,1.0000
2018-10-08,210.0800,212.7000,208.7100,212.5800,210.8503,467031,0.0000,1.0000
2018-10-05,212.4900,214.4700,209.8050,210.2800,208.5690,469821,0.0000,1.0000
2018-10-04,213.3400,213.9400,210.0700,211.5900,209.8683,586142,0.0000,1.0000
2018-10-03,212.5900,213.8492,211.5200,213.4700,211.7330,585482,0.0000,1.0000
2018-10-02,212.6400,213.4900,210.1100,211.7500,210.0270,464251,0.0000,1.0000
2018-10-01,213.7800,215.7200,211.7400,212.4800,210.7511,266091,0.0000,1.0000
2018-09-28,211.9100,213.3000,211.2900,212.6200,210.8899,348710,0.0000,1.0000
2018-09-27,212.0100,213.5500,210.0100,212.0900,210.3642,317708,0.0000,1.0000
2018-09-26,212.4500,212.9200,210.8500,211.4500,209.7294,337491,0.0000,1.0000
2018-09-25,210.0700,213.6800,209.0800,212.3700,210.6420,467884,0.0000,1.0000
2018-09-24,210.9300,211.2800,207.9000,209.3800,207.6763,365982,0.0000,1.0000
2018-09-21,211.4000,213.8600,210.8900,211.4600,209.7394,896054,0.0000,1.0000
2018-09-20,215.4600,215.5500,204.6500,210.3600,208.6483,1379800,0.0000,1.0000
2018-09-19,218.3000,218.5900,214.5000,214.9800,213.2307,288539,0.0000,1.0000
2018-09-18,217.6100,218.5300,215.3700,217.6100,215.8393,363794,0.0000,1.0000
2018-09-17,216.6100,217.9300,215.9600,216.7900,215.0260,321139,0.0000,1.0000
2018-09-14,213.7100,216.5000,213.1000,216.1700,214.4110,411781,0.0000,1.0000
2018-09-13,210.3000,214.2800,210.3000,213.8400,212.1000,365433,0.0000,1.0000
2018-09-12,207.4000,210.0500,206.5110,209.6800,207.9739,376146,0.0000,1.0000
2018-09-11,209.3400,209.9500,207.3800,207.5000,205.8116,446114,0.0000,1.0000
2018-09-10,210.3300,210.8600,209.3500,209.7000,207.9937,330156,0.0000,1.0000
2018-09-07,211.4600,211.4600,209.0100,209.9900,208.2813,308911,0.0000,1.0000
2018-09-06,211.2900,212.2100,210.6400,211.6000,209.8782,505132,0.0000,1.0000
2018-09-05,210.3700,212.5100,209.0800,211.0000,209.2831,406600,0.0000,1.0000
2018-09-04,213.7200,213.7200,210.8500,211.4300,209.7096,377135,0.0000,1.0000
2018-08-31,212.3300,214.4400,212.2200,213.7200,211.9810,533394,0.0000,1.0000
2018-08-30,211.1000,213.7200,210.3000,213.3700,211.6338,812592,0.0000,1.0000
2018-08-29,212.6000,213.1500,210.7600,211.1000,209.3823,635386,0.0000,1.0000
2018-08-28,213.2600,214.3500,211.9100,212.2800,210.5527,601000,0.0000,1.0000
2018-08-27,212.0000,213.5400,211.2500,211.9000,210.1758,489780,0.0000,1.0000
2018-08-24,209.9800,211.4000,209.7700,211.3400,209.6203,241651,0.0000,1.0000
2018-08-23,211.4100,212.0300,208.8100,209.8600,208.1524,324674,0.0000,1.0000
2018-08-22,211.4800,212.8000,210.8200,212.2500,210.5229,472537,0.0000,1.0000
2018-08-21,211.0800,212.5900,210.7600,211.9800,210.2551,440040,0.0000,1.0000
2018-08-20,211.0000,211.8500,210.3500,211.1000,209.3823,293692,0.0000,1.0000
2018-08-17,209.6800,210.7150,209.1400,210.3800,208.6682,281326,0.0000,1.0000
2018-08-16,207.9100,210.5300,207.9100,209.7600,208.0532,320642,0.8000,1.0000
2018-08-15,208.7100,209.6000,206.8700,208.1100,205.6324,408533,0.0000,1.0000
2018-08-14,208.7200,211.2500,208.7200,209.8600,207.3615,459140,0.0000,1.0000
2018-08-13,209.9200,210.8600,207.6300,208.5400,206.0572,593886,0.0000,1.0000
2018-08-10,210.6900,211.4600,209.5500,210.0600,207.5592,418709,0.0000,1.0000
2018-08-09,212.3700,214.8200,210.8800,210.9300,208.4188,579600,0.0000,1.0000
2018-08-08,211.7000,213.4500,211.0800,212.2900,209.7626,719670,0.0000,1.0000
2018-08-07,209.4800,211.8600,208.8400,211.5600,209.0413,293492,0.0000,1.0000
2018-08-06,210.9800,211.4700,207.9500,209.2900,206.7983,430784,0.0000,1.0000
2018-08-03,211.2100,212.1999,208.4700,211.4100,208.8931,418433,0.0000,1.0000
2018-08-02,210.7500,212.1056,209.1400,211.4600,208.9425,442652,0.0000,1.0000
2018-08-01,213.9600,214.6900,211.4000,211.7000,209.1796,687760,0.0000,1.0000
2018-07-31,211.6000,214.9500,210.8200,214.4400,211.8870,1022097,0.0000,1.0000
