timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,57.7900,58.2900,57.1500,57.4300,57.4300,2652204,0.0000,1.0000
2019-03-22,59.6300,60.1400,57.4600,57.6800,57.6800,2719760,0.0000,1.0000
2019-03-21,59.6500,60.6600,59.1400,60.4700,60.4700,2152244,0.0000,1.0000
2019-03-20,62.4500,62.7800,60.0000,60.1200,60.1200,2527948,0.0000,1.0000
2019-03-19,63.7300,64.1900,62.5650,62.6200,62.6200,1559472,0.0000,1.0000
2019-03-18,62.9700,63.9200,62.8600,63.2600,63.2600,2360370,0.0000,1.0000
2019-03-15,61.6200,62.8100,61.5800,62.7200,62.7200,2930450,0.0000,1.0000
2019-03-14,61.6400,62.1600,61.4300,61.7400,61.7400,1679007,0.0000,1.0000
2019-03-13,61.7300,62.2300,61.2800,61.8000,61.8000,1454288,0.0000,1.0000
2019-03-12,61.1900,61.5700,60.9900,61.2600,61.2600,1600458,0.0000,1.0000
2019-03-11,60.5600,61.1700,60.4300,60.9400,60.9400,1356986,0.0000,1.0000
2019-03-08,59.6200,60.2400,59.3900,60.1700,60.1700,2095471,0.0000,1.0000
2019-03-07,61.6100,61.6100,59.9900,60.3900,60.3900,2693266,0.0000,1.0000
2019-03-06,62.5100,63.1900,61.7600,62.0400,62.0400,1462185,0.0000,1.0000
2019-03-05,62.8200,62.9500,61.7800,62.7000,62.7000,1499890,0.0000,1.0000
2019-03-04,63.0100,63.8100,62.0600,62.7400,62.7400,1649992,0.0000,1.0000
2019-03-01,64.1900,64.1900,62.6300,62.8900,62.8900,1272458,0.0000,1.0000
2019-02-28,63.0700,63.1400,62.4600,62.5200,62.5200,1498551,0.0000,1.0000
2019-02-27,63.1600,63.6500,62.9300,63.0100,63.0100,1236276,0.0000,1.0000
2019-02-26,63.0000,63.8200,62.9500,63.1900,63.1900,1346890,0.0000,1.0000
2019-02-25,63.5000,64.0400,63.2500,63.3500,63.3500,1269537,0.0000,1.0000
2019-02-22,62.7900,63.3600,62.4700,62.8100,62.8100,1457551,0.0000,1.0000
2019-02-21,62.6600,63.2000,62.3200,62.5500,62.5500,1535984,0.0000,1.0000
2019-02-20,62.1300,62.7850,61.8300,62.6300,62.6300,1363692,0.0000,1.0000
2019-02-19,61.0000,62.4200,60.9700,62.0500,62.0500,1166505,0.0000,1.0000
2019-02-15,60.7000,61.6500,60.5000,61.6100,61.6100,1234185,0.0000,1.0000
2019-02-14,59.9100,60.4000,59.5000,59.9200,59.9200,1533755,0.0000,1.0000
2019-02-13,60.8100,61.6100,60.6300,60.6500,60.6500,1552837,0.0000,1.0000
2019-02-12,59.9300,61.0300,59.8100,60.5000,60.5000,1714355,0.0000,1.0000
2019-02-11,58.7500,59.2700,58.4000,59.1800,59.1800,1507969,0.0000,1.0000
2019-02-08,58.3100,59.0000,57.1900,58.3200,58.3200,2121041,0.0000,1.0000
2019-02-07,58.2900,60.5400,58.1100,59.2200,59.2200,2825426,0.0000,1.0000
2019-02-06,58.6900,59.3700,58.5700,58.9600,58.9600,1574904,0.0000,1.0000
2019-02-05,59.0200,59.1400,58.2800,58.8000,58.8000,2021891,0.0000,1.0000
2019-02-04,58.6300,59.0000,58.4800,58.9300,58.9300,1206007,0.0000,1.0000
2019-02-01,58.7200,59.0600,58.4000,58.6500,58.6500,1681919,0.0000,1.0000
2019-01-31,57.4500,58.6250,57.4500,58.4900,58.4900,1842730,0.0000,1.0000
2019-01-30,58.2100,58.3600,57.1600,57.9000,57.9000,3132766,0.0000,1.0000
2019-01-29,59.0900,59.1400,58.0800,58.1100,58.1100,1760232,0.0000,1.0000
2019-01-28,59.0600,59.4700,58.4100,59.1500,59.1500,1118671,0.0000,1.0000
2019-01-25,59.3100,59.8700,58.8700,59.4900,59.4900,1315588,0.0000,1.0000
2019-01-24,57.5700,58.7400,57.5700,58.4400,58.4400,1931562,0.0000,1.0000
2019-01-23,58.6600,58.6600,57.4100,57.8200,57.8200,2003637,0.0000,1.0000
2019-01-22,58.7600,59.1300,58.0100,58.1800,58.1800,1733258,0.0000,1.0000
2019-01-18,58.5700,59.2150,57.9050,59.1600,59.1600,2516580,0.0000,1.0000
2019-01-17,56.8600,58.1400,56.6400,58.0200,58.0200,2165218,0.0000,1.0000
2019-01-16,56.4300,57.6900,56.1700,57.3000,57.3000,2714550,0.0000,1.0000
2019-01-15,55.4600,56.0050,55.0300,55.8100,55.8100,2040646,0.0000,1.0000
2019-01-14,54.4400,56.1600,54.4400,55.7900,55.7900,2154552,0.0000,1.0000
2019-01-11,54.4600,55.5600,54.2600,55.2400,55.2400,1692807,0.0000,1.0000
2019-01-10,54.2700,55.3200,54.2330,54.9600,54.9600,2255922,0.0000,1.0000
2019-01-09,53.4500,54.7050,53.3000,54.4900,54.4900,2356856,0.3700,1.0000
2019-01-08,54.8000,54.9200,53.3700,53.5500,53.1888,2854982,0.0000,1.0000
2019-01-07,53.3300,54.5350,52.7916,54.0100,53.6457,2244939,0.0000,1.0000
2019-01-04,52.2200,53.8100,51.8500,53.7300,53.3676,3490455,0.0000,1.0000
2019-01-03,51.2000,51.8000,50.7100,50.8400,50.4971,2712293,0.0000,1.0000
2019-01-02,50.1200,51.8050,49.7000,51.5300,51.1825,2723626,0.0000,1.0000
2018-12-31,51.3700,51.8100,50.6500,51.3100,50.9639,2138739,0.0000,1.0000
2018-12-28,51.4900,51.6392,50.7650,51.0000,50.6560,2449261,0.0000,1.0000
2018-12-27,49.5500,51.2100,49.4800,51.2000,50.8547,2854216,0.0000,1.0000
2018-12-26,49.1600,50.6300,48.0700,50.6200,50.2786,3371321,0.0000,1.0000
2018-12-24,48.7700,49.7700,48.5600,48.7900,48.4609,1645519,0.0000,1.0000
2018-12-21,50.3300,51.2100,49.2300,49.3400,49.0072,5313559,0.0000,1.0000
2018-12-20,51.0600,51.9400,50.6700,50.9400,50.5964,3398140,0.0000,1.0000
2018-12-19,52.0500,53.2300,51.1400,51.6000,51.2520,3944625,0.0000,1.0000
2018-12-18,52.9000,53.7100,51.7900,52.1500,51.7983,2732727,0.0000,1.0000
2018-12-17,53.0900,53.9500,52.2101,52.5600,52.2055,2905615,0.0000,1.0000
2018-12-14,53.5900,54.9700,53.2600,53.5300,53.1690,2601027,0.0000,1.0000
2018-12-13,55.2800,55.4100,53.9900,54.4300,54.0629,2235169,0.0000,1.0000
2018-12-12,55.5800,56.2100,54.8200,55.1900,54.8178,2377290,0.0000,1.0000
2018-12-11,56.3400,56.9700,54.3100,54.4900,54.1225,3135375,0.0000,1.0000
2018-12-10,56.3800,56.8300,54.5100,55.4700,55.0959,3966914,0.0000,1.0000
2018-12-07,57.7200,58.7500,55.8250,56.4000,56.0196,2283534,0.0000,1.0000
2018-12-06,57.9700,58.5400,56.3700,57.7000,57.3108,2578362,0.0000,1.0000
2018-12-04,63.4500,63.7700,59.0650,59.5000,59.0987,2370603,0.0000,1.0000
2018-12-03,64.0600,64.8000,63.2300,63.9000,63.4690,1703702,0.0000,1.0000
2018-11-30,62.2900,63.2800,62.1700,62.9700,62.5453,1944582,0.0000,1.0000
2018-11-29,62.7000,63.4500,62.0400,62.4900,62.0685,1964015,0.0000,1.0000
2018-11-28,61.7400,63.0600,61.0500,63.0500,62.6248,1959411,0.0000,1.0000
2018-11-27,62.1100,62.4900,61.3700,61.7600,61.3435,1475872,0.0000,1.0000
2018-11-26,62.0800,62.5900,61.6900,62.4600,62.0387,1131172,0.0000,1.0000
2018-11-23,60.4500,61.5200,60.0600,60.9700,60.5588,505802,0.0000,1.0000
2018-11-21,61.4300,62.7400,60.6900,61.2000,60.7872,1543248,0.0000,1.0000
2018-11-20,62.0500,62.1400,60.5300,60.9700,60.5588,2713559,0.0000,1.0000
2018-11-19,62.8200,63.4000,62.3800,62.9300,62.5056,2273501,0.0000,1.0000
2018-11-16,63.0600,63.4150,62.5300,63.0200,62.5950,2073255,0.0000,1.0000
2018-11-15,63.2100,63.8600,62.7600,63.6600,63.2306,2711968,0.0000,1.0000
2018-11-14,65.9000,66.1400,63.4600,64.1000,63.6677,1884923,0.0000,1.0000
2018-11-13,64.2100,66.0500,64.1600,65.1800,64.7404,1787792,0.0000,1.0000
2018-11-12,65.1700,65.4700,63.8900,63.9000,63.4690,1178296,0.0000,1.0000
2018-11-09,65.7100,66.1400,64.7200,65.0800,64.6411,1159571,0.0000,1.0000
2018-11-08,65.0000,66.6800,64.9200,65.9800,65.5350,1385847,0.0000,1.0000
2018-11-07,65.0600,65.9300,64.6100,65.8300,65.3860,2461250,0.0000,1.0000
2018-11-06,64.4600,64.7800,64.0650,64.5400,64.1047,1550559,0.0000,1.0000
2018-11-05,64.0000,64.7400,63.6200,64.4800,64.0451,2025728,0.0000,1.0000
2018-11-02,62.4600,64.5050,61.5800,63.3000,62.8731,3731054,0.0000,1.0000
2018-11-01,60.3900,61.2700,60.2000,61.0600,60.6482,2481051,0.0000,1.0000
2018-10-31,59.7400,61.4800,59.5000,60.1900,59.7841,2986719,0.0000,1.0000
2018-10-30,58.3300,58.9900,57.5000,58.9000,58.5028,1967005,0.0000,1.0000
2018-10-29,58.9200,60.0389,57.0600,57.7500,57.3605,2404820,0.0000,1.0000
2018-10-26,58.8200,58.9650,57.5500,57.8800,57.4896,2012378,0.0000,1.0000
2018-10-25,59.2900,60.2600,59.0400,59.6100,59.2080,1838674,0.0000,1.0000
2018-10-24,61.5100,61.7000,58.3700,58.5200,58.1253,1628528,0.0000,1.0000
2018-10-23,60.9300,62.1900,60.4350,61.8500,61.4329,2426563,0.0000,1.0000
2018-10-22,64.2100,64.8000,62.3500,62.3800,61.9593,1630198,0.0000,1.0000
2018-10-19,63.5200,64.7100,63.1000,64.0000,63.5684,1752554,0.0000,1.0000
2018-10-18,65.4400,65.9700,63.5300,63.8000,63.3697,1578807,0.0000,1.0000
2018-10-17,64.5500,66.1600,64.1900,65.6400,65.1973,1775039,0.0000,1.0000
2018-10-16,64.2300,64.5000,63.2900,64.4700,64.0352,1550606,0.0000,1.0000
2018-10-15,64.0000,64.8800,63.7500,63.7800,63.3498,1190235,0.0000,1.0000
2018-10-12,65.2100,65.2600,62.5100,64.2000,63.7670,2241651,0.0000,1.0000
2018-10-11,67.7400,67.7400,63.9700,63.9900,63.5584,2092662,0.0000,1.0000
2018-10-10,70.2300,70.5900,67.9800,68.0300,67.5712,1742386,0.0000,1.0000
2018-10-09,70.0700,70.6000,69.0500,70.1100,69.6371,1434296,0.3300,1.0000
2018-10-08,69.6100,70.8300,69.4300,70.5800,69.7756,1074687,0.0000,1.0000
