timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,109.6200,110.4600,108.9350,109.8500,109.8500,402352,0.0000,1.0000
2019-05-02,109.7100,110.6150,108.5500,109.5700,109.5700,603782,0.0000,1.0000
2019-05-01,109.5100,110.5800,108.9400,109.2500,109.2500,499374,0.0000,1.0000
2019-04-30,107.6900,109.5300,107.1300,109.4100,109.4100,578575,0.0000,1.0000
2019-04-29,108.8500,109.1800,107.4700,107.5600,107.5600,300327,0.0000,1.0000
2019-04-26,108.5000,109.1100,107.7600,108.9700,108.9700,383233,0.0000,1.0000
2019-04-25,107.4700,108.2300,106.9900,107.9900,107.9900,241394,0.0000,1.0000
2019-04-24,107.0000,108.0700,106.5100,107.9700,107.9700,328631,0.0000,1.0000
2019-04-23,105.5800,107.0100,105.2600,106.5700,106.5700,442418,0.0000,1.0000
2019-04-22,106.1400,106.3800,103.5500,105.1700,105.1700,453723,0.0000,1.0000
2019-04-18,105.0000,106.7400,104.9200,106.5600,106.5600,452934,0.0000,1.0000
2019-04-17,106.7100,106.7970,104.5200,104.9200,104.9200,662153,0.0000,1.0000
2019-04-16,109.9100,110.0000,106.3000,106.5800,106.5800,371568,0.0000,1.0000
2019-04-15,110.2700,110.6000,109.4800,109.9300,109.9300,422678,0.0000,1.0000
2019-04-12,109.8400,110.1900,108.7250,110.1600,110.1600,414527,0.9600,1.0000
2019-04-11,110.2000,111.1000,109.8000,110.6400,109.6841,388447,0.0000,1.0000
2019-04-10,109.6600,110.4400,109.2000,110.1600,109.2083,447562,0.0000,1.0000
2019-04-09,109.3600,109.6100,108.8900,109.3200,108.3756,364068,0.0000,1.0000
2019-04-08,109.7700,109.8600,108.4500,109.2800,108.3359,340506,0.0000,1.0000
2019-04-05,109.3400,109.9200,108.7200,109.8600,108.9109,358465,0.0000,1.0000
2019-04-04,108.5700,109.3900,108.2565,109.3700,108.4251,371963,0.0000,1.0000
2019-04-03,110.0300,110.2900,108.9800,109.9000,108.9505,397203,0.0000,1.0000
2019-04-02,108.9100,110.0900,108.1200,109.9400,108.9902,340744,0.0000,1.0000
2019-04-01,109.4800,109.4800,107.6600,108.8300,107.8898,398158,0.0000,1.0000
2019-03-29,109.5500,109.7200,108.8600,109.3300,108.3855,593582,0.0000,1.0000
2019-03-28,109.1400,109.6600,108.3841,109.6200,108.6730,285328,0.0000,1.0000
2019-03-27,109.3000,109.4550,108.4600,108.7400,107.8006,336443,0.0000,1.0000
2019-03-26,108.5800,109.3200,108.2900,109.2700,108.3260,359098,0.0000,1.0000
2019-03-25,109.0200,109.0200,107.5850,108.4900,107.5527,644256,0.0000,1.0000
2019-03-22,108.1200,109.1900,107.7950,107.9400,107.0075,353911,0.0000,1.0000
2019-03-21,106.3100,108.2000,105.7700,107.8100,106.8786,491856,0.0000,1.0000
2019-03-20,106.2200,107.1000,105.4700,106.3900,105.4709,359283,0.0000,1.0000
2019-03-19,106.3200,106.6600,105.6700,106.1800,105.2627,437520,0.0000,1.0000
2019-03-18,107.8700,108.1400,105.8200,106.5900,105.6691,397551,0.0000,1.0000
2019-03-15,108.2600,108.4500,107.4600,107.6700,106.7398,818643,0.0000,1.0000
2019-03-14,107.6400,108.2900,107.0800,108.2500,107.3148,462847,0.0000,1.0000
2019-03-13,107.5100,108.1350,107.2300,107.4600,106.5316,452596,0.0000,1.0000
2019-03-12,107.0400,107.6800,107.0000,107.3900,106.4622,564146,0.0000,1.0000
2019-03-11,105.8400,106.8000,105.7650,106.7900,105.8674,640766,0.0000,1.0000
2019-03-08,105.0000,106.0600,104.8400,105.4200,104.5092,641267,0.0000,1.0000
2019-03-07,104.7400,106.0350,104.4952,104.9800,104.0730,600338,0.0000,1.0000
2019-03-06,104.6200,105.0900,104.3000,104.4700,103.5675,443604,0.0000,1.0000
2019-03-05,103.9000,104.7500,103.9000,104.3800,103.4782,444311,0.0000,1.0000
2019-03-04,103.5500,104.4291,102.8700,104.0800,103.1808,708313,0.0000,1.0000
2019-03-01,103.4800,103.4800,101.8150,103.1000,102.2093,543477,0.0000,1.0000
2019-02-28,103.1700,105.0100,102.9940,103.5800,102.6851,756815,0.0000,1.0000
2019-02-27,103.5200,103.8432,102.3600,103.2000,102.3084,336178,0.0000,1.0000
2019-02-26,104.0100,104.1400,103.2500,104.0000,103.1015,567828,0.0000,1.0000
2019-02-25,104.7600,104.7600,103.5400,103.7100,102.8140,326861,0.0000,1.0000
