timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,124.0100,124.4500,123.1300,123.6600,123.6600,1493650,0.0000,1.0000
2019-03-22,124.3700,124.9100,123.4200,124.5000,124.5000,3400967,0.0000,1.0000
2019-03-21,123.3700,125.1800,122.9800,125.0600,125.0600,1710566,0.0000,1.0000
2019-03-20,125.3900,125.7300,123.5400,123.6700,123.6700,1927610,0.0000,1.0000
2019-03-19,124.9700,126.7200,124.6600,125.7500,125.7500,2352385,0.0000,1.0000
2019-03-18,124.9900,125.9700,123.8300,124.9600,124.9600,2436728,0.0000,1.0000
2019-03-15,120.0200,124.8300,119.8900,122.3200,122.3200,3600341,0.0000,1.0000
2019-03-14,120.0000,120.5300,118.9900,119.6200,119.6200,2363574,0.0000,1.0000
2019-03-13,121.1400,122.6600,120.0100,120.1900,120.1900,3071934,0.0000,1.0000
2019-03-12,120.5000,121.5900,119.1000,120.6900,120.6900,2185256,0.0000,1.0000
2019-03-11,120.8600,121.1700,120.1100,120.2500,120.2500,2193304,0.0000,1.0000
2019-03-08,121.1900,121.5400,119.9900,120.7000,120.7000,2261298,0.0000,1.0000
2019-03-07,125.1300,125.1600,122.0700,122.2200,122.2200,2043554,0.0000,1.0000
2019-03-06,125.1800,125.8400,124.8200,125.1200,125.1200,1644383,0.0000,1.0000
2019-03-05,124.0000,125.5700,124.0000,125.2200,125.2200,1797492,0.0000,1.0000
2019-03-04,126.4900,126.4900,122.3400,123.9400,123.9400,2095319,0.0000,1.0000
2019-03-01,125.4900,126.5500,122.2300,124.4500,124.4500,4407856,0.0000,1.0000
2019-02-28,126.7600,127.0000,125.0100,125.2700,125.2700,3312905,0.4100,1.0000
2019-02-27,127.6500,128.6350,126.6400,126.9300,126.5159,2168622,0.0000,1.0000
2019-02-26,128.1900,129.9000,128.1700,128.5700,128.1506,1979231,0.0000,1.0000
2019-02-25,129.6900,130.1600,128.4200,128.4800,128.0609,2325103,0.0000,1.0000
2019-02-22,127.9300,129.7200,127.5700,128.8400,128.4197,2085873,0.0000,1.0000
2019-02-21,127.0400,128.2500,125.4500,127.3700,126.9545,2892987,0.0000,1.0000
2019-02-20,122.5400,127.2700,121.9500,126.9700,126.5558,3337553,0.0000,1.0000
2019-02-19,120.2900,122.4000,120.1500,122.0300,121.6319,2625589,0.0000,1.0000
2019-02-15,119.8000,121.5999,118.8100,121.0500,120.6551,2012943,0.0000,1.0000
2019-02-14,118.1400,118.8100,116.6400,118.6200,118.2330,1785429,0.0000,1.0000
