timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,13.2100,13.3200,12.9600,13.2800,13.2800,5443089,0.0000,1.0000
2019-03-22,13.4500,13.4500,12.8200,13.2100,13.2100,5195735,0.0000,1.0000
2019-03-21,13.9100,13.9100,13.2800,13.5000,13.5000,6411324,0.0000,1.0000
2019-03-20,14.3100,14.3161,13.9150,13.9500,13.9500,4439571,0.0000,1.0000
2019-03-19,14.7300,14.8250,14.3200,14.3500,14.3500,2982078,0.0000,1.0000
2019-03-18,14.5500,14.8000,14.4150,14.6800,14.6800,2412806,0.0000,1.0000
2019-03-15,14.4400,14.5900,14.2800,14.4700,14.4700,8201754,0.0000,1.0000
2019-03-14,14.6400,14.7800,14.4050,14.4600,14.4600,2287024,0.0000,1.0000
2019-03-13,14.7600,14.8700,14.6000,14.6400,14.6400,2562301,0.0000,1.0000
2019-03-12,14.6400,14.8650,14.5000,14.7100,14.7100,3307648,0.0000,1.0000
2019-03-11,14.5400,14.7200,14.4000,14.5900,14.5900,3010909,0.0000,1.0000
2019-03-08,14.3800,14.6300,14.2000,14.4900,14.4900,3584833,0.0000,1.0000
2019-03-07,14.5300,14.7600,14.2600,14.5500,14.5500,3079449,0.0000,1.0000
2019-03-06,14.7400,14.8250,14.5100,14.5600,14.5600,2664614,0.0000,1.0000
2019-03-05,14.9200,15.0900,14.7850,14.8100,14.8100,3256123,0.0000,1.0000
2019-03-04,14.9600,15.1945,14.7500,14.8800,14.8800,3886775,0.0000,1.0000
2019-03-01,14.5700,15.0700,14.4400,14.8900,14.8900,4186403,0.0000,1.0000
2019-02-28,14.5500,14.6500,14.2600,14.4200,14.4200,3842997,0.0000,1.0000
2019-02-27,14.4800,14.6450,14.2600,14.4900,14.4900,2908458,0.0000,1.0000
2019-02-26,14.2900,14.7100,14.2100,14.3800,14.3800,4996963,0.0000,1.0000
2019-02-25,14.1600,14.2300,13.9400,13.9900,13.9900,5037935,0.0000,1.0000
2019-02-22,14.0600,14.1700,13.8300,14.0700,14.0700,4891540,0.0000,1.0000
2019-02-21,13.6300,14.0800,13.4100,14.0500,14.0500,8136740,0.0000,1.0000
2019-02-20,13.9400,13.9700,13.2300,13.6300,13.6300,9773802,0.0000,1.0000
2019-02-19,13.9800,14.0200,12.4500,14.0100,14.0100,30552324,0.0000,1.0000
2019-02-15,17.0700,17.2650,13.7300,13.8200,13.8200,33526884,0.0000,1.0000
2019-02-14,16.9200,17.1550,16.7900,16.9100,16.9100,6968590,0.0000,1.0000
2019-02-13,16.5500,17.2300,16.3263,17.0700,17.0700,10584098,0.0000,1.0000
2019-02-12,15.7700,16.9400,15.7300,16.4700,16.4700,15181620,0.0000,1.0000
2019-02-11,15.3200,15.8400,15.2900,15.7400,15.7400,16303592,0.0000,1.0000
2019-02-08,14.7500,16.0600,14.6300,15.2300,15.2300,38363975,0.0000,1.0000
2019-02-07,12.3900,12.4500,12.0300,12.3600,12.3600,8628713,0.0000,1.0000
2019-02-06,12.3600,12.6600,12.2600,12.4900,12.4900,4297615,0.0000,1.0000
2019-02-05,12.3400,12.6200,12.2800,12.4200,12.4200,3776167,0.0000,1.0000
2019-02-04,12.1800,12.7100,12.1300,12.3000,12.3000,5171946,0.0000,1.0000
2019-02-01,11.8500,12.2200,11.5900,12.2200,12.2200,4698569,0.0000,1.0000
2019-01-31,12.2900,12.3300,11.8100,11.8400,11.8400,4786816,0.0000,1.0000
2019-01-30,12.2900,12.4200,12.1100,12.2900,12.2900,3021665,0.0000,1.0000
2019-01-29,12.4100,12.4800,12.2300,12.2600,12.2600,2173490,0.0000,1.0000
2019-01-28,12.3100,12.5750,12.1800,12.4400,12.4400,2352872,0.0000,1.0000
2019-01-25,12.3600,12.6400,12.1700,12.4300,12.4300,5622800,0.0000,1.0000
2019-01-24,11.8300,12.3950,11.8200,12.2700,12.2700,2948951,0.0000,1.0000
2019-01-23,12.2500,12.2600,11.8100,11.8200,11.8200,2900357,0.0000,1.0000
2019-01-22,12.3700,12.4500,12.0500,12.1800,12.1800,4069919,0.0000,1.0000
2019-01-18,12.7100,12.7600,12.3200,12.4400,12.4400,5411006,0.0000,1.0000
2019-01-17,12.4300,12.7700,12.3514,12.6700,12.6700,2759742,0.0000,1.0000
2019-01-16,12.5700,12.6575,12.3600,12.5000,12.5000,2948241,0.0000,1.0000
2019-01-15,12.3600,12.6400,12.3200,12.5800,12.5800,2549848,0.0000,1.0000
2019-01-14,12.1600,12.5400,12.0500,12.3500,12.3500,2727864,0.0000,1.0000
2019-01-11,11.8600,12.3100,11.7224,12.2500,12.2500,4238518,0.0000,1.0000
2019-01-10,11.4900,11.9000,11.3400,11.9000,11.9000,3874191,0.0000,1.0000
2019-01-09,11.7400,11.8500,11.2600,11.6300,11.6300,6040358,0.0000,1.0000
2019-01-08,11.3600,12.0700,11.3579,11.7400,11.7400,9914440,0.0000,1.0000
2019-01-07,10.5900,11.4150,10.5900,11.2100,11.2100,9576510,0.0000,1.0000
2019-01-04,9.3900,10.5750,9.3184,10.4100,10.4100,11074839,0.0000,1.0000
2019-01-03,9.7300,9.8000,9.2600,9.2700,9.2700,5861925,0.0000,1.0000
2019-01-02,9.8300,9.9900,9.6600,9.7600,9.7600,4954309,0.0000,1.0000
2018-12-31,10.0300,10.0700,9.5700,9.9900,9.9900,4857918,0.0000,1.0000
2018-12-28,10.0300,10.2400,9.8400,9.9400,9.9400,5781782,0.0000,1.0000
2018-12-27,9.8400,9.9900,9.5400,9.9800,9.9800,6012624,0.0000,1.0000
