timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,118.7600,118.7600,115.1400,115.6500,115.6500,1314564,0.0000,1.0000
2019-03-22,121.8100,122.0000,118.5100,118.5400,118.5400,1115846,0.0000,1.0000
2019-03-21,120.3200,122.3500,119.5100,122.2300,122.2300,818483,0.0000,1.0000
2019-03-20,122.6900,122.6900,120.4200,120.6500,120.6500,1512572,0.0000,1.0000
2019-03-19,121.5700,123.2500,121.3950,122.5200,122.5200,1302609,0.0000,1.0000
2019-03-18,119.8100,121.4500,119.7246,121.3700,121.3700,1516760,0.0000,1.0000
2019-03-15,118.0400,119.6500,117.7400,119.2600,119.2600,2296743,0.0000,1.0000
2019-03-14,117.4600,118.3200,116.5200,117.7200,117.7200,1064342,0.0000,1.0000
2019-03-13,116.2800,118.1100,115.7900,117.4700,117.4700,1186841,0.0000,1.0000
2019-03-12,113.9900,115.9200,113.9900,115.6100,115.6100,1285591,0.0000,1.0000
2019-03-11,112.2900,113.6000,112.0900,113.4800,113.4800,1231391,0.0000,1.0000
2019-03-08,112.1300,112.4700,110.5200,111.8600,111.8600,1389184,0.0000,1.0000
2019-03-07,113.3400,113.9600,111.7000,112.2800,112.2800,2450007,0.0000,1.0000
2019-03-06,116.9700,117.3800,113.0800,113.5100,113.5100,1582560,0.0000,1.0000
2019-03-05,120.4000,120.9300,116.8400,117.1600,117.1600,2954380,0.0000,1.0000
2019-03-04,124.5300,124.7100,119.7500,120.1000,120.1000,2225394,0.0000,1.0000
2019-03-01,127.6100,128.5000,124.0400,124.5300,124.5300,1549119,0.0000,1.0000
2019-02-28,127.2800,128.4550,126.5900,127.1600,127.1600,1268203,0.3900,1.0000
2019-02-27,126.9800,127.4400,125.8005,127.4200,127.0304,1432237,0.0000,1.0000
2019-02-26,130.0900,130.3300,126.9800,127.1500,126.7612,2037861,0.0000,1.0000
2019-02-25,132.4100,132.4100,129.9100,130.1800,129.7820,1437131,0.0000,1.0000
2019-02-22,131.9500,132.4200,130.8100,131.4900,131.0880,1303737,0.0000,1.0000
2019-02-21,134.0900,134.2300,131.4900,131.9500,131.5465,1372024,0.0000,1.0000
2019-02-20,135.1900,135.9000,133.8700,134.0400,133.6302,1149542,0.0000,1.0000
2019-02-19,135.3700,137.1600,134.5350,136.3000,135.8832,1260435,0.0000,1.0000
2019-02-15,135.3200,136.1600,134.4600,135.5600,135.1455,1072367,0.0000,1.0000
2019-02-14,133.5600,135.5099,132.2050,134.3900,133.9791,1071080,0.0000,1.0000
2019-02-13,134.3000,135.3000,133.6300,134.1700,133.7598,1169993,0.0000,1.0000
2019-02-12,131.6600,134.4900,128.8700,134.0000,133.5903,2794690,0.0000,1.0000
2019-02-11,128.7400,130.8900,128.2100,130.4300,130.0312,1437686,0.0000,1.0000
2019-02-08,130.1500,130.5800,127.5400,128.4900,128.0971,1447183,0.0000,1.0000
2019-02-07,132.8100,133.4900,130.2900,130.6000,130.2007,1257049,0.0000,1.0000
2019-02-06,131.3400,133.2200,131.0000,132.6200,132.2145,1387438,0.0000,1.0000
2019-02-05,132.5600,133.7500,131.5400,131.7700,131.3671,2354439,0.0000,1.0000
2019-02-04,127.6900,132.2600,127.6500,132.2600,131.8556,2496436,0.0000,1.0000
2019-02-01,123.5600,127.7250,122.4600,127.3300,126.9407,3215718,0.0000,1.0000
2019-01-31,125.2300,129.9800,125.2300,128.2500,127.8579,2962657,0.0000,1.0000
2019-01-30,125.3000,126.0800,124.3100,124.9700,124.5879,1274617,0.0000,1.0000
2019-01-29,126.1700,126.1900,124.4200,125.2900,124.9069,1335135,0.0000,1.0000
2019-01-28,126.4200,126.8400,124.6900,125.7700,125.3854,1178825,0.0000,1.0000
2019-01-25,126.8600,128.6100,126.5652,127.0500,126.6615,1093302,0.0000,1.0000
2019-01-24,125.9000,126.8000,124.4600,125.4700,125.0864,1960866,0.0000,1.0000
2019-01-23,126.0800,126.8500,124.4900,126.1200,125.7344,1319865,0.0000,1.0000
2019-01-22,125.8900,126.0400,124.1500,125.8700,125.4851,1135602,0.0000,1.0000
2019-01-18,125.0400,127.3300,125.0100,126.6700,126.2827,1839013,0.0000,1.0000
2019-01-17,123.4500,125.1350,123.3400,124.3900,124.0097,1199266,0.0000,1.0000
2019-01-16,122.9600,124.8100,122.5200,123.6000,123.2221,1164086,0.0000,1.0000
2019-01-15,121.7700,123.1200,121.0100,123.0500,122.6738,1196224,0.0000,1.0000
2019-01-14,121.0200,122.5500,120.3600,121.6900,121.3179,1529762,0.0000,1.0000
2019-01-11,121.3000,122.4600,120.1950,122.1600,121.7865,1259627,0.0000,1.0000
2019-01-10,118.0800,122.5900,117.4500,122.0400,121.6668,2183486,0.0000,1.0000
2019-01-09,118.0700,118.9100,117.2900,118.2600,117.8984,1610567,0.0000,1.0000
2019-01-08,116.0600,118.6500,116.0600,117.7100,117.3501,1956640,0.0000,1.0000
2019-01-07,114.4800,117.4800,114.3000,115.3600,115.0073,1378456,0.0000,1.0000
2019-01-04,113.5600,114.9800,112.0300,114.3300,113.9804,1532604,0.0000,1.0000
2019-01-03,112.4500,114.4400,111.8900,112.9400,112.5947,3595686,0.0000,1.0000
2019-01-02,109.8600,114.1900,109.1600,113.0700,112.7243,2151510,0.0000,1.0000
2018-12-31,110.3700,111.2700,109.5400,110.4700,110.1322,962329,0.0000,1.0000
2018-12-28,111.4500,111.9099,109.1300,110.0400,109.7035,1584040,0.0000,1.0000
2018-12-27,109.7700,111.1200,107.7609,111.0600,110.7204,2251725,0.0000,1.0000
2018-12-26,108.3200,110.8700,106.6100,110.7800,110.4413,1837425,0.0000,1.0000
2018-12-24,108.3200,109.7400,106.1100,108.2300,107.8991,1353624,0.0000,1.0000
2018-12-21,108.4400,112.0500,107.7900,108.3400,108.0087,2888892,0.0000,1.0000
2018-12-20,111.9900,114.4100,108.7000,109.8600,109.5241,3307391,0.0000,1.0000
2018-12-19,108.9700,113.0000,107.9700,110.6300,110.2917,2401411,0.0000,1.0000
2018-12-18,113.1300,113.3900,108.5500,109.1900,108.8561,2286868,0.0000,1.0000
2018-12-17,115.2500,115.9500,111.2700,111.9000,111.5579,2722702,0.0000,1.0000
2018-12-14,121.2900,121.9000,116.2200,116.6600,116.3033,1698919,0.0000,1.0000
2018-12-13,123.3300,124.4800,121.3000,122.8600,122.4843,1288525,0.0000,1.0000
2018-12-12,121.9900,126.1200,121.9600,123.3300,122.9529,1402535,0.0000,1.0000
2018-12-11,123.8400,125.4550,120.6700,122.1500,121.7765,1458676,0.0000,1.0000
2018-12-10,124.8400,124.9200,120.7200,123.1000,122.7236,1579324,0.0000,1.0000
2018-12-07,125.6400,127.7150,124.7000,124.9400,124.5580,2137885,0.0000,1.0000
2018-12-06,124.0000,126.4800,120.0200,126.4000,126.0135,3005937,0.0000,1.0000
2018-12-04,126.5000,127.8200,124.5600,125.0500,124.6676,2472849,0.0000,1.0000
2018-12-03,123.0300,127.1900,123.0300,127.1600,126.7712,1785612,0.0000,1.0000
2018-11-30,126.9400,126.9600,123.1700,124.5000,124.1193,2585865,0.3900,1.0000
2018-11-29,126.9900,127.9800,125.4600,127.0100,126.2262,1331613,0.0000,1.0000
2018-11-28,125.7200,127.1600,124.4700,127.1600,126.3753,2941109,0.0000,1.0000
2018-11-27,120.4300,125.7900,120.3200,125.6900,124.9144,1994517,0.0000,1.0000
2018-11-26,122.2900,122.3450,119.6900,120.6400,119.8956,1392439,0.0000,1.0000
2018-11-23,121.0900,121.4900,119.0000,121.1600,120.4123,630987,0.0000,1.0000
2018-11-21,122.4400,123.1500,121.4700,121.8100,121.0583,1258650,0.0000,1.0000
2018-11-20,125.7300,126.3750,122.3200,122.5500,121.7938,1384955,0.0000,1.0000
2018-11-19,123.9300,127.4800,123.8000,126.1900,125.4113,2477912,0.0000,1.0000
2018-11-16,127.1000,128.1700,123.7100,123.8900,123.1255,1961305,0.0000,1.0000
2018-11-15,128.1800,128.4300,124.1200,127.4700,126.6834,1349478,0.0000,1.0000
2018-11-14,130.6200,131.8600,127.9100,128.8900,128.0946,1656461,0.0000,1.0000
2018-11-13,130.7700,131.5300,129.2200,130.1500,129.3469,1194135,0.0000,1.0000
2018-11-12,130.8400,131.8150,130.2400,130.4700,129.6649,834477,0.0000,1.0000
2018-11-09,132.5800,132.9500,129.7042,130.8100,130.0028,886049,0.0000,1.0000
2018-11-08,132.0300,135.1200,131.4300,132.5700,131.7519,1431467,0.0000,1.0000
2018-11-07,129.0600,132.8500,129.0600,132.7200,131.9010,1754915,0.0000,1.0000
2018-11-06,126.6700,129.8400,124.2000,128.6000,127.8064,1120450,0.0000,1.0000
2018-11-05,125.6600,127.9000,125.4500,127.1200,126.3356,1275505,0.0000,1.0000
2018-11-02,129.6600,130.0000,123.6900,125.4100,124.6361,1601351,0.0000,1.0000
2018-11-01,125.4800,129.2000,125.4100,129.0900,128.2934,1399438,0.0000,1.0000
2018-10-31,124.8900,125.9800,123.6300,124.7600,123.9901,1360139,0.0000,1.0000
2018-10-30,121.2500,124.2000,120.2100,124.1200,123.3541,1608406,0.0000,1.0000
2018-10-29,120.2500,122.2300,119.4600,120.7700,120.0247,1665707,0.0000,1.0000
2018-10-26,120.9700,121.0000,117.1900,118.3900,117.6594,2650464,0.0000,1.0000
2018-10-25,120.0200,123.6300,117.7600,121.9900,121.2372,3269435,0.0000,1.0000
2018-10-24,126.8100,128.4300,121.3900,121.5800,120.8298,2444710,0.0000,1.0000
2018-10-23,125.2500,127.8900,124.6900,127.2900,126.5045,1185261,0.0000,1.0000
2018-10-22,129.6300,131.6000,125.4300,126.7300,125.9480,1842160,0.0000,1.0000
2018-10-19,132.9500,135.0500,132.1950,132.3900,131.5730,1919391,0.0000,1.0000
2018-10-18,135.0000,135.3800,131.9500,132.7000,131.8811,1905336,0.0000,1.0000
2018-10-17,133.4300,137.1200,132.8100,135.0400,134.2067,1377611,0.0000,1.0000
2018-10-16,132.0400,133.8700,131.0400,133.4400,132.6166,1071842,0.0000,1.0000
2018-10-15,130.3800,132.4400,129.9000,131.3700,130.5593,1515736,0.0000,1.0000
2018-10-12,130.0000,131.7700,128.8600,130.7900,129.9829,1428670,0.0000,1.0000
2018-10-11,135.3500,135.3500,129.1400,129.2400,128.4425,1921903,0.0000,1.0000
2018-10-10,136.8000,138.9400,135.4000,135.5000,134.6639,1238051,0.0000,1.0000
2018-10-09,135.9800,137.0800,134.3100,136.8400,135.9956,2200422,0.0000,1.0000
2018-10-08,133.8400,136.9400,133.4700,136.0500,135.2105,1353412,0.0000,1.0000
2018-10-05,132.2900,135.4300,132.2900,134.0800,133.2526,1191500,0.0000,1.0000
2018-10-04,130.5400,133.5500,130.3316,132.2600,131.4438,1257473,0.0000,1.0000
2018-10-03,133.2600,133.3300,130.1500,130.5000,129.6947,883838,0.0000,1.0000
2018-10-02,132.5500,133.2700,132.3200,132.5300,131.7122,1088141,0.0000,1.0000
2018-10-01,132.9700,134.3300,132.1582,132.3200,131.5035,951300,0.0000,1.0000
2018-09-28,131.5000,133.4100,130.9200,132.6500,131.8314,1168502,0.0000,1.0000
2018-09-27,131.9800,133.7500,131.3700,131.6900,130.8774,1161664,0.0000,1.0000
2018-09-26,131.5000,133.0400,131.4200,131.9600,131.1457,864272,0.0000,1.0000
2018-09-25,132.8000,133.0400,131.3700,131.7200,130.9072,985539,0.0000,1.0000
2018-09-24,134.9300,134.9300,131.7800,132.6400,131.8215,1039772,0.0000,1.0000
2018-09-21,135.9200,136.0800,134.2800,134.9500,134.1172,2770505,0.0000,1.0000
2018-09-20,134.5400,136.6600,134.4700,135.8500,135.0117,1097755,0.0000,1.0000
2018-09-19,133.2300,135.4200,133.1300,134.2700,133.4414,1260203,0.0000,1.0000
2018-09-18,131.5400,133.7600,130.6200,133.0800,132.2588,1757907,0.0000,1.0000
2018-09-17,128.6700,132.5000,127.5600,131.7800,130.9668,1526409,0.0000,1.0000
2018-09-14,130.0000,130.6900,128.4500,128.5600,127.7667,1779920,0.0000,1.0000
2018-09-13,131.2000,131.8600,129.4100,129.6100,128.8102,1784909,0.0000,1.0000
2018-09-12,130.0500,131.5800,129.1400,130.2900,129.4860,1144430,0.0000,1.0000
2018-09-11,129.8800,130.1900,129.1500,130.0800,129.2773,1375944,0.0000,1.0000
2018-09-10,129.8200,131.6400,129.6600,130.3600,129.5556,1598397,0.0000,1.0000
2018-09-07,124.5700,130.0100,124.3600,129.7400,128.9394,3931746,0.0000,1.0000
2018-09-06,123.3100,126.1400,123.2700,125.5000,124.7256,2509656,0.0000,1.0000
2018-09-05,123.1800,124.2600,122.4900,123.4300,122.6683,1750340,0.0000,1.0000
2018-09-04,128.3100,129.0000,123.8200,123.9000,123.1354,1833323,0.0000,1.0000
