timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,142.6000,144.3500,141.9400,143.9300,143.9300,1637912,0.0000,1.0000
2019-03-22,143.2500,144.1900,141.9600,142.3700,142.3700,1345599,0.0000,1.0000
2019-03-21,139.6800,143.4925,138.7789,143.2800,143.2800,845608,0.0000,1.0000
2019-03-20,140.6100,140.6200,138.9400,139.3900,139.3900,1145275,0.0000,1.0000
2019-03-19,140.7500,141.4400,139.5100,140.3000,140.3000,948885,0.0000,1.0000
2019-03-18,139.6400,141.1600,139.6200,140.7100,140.7100,700639,0.0000,1.0000
2019-03-15,139.3100,140.0100,138.5100,139.9900,139.9900,1412356,0.0000,1.0000
2019-03-14,139.5400,139.8700,138.8100,139.4600,139.4600,631539,0.0000,1.0000
2019-03-13,138.8600,139.6800,138.4600,139.2000,139.2000,1031888,0.0000,1.0000
2019-03-12,139.1000,139.5500,137.6450,138.4000,138.4000,1091423,0.0000,1.0000
2019-03-11,136.8300,139.1500,136.6100,139.0800,139.0800,860840,0.0000,1.0000
2019-03-08,135.9600,137.2000,135.7600,137.0500,137.0500,731745,0.0000,1.0000
2019-03-07,136.6500,137.3600,135.4700,135.6300,135.6300,927363,0.0000,1.0000
2019-03-06,135.9000,136.6900,135.4200,136.4700,136.4700,551178,0.0000,1.0000
2019-03-05,135.3000,136.3200,134.9600,135.8300,135.8300,1174857,0.0000,1.0000
2019-03-04,137.3000,137.3500,133.3700,135.4700,135.4700,763035,0.0000,1.0000
2019-03-01,136.1600,137.3200,135.6000,136.7100,136.7100,744362,0.0000,1.0000
2019-02-28,134.7700,136.2150,134.6400,135.9800,135.9800,819987,0.0000,1.0000
2019-02-27,132.4700,134.8500,132.2100,134.7500,134.7500,762069,0.0000,1.0000
2019-02-26,134.3500,134.3700,132.7700,133.0400,133.0400,743154,0.0000,1.0000
2019-02-25,135.8300,135.9500,132.6850,133.4300,133.4300,1344089,0.0000,1.0000
2019-02-22,132.1300,135.8400,131.1700,135.7400,135.7400,1957271,0.0000,1.0000
2019-02-21,130.6700,133.9400,130.5900,133.7600,133.7600,1745852,0.0000,1.0000
2019-02-20,129.5100,131.1300,129.2314,130.4200,130.4200,1015536,0.0000,1.0000
2019-02-19,128.6900,130.7150,128.4000,129.6900,129.6900,1330196,0.0000,1.0000
2019-02-15,128.4300,129.2400,128.1200,128.4700,128.4700,1916054,0.0000,1.0000
2019-02-14,127.9500,128.3999,126.9600,127.4000,127.4000,929720,0.0000,1.0000
2019-02-13,128.8400,129.5000,127.8500,128.5900,128.5900,967674,0.0000,1.0000
2019-02-12,127.7700,129.7100,126.9400,128.7500,128.7500,1305384,0.0000,1.0000
2019-02-11,126.6800,127.5600,125.9100,127.4900,127.4900,1253818,0.0000,1.0000
2019-02-08,124.1600,126.7500,124.1100,126.6900,126.6900,1368675,0.0000,1.0000
2019-02-07,121.8600,124.9900,121.7000,124.8500,124.8500,1100230,0.0000,1.0000
2019-02-06,124.3700,124.6600,122.8500,123.1600,123.1600,988881,0.0000,1.0000
2019-02-05,122.0600,125.0000,122.0200,124.7900,124.7900,1993565,0.0000,1.0000
2019-02-04,123.4400,123.9200,120.4850,121.7800,121.7800,2185875,0.0000,1.0000
2019-02-01,123.7100,123.8690,122.5300,123.0600,123.0600,1411242,0.0000,1.0000
2019-01-31,122.1900,125.3000,122.1900,123.6400,123.6400,2147608,0.0000,1.0000
2019-01-30,121.7800,124.0500,121.7300,122.6200,122.6200,1591457,0.0000,1.0000
2019-01-29,121.8800,122.6100,120.0600,121.1900,121.1900,1624071,0.0000,1.0000
2019-01-28,120.1100,121.8500,119.7200,121.8500,121.8500,2241538,0.0000,1.0000
2019-01-25,125.0300,125.2300,121.0000,121.3600,121.3600,3040342,0.0000,1.0000
2019-01-24,120.1900,125.8790,119.0000,124.3500,124.3500,7640466,0.0000,1.0000
2019-01-23,139.4600,139.4600,137.6100,139.0000,139.0000,1177309,0.0000,1.0000
2019-01-22,139.5300,139.9100,136.5900,138.8000,138.8000,1727853,0.0000,1.0000
2019-01-18,141.4900,141.9600,138.5500,139.4400,139.4400,1604475,0.0000,1.0000
2019-01-17,139.5400,140.4969,138.6100,140.4800,140.4800,923160,0.0000,1.0000
2019-01-16,140.7400,141.2400,139.0400,139.5700,139.5700,1212138,0.0000,1.0000
2019-01-15,139.9100,141.7600,139.0700,140.7900,140.7900,762970,0.0000,1.0000
2019-01-14,138.7800,139.9400,138.3794,139.3900,139.3900,966427,0.0000,1.0000
