timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,2.9200,3.0000,2.8600,2.9500,2.9500,4221057,0.0000,1.0000
2019-03-22,3.0200,3.0500,2.8200,2.9500,2.9500,7157204,0.0000,1.0000
2019-03-21,3.0600,3.0700,2.9700,3.0700,3.0700,4706607,0.0000,1.0000
2019-03-20,3.0500,3.1200,2.9800,3.0500,3.0500,5113699,0.0000,1.0000
2019-03-19,3.1500,3.2100,3.0200,3.0400,3.0400,6082795,0.0000,1.0000
2019-03-18,2.9100,3.1100,2.9000,3.1100,3.1100,5949817,0.0000,1.0000
2019-03-15,2.9000,2.9700,2.8900,2.8900,2.8900,4282242,0.0000,1.0000
2019-03-14,2.9000,2.9800,2.8900,2.9000,2.9000,2468482,0.0000,1.0000
2019-03-13,2.8900,2.9500,2.8500,2.9000,2.9000,3708076,0.0000,1.0000
2019-03-12,2.6900,2.8900,2.6900,2.8400,2.8400,7298530,0.0000,1.0000
2019-03-11,2.6600,2.7300,2.5900,2.6700,2.6700,6353637,0.0000,1.0000
2019-03-08,2.7100,2.7400,2.6100,2.6400,2.6400,4985293,0.0000,1.0000
2019-03-07,3.0000,3.0000,2.7800,2.7900,2.7900,8798578,0.0000,1.0000
2019-03-06,3.0300,3.0800,2.9600,3.0000,3.0000,3589260,0.0000,1.0000
2019-03-05,3.0600,3.1600,3.0400,3.0600,3.0600,3002054,0.0000,1.0000
2019-03-04,3.1100,3.1800,3.0000,3.0600,3.0600,3246430,0.0000,1.0000
2019-03-01,3.0100,3.1000,3.0000,3.0600,3.0600,4438615,0.0000,1.0000
2019-02-28,3.0500,3.0900,2.8600,3.0100,3.0100,6117656,0.0000,1.0000
2019-02-27,3.0400,3.1000,2.9950,3.0500,3.0500,3137199,0.0000,1.0000
2019-02-26,3.0600,3.0800,2.9600,3.0100,3.0100,3659598,0.0000,1.0000
2019-02-25,3.0600,3.1500,3.0400,3.0600,3.0600,3454304,0.0000,1.0000
2019-02-22,3.1600,3.1600,3.0500,3.0800,3.0800,4574462,0.0000,1.0000
2019-02-21,3.3900,3.6400,3.0700,3.1300,3.1300,7782437,0.0000,1.0000
2019-02-20,3.1300,3.3400,3.1300,3.3100,3.3100,6963113,0.0000,1.0000
2019-02-19,3.1200,3.2000,3.0800,3.1500,3.1500,2478347,0.0000,1.0000
2019-02-15,3.1200,3.1800,3.0400,3.1300,3.1300,6982883,0.0000,1.0000
2019-02-14,3.0200,3.1100,3.0200,3.0800,3.0800,2672637,0.0000,1.0000
2019-02-13,2.9600,3.1100,2.9500,3.0200,3.0200,2635200,0.0000,1.0000
2019-02-12,3.0800,3.1164,2.9400,2.9500,2.9500,3651941,0.0000,1.0000
2019-02-11,3.0800,3.1100,2.9750,2.9900,2.9900,4245160,0.0000,1.0000
2019-02-08,3.2400,3.3000,3.0700,3.1200,3.1200,3866700,0.0000,1.0000
2019-02-07,3.3700,3.4150,3.1900,3.2700,3.2700,4097104,0.0000,1.0000
