timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,194.4500,195.1000,193.5500,193.6100,193.6100,1292627,0.0000,1.0000
2019-03-22,192.2500,195.5500,192.2500,193.9300,193.9300,2371670,0.0000,1.0000
2019-03-21,190.2900,192.2800,189.8500,191.9100,191.9100,1874761,0.0000,1.0000
2019-03-20,189.0400,191.1700,187.8400,189.8700,189.8700,2167279,0.0000,1.0000
2019-03-19,190.5300,190.6100,187.7900,188.5000,188.5000,2020165,0.0000,1.0000
2019-03-18,191.4700,191.9800,190.1300,190.8700,190.8700,1867325,0.0000,1.0000
2019-03-15,190.7600,191.9400,190.0100,191.2400,191.2400,3600542,0.0000,1.0000
2019-03-14,191.1600,192.1650,190.2100,190.9800,190.9800,1454151,0.0000,1.0000
2019-03-13,189.8700,191.5200,189.4600,190.9700,190.9700,1229009,0.0000,1.0000
2019-03-12,190.0000,191.3600,189.4300,190.8900,190.8900,1785146,0.0000,1.0000
2019-03-11,188.6100,189.7800,188.4600,189.5000,189.5000,1784127,0.0000,1.0000
2019-03-08,188.6100,189.4300,186.9200,188.7000,188.7000,1743203,0.0000,1.0000
2019-03-07,188.2600,189.1300,187.3800,187.9300,187.9300,2352812,0.0000,1.0000
2019-03-06,188.0600,188.9650,186.9796,187.5700,187.5700,1788947,0.0000,1.0000
2019-03-05,188.3700,189.2100,188.0200,188.3200,188.3200,1916709,0.0000,1.0000
2019-03-04,188.2300,188.5500,186.5700,188.2400,188.2400,2152263,0.0000,1.0000
2019-03-01,187.5200,188.5800,186.5900,187.5600,187.5600,1716417,0.0000,1.0000
2019-02-28,187.0100,188.7400,186.0600,187.7200,187.7200,3113522,0.0000,1.0000
2019-02-27,186.5800,187.4900,186.0800,186.8100,186.8100,1822044,1.2500,1.0000
2019-02-26,188.1800,189.0150,187.1488,188.2300,186.9789,1911070,0.0000,1.0000
2019-02-25,188.4500,189.3900,186.3100,187.8800,186.6312,1888858,0.0000,1.0000
2019-02-22,186.8300,188.1400,185.7600,188.1300,186.8795,1683780,0.0000,1.0000
2019-02-21,184.8900,186.8700,184.5600,186.5600,185.3200,2068713,0.0000,1.0000
2019-02-20,185.0800,186.1000,184.0400,185.6400,184.4061,2550788,0.0000,1.0000
2019-02-19,184.1300,185.8100,183.4000,185.3700,184.1379,2443531,0.0000,1.0000
