timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,177.6000,181.7200,177.4193,179.8100,179.8100,1198913,0.0000,1.0000
2019-03-22,180.2100,180.5300,177.6700,177.9400,177.9400,1021599,0.0000,1.0000
2019-03-21,177.1500,181.1900,177.1500,180.6100,180.6100,793978,0.0000,1.0000
2019-03-20,178.8800,180.0300,176.7000,178.2600,178.2600,1194098,0.0000,1.0000
2019-03-19,182.9100,182.9200,178.3500,178.7800,178.7800,1510807,0.0000,1.0000
2019-03-18,179.3200,182.7300,179.2300,182.5300,182.5300,1541294,0.0000,1.0000
2019-03-15,179.9500,181.6000,179.1700,179.5200,179.5200,3432598,0.0000,1.0000
2019-03-14,179.6700,180.2000,177.7300,178.9900,178.9900,1269411,0.0000,1.0000
2019-03-13,179.9200,182.1500,179.2400,179.7900,179.7900,1494091,0.0000,1.0000
2019-03-12,181.1100,181.1900,178.9350,179.3500,179.3500,1254977,0.0000,1.0000
2019-03-11,176.6700,181.0400,176.1200,180.8400,180.8400,1312673,0.0000,1.0000
2019-03-08,177.3100,177.5200,174.2300,176.7800,176.7800,1125497,0.0000,1.0000
2019-03-07,178.7400,179.3800,177.7300,178.7100,178.7100,1029735,0.0000,1.0000
2019-03-06,178.2900,179.7800,177.3700,178.9400,178.9400,1327696,0.0000,1.0000
2019-03-05,180.1900,180.2400,177.7400,177.8400,177.8400,1340321,0.0000,1.0000
2019-03-04,180.1100,181.9600,178.1900,179.8000,179.8000,1611385,0.0000,1.0000
2019-03-01,179.9100,180.8000,177.9100,178.8700,178.8700,1549233,0.0000,1.0000
2019-02-28,180.8200,180.8200,178.6200,179.3000,179.3000,1390177,0.0000,1.0000
2019-02-27,180.1000,180.9600,179.7500,180.8200,180.8200,1021910,0.0000,1.0000
2019-02-26,180.5600,181.0500,179.7400,180.5100,180.5100,1483672,0.0000,1.0000
2019-02-25,183.5900,183.7100,181.2900,181.4100,181.4100,1563647,0.0000,1.0000
2019-02-22,183.2300,183.9900,181.7100,183.3000,183.3000,1259872,0.0000,1.0000
2019-02-21,183.6300,183.6300,182.0900,182.9400,182.9400,1244420,0.0000,1.0000
2019-02-20,182.8200,183.9050,182.4200,183.4900,183.4900,1463507,0.0000,1.0000
2019-02-19,179.6100,183.9350,179.5450,182.7600,182.7600,1516247,0.0000,1.0000
2019-02-15,182.5200,183.2400,181.6700,182.8700,182.8700,1256204,0.0000,1.0000
2019-02-14,180.1400,182.5400,179.5000,181.7300,181.7300,1468066,0.0000,1.0000
