timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,78.1400,78.8100,77.8900,78.7400,78.7400,1577533,0.0000,1.0000
2019-03-22,79.2900,79.5100,78.4000,78.4400,78.4400,2462892,0.0000,1.0000
2019-03-21,78.1700,79.7900,78.0800,79.5200,79.5200,1655884,0.0000,1.0000
2019-03-20,78.9400,79.1500,78.1500,78.4300,78.4300,1795830,0.0000,1.0000
2019-03-19,79.6600,79.6700,78.7200,79.1100,79.1100,1541745,0.0000,1.0000
2019-03-18,79.2800,79.5600,78.6600,79.3200,79.3200,1242653,0.0000,1.0000
2019-03-15,78.9800,79.5400,78.8410,79.2300,79.2300,2565412,0.0000,1.0000
2019-03-14,78.4400,79.0000,78.1280,78.9900,78.9900,1567098,0.0000,1.0000
2019-03-13,78.0700,78.8700,77.9400,78.2700,78.2700,1844624,0.0000,1.0000
2019-03-12,77.7900,78.3600,77.5700,77.7400,77.7400,1922646,0.0000,1.0000
2019-03-11,76.6100,77.5800,76.5200,77.5200,77.5200,1727390,0.0000,1.0000
2019-03-08,75.8300,76.3950,75.1000,76.3400,76.3400,1580092,0.0000,1.0000
2019-03-07,76.7100,76.9250,76.0200,76.2000,76.2000,2599194,0.0000,1.0000
2019-03-06,77.1100,77.2100,76.5800,76.8200,76.8200,1710925,0.0000,1.0000
2019-03-05,76.6300,77.2500,76.4500,77.0100,77.0100,1659423,0.0000,1.0000
2019-03-04,77.7700,78.0000,75.6700,76.5000,76.5000,2658289,0.0000,1.0000
2019-03-01,77.3600,77.5700,77.0400,77.4300,77.4300,1952359,0.0000,1.0000
2019-02-28,76.4100,77.0500,76.3000,77.0200,77.0200,1924158,0.0000,1.0000
2019-02-27,75.8000,76.5500,75.5900,76.5200,76.5200,1276553,0.0000,1.0000
2019-02-26,75.7400,76.3100,75.7000,76.0800,76.0800,1218919,0.0000,1.0000
2019-02-25,76.4100,76.4946,75.6200,75.8400,75.8400,1747991,0.0000,1.0000
2019-02-22,75.6300,76.0700,75.2800,75.8900,75.8900,1731142,0.0000,1.0000
2019-02-21,75.2000,75.5950,74.7900,75.3500,75.3500,1605723,0.0000,1.0000
