timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,6.3300,6.4200,6.1700,6.3000,6.3000,1886722,0.0000,1.0000
2019-03-22,6.7400,6.7400,6.3100,6.3400,6.3400,3326001,0.0000,1.0000
2019-03-21,6.6100,6.7800,6.6100,6.7600,6.7600,1783445,0.0000,1.0000
2019-03-20,6.7700,6.7800,6.5100,6.6200,6.6200,2034949,0.0000,1.0000
2019-03-19,6.9300,6.9700,6.7500,6.7700,6.7700,1955306,0.0000,1.0000
2019-03-18,6.8500,6.9150,6.7500,6.8800,6.8800,2126353,0.0000,1.0000
2019-03-15,6.8400,6.9200,6.7500,6.8500,6.8500,9404384,0.0000,1.0000
2019-03-14,6.9700,6.9850,6.7700,6.8400,6.8400,2330031,0.0000,1.0000
2019-03-13,6.9000,7.0300,6.8450,6.9800,6.9800,2308545,0.0000,1.0000
2019-03-12,6.7100,6.9500,6.7000,6.8800,6.8800,2773137,0.0000,1.0000
2019-03-11,6.6000,6.7350,6.5800,6.6900,6.6900,3816160,0.0000,1.0000
2019-03-08,6.5600,6.6000,6.4200,6.5600,6.5600,3041056,0.0000,1.0000
2019-03-07,6.9200,6.9400,6.5550,6.5900,6.5900,3483673,0.0000,1.0000
2019-03-06,6.9900,7.0300,6.8600,6.8700,6.8700,3041163,0.0000,1.0000
2019-03-05,7.1200,7.1700,6.9300,6.9700,6.9700,2109500,0.0000,1.0000
2019-03-04,7.1100,7.2000,7.0500,7.1000,7.1000,2252221,0.0000,1.0000
2019-03-01,7.2400,7.2600,7.0400,7.1200,7.1200,3180230,0.0000,1.0000
2019-02-28,7.4600,7.5000,7.1150,7.1900,7.1900,3049786,0.0000,1.0000
2019-02-27,7.3100,7.5953,7.2200,7.4700,7.4700,4354795,0.0000,1.0000
2019-02-26,7.4900,7.4983,7.2400,7.2900,7.2900,3788080,0.0000,1.0000
2019-02-25,7.9000,7.9900,7.4300,7.5100,7.5100,8004720,0.0000,1.0000
2019-02-22,7.2800,8.3200,7.2800,7.8600,7.8600,13653738,0.0000,1.0000
2019-02-21,7.0800,7.1100,6.9800,7.0300,7.0300,2436066,0.0000,1.0000
2019-02-20,7.0100,7.1650,7.0100,7.0800,7.0800,2009607,0.0000,1.0000
2019-02-19,7.0100,7.0950,6.9800,7.0200,7.0200,2145561,0.0000,1.0000
2019-02-15,7.0400,7.1300,6.9750,7.0500,7.0500,2040873,0.0000,1.0000
2019-02-14,6.9400,7.1600,6.9100,6.9900,6.9900,2116058,0.0500,1.0000
2019-02-13,7.0700,7.1750,6.9700,7.0200,6.9701,2737719,0.0000,1.0000
2019-02-12,7.2500,7.4100,7.0300,7.0500,6.9999,4393837,0.0000,1.0000
2019-02-11,6.9200,7.2700,6.9000,7.2000,7.1489,4303748,0.0000,1.0000
2019-02-08,6.9700,7.1000,6.8700,6.8900,6.8411,3202471,0.0000,1.0000
2019-02-07,6.8000,7.0500,6.7400,7.0000,6.9503,4845519,0.0000,1.0000
2019-02-06,6.4700,7.0450,6.4400,6.8300,6.7815,8251702,0.0000,1.0000
2019-02-05,6.4500,6.9000,6.1600,6.6000,6.5531,12014039,0.0000,1.0000
2019-02-04,7.0100,7.0500,6.5100,6.7500,6.7021,7219976,0.0000,1.0000
2019-02-01,7.3000,7.3000,7.0200,7.0500,6.9999,3289231,0.0000,1.0000
2019-01-31,7.2700,7.3000,7.1600,7.2100,7.1588,1904068,0.0000,1.0000
2019-01-30,7.3000,7.3400,7.1000,7.2300,7.1787,1774111,0.0000,1.0000
