timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,49.5000,50.0400,48.8400,49.0100,49.0100,1494808,0.0000,1.0000
2019-03-22,50.9200,50.9800,49.0800,49.4500,49.4500,2018855,0.0000,1.0000
2019-03-21,50.4600,51.5700,49.7800,51.4300,51.4300,1900373,0.0000,1.0000
2019-03-20,51.9200,52.0500,50.5800,50.6900,50.6900,2384543,0.0000,1.0000
2019-03-19,53.0600,53.2400,51.8000,51.9300,51.9300,1709907,0.0000,1.0000
2019-03-18,52.4200,52.9400,52.2350,52.7900,52.7900,1931518,0.0000,1.0000
2019-03-15,51.6900,52.4300,51.4800,52.1700,52.1700,8344683,0.0000,1.0000
2019-03-14,51.0300,51.9000,50.5457,51.6900,51.6900,2565423,0.0000,1.0000
2019-03-13,50.9400,51.4000,50.5600,51.1100,51.1100,2157502,0.0000,1.0000
2019-03-12,50.8100,51.3150,50.6700,50.7600,50.7600,1805738,0.0000,1.0000
2019-03-11,50.1900,50.8367,49.9100,50.5900,50.5900,1790533,0.0000,1.0000
2019-03-08,49.4600,50.1500,49.0500,49.9100,49.9100,1616651,0.0000,1.0000
2019-03-07,50.6400,50.7900,49.8200,50.0000,50.0000,1815500,0.0000,1.0000
2019-03-06,51.4400,51.7000,50.9300,50.9500,50.9500,878503,0.0000,1.0000
2019-03-05,51.5000,51.8200,50.6000,51.5800,51.5800,1428889,0.0000,1.0000
2019-03-04,51.4400,52.0800,50.7400,51.3600,51.3600,2302269,0.0000,1.0000
2019-03-01,52.3800,52.7900,51.2400,51.4000,51.4000,2335320,0.5400,1.0000
2019-02-28,52.3400,52.7300,52.1500,52.6400,52.0927,1519675,0.0000,1.0000
2019-02-27,52.4700,52.6300,52.0400,52.4200,51.8750,1738834,0.0000,1.0000
2019-02-26,52.9300,53.4824,52.5700,52.5800,52.0333,1400200,0.0000,1.0000
2019-02-25,53.2300,53.4300,53.0000,53.0900,52.5380,1271153,0.0000,1.0000
2019-02-22,52.3400,53.1150,52.2700,52.8700,52.3203,1896650,0.0000,1.0000
