timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,71.1900,71.4100,70.6000,70.9500,70.9500,1549564,0.0000,1.0000
2019-03-22,72.0700,72.4600,71.0400,71.0700,71.0700,2176365,0.0000,1.0000
2019-03-21,70.7100,72.1152,70.6500,72.0600,72.0600,2138454,0.0000,1.0000
2019-03-20,70.4900,71.5100,70.2300,70.9200,70.9200,2510444,0.0000,1.0000
2019-03-19,70.8700,71.0300,70.1500,70.4300,70.4300,1863952,0.0000,1.0000
2019-03-18,71.7700,71.8700,70.4700,70.8500,70.8500,1739128,0.0000,1.0000
2019-03-15,71.5700,71.8500,71.3800,71.6400,71.6400,3686380,0.0000,1.0000
2019-03-14,71.9400,72.0300,71.2300,71.7800,71.7800,2226489,0.5300,1.0000
2019-03-13,72.0700,72.8200,72.0000,72.3800,71.8495,2712899,0.0000,1.0000
2019-03-12,71.1300,71.7350,70.9800,71.6200,71.0951,2646748,0.0000,1.0000
2019-03-11,70.2300,71.1400,69.9500,70.9900,70.4697,2102123,0.0000,1.0000
2019-03-08,69.1000,70.0100,68.9600,69.9400,69.4274,2924860,0.0000,1.0000
2019-03-07,70.2600,70.5700,69.3300,69.5200,69.0104,2895404,0.0000,1.0000
2019-03-06,70.3800,70.5800,69.9800,70.1700,69.6557,2303855,0.0000,1.0000
2019-03-05,70.3400,70.7899,70.1600,70.3400,69.8244,1981204,0.0000,1.0000
2019-03-04,70.2700,70.4900,69.6000,70.3400,69.8244,2489154,0.0000,1.0000
2019-03-01,70.0600,70.4200,69.1500,69.8800,69.3678,3763688,0.0000,1.0000
2019-02-28,70.0100,70.9050,69.5600,70.0600,69.5465,4170527,0.0000,1.0000
2019-02-27,70.6100,70.6800,69.5450,70.1600,69.6458,2303116,0.0000,1.0000
2019-02-26,71.3700,71.4500,70.8000,71.0400,70.5193,1457168,0.0000,1.0000
2019-02-25,71.8400,71.9200,71.1200,71.2600,70.7377,1976295,0.0000,1.0000
2019-02-22,71.1700,71.8700,70.8900,71.6200,71.0951,1582526,0.0000,1.0000
2019-02-21,70.0500,71.1300,69.8900,71.0300,70.5094,2049731,0.0000,1.0000
2019-02-20,71.2800,71.3700,70.1300,70.3200,69.8046,2680167,0.0000,1.0000
2019-02-19,71.0900,71.5100,70.8750,71.3800,70.8568,1687503,0.0000,1.0000
2019-02-15,71.0800,71.2000,70.6200,71.1900,70.6682,2210138,0.0000,1.0000
2019-02-14,70.7300,71.2100,70.1320,70.8500,70.3307,2432843,0.0000,1.0000
2019-02-13,70.4200,71.0100,70.2900,70.8200,70.3009,2343726,0.0000,1.0000
2019-02-12,71.1400,71.2400,70.2400,70.6000,70.0825,3207389,0.0000,1.0000
2019-02-11,70.8500,71.2900,70.6250,71.0400,70.5193,2340437,0.0000,1.0000
2019-02-08,70.0400,70.8900,69.9100,70.8300,70.3108,2506300,0.0000,1.0000
2019-02-07,69.2700,70.6300,69.1700,70.4300,69.9138,3189083,0.0000,1.0000
2019-02-06,69.8000,69.9300,69.0600,69.4800,68.9707,2297568,0.0000,1.0000
2019-02-05,69.5100,69.9900,68.9100,69.9400,69.4274,2558754,0.0000,1.0000
2019-02-04,69.1900,69.6500,68.7300,69.6500,69.1395,3715684,0.0000,1.0000
2019-02-01,69.4400,69.4600,68.1700,69.4100,68.9013,3646113,0.0000,1.0000
2019-01-31,68.2300,69.4500,67.5900,69.1600,68.6531,4867630,0.0000,1.0000
2019-01-30,67.5200,68.5500,67.1800,68.3900,67.8887,3085001,0.0000,1.0000
2019-01-29,66.7300,67.6600,66.5100,67.5400,67.0450,2977677,0.0000,1.0000
2019-01-28,65.7700,66.8700,65.3801,66.7100,66.2210,2246378,0.0000,1.0000
2019-01-25,65.0400,66.0600,64.9307,66.0100,65.5262,2598032,0.0000,1.0000
2019-01-24,64.9600,65.1600,64.3300,64.7300,64.2556,1846240,0.0000,1.0000
2019-01-23,64.8800,65.1900,64.4600,65.0700,64.5931,2507625,0.0000,1.0000
2019-01-22,65.0000,66.7000,63.2800,64.7800,64.3052,3443407,0.0000,1.0000
2019-01-18,64.3400,64.9400,63.9900,64.7000,64.2258,2389879,0.0000,1.0000
2019-01-17,63.3000,64.0850,63.3000,64.0500,63.5805,2432394,0.0000,1.0000
2019-01-16,63.1000,63.7400,62.6700,63.5400,63.0743,2070936,0.0000,1.0000
2019-01-15,62.4900,63.4800,62.4400,63.2100,62.7467,2148895,0.0000,1.0000
2019-01-14,61.8800,62.5700,61.7200,62.3500,61.8930,2867446,0.0000,1.0000
2019-01-11,62.0800,62.4500,61.6900,62.3600,61.9029,2154471,0.0000,1.0000
2019-01-10,61.1300,62.4800,60.8100,62.3800,61.9228,2524040,0.0000,1.0000
2019-01-09,60.8300,61.3600,60.3300,61.3100,60.8606,2609010,0.0000,1.0000
2019-01-08,59.2100,61.0250,59.2100,60.9000,60.4536,3482666,0.0000,1.0000
2019-01-07,58.0600,59.4600,58.0300,58.9400,58.5080,2952828,0.0000,1.0000
2019-01-04,56.9500,58.3200,56.6900,58.0000,57.5749,4063481,0.0000,1.0000
2019-01-03,56.9300,57.8500,56.4000,56.5700,56.1554,3606679,0.0000,1.0000
2019-01-02,58.0400,58.1500,56.6400,57.0300,56.6120,2476105,0.0000,1.0000
2018-12-31,58.6100,58.7600,57.5700,58.7200,58.2896,2311444,0.0000,1.0000
2018-12-28,58.5300,59.0100,57.8500,58.4900,58.0613,3606670,0.0000,1.0000
2018-12-27,57.4800,58.0000,55.9200,58.0000,57.5749,3251732,0.0000,1.0000
2018-12-26,56.3300,57.9700,55.2100,57.9700,57.5451,2593316,0.0000,1.0000
2018-12-24,58.6700,58.8300,55.9400,55.9400,55.5300,2049522,0.0000,1.0000
2018-12-21,60.0100,61.0300,58.7900,58.8700,58.4385,7768281,0.0000,1.0000
2018-12-20,61.2500,61.4500,59.6300,60.3700,59.9275,3198330,0.0000,1.0000
2018-12-19,62.6400,62.7600,61.0100,61.2500,60.8011,2921885,0.0000,1.0000
2018-12-18,62.6800,63.2800,62.0600,62.6300,62.1710,2957259,0.0000,1.0000
2018-12-17,64.5200,64.5700,61.3000,61.5200,61.0691,3696431,0.4800,1.0000
2018-12-14,64.8100,65.2900,64.2200,64.8100,63.8369,2179822,0.0000,1.0000
2018-12-13,64.7100,65.9000,64.6700,65.1200,64.1422,2786052,0.0000,1.0000
2018-12-12,66.9800,67.1400,64.6200,64.6400,63.6694,2522302,0.0000,1.0000
2018-12-11,66.4200,67.3000,66.1950,66.4700,65.4720,3210710,0.0000,1.0000
2018-12-10,66.7800,66.7800,64.8400,65.9400,64.9499,2850600,0.0000,1.0000
2018-12-07,68.0500,68.4500,66.7000,66.8400,65.8364,2702109,0.0000,1.0000
2018-12-06,66.2800,68.8000,64.6400,68.4800,67.4518,4211213,0.0000,1.0000
2018-12-04,68.6800,68.9500,66.7400,66.8600,65.8561,2787677,0.0000,1.0000
2018-12-03,67.4400,68.6600,67.2900,68.6500,67.6192,3210080,0.0000,1.0000
2018-11-30,67.3700,67.8900,66.7200,67.3400,66.3289,3558672,0.0000,1.0000
2018-11-29,67.3900,67.4900,66.7000,67.1800,66.1713,1589196,0.0000,1.0000
2018-11-28,66.5600,67.4100,66.3600,67.3500,66.3388,1723755,0.0000,1.0000
2018-11-27,66.3900,66.8900,65.8700,66.6600,65.6591,2098295,0.0000,1.0000
2018-11-26,67.3300,67.5900,66.3400,66.3600,65.3636,1884924,0.0000,1.0000
2018-11-23,66.7600,67.3900,66.1700,66.9600,65.9546,660283,0.0000,1.0000
2018-11-21,66.6500,67.5500,66.4600,66.9200,65.9152,1882203,0.0000,1.0000
2018-11-20,67.6400,68.0000,66.7000,66.7000,65.6985,2359616,0.0000,1.0000
2018-11-19,67.4000,68.0400,66.6800,67.7000,66.6835,2915954,0.0000,1.0000
2018-11-16,66.6900,67.5400,66.4700,67.3100,66.2994,2358005,0.0000,1.0000
2018-11-15,67.1800,67.1800,66.2100,66.7200,65.7182,2231276,0.0000,1.0000
2018-11-14,67.8300,67.9800,67.0800,67.5600,66.5456,1554633,0.0000,1.0000
