timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,119.4900,120.9000,118.7800,119.1800,119.1800,2111260,0.0000,1.0000
2019-03-22,121.5000,122.1950,118.7000,119.1800,119.1800,3464484,0.0000,1.0000
2019-03-21,124.7700,124.8800,122.7900,122.9000,122.9000,2804141,0.0000,1.0000
2019-03-20,129.4000,129.8200,125.3600,125.4600,125.4600,2991805,0.0000,1.0000
2019-03-19,132.5000,132.5000,129.1300,129.4800,129.4800,2285265,0.0000,1.0000
2019-03-18,130.4400,132.3921,130.1300,131.8800,131.8800,1912992,0.0000,1.0000
2019-03-15,129.0100,130.2500,128.7600,129.8600,129.8600,3687610,0.0000,1.0000
2019-03-14,129.0100,130.0231,128.4800,129.6000,129.6000,1608510,0.0000,1.0000
2019-03-13,128.4200,129.2300,127.3600,128.9300,128.9300,1741597,0.0000,1.0000
2019-03-12,128.8000,129.2000,127.3700,127.7100,127.7100,3195908,0.0000,1.0000
2019-03-11,127.1500,128.9400,126.9600,128.5600,128.5600,2546541,0.0000,1.0000
2019-03-08,124.6700,126.7800,124.5200,126.7000,126.7000,2997600,0.0000,1.0000
2019-03-07,126.6400,126.8700,124.4575,125.9900,125.9900,2983890,0.0000,1.0000
2019-03-06,128.1300,129.2700,127.3500,127.4400,127.4400,2748721,0.0000,1.0000
2019-03-05,126.1900,128.1300,124.6600,127.8200,127.8200,3160060,0.0000,1.0000
2019-03-04,126.7100,128.6500,125.3300,126.3300,126.3300,1928752,0.0000,1.0000
2019-03-01,126.6000,127.8150,125.5700,126.6200,126.6200,1963775,0.0000,1.0000
2019-02-28,126.0600,126.7200,125.4750,126.0200,126.0200,2189390,0.0000,1.0000
2019-02-27,123.4600,125.7700,122.8800,125.7200,125.7200,1949512,0.0000,1.0000
2019-02-26,123.2100,124.5700,122.4400,123.2100,123.2100,2920911,0.0000,1.0000
2019-02-25,124.9600,125.9400,123.6200,123.6900,123.6900,2553284,0.0000,1.0000
2019-02-22,125.0500,125.4500,123.7400,124.1500,124.1500,1663587,0.0000,1.0000
2019-02-21,126.1900,126.5900,124.5300,124.9100,124.9100,2270841,0.0000,1.0000
2019-02-20,124.9500,126.5900,124.5600,126.5200,126.5200,1787807,0.0000,1.0000
2019-02-19,122.8100,125.3900,122.8100,124.9500,124.9500,2674523,0.0000,1.0000
2019-02-15,122.0300,124.3500,121.5500,124.1500,124.1500,2321324,0.0000,1.0000
2019-02-14,120.4900,121.2600,119.3700,120.6100,120.6100,2110272,0.0000,1.0000
2019-02-13,123.4600,123.7700,121.3700,121.4800,121.4800,2331581,0.0000,1.0000
2019-02-12,122.5300,123.6900,122.3700,123.1500,123.1500,1730254,0.0000,1.0000
2019-02-11,121.7400,122.5000,120.9950,121.5700,121.5700,1700834,0.0000,1.0000
2019-02-08,122.3000,123.2300,119.6900,121.2400,121.2400,1471378,0.0000,1.0000
2019-02-07,123.0600,125.2900,121.7000,122.8400,122.8400,2247598,0.0000,1.0000
2019-02-06,122.6300,123.9400,121.8100,122.6100,122.6100,2199007,0.0000,1.0000
2019-02-05,124.6300,124.8800,122.3300,123.0200,123.0200,2345459,0.0000,1.0000
2019-02-04,123.3500,124.6400,122.8300,124.6300,124.6300,2105014,0.0000,1.0000
2019-02-01,123.1200,123.9300,122.3800,122.7300,122.7300,2390521,0.0000,1.0000
2019-01-31,122.8300,123.4100,120.5000,122.6700,122.6700,2099329,0.0000,1.0000
2019-01-30,124.2700,125.0350,123.2000,123.6600,123.6600,1896092,0.0000,1.0000
2019-01-29,124.6400,125.6900,124.2100,124.3300,124.3300,1372127,0.0000,1.0000
2019-01-28,124.2600,125.2200,123.4000,124.8700,124.8700,1644121,0.0000,1.0000
2019-01-25,124.4500,125.6000,123.6400,124.9200,124.9200,1890563,0.0000,1.0000
2019-01-24,123.5600,124.9000,122.8000,123.8100,123.8100,2572869,0.0000,1.0000
2019-01-23,124.9300,125.5000,123.4100,124.3900,124.3900,1993539,0.0000,1.0000
2019-01-22,124.3100,125.8400,123.6700,124.5800,124.5800,2614424,0.0000,1.0000
2019-01-18,122.5100,125.6900,121.9200,125.2500,125.2500,3014055,0.0000,1.0000
2019-01-17,121.1100,122.4300,119.7950,121.8900,121.8900,4314156,0.0000,1.0000
2019-01-16,120.4200,121.9200,117.1700,121.2100,121.2100,6130999,0.9500,1.0000
2019-01-15,120.0100,121.2400,118.3050,121.1200,120.1781,4171305,0.0000,1.0000
2019-01-14,119.2800,121.4700,118.8100,120.5500,119.6125,2893903,0.0000,1.0000
2019-01-11,118.8200,120.5200,117.9400,120.0500,119.1164,2984779,0.0000,1.0000
2019-01-10,120.3700,120.8000,118.3700,119.5800,118.6501,3531592,0.0000,1.0000
2019-01-09,121.1100,121.6700,119.4500,120.8100,119.8705,3755808,0.0000,1.0000
2019-01-08,121.2600,121.8025,119.3100,121.1500,120.2079,3952887,0.0000,1.0000
2019-01-07,120.2500,121.9420,119.8000,120.9600,120.0193,2145584,0.0000,1.0000
2019-01-04,120.4800,121.7400,119.7300,121.2300,120.2872,2703798,0.0000,1.0000
2019-01-03,118.0600,120.0000,117.2900,118.2700,117.3503,2789623,0.0000,1.0000
2019-01-02,115.1500,119.1200,114.8500,118.8100,117.8861,1912036,0.0000,1.0000
2018-12-31,115.8800,117.2300,115.1500,116.9100,116.0008,1887582,0.0000,1.0000
2018-12-28,116.2100,117.1150,114.8500,115.3700,114.4728,1803069,0.0000,1.0000
2018-12-27,113.3400,115.7500,111.6200,115.7500,114.8498,2510317,0.0000,1.0000
2018-12-26,110.2700,114.8500,108.4508,114.8400,113.9469,3046181,0.0000,1.0000
2018-12-24,111.0000,112.6700,109.6000,109.7100,108.8568,2359560,0.0000,1.0000
2018-12-21,113.1300,115.7000,111.3250,111.4900,110.6230,7403065,0.0000,1.0000
2018-12-20,113.3500,115.4500,112.6600,113.5800,112.6967,4100803,0.0000,1.0000
2018-12-19,116.7300,118.2200,113.3500,114.0300,113.1432,3033383,0.0000,1.0000
2018-12-18,118.5400,119.6200,115.9000,116.5900,115.6833,2532065,0.0000,1.0000
2018-12-17,118.3000,120.4350,117.6400,118.3200,117.3999,2666808,0.0000,1.0000
2018-12-14,118.8300,120.9400,118.2901,118.5000,117.5785,2758318,0.0000,1.0000
2018-12-13,123.1900,123.5600,119.2400,119.9000,118.9676,2365476,0.0000,1.0000
2018-12-12,123.9400,124.9400,121.8100,122.7400,121.7855,3138468,0.0000,1.0000
2018-12-11,125.3300,126.7900,122.3600,122.4600,121.5077,2932067,0.0000,1.0000
2018-12-10,126.4500,126.4500,122.1200,124.2600,123.2937,3144959,0.0000,1.0000
2018-12-07,128.8100,130.8200,125.6500,126.5600,125.5758,2754209,0.0000,1.0000
2018-12-06,127.0200,129.5100,125.3900,129.3100,128.3044,3241488,0.0000,1.0000
2018-12-04,135.0900,135.3900,127.9300,129.5100,128.5028,3353109,0.0000,1.0000
2018-12-03,137.3300,138.2400,134.6300,135.9000,134.8431,3493496,0.0000,1.0000
2018-11-30,133.3700,136.7300,133.2500,135.7800,134.7241,3194301,0.0000,1.0000
2018-11-29,133.4100,134.8000,133.0100,133.6500,132.6106,2792581,0.0000,1.0000
2018-11-28,133.8800,135.1300,131.7800,134.2100,133.1663,2326940,0.0000,1.0000
2018-11-27,134.5000,135.8300,133.3497,133.9000,132.8587,1799573,0.0000,1.0000
2018-11-26,134.3300,136.5000,134.0750,135.5500,134.4959,1925089,0.0000,1.0000
2018-11-23,131.9200,133.7500,131.1500,132.6200,131.5887,568064,0.0000,1.0000
2018-11-21,133.5600,134.6300,131.7100,132.7100,131.6780,1330076,0.0000,1.0000
2018-11-20,134.3200,135.1000,132.2000,133.0800,132.0451,2656565,0.0000,1.0000
2018-11-19,135.7000,136.8875,133.9400,135.3000,134.2478,3082761,0.0000,1.0000
2018-11-16,135.8800,137.4700,135.6200,136.3900,135.3293,2456318,0.0000,1.0000
2018-11-15,133.4900,136.7300,132.1974,136.6900,135.6270,2752913,0.0000,1.0000
2018-11-14,136.0000,137.1300,132.1900,134.1300,133.0869,3314574,0.0000,1.0000
2018-11-13,132.8200,135.8400,132.5600,135.5900,134.5356,4139023,0.0000,1.0000
2018-11-12,134.2000,134.7700,132.6500,132.7700,131.7375,3674651,0.0000,1.0000
2018-11-09,134.0900,135.5900,133.7900,134.2300,133.1861,2323405,0.0000,1.0000
2018-11-08,132.5700,134.7600,132.4900,134.2400,133.1961,2167100,0.0000,1.0000
2018-11-07,131.9100,133.4600,129.5900,133.2800,132.2435,2625144,0.0000,1.0000
2018-11-06,130.2100,132.1100,129.7800,131.7600,130.7353,2303335,0.0000,1.0000
2018-11-05,129.6400,131.6752,129.4500,130.5800,129.5645,2362662,0.0000,1.0000
2018-11-02,130.8300,131.4800,127.8200,129.8800,128.8700,2686061,0.0000,1.0000
2018-11-01,129.2800,130.0800,128.1000,129.7400,128.7311,4090876,0.0000,1.0000
2018-10-31,125.4500,129.7800,125.3600,128.4900,127.4908,3822744,0.0000,1.0000
2018-10-30,122.8200,125.0100,121.8900,124.7600,123.7898,3431755,0.0000,1.0000
