timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,107.1500,109.6600,106.4500,109.1900,109.1900,1225907,0.0000,1.0000
2019-03-22,108.2700,108.6000,106.6600,107.2100,107.2100,1444933,0.0000,1.0000
2019-03-21,106.8800,108.7900,106.1900,108.6900,108.6900,1019156,0.0000,1.0000
2019-03-20,109.7800,110.3600,106.8600,107.0900,107.0900,1228509,0.0000,1.0000
2019-03-19,111.7400,111.9500,109.7600,110.0700,110.0700,844409,0.0000,1.0000
2019-03-18,110.5200,111.5200,110.0600,111.4500,111.4500,1215375,0.0000,1.0000
2019-03-15,112.7700,113.1000,110.4600,110.5100,110.5100,1294098,0.0000,1.0000
2019-03-14,113.0000,113.2150,112.3400,112.7200,112.7200,483652,0.0000,1.0000
2019-03-13,112.4600,114.0100,112.4182,113.1200,113.1200,652186,0.0000,1.0000
2019-03-12,112.3100,112.3800,110.7900,112.0300,112.0300,662320,0.0000,1.0000
2019-03-11,110.8400,112.0250,110.3700,111.9900,111.9900,601993,0.0000,1.0000
2019-03-08,109.2400,110.3500,107.9400,110.2800,110.2800,836316,0.0000,1.0000
2019-03-07,109.7400,110.5300,108.5682,110.2600,110.2600,1079327,0.0000,1.0000
2019-03-06,111.4600,111.7450,109.3800,110.1000,110.1000,1108547,0.0000,1.0000
2019-03-05,112.4800,112.5000,110.8300,111.2300,111.2300,1163910,0.0000,1.0000
2019-03-04,115.3300,115.5100,111.7600,112.1000,112.1000,1276211,0.0000,1.0000
2019-03-01,116.3700,118.4300,114.3600,115.1200,115.1200,950991,0.0000,1.0000
2019-02-28,116.1400,116.1400,114.7400,114.8400,114.8400,927063,0.0000,1.0000
2019-02-27,115.4500,116.8400,114.9100,116.3100,116.3100,816802,0.0375,1.0000
2019-02-26,115.8100,117.6800,115.0800,115.7200,115.6827,707315,0.0000,1.0000
2019-02-25,118.8500,118.9325,115.6200,115.8200,115.7827,1512418,0.0000,1.0000
2019-02-22,116.0200,117.7000,115.4000,117.6200,117.5821,1081955,0.0000,1.0000
2019-02-21,113.9100,115.3900,113.7000,115.1000,115.0629,911475,0.0000,1.0000
2019-02-20,113.0700,114.6600,112.5300,114.0600,114.0232,1054198,0.0000,1.0000
2019-02-19,112.9600,113.3800,112.5300,112.7200,112.6837,987489,0.0000,1.0000
2019-02-15,113.5400,114.3400,112.6600,112.9000,112.8636,765752,0.0000,1.0000
2019-02-14,111.2100,112.7300,110.9700,112.3900,112.3538,846941,0.0000,1.0000
2019-02-13,114.6000,114.9200,112.2800,112.5300,112.4937,759918,0.0000,1.0000
2019-02-12,113.2400,114.8300,112.6000,114.3300,114.2932,1096410,0.0000,1.0000
2019-02-11,111.3000,113.4500,111.3000,112.7800,112.7436,691650,0.0000,1.0000
2019-02-08,109.8600,110.9100,109.5800,110.8900,110.8543,851091,0.0000,1.0000
2019-02-07,111.3500,111.8400,109.8600,111.2000,111.1642,1090957,0.0000,1.0000
2019-02-06,112.1500,112.4900,111.2400,112.2700,112.2338,677695,0.0000,1.0000
2019-02-05,110.4900,112.9700,110.4900,111.8100,111.7740,1007926,0.0000,1.0000
2019-02-04,108.7900,109.2500,107.7300,108.9100,108.8749,1011630,0.0000,1.0000
2019-02-01,109.5000,109.6800,108.0600,108.7600,108.7249,1067171,0.0000,1.0000
2019-01-31,110.3800,110.4300,108.4700,109.1100,109.0748,803919,0.0000,1.0000
2019-01-30,109.0500,110.3800,107.5100,110.3500,110.3144,806240,0.0000,1.0000
2019-01-29,108.4200,108.8700,106.3900,108.2500,108.2151,792414,0.0000,1.0000
2019-01-28,106.9600,108.4900,106.7600,108.4500,108.4150,537846,0.0000,1.0000
2019-01-25,107.4800,108.9800,106.9200,108.3700,108.3351,590349,0.0000,1.0000
2019-01-24,104.2100,106.0900,103.9200,105.9900,105.9558,581648,0.0000,1.0000
2019-01-23,106.1600,106.2400,102.6700,104.2000,104.1664,1268649,0.0000,1.0000
2019-01-22,108.6000,109.4550,104.6400,105.0500,105.0161,1257727,0.0000,1.0000
2019-01-18,109.6000,110.8400,108.5800,110.1800,110.1445,1634279,0.0000,1.0000
2019-01-17,103.7400,108.0400,103.6816,107.5600,107.5253,1164861,0.0000,1.0000
