timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,237.5200,238.9600,236.3300,238.6600,238.6600,294810,0.0000,1.0000
2019-05-02,236.8900,239.0700,235.5700,236.7900,236.7900,268033,0.0000,1.0000
2019-05-01,235.6000,238.8650,235.6000,236.4600,236.4600,294388,0.0000,1.0000
2019-04-30,231.5200,235.6800,230.5300,235.5000,235.5000,323950,0.0000,1.0000
2019-04-29,231.0000,233.1400,231.0000,231.3100,231.3100,193677,0.0000,1.0000
2019-04-26,228.0500,231.2100,227.0700,230.7100,230.7100,269985,0.0000,1.0000
2019-04-25,230.3200,230.9000,226.8900,228.5000,228.5000,282868,0.0000,1.0000
2019-04-24,229.7600,232.3650,229.7000,231.2800,231.2800,222546,0.0000,1.0000
2019-04-23,229.2100,230.7000,228.0600,229.7700,229.7700,238519,0.0000,1.0000
2019-04-22,228.3600,228.9850,227.4200,228.5100,228.5100,121741,0.0000,1.0000
2019-04-18,228.6000,230.2850,228.1800,229.0400,229.0400,238893,0.0000,1.0000
2019-04-17,229.8300,229.8400,227.5200,228.6900,228.6900,199443,0.0000,1.0000
2019-04-16,226.3000,229.9000,226.3000,229.3000,229.3000,226676,0.0000,1.0000
2019-04-15,227.9600,227.9600,224.9700,226.2100,226.2100,202730,0.0000,1.0000
2019-04-12,223.5000,227.0900,223.3100,226.3400,226.3400,330481,0.0000,1.0000
2019-04-11,217.9200,222.6300,217.6500,221.9100,221.9100,363253,0.0000,1.0000
2019-04-10,214.5500,216.8500,214.1800,216.8100,216.8100,330069,0.0000,1.0000
2019-04-09,217.9900,217.9900,213.8600,214.6900,214.6900,313327,0.0000,1.0000
2019-04-08,216.5600,219.0800,215.7900,217.9400,217.9400,227167,0.0000,1.0000
2019-04-05,215.2600,216.4600,215.1450,216.3100,216.3100,197441,0.0000,1.0000
2019-04-04,216.1400,217.4600,214.9400,215.2900,215.2900,166887,0.0000,1.0000
2019-04-03,216.1600,216.2600,214.3900,216.1400,216.1400,246761,0.0000,1.0000
2019-04-02,217.6300,217.7600,214.8900,214.8900,214.8900,237925,0.0000,1.0000
2019-04-01,216.5800,218.4500,216.1250,217.3300,217.3300,232035,0.0000,1.0000
2019-03-29,215.7500,216.3100,214.6400,215.9600,215.9600,215472,0.0000,1.0000
2019-03-28,213.0200,215.7100,213.0200,215.3700,215.3700,246306,0.0000,1.0000
2019-03-27,215.6100,217.1024,214.4800,214.6500,214.6500,217022,0.0000,1.0000
2019-03-26,215.7600,216.2600,214.6500,215.4800,215.4800,220840,0.0000,1.0000
2019-03-25,215.1700,215.9850,214.1300,214.8000,214.8000,246862,0.0000,1.0000
2019-03-22,214.7600,217.4000,214.7200,214.9900,214.9900,345825,0.0000,1.0000
2019-03-21,211.1400,216.0100,210.1300,215.4800,215.4800,223132,0.0000,1.0000
2019-03-20,218.5000,219.0200,211.6500,211.9500,211.9500,375874,0.0000,1.0000
2019-03-19,220.7700,221.7795,218.4800,218.8900,218.8900,181628,0.0000,1.0000
2019-03-18,219.9200,221.5000,219.9200,220.3900,220.3900,239078,0.0000,1.0000
2019-03-15,218.5100,221.6700,218.1900,219.0500,219.0500,595896,0.0000,1.0000
2019-03-14,218.5700,219.7900,218.1200,219.0100,219.0100,219957,0.0000,1.0000
2019-03-13,218.5000,220.4000,218.1500,218.3100,218.3100,275093,0.0000,1.0000
