timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,90.3300,91.1800,90.1200,91.0900,91.0900,532849,0.0000,1.0000
2019-05-02,89.5800,90.4900,89.1700,89.9300,89.9300,660587,0.0000,1.0000
2019-05-01,91.5600,92.0000,89.3600,89.5000,89.5000,1048234,0.0000,1.0000
2019-04-30,91.4000,91.7100,90.2300,91.5700,91.5700,910759,0.0000,1.0000
2019-04-29,90.1100,91.7000,90.1100,91.5900,91.5900,861662,0.0000,1.0000
2019-04-26,90.2100,90.5800,88.3900,89.7500,89.7500,1325142,0.0000,1.0000
2019-04-25,88.9400,90.3350,87.5600,90.2100,90.2100,1222645,0.0000,1.0000
2019-04-24,89.4200,89.4400,88.2100,88.4800,88.4800,1557590,0.0000,1.0000
2019-04-23,88.7800,89.7300,87.9500,89.5300,89.5300,1137870,0.0000,1.0000
2019-04-22,88.9500,88.9700,88.2400,88.5700,88.5700,755268,0.0000,1.0000
2019-04-18,88.7200,89.3900,88.0300,89.1900,89.1900,1640125,0.0000,1.0000
2019-04-17,88.5600,88.8700,88.0400,88.8000,88.8000,747548,0.0000,1.0000
2019-04-16,87.6700,88.8050,87.4900,88.5500,88.5500,1036268,0.0000,1.0000
2019-04-15,88.0900,88.2000,87.2700,87.4600,87.4600,661039,0.0000,1.0000
2019-04-12,87.8000,88.5400,86.9900,87.8000,87.8000,803114,0.0000,1.0000
2019-04-11,86.0000,86.6800,85.7500,86.5200,86.5200,777196,0.0000,1.0000
2019-04-10,85.0300,85.6400,84.3800,85.6100,85.6100,600316,0.0000,1.0000
2019-04-09,85.0300,85.1558,84.3900,84.6800,84.6800,880414,0.0000,1.0000
2019-04-08,85.0000,85.5350,84.8377,85.5000,85.5000,821401,0.0000,1.0000
2019-04-05,84.8900,85.2600,84.4100,85.2000,85.2000,1126666,0.0000,1.0000
2019-04-04,83.9600,84.9800,83.6000,84.4200,84.4200,597764,0.0000,1.0000
2019-04-03,83.8500,84.3500,83.3400,83.7800,83.7800,997326,0.0000,1.0000
2019-04-02,83.0500,83.3100,82.1150,83.0100,83.0100,813065,0.0000,1.0000
2019-04-01,81.2100,83.2200,81.2000,83.0800,83.0800,891924,0.0000,1.0000
2019-03-29,80.5300,80.7300,79.9700,80.4100,80.4100,1335475,0.3400,1.0000
2019-03-28,78.3400,80.0700,78.3400,79.9400,79.6034,1214437,0.0000,1.0000
2019-03-27,78.1000,78.5200,77.7300,78.5000,78.1695,1032865,0.0000,1.0000
2019-03-26,77.5100,78.3700,77.5100,78.1000,77.7712,1184118,0.0000,1.0000
2019-03-25,76.8400,77.6100,76.4900,77.0100,76.6857,1365634,0.0000,1.0000
2019-03-22,78.4700,78.9400,76.0000,76.7600,76.4368,1516421,0.0000,1.0000
2019-03-21,79.1600,80.0400,78.4800,79.4100,79.0756,1056035,0.0000,1.0000
2019-03-20,81.1900,81.6300,79.2800,79.3500,79.0159,1209364,0.0000,1.0000
2019-03-19,83.2100,83.2100,81.3200,81.5300,81.1867,1033943,0.0000,1.0000
2019-03-18,82.4900,82.9000,82.1700,82.5200,82.1725,1078141,0.0000,1.0000
2019-03-15,81.8300,82.6100,81.7500,81.8900,81.5452,1511201,0.0000,1.0000
2019-03-14,81.9100,82.2100,81.2700,82.0000,81.6547,505007,0.0000,1.0000
2019-03-13,81.6000,82.2600,81.1400,81.9100,81.5651,512626,0.0000,1.0000
2019-03-12,81.2400,81.5600,80.8500,81.1600,80.8183,691484,0.0000,1.0000
2019-03-11,81.1500,81.4400,80.3100,81.0000,80.6589,965893,0.0000,1.0000
2019-03-08,79.7600,80.3900,79.3300,80.3500,80.0117,715735,0.0000,1.0000
2019-03-07,82.2100,82.2100,79.9700,80.4600,80.1212,1109276,0.0000,1.0000
2019-03-06,83.9700,84.2700,82.6600,82.7000,82.3518,461679,0.0000,1.0000
2019-03-05,83.7700,83.9100,82.6200,83.7000,83.3476,518284,0.0000,1.0000
2019-03-04,84.7100,85.5300,83.0000,83.8800,83.5268,1035259,0.0000,1.0000
2019-03-01,83.4800,84.6900,83.3700,84.4600,84.1044,720436,0.0000,1.0000
2019-02-28,83.6900,83.8900,82.5000,82.5800,82.2323,608611,0.0000,1.0000
2019-02-27,83.4200,84.0100,83.1700,83.8200,83.4671,641708,0.0000,1.0000
2019-02-26,83.2600,84.3300,83.0900,83.5700,83.2181,756979,0.0000,1.0000
2019-02-25,84.1400,84.8200,83.5400,83.5800,83.2281,918661,0.0000,1.0000
2019-02-22,83.1100,83.6500,82.7800,83.5600,83.2082,594516,0.0000,1.0000
2019-02-21,82.8300,82.9200,81.8550,82.9100,82.5609,908863,0.0000,1.0000
2019-02-20,82.8000,82.8300,82.2300,82.7800,82.4315,540624,0.0000,1.0000
2019-02-19,81.7700,83.2500,81.5800,82.9300,82.5808,944884,0.0000,1.0000
2019-02-15,81.8900,82.5200,81.2700,82.3300,81.9833,943816,0.0000,1.0000
2019-02-14,81.1400,81.6900,80.0700,81.1700,80.8282,1022421,0.0000,1.0000
2019-02-13,82.7800,83.2600,81.7800,81.8100,81.4655,786073,0.0000,1.0000
2019-02-12,80.6900,82.8050,80.6500,82.0100,81.6647,926888,0.0000,1.0000
