timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,119.7100,122.6900,119.2900,122.5900,122.5900,569930,0.0000,1.0000
2019-03-22,124.0900,124.2800,120.1300,120.2300,120.2300,768887,0.0000,1.0000
2019-03-21,122.6800,124.9700,122.4600,124.6400,124.6400,757426,0.0000,1.0000
2019-03-20,124.5700,124.8200,121.9350,122.7500,122.7500,604028,0.0000,1.0000
2019-03-19,124.2900,126.4300,124.2900,124.8100,124.8100,952040,0.0000,1.0000
2019-03-18,121.4900,124.4400,121.1400,124.2100,124.2100,901932,0.0000,1.0000
2019-03-15,121.3300,122.3400,120.4000,120.7800,120.7800,1418068,0.0000,1.0000
2019-03-14,121.7200,122.3500,120.6400,121.5300,121.5300,1147193,0.0000,1.0000
2019-03-13,123.4000,124.0000,121.5200,121.6800,121.6800,1397856,0.0000,1.0000
2019-03-12,123.6500,124.1100,121.5000,122.8500,122.8500,558556,0.0000,1.0000
2019-03-11,122.1700,123.7000,121.9650,123.4600,123.4600,566111,0.0000,1.0000
2019-03-08,122.1500,122.6200,120.3450,122.0600,122.0600,977904,0.0000,1.0000
2019-03-07,123.3900,124.3850,122.2900,123.3500,123.3500,785873,0.0000,1.0000
2019-03-06,125.0700,125.2750,122.7425,124.0900,124.0900,844415,0.0000,1.0000
2019-03-05,125.8300,126.8300,124.8400,124.8700,124.8700,545538,0.0000,1.0000
2019-03-04,126.9600,127.7400,125.0000,125.4200,125.4200,824816,0.0000,1.0000
2019-03-01,127.0500,129.7500,125.8100,126.9700,126.9700,938460,0.0000,1.0000
2019-02-28,126.9200,127.1000,125.0900,125.1700,125.1700,694122,0.0000,1.0000
2019-02-27,126.3900,127.4500,125.3600,127.2300,127.2300,984389,0.0000,1.0000
2019-02-26,127.2000,127.9950,126.3750,126.5100,126.5100,519672,0.0000,1.0000
2019-02-25,128.1300,128.9200,126.7200,127.1500,127.1500,948377,0.0000,1.0000
2019-02-22,126.4400,128.1100,126.4400,127.1200,127.1200,672691,0.0000,1.0000
2019-02-21,125.4200,128.0000,124.6600,126.2400,126.2400,1460268,0.0000,1.0000
2019-02-20,125.8100,126.0500,124.3600,125.3300,125.3300,694669,0.0000,1.0000
2019-02-19,124.8700,126.1900,124.1700,125.4500,125.4500,939695,0.0000,1.0000
2019-02-15,123.9600,125.3600,122.8600,125.0900,125.0900,1063144,0.0000,1.0000
2019-02-14,121.9100,123.4800,119.5800,122.7900,122.7900,1503689,0.0000,1.0000
2019-02-13,126.9700,127.4450,123.0200,123.2400,123.2400,1747924,0.0000,1.0000
2019-02-12,126.1900,128.0000,125.8000,126.6600,126.6600,1106396,0.0000,1.0000
2019-02-11,125.5000,126.4100,125.1663,125.6000,125.6000,824836,0.0000,1.0000
2019-02-08,124.9300,126.1500,124.2100,125.0300,125.0300,1474635,0.0000,1.0000
2019-02-07,125.0500,126.2600,123.6400,125.5000,125.5000,1605752,0.0000,1.0000
2019-02-06,124.8100,126.2000,123.1400,126.0800,126.0800,1642987,0.0000,1.0000
2019-02-05,122.6600,128.6500,122.1000,124.1600,124.1600,3927222,0.0000,1.0000
2019-02-04,115.7600,116.1600,113.8900,114.5500,114.5500,1284944,0.0000,1.0000
2019-02-01,116.3000,117.2600,115.3500,115.7800,115.7800,1254526,0.0000,1.0000
2019-01-31,117.9000,117.9000,115.2300,116.1400,116.1400,916473,0.0000,1.0000
2019-01-30,117.4300,117.4900,115.8600,116.9500,116.9500,575836,0.0000,1.0000
2019-01-29,115.8600,116.4400,114.3000,116.1500,116.1500,821423,0.0000,1.0000
2019-01-28,112.6300,115.2300,112.1500,115.0900,115.0900,810410,0.0000,1.0000
2019-01-25,112.2700,113.8600,111.4800,113.6400,113.6400,817681,0.0000,1.0000
2019-01-24,110.5300,111.1000,108.9950,110.9400,110.9400,611094,0.0000,1.0000
2019-01-23,109.9600,111.1900,109.0050,110.2800,110.2800,719681,0.0000,1.0000
2019-01-22,111.0000,111.9900,108.8100,109.3300,109.3300,797934,0.0000,1.0000
2019-01-18,109.4500,112.1600,109.0800,111.5700,111.5700,978905,0.0000,1.0000
2019-01-17,104.8100,109.3200,104.7800,107.8800,107.8800,634348,0.0000,1.0000
2019-01-16,106.1800,106.8900,105.3100,105.6300,105.6300,1033660,0.0000,1.0000
2019-01-15,106.7300,107.3100,104.8600,106.1700,106.1700,653739,0.0000,1.0000
2019-01-14,104.7300,108.2600,104.7200,106.6700,106.6700,1299037,0.0000,1.0000
2019-01-11,106.7300,108.7900,105.3300,105.4300,105.4300,1081189,0.0000,1.0000
2019-01-10,107.4900,107.7600,104.7800,106.8600,106.8600,1241193,0.0000,1.0000
2019-01-09,109.6400,110.5400,108.8400,109.4600,109.4600,791525,0.0000,1.0000
2019-01-08,108.2700,109.1933,106.5700,108.3300,108.3300,922500,0.0000,1.0000
2019-01-07,105.6500,107.5100,105.2400,106.7000,106.7000,1285321,0.0000,1.0000
2019-01-04,102.5500,105.7500,102.4900,104.7900,104.7900,871497,0.0000,1.0000
2019-01-03,104.9100,104.9100,100.4400,100.6800,100.6800,1157761,0.0000,1.0000
2019-01-02,101.5400,106.6300,101.1800,105.4400,105.4400,875383,0.0000,1.0000
2018-12-31,102.5400,103.9200,101.1500,103.4600,103.4600,818294,0.0000,1.0000
2018-12-28,102.6400,104.3200,101.0500,101.7800,101.7800,923324,0.0000,1.0000
2018-12-27,100.4600,102.0500,98.1500,102.0500,102.0500,1098982,0.6250,1.0000
2018-12-26,97.0300,101.9800,97.0300,101.9300,101.3095,754418,0.0000,1.0000
2018-12-24,97.4800,97.9500,95.6300,96.2000,95.6144,440055,0.0000,1.0000
2018-12-21,99.7000,101.7650,97.4900,97.5300,96.9363,1788833,0.0000,1.0000
2018-12-20,100.8200,102.3600,97.9500,99.3900,98.7850,1083290,0.0000,1.0000
2018-12-19,102.4800,104.4200,100.4300,101.0500,100.4349,970598,0.0000,1.0000
2018-12-18,101.9100,103.5400,101.3200,102.4800,101.8562,1082262,0.0000,1.0000
2018-12-17,99.9800,102.5000,97.8000,100.9600,100.3454,1658876,0.0000,1.0000
2018-12-14,102.0900,105.1700,101.0500,101.5000,100.8822,1105612,0.0000,1.0000
