timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,329.7300,332.8400,329.1564,330.9800,330.9800,362036,0.0000,1.0000
2019-03-22,333.1500,333.6100,329.2300,329.4700,329.4700,350417,0.0000,1.0000
2019-03-21,329.1400,334.9900,327.9400,334.0100,334.0100,214477,0.0000,1.0000
2019-03-20,332.0400,333.8600,328.9800,330.7200,330.7200,248466,0.0000,1.0000
2019-03-19,333.3900,334.8800,330.8900,331.9200,331.9200,515132,0.0000,1.0000
2019-03-18,327.5500,331.6400,326.3600,331.4700,331.4700,405104,0.0000,1.0000
2019-03-15,327.5500,327.5500,325.1900,326.2100,326.2100,664830,0.0000,1.0000
2019-03-14,326.5900,327.4800,324.2200,325.4600,325.4600,311101,0.0000,1.0000
2019-03-13,323.4900,327.3848,323.4900,326.3400,326.3400,308211,0.0000,1.0000
2019-03-12,324.3900,324.7900,322.8400,323.7400,323.7400,412186,0.0000,1.0000
2019-03-11,318.2200,323.3900,318.2000,323.1500,323.1500,352789,0.0000,1.0000
2019-03-08,316.1700,318.0000,315.0900,317.6700,317.6700,311478,0.0000,1.0000
2019-03-07,318.8200,319.9500,316.3800,319.2500,319.2500,471083,0.0000,1.0000
2019-03-06,319.6100,321.2700,319.0400,319.8200,319.8200,330392,0.0000,1.0000
2019-03-05,320.5100,322.5000,319.8600,319.9600,319.9600,468646,0.0000,1.0000
2019-03-04,325.6700,327.2300,319.9900,320.9300,320.9300,496278,0.0000,1.0000
2019-03-01,326.1100,326.7400,323.0400,323.6300,323.6300,538477,0.0000,1.0000
2019-02-28,322.4900,324.6700,321.2700,323.6500,323.6500,531519,0.0000,1.0000
2019-02-27,319.2600,324.1400,318.7200,323.5600,323.5600,392975,0.0000,1.0000
2019-02-26,319.1200,321.0900,318.4200,319.8700,319.8700,509709,0.0000,1.0000
2019-02-25,319.6500,320.2200,318.1700,319.3500,319.3500,454599,0.0000,1.0000
2019-02-22,316.1000,317.3900,314.1600,317.1900,317.1900,397992,0.0000,1.0000
2019-02-21,312.4100,314.9000,310.9100,314.8000,314.8000,408341,0.0000,1.0000
2019-02-20,311.9200,313.7100,310.9600,313.4700,313.4700,240856,0.0000,1.0000
2019-02-19,310.6700,313.1500,310.0452,311.2300,311.2300,225542,0.0000,1.0000
2019-02-15,309.1800,312.0000,309.1000,311.9600,311.9600,351596,0.0000,1.0000
2019-02-14,307.6300,308.4800,305.6500,306.1200,306.1200,354396,0.0000,1.0000
2019-02-13,307.6500,310.8000,306.2550,309.3400,309.3400,426295,0.0000,1.0000
2019-02-12,303.0000,308.3800,302.0900,308.1500,308.1500,424090,0.0000,1.0000
2019-02-11,301.1800,302.0500,299.2800,301.2500,301.2500,335537,0.0000,1.0000
2019-02-08,296.5600,300.2199,294.8100,300.1600,300.1600,326611,0.0000,1.0000
2019-02-07,296.5300,298.3100,295.7700,297.6200,297.6200,511434,0.0000,1.0000
2019-02-06,296.4000,300.0000,296.4000,299.7500,299.7500,648068,0.0000,1.0000
2019-02-05,294.2900,298.1000,293.1050,297.8600,297.8600,415679,0.0000,1.0000
2019-02-04,291.0600,293.4800,289.3400,293.1300,293.1300,481200,0.0000,1.0000
