timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-25,89.2400,90.6598,89.0300,89.8000,89.8000,1598113,0.0000,1.0000
2019-03-22,91.0700,91.4600,89.4600,89.5300,89.5300,2318126,0.0000,1.0000
2019-03-21,91.3500,91.9200,91.0300,91.5000,91.5000,1520230,0.0000,1.0000
2019-03-20,91.7000,92.0200,91.1500,91.5100,91.5100,2181966,0.0000,1.0000
2019-03-19,91.2000,92.3800,90.8650,91.7200,91.7200,2599431,0.0000,1.0000
2019-03-18,89.6500,91.3300,89.6500,91.1300,91.1300,2869017,0.0000,1.0000
2019-03-15,89.0900,90.0000,88.6100,89.9000,89.9000,5396215,0.2550,1.0000
2019-03-14,90.4600,90.4600,88.3050,89.2400,88.9876,3705734,0.0000,1.0000
2019-03-13,91.2600,91.5790,90.6500,90.6900,90.4335,2007536,0.0000,1.0000
2019-03-12,90.8300,91.1900,90.0300,91.1600,90.9022,2115424,0.0000,1.0000
2019-03-11,89.3200,90.9400,89.0000,90.7400,90.4833,2375160,0.0000,1.0000
2019-03-08,91.4800,91.6900,88.6450,89.0600,88.8081,3061940,0.0000,1.0000
2019-03-07,93.5800,93.8038,91.1200,92.4100,92.1486,3599841,0.0000,1.0000
2019-03-06,94.0000,96.5000,93.5000,94.4300,94.1629,4341612,0.2550,1.0000
2019-03-05,95.1100,95.4700,93.4400,94.1700,93.6507,3723005,0.0000,1.0000
2019-03-04,95.4200,95.5650,93.1700,93.6000,93.0839,1755218,0.0000,1.0000
2019-03-01,95.7800,96.2100,94.5659,94.8600,94.3369,1997701,0.0000,1.0000
2019-02-28,94.8600,95.4200,93.9700,94.8300,94.3071,2685888,0.0000,1.0000
2019-02-27,93.8200,95.2200,93.5400,94.7800,94.2574,2659602,0.0000,1.0000
2019-02-26,93.9100,94.8300,93.6305,94.3400,93.8198,2022098,0.0000,1.0000
2019-02-25,94.7000,95.2100,93.7200,93.8600,93.3425,1826370,0.0000,1.0000
2019-02-22,93.6300,94.4200,93.4900,94.3700,93.8496,1602593,0.0000,1.0000
2019-02-21,93.9300,94.0100,93.1500,93.5300,93.0143,1624639,0.0000,1.0000
2019-02-20,93.7500,94.3500,93.3500,93.9700,93.4519,2358111,0.0000,1.0000
2019-02-19,93.9800,93.9800,92.8000,93.6700,93.1535,2225336,0.0000,1.0000
2019-02-15,94.3200,94.6900,93.5600,94.0100,93.4916,2342623,0.0000,1.0000
2019-02-14,94.1300,94.1500,92.3600,93.2900,92.7756,1996610,0.0000,1.0000
2019-02-13,95.1300,95.1400,93.9100,94.6400,94.1182,2189260,0.0000,1.0000
2019-02-12,94.6300,95.1300,94.0350,94.7600,94.2375,1541178,0.0000,1.0000
2019-02-11,93.2500,94.6500,92.9700,94.1300,93.6110,1773182,0.0000,1.0000
2019-02-08,92.3300,93.1900,92.0700,92.9500,92.4375,1656677,0.0000,1.0000
2019-02-07,92.1600,92.7100,91.5700,92.5900,92.0795,1518109,0.0000,1.0000
2019-02-06,92.9200,93.0050,91.7100,92.6600,92.1491,1393177,0.0000,1.0000
2019-02-05,92.3000,93.3900,92.1200,93.1900,92.6762,1533581,0.0000,1.0000
2019-02-04,91.7500,92.3400,91.0300,92.3400,91.8308,1962585,0.0000,1.0000
2019-02-01,92.4500,92.5400,91.0600,91.7300,91.2242,1815527,0.0000,1.0000
2019-01-31,92.2700,92.6300,91.6500,92.1200,91.6121,2854219,0.0000,1.0000
2019-01-30,91.8300,92.8100,91.3100,92.2900,91.7811,1603712,0.0000,1.0000
2019-01-29,91.5400,91.6000,90.6000,91.4700,90.9656,1722196,0.0000,1.0000
2019-01-28,92.2500,92.2500,90.9400,91.5400,91.0352,2362490,0.0000,1.0000
2019-01-25,92.2300,92.6932,91.7200,92.5100,91.9999,1666543,0.0000,1.0000
2019-01-24,91.8400,91.8400,90.3400,91.2000,90.6971,2547089,0.0000,1.0000
2019-01-23,91.8600,91.8800,90.6600,91.5100,91.0054,1665185,0.0000,1.0000
2019-01-22,92.1800,92.7800,90.9600,91.6300,91.1248,2467837,0.0000,1.0000
2019-01-18,91.6800,93.3650,90.8877,93.0100,92.4971,2931486,0.0000,1.0000
2019-01-17,89.6700,90.8800,89.2500,90.8000,90.2993,2408418,0.0000,1.0000
2019-01-16,91.0000,91.7000,89.9500,90.2500,89.7524,2188964,0.0000,1.0000
2019-01-15,90.6100,91.4000,90.2200,90.8500,90.3491,2818721,0.0000,1.0000
2019-01-14,90.4400,91.6800,90.1100,90.6300,90.1303,2394667,0.0000,1.0000
2019-01-11,90.5900,92.0650,90.3801,91.2100,90.7071,2105050,0.0000,1.0000
2019-01-10,88.1000,90.8200,87.4100,90.7300,90.2297,2830581,0.0000,1.0000
2019-01-09,91.8700,91.9030,89.8900,90.3400,89.8419,3310417,0.0000,1.0000
2019-01-08,89.4100,91.7400,88.8600,91.5400,91.0352,4593476,0.0000,1.0000
2019-01-07,84.7500,90.0100,84.2600,88.9300,88.4396,3892056,0.0000,1.0000
2019-01-04,84.0400,86.0100,83.3700,85.3400,84.8694,3146415,0.0000,1.0000
2019-01-03,82.9600,84.3200,81.9106,83.0800,82.6219,2978743,0.0000,1.0000
2019-01-02,81.8000,83.9800,81.8000,83.7800,83.3180,2471298,0.0000,1.0000
2018-12-31,82.0600,83.2400,81.7300,83.2000,82.7412,2327683,0.0000,1.0000
2018-12-28,82.1300,82.8300,80.5100,81.5800,81.1302,2258791,0.0000,1.0000
2018-12-27,80.7700,81.8900,78.7400,81.8400,81.3887,3296802,0.0000,1.0000
2018-12-26,76.5500,81.9300,76.5100,81.7900,81.3390,3865798,0.0000,1.0000
