timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-05-03,204.9700,207.2800,204.3700,206.9200,206.9200,528962,0.0000,1.0000
2019-05-02,203.1300,205.1500,203.1300,204.1900,204.1900,853172,0.0000,1.0000
2019-05-01,202.9400,207.1900,202.6800,203.8100,203.8100,768094,0.0000,1.0000
2019-04-30,199.6100,204.1200,197.8600,203.7300,203.7300,892373,0.0000,1.0000
2019-04-29,200.6500,201.4769,199.2300,199.8100,199.8100,639478,0.0000,1.0000
2019-04-26,199.6800,201.2600,199.3400,201.0700,201.0700,390635,0.0000,1.0000
2019-04-25,200.4300,200.8400,198.3300,199.5300,199.5300,435427,0.0000,1.0000
2019-04-24,200.2200,202.0000,199.0500,200.8400,200.8400,387318,0.0000,1.0000
2019-04-23,199.2600,200.8650,198.1500,199.9800,199.9800,454042,0.0000,1.0000
2019-04-22,197.4800,199.6400,196.3800,199.3700,199.3700,472570,0.0000,1.0000
2019-04-18,197.5300,198.9500,193.9100,198.1800,198.1800,630292,0.0000,1.0000
2019-04-17,200.0000,201.0700,197.0300,197.3000,197.3000,667091,0.0000,1.0000
2019-04-16,203.8800,203.9350,197.8300,198.8800,198.8800,483676,0.0000,1.0000
2019-04-15,203.7500,204.0600,201.9400,203.1100,203.1100,424649,0.0000,1.0000
2019-04-12,202.7300,204.3400,200.6800,204.2400,204.2400,419787,0.0000,1.0000
2019-04-11,202.9300,203.6400,201.7700,203.3200,203.3200,505231,0.0000,1.0000
2019-04-10,201.7300,202.9800,201.2600,202.5300,202.5300,443521,0.0000,1.0000
2019-04-09,201.4100,202.7900,199.9000,201.1900,201.1900,612222,0.0000,1.0000
2019-04-08,201.0200,202.1800,199.8600,201.4900,201.4900,530750,0.0000,1.0000
2019-04-05,197.6700,201.1700,197.4700,201.0100,201.0100,699177,0.0000,1.0000
2019-04-04,200.5100,200.9600,198.0200,198.1300,198.1300,922185,0.0000,1.0000
2019-04-03,199.7700,201.5700,198.0100,200.1200,200.1200,571171,0.0000,1.0000
2019-04-02,198.0500,200.5000,197.0500,199.6400,199.6400,758344,0.0000,1.0000
2019-04-01,200.2200,200.2200,196.2100,197.9100,197.9100,1041457,0.0000,1.0000
2019-03-29,194.9400,200.0400,194.1400,199.6600,199.6600,1491788,0.0000,1.0000
2019-03-28,193.8900,195.1600,192.4300,194.9300,194.9300,1077420,0.0000,1.0000
2019-03-27,195.4500,195.4500,192.5800,193.7500,193.7500,824512,0.0000,1.0000
2019-03-26,196.8900,196.8900,194.4000,195.0000,195.0000,655162,0.0000,1.0000
2019-03-25,197.3200,197.7600,195.4100,195.5800,195.5800,759751,0.0000,1.0000
2019-03-22,195.1000,198.1400,195.1000,197.1200,197.1200,999241,0.0000,1.0000
2019-03-21,192.1000,196.2700,191.5900,196.0700,196.0700,810468,0.0000,1.0000
2019-03-20,191.5900,193.7250,190.5100,192.6100,192.6100,632557,0.0000,1.0000
2019-03-19,191.6500,193.1700,191.5000,191.8900,191.8900,667871,0.0000,1.0000
2019-03-18,191.0600,192.1800,190.2800,191.5600,191.5600,733744,0.0000,1.0000
2019-03-15,189.5500,191.2700,189.0900,190.9500,190.9500,1102929,0.0000,1.0000
2019-03-14,189.2100,189.5000,187.6400,189.4400,189.4400,490170,0.0000,1.0000
2019-03-13,187.4900,189.0400,187.1500,188.9600,188.9600,710268,0.0000,1.0000
2019-03-12,185.7600,187.7300,184.7300,187.1200,187.1200,579494,0.0000,1.0000
2019-03-11,183.2700,186.0000,183.2700,185.9100,185.9100,568052,0.0000,1.0000
2019-03-08,183.3800,185.6900,182.1100,183.4700,183.4700,511725,0.0000,1.0000
2019-03-07,182.3000,184.5000,181.5000,183.3800,183.3800,707948,0.0000,1.0000
2019-03-06,182.0000,183.0700,181.6800,182.3000,182.3000,399529,0.0000,1.0000
2019-03-05,182.4800,183.7250,181.3300,182.1000,182.1000,734923,0.0000,1.0000
2019-03-04,182.4500,182.8800,180.0800,182.4800,182.4800,839074,0.0000,1.0000
2019-03-01,181.2100,182.4400,178.8500,182.1100,182.1100,684448,0.0000,1.0000
2019-02-28,180.1800,183.0200,179.7700,180.5600,180.5600,999030,0.0000,1.0000
2019-02-27,180.7600,181.5100,178.5700,180.4100,180.4100,347520,0.0000,1.0000
2019-02-26,180.6600,182.1200,179.9600,180.9900,180.9900,556116,0.0000,1.0000
2019-02-25,181.9200,182.6300,179.8800,181.0900,181.0900,656799,0.0000,1.0000
2019-02-22,181.4900,184.6300,179.3500,182.5500,182.5500,992294,0.0000,1.0000
2019-02-21,183.5400,183.5400,180.3350,182.6600,182.6600,775970,0.0000,1.0000
2019-02-20,183.0500,184.0500,182.0000,182.9900,182.9900,652764,0.0000,1.0000
2019-02-19,184.4600,186.3500,183.0050,183.5500,183.5500,873812,0.0000,1.0000
2019-02-15,185.0600,185.9250,184.0100,185.5000,185.5000,1332658,0.0000,1.0000
2019-02-14,184.0200,185.1200,183.5850,184.1900,184.1900,432584,0.0000,1.0000
2019-02-13,183.3600,184.4900,182.6500,184.3400,184.3400,423590,0.0000,1.0000
2019-02-12,184.1300,184.2000,182.1400,183.2100,183.2100,403820,0.0000,1.0000
2019-02-11,183.9000,184.9800,182.9500,183.9700,183.9700,505174,0.0000,1.0000
