timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-12-31,48.8400,49.2550,47.3800,47.7800,47.7800,17831547,0.0000,1.0000
2018-12-28,48.8900,49.4000,48.6200,48.8900,48.8900,3549910,0.0000,1.0000
2018-12-27,47.6800,48.8100,47.5068,48.7800,48.7800,2606989,0.0000,1.0000
2018-12-26,47.1500,47.9100,46.5400,47.9100,47.9100,1561577,0.0000,1.0000
2018-12-24,49.8600,50.0500,46.9200,47.1500,47.1500,1118334,0.0000,1.0000
2018-12-21,49.7800,50.8900,49.5100,49.8100,49.8100,6149539,0.0000,1.0000
2018-12-20,49.0400,50.1700,48.8400,49.6000,49.6000,2432362,0.0000,1.0000
2018-12-19,48.9100,49.4600,48.6800,49.1100,49.1100,2035433,0.0000,1.0000
2018-12-18,49.2000,49.8400,48.6500,48.7500,48.7500,2084599,0.0000,1.0000
2018-12-17,50.8900,51.1600,48.7700,48.9300,48.9300,3170989,0.0000,1.0000
2018-12-14,47.8400,51.2700,47.3901,50.9800,50.9800,6555112,0.0000,1.0000
2018-12-13,48.1700,48.6300,47.8200,47.9600,47.9600,1816938,0.0000,1.0000
2018-12-12,47.1900,48.3100,47.0200,48.0000,48.0000,2360376,0.0000,1.0000
2018-12-11,47.3100,47.5500,46.4400,46.9400,46.9400,1462219,0.0000,1.0000
2018-12-10,46.8400,47.8000,46.3200,47.1900,47.1900,2869238,0.0000,1.0000
2018-12-07,47.1900,47.9800,46.6300,46.8600,46.8600,1659314,0.1237,1.0000
2018-12-06,47.1500,47.4800,45.7400,47.3500,47.2253,1448147,0.0000,1.0000
2018-12-04,47.1800,48.9299,46.8500,47.3000,47.1755,2974082,0.0000,1.0000
2018-12-03,46.3600,47.5700,46.3100,47.2300,47.1057,2000182,0.0000,1.0000
2018-11-30,45.9800,46.8100,45.9800,46.6600,46.5372,1509370,0.0000,1.0000
2018-11-29,45.5300,46.1400,44.2100,46.1100,45.9886,1694414,0.0000,1.0000
2018-11-28,46.9500,46.9500,45.4400,45.5300,45.4101,1436853,0.0000,1.0000
2018-11-27,46.5600,46.9900,45.9800,46.9900,46.8663,1688041,0.0000,1.0000
2018-11-26,45.2900,46.8100,45.2000,46.6300,46.5072,2244425,0.0000,1.0000
2018-11-23,43.7000,44.4200,43.4742,44.0600,43.9440,431291,0.0000,1.0000
2018-11-21,43.6300,44.1200,42.3800,43.6300,43.5151,2164019,0.0000,1.0000
2018-11-20,43.7500,44.5700,42.5100,44.5000,44.3828,2357399,0.0000,1.0000
2018-11-19,42.9100,43.8400,42.9100,43.7100,43.5949,757761,0.0000,1.0000
2018-11-16,42.4400,43.6100,42.4400,42.9600,42.8469,1393641,0.0000,1.0000
2018-11-15,40.9600,42.3000,40.3920,42.2800,42.1687,1134710,0.0000,1.0000
2018-11-14,41.0200,42.0000,40.7427,41.3000,41.1913,1654569,0.0000,1.0000
2018-11-13,40.5000,41.4109,40.3500,41.2000,41.0915,718220,0.0000,1.0000
2018-11-12,40.1600,41.0425,39.9800,40.6300,40.5230,828167,0.0000,1.0000
2018-11-09,39.8100,40.9900,39.6900,40.1800,40.0742,635009,0.0000,1.0000
2018-11-08,40.6400,40.6400,39.7500,40.0000,39.8947,837769,0.0000,1.0000
2018-11-07,40.0400,40.7100,39.6700,40.6500,40.5430,673029,0.0000,1.0000
2018-11-06,39.8600,40.1700,39.6800,40.0500,39.9446,524365,0.0000,1.0000
2018-11-05,40.1800,40.6200,39.6200,39.8200,39.7152,908229,0.0000,1.0000
2018-11-02,39.9800,40.3367,38.9300,40.0100,39.9047,1177920,0.0000,1.0000
2018-11-01,40.0000,40.8100,38.7500,40.0500,39.9446,1460788,0.0000,1.0000
2018-10-31,40.4100,41.0300,40.0200,40.0500,39.9446,1411112,0.0000,1.0000
2018-10-30,37.3900,41.8400,37.3500,40.8900,40.7823,4223848,0.0000,1.0000
2018-10-29,36.7300,37.5550,36.4700,37.1300,37.0322,929097,0.0000,1.0000
2018-10-26,38.9200,39.1800,35.3800,36.5700,36.4737,3095880,0.0000,1.0000
2018-10-25,37.0600,38.3000,35.6900,37.3700,37.2716,1579473,0.0000,1.0000
2018-10-24,37.6400,38.5450,37.0050,37.2900,37.1918,1668662,0.0000,1.0000
2018-10-23,36.3000,38.3600,36.2001,37.4600,37.3614,2878564,0.0000,1.0000
2018-10-22,40.9100,40.9700,34.8000,36.4000,36.3042,5187263,0.0000,1.0000
2018-10-19,40.2300,41.0600,40.0100,40.8900,40.7823,778780,0.0000,1.0000
2018-10-18,40.0600,40.4700,39.8800,40.2600,40.1540,770295,0.0000,1.0000
2018-10-17,39.7500,40.1400,39.6500,40.0800,39.9745,639471,0.0000,1.0000
2018-10-16,38.4900,39.8000,38.3900,39.7800,39.6753,1035597,0.0000,1.0000
2018-10-15,39.2700,39.2700,38.3600,38.7600,38.6580,1716807,0.0000,1.0000
2018-10-12,39.7200,40.0600,38.9700,39.2800,39.1766,1679037,0.0000,1.0000
2018-10-11,40.0100,40.0100,39.1700,39.7700,39.6653,1171047,0.0000,1.0000
2018-10-10,39.7700,40.6400,39.6000,39.9500,39.8448,1461233,0.0000,1.0000
2018-10-09,39.9400,40.3402,39.4143,39.9100,39.8049,1268095,0.0000,1.0000
2018-10-08,38.5100,39.7400,38.5000,39.2600,39.1566,1450208,0.0000,1.0000
2018-10-05,39.0700,39.4100,38.7200,38.7500,38.6480,703491,0.0000,1.0000
2018-10-04,38.0300,38.8800,37.9000,38.7600,38.6580,1054521,0.0000,1.0000
2018-10-03,38.1600,38.6800,37.8900,38.3000,38.1992,1226698,0.0000,1.0000
2018-10-02,37.6800,38.5900,37.4800,38.1600,38.0595,2105503,0.0000,1.0000
2018-10-01,38.7500,38.8300,37.3700,37.5400,37.4412,1346526,0.0000,1.0000
2018-09-28,37.8600,39.0000,37.5600,38.8900,38.7876,2285518,0.0000,1.0000
2018-09-27,36.9700,37.8200,36.5200,37.4300,37.3315,2137117,0.0000,1.0000
2018-09-26,35.4000,37.9200,35.3000,36.6300,36.5336,2892500,0.0000,1.0000
